v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70
9.517618630e+01,3.358845896e+01,1.017643565e+01,7.029939573e+01,1.115037081e+01,2.389469570e+01,6.213981693e+00,4.701714201e+01,2.596856727e+01,7.341984360e+01,8.063416611e+01,9.210905624e+01,5.380868204e+01,8.097147580e+01,1.237705076e+01,8.890837945e+00,4.187990869e+01,6.074134452e+01,6.525063781e+01,7.584538948e+01,4.132378078e+01,8.650117249e+01,1.851428538e+01,9.637728281e+01,1.828361989e+01,4.258278381e+01,6.535187871e+01,6.516389586e+01,7.316686104e+01,8.031070758e+01,8.163016583e+01,4.973811928e+00,7.005873187e+01,1.165005650e+01,4.989526930e+01,6.941180198e+00,9.146367054e+01,7.617605152e+01,7.861145946e+01,2.037682627e+01,4.686244302e+01,1.295720634e+01,4.930279237e+01,8.836941484e+01,9.833497067e+01,9.997043971e+01,5.827078342e+01,2.627330098e+01,3.006690243e+01,9.759205886e+01,5.083704267e+00,1.047588924e+01,9.871675888e+01,4.999851598e+01,4.817266545e-01,4.606355247e+01,8.156813460e+00,8.156439295e+01,8.317204760e+01,2.918227363e+01,1.519200286e+01,7.102057401e+01,9.647599901e+01,6.724005743e+00,7.202021151e+01,7.007551994e+01,2.014708349e+01,3.826722405e+01,4.672846934e+01,8.327470100e+01
4.428325031e+01,7.217262670e+00,6.350638021e+00,6.949217085e+01,5.882198811e+01,8.151371533e+01,2.102398763e+01,9.169208464e-01,4.851627826e+01,5.953807368e+01,5.745911986e+01,6.073860361e+01,6.459886289e+01,7.949229769e+01,6.114104999e-01,3.218821784e+01,4.795743379e+01,9.130492857e+01,8.503186107e+01,5.538869424e+01,6.081195303e+01,6.664265544e+01,6.508038960e+01,1.037255000e+01,1.606516283e+01,8.954791467e+01,3.364256898e+01,8.132557774e+01,8.810418448e+01,7.876478479e+01,8.648684649e+01,4.474485411e+01,7.081311933e+00,7.323556668e+01,9.497425467e+01,6.445315209e+01,7.037248825e+01,5.612993836e+01,7.042375905e+01,7.202942480e+00,2.149648765e+01,7.654259739e+01,2.860412839e+01,7.512843714e+01,1.941608108e+01,2.020833625e+01,4.391556431e+01,8.778407230e+01,9.981612080e+01,9.035902070e+01,7.236632199e+01,2.764649946e+01,6.040292865e+01,5.727651848e+01,4.190978258e+01,3.208481992e+00,5.126013401e+01,4.987743353e+01,1.041398142e+01,6.064979923e+01,8.579291611e+01,3.499476329e+01,6.711031121e+01,9.215798594e+01,3.173748957e+01,6.093999727e+01,8.129970258e+00,2.115117618e+01,9.753168689e+01,9.483074817e+01
3.560179803e+01,3.417975302e+01,3.663066722e+01,6.351945278e+01,7.979999238e+01,9.593570725e+00,4.857269821e+01,8.109380156e+01,4.568868156e+01,4.341136045e+01,9.125582689e+01,1.010687636e+01,4.489379405e+01,5.007972027e+01,1.751926126e+01,8.809937815e+01,4.800647154e+01,4.780660094e+01,2.383818684e+01,9.606960653e+01,1.143645959e+01,9.255298448e+01,3.905636069e+01,4.513809760e+01,8.389649620e+01,4.055891616e+01,4.742674659e+01,6.231436369e+01,8.217437874e-01,9.112141456e+01,9.599491119e+01,5.052883061e+01,2.844090159e+01,1.307765867e+01,8.643859311e+01,9.525759742e+01,9.664067276e+01,2.240076270e+01,6.017513265e+01,5.496423971e+01,6.776566255e+01,8.326325441e+01,3.737939718e+01,8.252164821e+01,4.622921502e+01,5.986885053e+01,1.413461653e+00,1.286415800e+01,7.244156118e+01,2.966405694e+01,4.117059209e+01,4.350015049e+01,5.906739228e+01,9.550840915e+01,6.652545938e+01,8.392312765e+01,7.035480877e+01,5.976885080e+01,9.530361626e+01,9.984577677e+01,4.632045287e+01,9.378326729e+01,4.707864697e+01,7.992298117e+01,2.661382930e+01,6.137369736e+01,5.357132621e+01,7.771347398e+01,7.917164304e+01,6.235460970e+01
6.820048827e+01,6.853060166e+01,8.388081159e+01,6.990397044e+01,6.953547110e+00,4.395801931e+01,9.389492861e+01,8.416227211e+01,7.945758620e+01,6.840097359e+01,2.121248415e+01,5.083027481e+01,5.063368780e+01,5.100028214e+01,7.835111054e+01,8.409269807e+01,2.055153426e+01,4.533557757e+01,9.228325728e+01,1.216035372e+01,2.266273044e+01,8.089230501e+01,3.611184134e+01,5.420067463e+01,8.770233419e+01,1.590095387e+01,6.264471050e+01,8.078841801e+00,6.392697631e+01,2.616305767e+01,6.318675580e+01,9.145845748e+01,9.198783359e+01,9.174140783e+01,3.911976357e+01,5.223353327e+00,1.754598440e+01,3.642756530e+01,8.099274069e+01,4.744432354e+01,6.450770508e+01,9.104077197e+01,2.581684854e+01,2.019340204e+01,8.864986773e+01,3.169427070e+01,3.604189039e+01,4.080619930e+01,6.086279939e+01,1.002808758e+01,1.482189539e+01,6.745403305e+01,8.413492095e+01,9.284203987e+00,8.744808685e+00,4.620147509e+01,2.084400348e+01,9.406271075e+01,8.587555413e+00,2.404374987e+00,4.469075894e+00,3.008015949e+01,8.087403061e+01,8.729914914e+01,5.721431572e+01,2.298942001e+01,1.002541242e+01,2.727192179e+01,3.382549639e+01,6.993167203e+01
7.061595201e+01,4.958375225e+01,8.903670161e+01,9.937410996e+01,9.959660203e+01,6.296449011e+01,2.005104030e+01,7.303552489e+01,4.998014122e+01,1.541483260e+01,7.479917409e+01,2.769193372e+01,1.989993845e+00,5.599026438e+01,7.241808823e+00,3.019039968e+01,1.107985493e+01,1.266052212e+01,9.339524367e+01,8.158792189e+01,6.798795645e+01,2.352364807e+01,8.006895251e+01,8.255380830e+01,9.304926535e+01,6.491911358e+01,6.067421513e+01,4.474509363e+01,2.738280661e+01,4.822939129e+01,8.121871742e+00,6.655449463e+01,8.400007051e+01,5.696030129e+01,6.707506392e+01,2.731727452e+01,8.931807081e+01,1.055124534e+01,4.730868514e+01,7.902902674e+01,7.766358694e+01,7.122828861e+01,7.465627371e+01,1.431582242e+00,4.522562693e+01,1.224199987e+01,2.111798484e+01,2.967625316e+01,8.599051418e+01,8.435870926e+01,9.516300189e+00,6.479040106e+01,9.068386584e+01,9.879892127e+00,2.347005284e+01,8.851585949e+01,6.315431166e+01,2.722499729e+01,8.648096648e+01,8.744007133e+01,3.814308612e+00,8.461065888e+01,2.539126106e+01,9.347533711e+01,8.854473075e+01,2.101965602e+01,9.222340995e+01,1.199487402e+01,3.704728012e+01,8.550807007e+01
6.737735387e+01,7.272239030e+01,7.142631442e+00,7.351002132e+01,7.846912108e+01,5.602548969e+01,4.059944444e+01,6.382573634e+00,8.857888580e+01,2.047415447e+01,5.073011323e+01,3.794340652e+01,6.679445699e+01,7.518328563e+01,6.958712884e+01,7.786809157e+01,4.059994251e+01,2.810841800e+01,5.725389060e+00,7.268296162e+01,8.471466686e+01,7.097377039e+01,1.541852155e+00,7.103073310e+01,4.875046304e+01,1.505863487e+00,4.540920499e+01,5.453685158e+00,2.049279866e+01,2.901508746e+01,8.493131940e+01,5.245729732e+01,9.094680508e+01,4.462582757e+01,3.895289750e+01,2.153012705e+01,9.121660902e+01,2.447947169e+01,7.806979426e+01,5.970666475e+01,8.711193216e+01,6.583433712e+01,8.731409861e+01,2.451131907e+01,8.332731687e+01,2.707770150e+01,3.205196272e+01,9.044676326e+01,8.514830402e+01,7.780266844e+01,4.592445250e+01,2.773250723e+00,2.823218970e+00,5.985032182e+01,2.280974869e+01,9.379545255e+01,2.145598818e+00,5.688416332e+00,2.542695261e+01,8.381967282e+01,3.565736193e+01,9.196194459e+01,6.821921035e+01,4.495944466e+01,2.042975946e+01,5.692948451e+01,8.526583487e-01,8.398667202e+01,4.148960105e+01,8.008252108e+01
9.904525188e+01,6.942216844e+01,1.250843170e+01,7.746243942e+01,1.641288174e-01,9.035019275e+01,4.928810084e+01,8.369414349e+01,8.985087471e+01,2.959789826e+01,6.600221989e+01,2.984706407e-01,9.641503151e+01,7.954446906e+01,2.141937818e+01,3.231194333e+01,8.552073153e+00,6.148240045e+01,1.009920281e+01,7.990914683e+01,7.830064647e+01,1.975343573e+01,6.597461135e+01,5.027881494e+01,3.088951415e+01,8.746538449e+01,9.931508756e+01,4.552554360e+00,4.265226297e+01,8.055343353e+01,4.737285097e+01,3.235937952e+01,3.929309958e+01,5.332703367e+01,8.901329463e+01,4.170112214e+01,8.145574430e+01,5.406638788e+01,7.724837786e+01,3.726064777e+01,9.257746020e+01,8.325648703e+00,3.610432892e+01,2.205728319e+01,6.458869503e+01,3.115227273e+01,4.797086060e+01,3.554101424e+01,9.028050616e+01,4.053669930e+01,9.698714966e+01,4.316958223e+01,1.900319902e+01,8.142689524e+01,2.176359786e+01,4.169648014e+01,9.685032804e+01,8.342084649e+01,4.473631891e+01,6.359952803e+01,6.790104383e+01,1.252161203e+01,6.371314471e+01,2.764607715e+01,2.783714159e+00,2.818890836e+01,9.188378596e+01,1.436312755e+01,3.367724645e+01,6.639040908e+01
3.672638040e+01,7.035844929e+01,9.284597813e+01,7.187976526e+00,7.653142710e+00,5.461126573e+01,4.814066395e+01,6.445111362e+00,8.272307735e+01,1.595124234e+01,3.811017783e+01,2.638732300e+01,4.377772584e+01,6.160529019e+01,6.904683339e+01,8.893232576e+01,2.082674723e+00,6.738289647e+00,8.143257780e+01,6.696526263e+01,5.267172224e+01,9.638346312e+01,5.740530315e+01,5.829037619e+01,5.890179869e+01,4.090359464e+01,6.864842524e+01,8.403577229e+01,3.505172366e+01,8.853256655e+00,8.452315171e+01,6.777197451e+01,6.641087494e+01,8.779648241e+01,6.903776399e+01,1.012522103e+01,2.729372818e+00,9.974366311e+01,7.504769087e+01,1.157187156e+01,1.667773823e+01,4.495224307e+01,4.392677804e+01,4.310591515e+01,2.805320679e+01,8.599545256e+01,4.726522635e+01,4.144733963e+01,7.100194367e+01,3.810166196e+00,2.216313713e+01,9.919700728e+01,4.621429725e+01,8.398592444e+01,5.340499499e+01,2.606223988e+01,8.173155184e+01,5.785248663e+01,2.066509866e+01,5.932969165e+01,1.450814004e+01,3.291578071e+01,1.556840089e+01,7.837777860e+01,2.670255070e+00,6.672538332e+01,9.447085132e+01,3.317777879e+01,4.183498446e+01,3.006726952e+01
2.010972073e+01,3.678390285e+01,4.946329702e+01,5.647435521e+01,9.413268575e+01,4.068981673e+01,9.443544333e+01,1.369533413e+01,8.178060245e+01,9.716832946e+01,2.479771988e+00,1.576510784e+01,9.711260281e+01,2.794583787e+01,8.526970082e+00,3.786394584e+01,5.865064039e+01,2.154920630e+01,4.655398976e+01,1.389189290e+01,8.327179480e+01,6.347809689e+01,2.852264370e+01,7.526744831e+01,8.507836599e+01,1.797291279e+01,5.884127423e+01,3.858837393e+01,7.391655545e+01,3.762529002e+01,7.833413691e+01,3.220655816e+01,3.800962817e+01,1.765428440e+01,6.759888980e+01,2.825002102e+01,2.852042750e+01,6.680945177e+00,5.322209961e+01,8.669211526e+01,2.554664975e+01,5.535756325e+01,1.773282472e+01,3.669897287e+01,9.329983715e+01,8.136231990e+01,1.653118851e+00,2.054087081e+01,1.197779129e+01,2.797596981e+00,5.784929663e+00,5.748338385e+01,2.476481569e+01,9.796726569e+01,7.385369879e+01,2.585353720e+01,4.549528369e+01,7.135260708e+01,2.596265902e+01,3.223292417e+01,2.087967824e+01,9.669212539e+00,4.271826089e+01,4.642177115e+01,8.791552082e+01,2.207228429e+01,2.924502881e+01,7.621532509e+01,7.438004391e+01,9.238079932e+01
6.422371984e+01,6.625780621e+01,3.123752604e+01,7.585167211e+01,4.560254472e+01,4.770301028e+01,3.014174171e+00,1.939568884e+01,9.090374792e+01,7.033331100e+01,8.286090358e+01,7.853910762e+00,9.444733706e+01,2.595494143e+01,9.599944214e+00,2.750672183e+01,2.425635244e+01,2.987225151e+01,5.221987716e+01,4.186587529e+01,6.145752561e+00,2.911713145e+01,7.139326638e+01,1.646385369e+01,4.503345112e+01,1.607576100e+01,4.596913396e+00,2.881948540e+01,5.378375480e+01,1.968964625e+01,2.319790849e+01,5.587276520e+01,4.707533209e+01,2.763241356e+01,6.290992342e+01,2.845405679e+00,9.744992217e+01,8.704524807e+01,5.280092001e+01,8.404637561e+01,9.459936419e+00,1.399333016e+01,7.351785102e+01,2.460530747e+01,1.884796325e+00,3.667374433e+01,5.557306920e+00,2.371315171e+01,7.537325036e+01,1.465191590e+01,8.661539745e+01,8.376684720e+01,1.912371999e+01,4.910711400e+01,2.015691475e+01,8.771010985e+01,1.449744552e+01,9.848654822e+01,3.417531038e+01,5.743868165e-01,9.131061455e+01,9.689595764e+01,6.144254667e+01,8.360239985e+00,7.748986918e+01,6.219756369e+01,3.813788959e+00,7.788272527e+00,4.657453622e+01,2.782412166e+00
