v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71
6.662388573e+01,8.402191498e+01,6.871596805e+01,8.277455379e+01,3.456234294e+01,4.807220000e+00,5.605022825e+01,1.638289459e+01,5.497167983e+01,5.007207109e+01,4.089780231e+01,4.367709943e+01,8.072218878e+01,1.036899552e+01,2.437381738e+01,7.912324907e+01,1.291971973e+01,8.029770564e+01,8.707336499e+01,5.070798154e+01,6.799821878e+01,5.074571430e+01,2.963441587e+01,5.377188565e+01,6.698639090e+01,3.858901307e+01,9.602499419e+01,7.433020359e+01,1.921193330e+01,7.758382522e+01,5.836202381e+01,5.665204203e+01,3.063471170e+01,6.910656379e+01,5.865934273e+01,6.823097210e+01,8.395161858e+01,5.044586565e+01,4.418379496e+01,9.531309120e+01,6.428649084e+01,9.692840647e+01,3.821181418e+01,8.360675757e+01,8.033691611e+00,5.420706817e+00,4.794514771e+01,1.673707850e+01,1.749459030e+01,5.487952151e+01,7.039978202e+01,9.389270431e+01,7.461574368e+00,6.747344778e+01,5.991409066e+01,8.861603072e+01,2.616512836e+01,7.446910620e+01,1.283472442e+01,5.966585807e+00,8.266018365e+01,4.162089941e+01,4.527338312e+01,2.450368871e+01,7.943817220e+01,8.871597554e+01,6.659548412e+01,7.512951950e+01,2.031992998e+00,5.582679101e+01,9.613867480e+01
3.111727617e+01,8.803413497e+01,2.361332458e+01,3.409670112e+01,8.616872111e+01,8.471784017e+01,7.234000538e+01,7.220065070e+01,4.350867119e+01,5.327257894e+01,5.645672468e+00,9.734707638e+01,9.328243896e+01,6.979748048e+01,9.584130657e+01,4.646006531e+01,4.638623906e+01,4.245021456e+01,7.314543427e+01,4.547183116e+01,3.621759133e+01,6.586172558e+01,1.263725777e+01,9.112537195e+01,8.173984470e+01,6.044808968e+01,2.037777468e+01,7.466225258e+01,9.454268109e+01,5.084246356e+01,1.933335364e+00,7.792570965e+01,3.938342908e+01,2.759889867e+01,6.697154019e+00,3.658029998e+01,7.237543680e+01,2.182553957e+00,1.586532024e+01,3.585701632e+01,5.518655113e+01,7.538797785e+01,3.866249293e+01,5.676115646e+01,1.155609051e+01,6.929003625e+01,2.983380836e+01,6.229571785e+01,3.831552056e+01,7.343199237e+01,8.979601874e+00,8.288427081e+01,8.057163021e+01,3.727961998e+00,9.473855514e+01,6.572682394e+01,5.584871493e+01,7.543607708e+01,5.376854469e+01,5.085865777e+01,1.426265608e+01,4.209161792e+01,3.848166985e+01,3.132971048e+01,7.146221468e+00,6.978924297e+00,6.525869059e+01,3.263795004e+01,4.184780815e+01,5.984837562e+01,3.618506247e+01
1.343559200e+01,2.592538083e+01,4.891986663e+01,7.746531529e+01,1.260802158e+00,5.871996971e+01,1.966777167e+01,1.669364484e+01,4.710030537e+00,1.727904352e+01,3.436845393e+01,3.003437670e+01,7.096381631e+01,5.457601142e+01,7.055031740e+01,8.585970251e+01,2.521487255e+00,9.445851986e+01,1.785356408e+01,7.327987261e+01,7.100214340e+01,6.811327371e+01,9.713455725e+01,9.213614101e+01,7.305969556e+01,8.065449438e+01,8.274538825e+01,9.059018747e+01,2.520694633e+01,9.318788522e+01,8.376705341e+01,7.773819091e+01,4.766738884e+00,9.574122233e+01,2.756582830e+01,2.040126733e+01,8.017910906e+01,7.080246282e+01,7.779875564e+01,4.283555738e+01,4.999004694e+01,8.785145747e+01,2.488126909e+01,7.581560473e+01,8.121711284e+01,6.726077071e+01,3.960208643e+01,5.111416807e+01,7.548994056e+01,6.223803744e+01,6.278911504e+01,1.661260382e+01,7.953021582e+01,3.017081471e+01,2.445454305e+01,9.910837961e+01,3.983093543e+01,1.117456031e+01,7.732224748e+00,3.564119251e+01,9.693114420e+01,3.037417686e+01,4.866175681e+00,5.828684616e+01,1.346887346e+01,1.213444057e+01,7.144157917e+01,6.509687722e+01,8.189397855e+01,3.222817311e+01,6.388864799e+01
9.933406799e+00,7.979888194e+01,1.881221004e+01,6.307979474e+01,2.638684347e+01,4.030453795e+01,3.259702050e+01,6.238041064e+01,8.135202164e+01,2.902193145e+01,9.648789382e+01,1.639184555e+01,7.464614121e+01,5.596198079e+01,6.610488731e+01,6.746417262e+00,6.052233593e+01,2.778316448e+01,9.541243876e+01,2.343825532e+00,7.177187247e+01,8.341775095e+01,8.825744812e+01,3.574217046e+01,8.344444203e+01,5.214847015e+01,3.208202323e+01,9.780410240e+01,2.829723367e+01,6.691853688e+01,3.034633975e+01,2.463750200e+00,5.418658240e+01,1.595521031e+00,4.773030404e+01,6.913332835e+01,9.327615158e+01,4.708429483e+01,8.739703013e+01,4.467616966e+01,7.913868968e+01,8.235004962e+01,2.443478152e+01,7.506736764e+01,6.601703877e+01,6.180365496e+01,1.430596437e+01,3.962149216e+01,8.480637032e+01,3.047270988e+01,5.845089821e+01,3.038734090e+01,4.535074135e+01,1.168675750e+01,7.450239357e+01,4.569133815e+01,6.520135443e+01,2.497767982e+01,6.291888655e+01,6.911578355e+01,6.001518036e+01,6.329005837e+01,9.097234927e+01,6.425156832e+01,7.619152660e+01,5.464734478e+01,2.858052832e+01,5.192346485e+01,3.209368834e+01,4.515839802e+01,1.835701183e+01
3.975902187e+01,1.795161350e+01,6.664433248e+01,5.110514981e+01,6.561324101e+01,3.188007867e+01,2.136665065e+01,7.874142103e+01,4.263260547e+01,9.865335613e+01,9.476276149e+01,5.522835460e+01,4.448048537e+01,5.585110097e+01,3.744174307e+00,5.179101860e+01,3.308648061e+01,2.496078666e+01,5.794435507e+01,3.064029685e+00,8.511255427e+01,2.541362299e+01,3.147762579e+01,3.613765916e+01,9.591655702e+01,7.812428582e+01,6.543337910e+01,6.322907946e+01,6.216817655e+01,3.936482184e+01,8.701256140e+01,1.930068241e+01,3.327947341e+01,7.568444173e+01,7.502315102e+01,7.476073317e+01,5.764401810e+01,3.757000298e+01,5.005916191e+01,9.019860215e+01,6.888790127e+01,2.360262265e+01,9.710929976e+01,8.755134765e+01,1.371319284e+00,4.877676610e+01,3.570571094e+01,6.818147671e+01,4.230476552e+01,1.053693583e+01,5.343371930e+00,3.857996815e+01,9.980883867e+00,6.770501861e+01,1.347989054e+01,8.874299520e+01,8.117686543e+01,7.894566938e+01,7.586654754e+01,5.522369340e+01,7.698224943e+01,7.106638168e+00,8.244527110e+01,5.575686789e+01,7.859575898e+01,5.130865565e+01,4.502131945e+01,9.779851540e+01,8.468856191e+01,9.484213754e+01,2.412171032e+01
4.041499787e+01,2.309573570e+00,2.555453951e+01,5.201623089e+01,4.433412517e+01,5.412427845e+01,1.040958500e+00,4.893278726e+01,2.647878612e+01,5.117597535e+01,6.648673266e+01,8.384738233e+01,8.143952022e+01,3.905400115e+01,7.819333105e+01,9.849580142e+01,3.552903022e+01,5.086459170e+01,8.730957159e+01,4.485981844e+01,9.323998861e+01,3.736320279e+01,8.109870625e+01,2.103801766e+01,7.928171657e+00,3.361614935e+01,8.063851754e+01,2.325025481e+01,4.197004836e+01,6.844554480e+01,6.115181730e+01,9.008169937e+01,1.899698646e+01,4.659187626e+01,4.237325881e+00,4.189294185e+01,9.951008720e+01,9.378966568e+01,4.448610418e+01,7.429814385e+01,6.325816894e+01,8.321197190e+01,3.625321447e+01,7.108113241e+01,2.222725614e+01,5.277360551e+01,2.725935772e+01,3.770873624e+01,7.348553446e+01,9.890398577e+01,1.171807035e+01,2.713752657e+01,2.246769331e+01,5.980008130e+01,4.063077116e+01,8.106104672e+01,4.035872532e+01,5.404223843e+01,5.903040674e+01,5.757161386e+01,3.033540951e+01,9.338090956e+01,8.905044095e+01,2.236662338e+01,7.443342304e+01,5.572210069e+01,5.738332305e+01,2.341956886e+01,3.136995387e+01,7.987564888e+01,4.914792890e+01
8.693713337e+01,8.351481640e+01,7.542067961e-01,4.446434834e+01,6.841105019e+01,9.252529069e+01,4.135319552e+01,9.632986527e+01,9.303090466e+01,4.993760298e+01,4.684141462e+01,2.098652430e+00,1.925305760e+01,7.339604752e+01,4.706794785e+01,5.882656094e+01,4.237629768e+01,6.692996496e+00,1.925750409e+01,2.377711688e+01,7.542263335e+00,5.001125575e+01,2.909669626e+01,3.930206444e+01,2.436166513e+01,1.692562005e+01,6.853755805e+01,8.194118323e+01,7.011506678e+01,6.861513990e+01,2.659078982e+01,4.845262572e+01,6.077690485e+01,6.721894672e+01,2.478018833e+00,3.628768784e+01,8.416376821e+01,7.565527123e+01,4.514106807e+00,1.951153198e+00,6.713537598e+01,5.785014067e+01,8.707141521e+01,5.875598279e+01,7.525218656e+01,3.036488627e+01,4.292454822e+00,6.033479045e+01,5.511746269e+01,1.386392863e+01,4.247872768e+00,6.166952014e+01,1.558194872e+01,8.967253589e+01,5.402737146e+01,5.137109664e+01,9.713991826e+01,7.813673132e+01,7.298979679e+00,6.761478131e+01,9.713404256e+01,8.037385853e+01,7.717938162e+01,9.176070150e+01,4.274456198e+01,6.364469031e+01,7.627174008e+01,8.511138003e+01,7.546853597e+01,4.386006160e+01,1.690198919e+01
1.330060596e+01,9.229124000e+01,1.072236304e+00,2.089440061e+01,7.796251393e+01,6.193530756e+01,6.142709226e+01,5.295907754e+01,2.905139866e+01,4.148578335e+01,4.924511033e+01,4.938178933e+01,4.406570365e+01,7.286395168e+01,2.553319424e+00,4.183892977e+01,1.007650414e+01,7.308789280e+01,2.951869672e+01,5.596384807e+01,6.842958251e+01,5.136542805e+01,9.798476889e+01,2.453042516e+01,4.975743216e+01,2.410720176e+01,1.743825487e+01,4.859171344e-01,3.199833117e+01,8.626437866e+01,7.232134534e+01,5.092716317e+01,9.473336460e+01,9.458633137e+01,1.258527092e+01,3.107965664e+01,6.801187261e+01,6.965611901e+01,3.877874410e+01,1.800586577e+01,3.950152571e+01,2.219509547e+01,8.060162431e+01,4.987203697e+01,6.828213458e+01,1.722468538e+01,3.701789913e+01,6.236936125e+01,9.816673774e+01,6.441155618e+01,8.098532829e+01,2.459329863e+01,7.048035673e+01,8.581297563e+01,5.831634719e+01,6.656457155e+01,7.950502412e+00,5.857164183e+01,1.936795508e+01,2.556451749e+01,2.199429420e+01,6.946681794e+01,9.621492589e+00,1.961950860e+01,3.991203744e+01,2.788482827e+01,3.797787198e+01,5.395963310e+01,2.712663331e+01,1.127188751e+01,8.410065333e+01
1.893747238e+01,1.502043439e+01,1.330069222e+01,3.290550917e+00,1.137551772e+01,5.328721150e+01,9.773374179e+01,8.616191053e+01,5.740665378e+01,3.214893659e+01,4.256803343e+01,4.694923365e+00,2.706411618e+01,6.006656830e+00,5.501990299e+01,4.422914092e+01,3.761463667e+01,5.186878814e+01,8.586198304e+01,6.221358855e+01,8.502006665e+01,1.714733492e+01,6.025158380e+01,1.317528974e+00,1.332895040e+01,6.033629078e+01,3.186210385e+01,4.440521767e+01,2.076688077e+01,6.242600100e+01,4.282466285e+01,8.513422844e+00,2.119153654e+01,5.069823600e+01,7.239115876e+01,4.479948721e+01,5.731844601e+01,2.729269958e+01,5.305170880e+01,3.345746065e+01,2.446848654e+01,2.859524185e+01,8.552943722e+01,3.653515375e+01,2.269960094e+01,3.330042014e+01,7.359575238e+01,9.054578475e+01,7.755887793e+01,3.226591398e+01,6.389361441e+01,1.570952881e+01,6.326609605e+01,1.484894444e+01,3.462885833e+01,8.830741114e+01,2.894598580e+01,4.078190892e+01,7.836179945e+01,5.707294041e+01,3.299068695e+01,5.083215821e+01,2.856867208e+01,1.668706372e+01,5.828024944e+01,9.433486344e+01,4.566378128e+01,4.947404033e+01,1.758840326e+01,6.836420100e+01,5.195053824e+01
3.368656405e+01,5.099971654e+01,6.543172390e+01,6.387635186e+01,8.368130347e+01,7.582126570e+01,1.205779660e+01,6.096339486e+00,1.675071709e+01,9.932628210e+01,8.438468902e+01,7.873437949e+01,9.527165547e+01,7.016338258e+01,1.166817288e+01,1.717989230e+01,8.086679126e+01,6.918221275e+00,9.449381475e+01,1.478162850e+01,7.360163853e+01,2.381422247e+01,9.038802026e+01,5.834246913e+01,7.021414902e+01,1.217421041e+01,9.417797431e+01,4.512090581e+01,8.694355875e+01,8.145201916e+01,3.110881402e+00,6.401301626e+01,2.611255625e+01,4.894953994e+01,5.955027607e+01,7.094820026e+01,1.075535038e+01,9.660615489e+01,1.745076506e+01,1.708197623e+01,5.600946129e+01,1.289447610e+01,6.884889012e+01,3.809925498e+01,3.696225941e+01,8.838195449e+01,8.742486366e+01,8.313940558e+01,3.507098519e+01,6.576820021e+01,8.814598512e+01,5.838905936e+01,4.653598917e+01,3.677113988e+01,1.650409280e+01,4.529218625e+01,1.275254649e+01,2.485953204e+01,7.187355296e+01,2.876756190e+01,7.652143732e+01,2.698492600e+01,8.333207551e+00,7.722854770e+01,5.302613650e+01,4.355807506e+01,7.973945380e+01,5.291283499e+01,2.183543462e-01,5.643861924e+01,4.953781842e+01
