v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72
2.565607849e+01,4.938458727e+01,1.971219657e+01,8.936679063e+01,4.352544530e+01,7.568522177e+00,4.846299858e+01,2.800717972e+01,3.667922402e+01,1.348159916e+01,2.107005003e+01,5.274851718e+01,1.202581224e+01,5.157960129e+01,2.408138071e+01,3.332170397e+01,4.643141732e+01,8.671811891e+01,4.431390235e+01,5.528319863e+01,3.288985916e+01,5.213484147e+01,1.822964154e+00,7.718462163e+01,9.511639189e+00,8.930877067e+00,1.176995216e+01,4.145121905e+01,6.972765019e+01,2.006644958e+01,2.829598199e+01,2.480824754e+01,9.484929903e+01,9.168994345e+01,4.185945351e+01,2.604640625e+01,7.168643102e+01,3.100756441e+01,3.068492569e+00,4.630471515e+01,6.445816571e+01,3.729532119e+01,5.688890357e+01,7.075817204e+01,5.198963926e+01,2.145277177e+01,9.929624251e+01,5.385450406e+01,8.875623912e+01,7.211468722e+00,7.049620149e+01,3.613822784e+01,1.278570741e+01,9.895297258e+01,9.301596797e+01,6.135197475e+01,1.480898578e+01,5.415369240e+01,6.587620097e+01,1.929615411e+01,2.528233968e+01,6.319223012e+01,3.077334104e+01,5.429998323e+01,8.880622130e+01,1.819235425e+00,4.605767035e+01,8.232544558e+01,5.641834756e+01,8.207836279e+01,5.293204474e+01,5.887480550e+01
9.380158486e+01,4.790183746e+01,1.223130369e+01,7.401071548e+01,1.006352893e+01,3.534585625e+01,1.584973848e+01,9.206142510e+01,1.462540037e+01,2.873882066e+01,6.502659066e+01,1.581221811e+01,1.788274925e+00,6.568938992e+01,3.607742282e+01,9.762816391e+01,2.476475654e+01,1.377393102e+01,9.698263392e+01,9.221444349e+01,2.316563899e-01,2.549383982e+01,1.822293014e+01,6.725234987e+01,7.913909218e+01,8.028935811e+01,8.455486594e+01,4.286407269e+01,8.254894371e+01,3.674733488e+01,1.329733316e+01,8.354766753e+01,3.550408517e+01,5.055003994e+01,5.626912539e+01,2.098620595e+01,6.639124702e+01,4.033213969e+01,4.587405387e+01,3.866953169e+01,3.259259416e-01,3.382478539e+01,6.945193581e+01,5.331468868e+01,5.164096976e+01,4.159788631e+01,8.309196929e+01,2.313246699e+01,2.162862514e+01,4.203233759e+01,6.471562696e+01,8.341759902e+01,3.291184569e-01,4.403872305e+01,9.294797694e+01,3.735665426e+01,9.623642180e+01,6.484822239e+01,6.838703742e+01,1.648706493e+01,8.179890849e+01,9.819852041e+01,4.589440302e+00,9.028392388e+01,1.426905337e+01,8.169789551e+01,2.170248274e+01,9.019647282e+01,1.561683078e+00,1.228524919e+01,4.379184874e+01,7.845576018e+01
2.656285729e+00,3.740281416e+01,3.293874678e+01,6.748034571e+01,5.666981160e+00,3.361476383e+01,4.179174589e+01,1.316268033e+01,7.505337889e+01,8.317681918e+01,7.087121362e+01,4.476039460e+01,8.911823675e+01,4.258173249e+01,1.733413337e+01,7.352978600e+01,7.421317398e+00,3.445436308e+01,5.663140626e+01,8.316203204e+01,9.056567415e+01,1.686255686e+01,7.151026548e+01,9.011610303e+01,9.228743779e+01,8.043319017e+01,7.976432387e+01,7.468205168e+01,5.419584587e+01,6.850203023e+01,6.670319500e+01,2.157950402e+01,5.323504104e+01,6.481971562e+01,3.506916014e+01,5.735241323e+01,5.669427043e+01,3.548366301e+01,4.801644499e+01,2.009297939e+01,9.615826822e+01,9.870920403e+01,8.979360963e+01,3.327993281e+01,4.139134132e+00,6.933192022e+01,9.261793138e+01,9.020063398e+01,3.675229226e+01,7.140214524e+01,6.102115014e+01,4.380858923e+01,1.206064126e+01,7.065829949e+01,1.289269760e+00,2.345789431e+01,6.571386481e+01,9.320935855e+01,1.663145640e+01,2.309645460e+00,3.827822866e+01,1.712615619e+01,1.582250247e+01,9.078940068e+00,5.090584367e+01,7.108294676e+01,9.920885447e+01,7.009203607e+01,2.244062824e+01,4.145062442e+01,3.548870139e+01,2.626447349e+01
3.142261707e+01,8.397151595e+01,9.632526953e+01,2.515513962e+00,1.601510302e+01,5.390895504e+01,9.778217953e+01,4.119683051e+01,8.542578572e+01,5.105803282e+01,6.686887014e+00,8.149818461e+01,2.139019786e+01,2.547019751e+01,3.206639364e+01,7.070026197e+01,6.153652893e+01,9.141428574e+00,2.180689778e+01,4.777149963e+01,8.838345078e+01,8.089841780e+01,5.065672971e+01,8.731196400e+01,9.194083189e+01,8.894979443e+01,3.320659231e+01,7.610945199e+01,1.669468438e+01,9.119792791e+01,8.568922552e+01,7.839783561e+01,7.448921005e+01,7.993718101e+01,9.110339723e+01,1.588669712e+01,9.453122195e+01,9.330614742e+01,6.650079652e+01,1.770263078e+01,5.336893042e+01,5.042526505e+00,9.401371261e+01,1.344760088e+01,8.848803992e+01,2.064908286e+01,8.523736020e+01,8.518768603e+01,4.566029682e+00,4.409678349e+01,7.138648676e+01,1.192892032e+00,4.141770190e+01,5.668481833e+01,1.950357668e+01,3.817868476e+01,7.904475693e+01,8.313306136e+01,3.540182227e+00,2.876485375e+01,5.520874347e+00,7.006968837e+01,3.340519575e+01,9.562364021e+01,9.771992239e+01,6.544263159e+01,4.486780058e+01,8.069538485e+01,9.846633135e+01,9.102084648e+01,7.447471092e+01,2.657972280e+01
1.127235117e+01,4.743343081e+01,7.060551941e+01,4.760856258e+01,8.510060559e+01,1.253137386e+01,4.439915853e+01,5.012338827e+01,6.383768569e+00,2.426073208e+01,9.527109597e+01,2.221330457e+01,8.359220099e+01,7.342468076e+01,5.346511941e+01,3.729145964e+01,4.361463842e+01,6.478120480e+01,2.950920494e+01,9.527019455e+01,4.504074764e+01,7.906093651e+01,1.192572504e+01,4.813677697e+01,3.808432919e+01,6.605883893e+01,9.416978914e+01,4.059777953e+01,8.329665008e+01,7.545315452e+01,4.970498402e+01,5.549781461e+00,4.490000216e+01,5.476619846e+01,7.004802501e+01,7.443343905e+01,8.102740426e+01,3.391743167e+01,9.366921562e-01,9.552786891e+01,1.465503989e+01,5.973337838e+01,8.841439650e+01,2.135325829e+01,9.647982663e+01,2.518537799e+01,9.157634630e+01,3.814143076e+01,4.201639357e+01,9.250920264e+01,5.378151149e+01,4.826305243e+01,8.001680478e+01,7.707409353e+01,4.031573721e+01,5.753550934e+01,1.051301411e+01,5.470529330e+00,4.951242273e+01,2.208127453e+01,2.419097558e+01,9.600861825e+01,8.175051543e+01,7.431003184e+01,8.399392541e+01,9.290207457e+00,1.861932509e+01,8.985800343e+01,8.300548061e+01,1.387774117e+01,7.307635652e+01,1.308753264e+01
2.035413869e+01,1.298740745e+01,9.310242076e+00,3.147546064e+01,4.446872070e+01,4.870567596e+01,8.172518197e+01,6.860524301e+01,5.630656260e+01,9.141326886e+00,5.946585870e+01,4.670591290e+01,3.874611575e+01,2.391476242e+00,3.010686343e+01,8.728606401e+01,5.045252435e-01,2.865660198e+01,1.946953763e+01,4.180667908e+01,2.166254358e+01,8.232607616e+01,6.092494207e+01,4.455673597e+01,3.329676104e+01,5.420263478e+00,3.751164128e+01,6.016485287e+01,3.380386948e+01,6.741503287e+01,9.900175147e+01,1.607289695e+01,7.917942801e+01,3.823984318e+01,2.364293627e+01,1.831549344e+01,4.576719844e+01,5.084080141e+01,7.123976904e+01,3.262887758e+01,5.364704757e+01,8.872917027e+01,9.752199346e+01,1.059271040e+01,4.516847511e+01,8.978914351e+01,7.672791641e+01,4.490565838e+00,4.561408409e+01,9.031244498e+01,5.364747420e+01,1.856065978e+01,6.742378898e+01,3.368331927e+01,6.064678234e+01,8.370202073e+01,9.704872926e+01,2.220617325e+01,5.336859586e+01,8.887025218e+01,7.739743253e+01,7.202293645e+01,1.442986284e+01,1.877122863e+01,4.678814464e+00,3.253576718e+00,9.564004098e+01,2.394767857e+01,8.563003430e+01,2.901421886e+01,2.116485064e+01,3.262108039e+01
7.232598142e+01,7.541021281e+01,9.337796136e+01,2.038993791e+01,9.632043862e+01,5.113727594e+01,1.029965021e+01,2.468247459e+01,6.764005355e+01,8.149281368e+01,2.799345722e+01,1.235373763e+01,9.565191562e+01,7.407395789e+01,1.429351567e+01,4.325227949e+01,7.491620812e+01,9.521753289e+01,8.971868321e+01,7.520000797e+01,3.749781900e+01,1.290130805e+01,1.410668933e+01,2.150939431e+01,5.000477963e+01,7.149038779e+01,4.861179753e+01,1.226056135e+01,6.628032502e+01,4.354726514e+01,3.037409318e+01,3.788718723e+01,1.117763180e+01,9.722765734e+01,6.602585422e+01,7.424414522e+01,2.778931161e+01,3.447489960e+01,8.911869196e+01,7.425617898e+01,6.312941580e+01,3.991417532e+01,2.395274801e+01,6.024108959e+01,4.632723360e+01,5.662825499e+01,1.836966274e+01,2.164394369e+01,1.953583362e+01,4.356633214e+01,9.616680261e+01,7.835885449e+01,7.140810744e+00,5.632503425e+01,3.339063607e+01,7.371987009e+01,2.994793506e+01,2.916496944e+01,7.479148053e+00,4.526554429e+01,9.923948271e+01,1.502954325e+01,2.508161579e+01,7.071766284e+01,1.204002043e+01,6.375541872e+01,9.166091387e+01,3.980822446e+01,4.792453166e+01,1.114815899e+01,6.918116378e+01,5.635266032e-02
2.152836870e+01,7.844739284e+01,3.266678079e+01,7.958597064e+01,3.463236614e+01,1.720719355e+01,6.404118913e+01,8.922088450e+01,4.415916040e+01,9.095148156e+01,5.528648139e+01,8.224665278e+01,3.063358607e+01,8.757205964e+01,6.407966392e+01,2.501218358e+01,2.434668065e+01,5.498338050e+01,6.984647007e+01,5.010573597e+01,1.861528818e+01,1.373087405e+01,9.387449587e+00,3.354126106e+01,8.436436497e+01,3.461922084e+01,4.481638601e+01,9.545656063e+01,7.100082423e+01,2.916677425e+01,2.803476611e+00,8.692282455e+01,1.668070843e+01,9.128734721e+00,9.793271585e+01,5.170803761e-01,4.459216515e+01,1.358431388e+01,8.824847880e+01,4.289048964e+01,3.845249345e+01,9.428979999e+01,2.810727794e+01,1.765832734e+01,4.492047163e+01,8.643671291e+01,8.297537979e+01,1.864339146e+01,2.229384768e+01,5.905703580e+01,5.137122581e+01,4.131459394e+01,3.120334047e+01,7.909448986e+01,8.334132515e+01,5.809909740e+01,9.744655889e+01,2.628623757e+01,4.036871667e+01,6.231011318e+01,1.736877414e+01,6.677298703e+00,7.584301251e+01,3.543959744e+01,5.481269744e+01,7.461029155e+00,9.093096877e+01,6.968528072e+01,9.414885329e+01,9.177108370e+01,7.714591540e+01,8.028878332e+01
1.808617636e+01,7.683056458e+01,7.923727813e+00,3.704131910e+01,9.799672078e-01,9.194862888e+01,2.236733577e+01,3.060062565e+01,2.045350674e+01,2.916376716e+01,4.569977795e+01,7.897968185e+00,3.754801399e+01,3.073440715e+01,8.052619873e+01,5.078708539e+00,5.149849866e+00,9.564039555e-01,8.544229290e+00,4.361942780e+01,9.436998658e+01,7.521172576e+01,7.088852350e+01,9.001089039e+01,3.933271255e+01,7.572319122e+01,8.345954541e+01,2.587744671e+01,6.068246423e+01,4.948664823e+01,2.230994737e+00,2.644139476e+01,5.497163508e+01,2.761015398e+01,1.440786171e+01,4.645206197e+01,5.375469355e-02,4.898376452e+01,4.579113351e+01,7.006795545e+01,9.215266002e+01,2.123073915e+01,6.380669152e+00,9.831620387e+01,3.877837243e+01,6.496595080e+01,1.768289795e+01,1.446414326e+01,5.342493462e+01,8.735193545e+01,9.847098657e+01,8.623414608e+01,9.314689164e+01,8.485749235e+01,3.313203525e+01,3.792507778e+01,7.844757190e+01,2.552477633e+01,1.761711802e+01,4.322476646e+01,9.803215026e+01,5.578015744e+01,3.136209315e+01,8.417940334e+00,7.816917633e+01,4.233023746e+01,3.567349622e+01,3.059388927e+01,3.937087302e+01,5.721457645e+01,9.193083936e+01,2.432384225e+01
3.985108281e+01,7.488474934e+01,5.828307879e+01,1.154969079e+01,5.653884380e+01,8.067492643e+00,6.017511486e+01,6.487739982e+01,2.404124350e+01,3.406731765e+01,5.752701593e+01,9.592501633e+01,1.443348538e+01,3.235836583e+01,6.100672977e+01,4.753670079e+01,4.850994283e+01,3.991073772e+01,5.553057362e+01,5.355258849e+01,8.167526541e+01,4.211411844e+01,1.627844518e+00,2.820286607e+01,1.787886992e+01,8.604432990e+01,2.904061201e+01,5.764717846e+01,5.173520182e+01,9.124820067e+01,5.393649160e+01,4.179196425e+01,3.610755396e+01,9.866903524e+01,5.241302871e+01,3.155417532e+01,3.194778918e+01,8.941336986e+01,2.041639189e+01,5.297397122e+01,7.743030320e+01,3.602296561e+01,8.255439997e+01,5.171791287e+01,3.868594757e+01,7.954748914e+01,9.504120358e+01,4.408730143e+01,7.139041974e+01,4.045287057e+01,8.844251776e+01,2.913420002e+01,5.879793097e+01,1.465548786e+01,5.400363507e+01,3.007985367e+01,5.159196268e+01,4.458846255e+01,1.993188996e+00,1.957703445e+01,4.585913919e+01,3.309380719e+01,7.986725730e+01,4.984328647e+01,6.416448200e+01,2.842572162e+01,9.313067537e+01,3.408622635e+01,7.788299078e+01,9.533560124e+01,1.613376602e+01,5.761835018e+01
