v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73
2.718804649e+01,2.157031419e+00,5.163289366e+01,1.842172976e+01,3.715163389e+01,9.180663501e+01,8.300388460e+01,2.022356527e+01,2.218808620e+01,1.276785115e+01,4.614251288e+01,2.253681856e+01,7.362900167e+00,5.489624878e+01,2.672410874e+01,7.994205172e+01,2.262481337e+01,6.197659370e+00,3.894124971e+01,2.625407997e+01,4.065253286e+01,7.807714601e+00,2.084991899e+01,4.596565539e+01,3.541780622e+01,8.896978814e+01,8.428706123e+01,1.832518541e+01,8.009756016e+01,4.652770538e+01,8.045431926e+01,8.384756273e+01,5.342754041e+00,7.597756260e+01,3.579638276e+01,5.577474691e+01,6.890211971e+01,7.947972523e+01,5.496529441e+01,7.146336018e+01,3.691721078e+01,2.931564757e+01,9.208970072e+01,7.742356237e+01,2.203171829e+01,4.558739702e+01,1.429051887e+01,2.802826210e+00,1.808681665e+01,8.782762103e+01,4.793198613e+01,5.474315808e+01,4.770809783e+01,1.593970672e+01,5.807384722e+01,3.063661493e+01,2.877723932e+01,6.029343618e+01,7.298700605e+01,1.205492809e+01,9.022898825e+01,1.875902706e+01,2.293826392e+00,5.103100262e+01,9.108450738e+01,5.746263447e+01,4.761778567e+01,8.321281623e+01,7.965247304e+00,9.350765895e+01,4.628352906e+01,7.637461860e+01,1.601901000e+01
8.471090488e+01,9.296001857e+01,6.390864984e+01,3.013695907e+01,8.434167437e+01,5.873546814e+01,6.990993854e+01,1.843659370e+01,9.095005396e+01,6.279089071e+00,1.138365844e+01,5.690617676e+00,8.306624919e+01,9.110827362e-01,1.252680399e+01,2.882459538e+01,3.615946085e+01,9.646519631e+01,5.068373318e+01,9.835584444e+01,1.170844323e+01,6.905436152e+01,7.117792627e+00,4.793011341e+01,1.463451844e+01,7.900920146e+01,7.844744902e+01,2.970895956e+01,1.077847560e+00,8.639448202e+00,2.189446492e+01,5.871791437e+01,9.017018492e+01,4.643752589e+01,6.675152920e+01,4.985930209e+01,9.670256594e+01,3.410570864e+01,4.639646793e+01,5.289709798e+01,8.254588380e+01,9.391292186e+00,5.340133938e+01,6.326675266e+01,8.435640206e+01,9.235345951e+01,1.816381684e-01,9.758745323e+01,4.198173653e+01,1.938275682e+01,8.304790100e+01,5.676551618e+01,4.134095147e+01,1.103235690e+01,7.877863376e+01,1.539918935e+01,2.062434325e+01,1.610524689e+01,1.881824583e+01,4.889779107e+01,5.931768637e+01,6.326215909e+01,7.078552469e+01,2.959955469e+01,5.048963696e+01,7.016004464e+01,8.000345416e+01,2.118952983e+01,7.030139667e+01,3.420910262e+01,3.665679710e+01,8.135895771e+01,1.039999035e+01
3.451608224e+01,5.709033411e+01,3.383422789e+01,9.607664527e+00,8.707969347e+01,9.981309492e+01,5.849854248e+01,8.958715595e+01,6.418844483e+00,9.263255783e+01,2.898251580e+00,1.309229354e+00,1.829513024e+01,6.789335157e+01,3.547630945e+01,5.623346588e+01,4.184482447e+01,4.661918095e+01,2.055845806e+01,4.661594042e+01,6.551557622e+01,3.708121667e+01,6.637452576e+01,6.120348321e+01,1.125410045e+01,2.859167918e+01,5.702778527e+01,5.445972541e+01,3.916360582e+00,2.597671475e+01,1.857161648e+01,3.543121678e+01,1.986767947e+01,8.973617437e+01,4.056600549e+01,2.291553718e+01,1.634593517e+01,4.202866879e+01,3.524520517e+01,6.320705806e+00,2.404154243e+01,7.169812621e+01,8.368345728e+01,7.952924756e+01,8.290589683e+00,6.980440508e+01,1.114935662e+01,1.166306739e+01,8.469116363e+01,8.512070467e+01,3.674624007e+01,7.429109422e+01,3.048870448e+01,3.919488630e+01,5.266887459e+01,5.659321172e+01,8.622264443e+00,1.777650069e+01,9.689354573e+01,7.637154806e+01,8.116009028e+01,3.617716426e+01,7.288122250e+01,9.200578457e+01,6.856856976e+01,6.626165648e+01,1.551415238e+01,6.683960598e+01,7.652842212e+01,2.999607120e+01,9.328223369e+01,2.181073297e+01,5.227319232e+01
1.118115523e+01,9.305531366e+01,7.415145491e+01,6.298198614e+01,6.088715795e+01,3.603004030e+01,3.472240497e+01,4.973913867e+00,7.677258138e+01,4.214614282e+01,8.266889113e+01,5.679404672e+01,7.656606676e+01,5.518278595e+01,5.348742544e+01,2.948665799e+00,6.572832165e+01,7.927973399e+01,7.443499356e+01,3.450494363e+00,7.523768506e+01,9.856454474e+01,7.996468457e+01,2.429695998e+01,3.739660605e+01,7.443684581e+01,1.260187358e+01,9.788070736e+01,7.535887386e+01,5.203352411e+01,1.006466893e+01,8.643360977e+01,9.651479422e+01,4.515206576e+01,4.728821128e+01,8.065054003e+01,5.673556909e+01,1.228753275e+01,8.602122660e+00,3.565106981e+01,3.281912974e+01,2.660786068e+01,3.302540542e+00,4.107370631e+00,8.002362465e+01,4.134643702e+01,9.954369860e+01,4.559703046e+01,2.600802480e+01,8.278097798e+01,9.532056378e+01,7.699155820e+01,1.945460736e+01,9.414066603e+01,2.641471220e+01,6.640550315e+01,8.592031285e+00,6.864145791e+01,2.988534840e+01,7.184456733e+01,6.025381570e+01,9.185718465e+01,3.311588484e+01,2.133598978e+01,8.705378058e+01,9.752451760e+01,9.430029655e+01,2.872979367e+01,9.723512931e+01,8.748132951e+01,3.478754548e+01,5.881984498e+01,9.441189815e+01
9.033255661e+01,8.203044215e+01,7.437330099e+01,1.119825847e+01,4.993883917e+01,3.403680433e+00,6.851031633e+01,9.169349573e+01,3.919705505e+01,1.413455443e+01,1.302700824e+01,3.948138154e+01,6.800199099e+01,1.008502288e+01,6.064484022e+01,7.219203657e+01,6.580360278e+01,2.846179232e+01,3.001103671e+01,4.616767686e-01,6.517026278e+01,8.639046750e+01,4.829003545e+01,5.623388606e+00,7.328171592e+01,6.789170517e+01,4.169304579e+01,9.989100809e+01,4.797022010e+01,4.292179481e+01,3.780291877e+01,2.345289977e+01,1.886891187e+00,5.216922955e+01,6.795710805e+01,6.712841143e+01,9.779552799e+01,2.986774968e+01,9.411653730e+01,1.228284219e+00,8.299383711e+00,5.095273389e+01,6.046944280e+01,7.488282239e+01,2.658832417e+01,2.385318087e+01,2.594917186e+01,5.445802830e+00,1.165967315e+01,7.906864277e+01,7.848233651e-01,5.454463113e+01,3.554794828e+01,9.720255459e+01,5.217897722e+01,4.778027849e+01,4.310854319e+01,5.000437225e+00,6.360964665e+01,2.961449095e+00,4.128155931e+00,9.254753037e+01,9.863098908e+01,1.727290328e+01,4.251452311e+01,4.988913028e+01,4.454914172e+01,7.304406527e+00,1.191061518e+01,5.523626715e+01,2.386839533e+01,6.034252910e+01,9.415655787e+01
5.974948399e+01,7.980814830e+01,3.270756654e-01,1.273131650e+01,4.772472233e+01,1.254414602e+01,9.706976698e+01,3.748883766e+01,9.645086385e+01,6.712490606e+00,4.196124243e+01,5.254014349e+01,9.429236014e+01,2.206441639e+01,3.788262498e+01,7.589722360e+01,6.608926044e+01,4.321199010e+01,6.964669682e+01,2.533943240e+01,1.620837830e+01,6.601233800e+01,2.336466631e+01,1.357317113e+01,2.419884419e+01,9.096814722e+01,5.602183656e+01,5.237021497e+01,6.658998735e+01,5.489211398e+01,4.883359538e+01,6.113514172e+01,6.472889389e+01,8.542430169e+01,2.109602422e+00,1.404180875e+01,3.605657144e+01,9.264888850e+01,1.036337416e+01,2.142671630e+01,5.701520432e+01,3.615213605e+01,1.119484794e+00,8.776284607e+01,2.020594778e+01,7.757567846e+00,4.336687999e+01,2.518075644e+00,1.213391102e+01,8.969345086e+01,2.217071198e+01,9.986189026e+01,1.710111998e+01,8.695779235e+01,3.878280899e+01,8.871760686e+01,8.850716340e+01,2.788475375e+01,1.546238684e+01,3.148197073e+01,6.413503888e+01,3.519660195e+01,9.004010559e+01,9.855567692e+01,7.543591975e+01,1.421879915e+01,7.085403859e+01,9.142395791e+01,7.804487251e+01,5.857339755e+01,1.290146181e+01,7.504179013e+01,7.118946043e+00
3.067800096e+00,7.058962622e+01,4.726421261e+01,8.424527140e+01,6.343787250e+01,4.100158234e+01,3.069241511e+01,2.142139695e+01,6.212743349e+01,3.479046952e+01,5.168501243e+01,8.283766216e+01,8.160832320e-01,6.309532590e+01,5.139000754e+01,8.125300668e+01,6.717122980e+01,6.097226021e+01,2.650379501e+01,8.865358362e+01,3.916266157e+01,1.110767004e+00,6.887429745e+01,4.305731075e+01,6.632999718e+00,8.263363394e+01,4.417035541e+01,3.170444534e+01,3.108476965e+01,2.436752822e+01,2.859762177e+01,7.069586818e+01,9.079275517e+01,3.705358260e+01,3.489901516e+01,2.666262254e+01,4.980532541e+01,4.000376828e+01,5.900494538e+01,2.927651843e+01,9.407654875e+01,3.454066133e+01,6.529969036e+01,6.989176237e+01,7.879463892e+00,7.061098842e+01,6.129058009e+01,5.639524549e+01,8.615125099e+01,5.856330187e+01,2.572856171e+01,5.284122646e+01,9.373185562e+01,1.173624253e+01,1.083742771e+01,7.332732187e+01,7.099029496e+01,6.872452761e+01,4.194171408e+00,5.783653050e+01,8.525812595e+01,6.008687184e+01,8.138859165e+01,2.786728177e+01,5.686104352e+01,3.785904869e+01,9.278871871e+01,2.057525220e+01,7.053761077e+01,1.018295934e+01,1.130658280e+01,3.459957638e+01,6.571538452e+00
6.007631265e+01,7.753337086e+01,9.942766007e+01,1.934533564e+01,4.623762438e+01,6.624622908e+01,5.707353207e+01,7.977744879e+01,6.673044581e+00,2.968889817e+01,9.656808853e+01,9.625823525e+01,3.862494394e+01,9.962682859e+01,1.865875079e+01,5.256847876e+01,1.915047925e+01,6.516539121e+01,7.341910473e+01,4.875791477e+01,5.035867922e+01,5.585498000e+01,2.929970727e+01,2.379837661e+01,9.450341986e+01,5.740496053e+01,9.392498328e+01,2.659813389e+01,2.782739990e+01,6.962996549e+01,8.288407490e+01,1.214879061e+01,9.161930812e+01,4.288225286e+01,3.978601731e+01,7.884509113e+01,2.069435698e+01,3.533178550e+01,7.174429225e+01,1.820399792e+00,1.986508252e+01,5.872512524e+00,9.044404567e+01,9.133074693e+01,8.749203029e+01,5.857764351e+01,1.612313670e+01,6.065995605e+01,2.065548302e+01,5.757384336e+01,7.446713125e+01,4.794169768e+01,7.184049572e+01,8.906653754e+01,4.182880235e+01,3.580898425e+00,3.464483680e+01,9.525166787e+01,8.901506059e+01,5.613332140e+01,7.055162692e+01,2.433968541e+01,4.419790402e+01,8.030942698e+01,2.912647362e+01,9.092767113e+00,7.858261352e+01,3.597395272e+01,2.311639643e+01,1.358920490e+01,2.540551533e+01,2.655442165e+01,5.038659988e+01
4.439010233e+01,1.170957062e+01,5.685300201e+01,8.273484394e+00,7.345824280e+01,9.645588616e+01,7.325231818e+00,9.352359904e+01,1.375477600e+00,9.854542732e+01,4.915825891e+01,9.512867093e+01,5.985692878e+00,3.386878961e+01,8.854002024e+01,2.754334151e+01,3.749990295e+00,6.971668240e+01,9.631063658e+01,5.696870327e+01,3.396453435e+01,2.626624395e+01,5.035846827e+01,2.440384419e+00,9.857686164e+01,2.685763066e+01,1.864730262e+01,6.461173170e+01,3.327261603e+01,2.947944388e+01,9.333174963e+01,2.144228534e+01,7.100756270e+01,5.129598699e+01,3.974629640e+00,4.798543160e+01,4.991007445e+01,1.293227726e+00,2.031471375e+01,9.617430482e+01,5.167914977e+01,3.293123398e+00,7.362027983e+01,2.029557292e+01,4.441182011e+01,2.230848373e+01,6.890346431e+01,6.919326004e+01,5.775518296e+01,1.038834562e+01,1.678451127e+01,4.894707187e+01,7.383584356e+01,9.892971361e+01,9.277309948e+01,6.128163929e+01,9.312238023e+01,9.031856963e+01,3.948991101e+01,2.232836264e+01,4.723878605e+00,4.385328188e+01,6.020174094e+01,8.918560318e+00,9.999220213e+01,7.898293076e+01,5.958362493e+01,4.722987756e+00,3.285146170e+01,8.186777118e+01,3.563450238e+01,4.557885979e+01,4.690364413e+00
9.537575255e+01,9.477586847e+01,9.856323309e+01,6.315845136e+01,2.037729815e+01,4.382611750e+00,9.291678971e+01,6.411341803e+01,2.567791942e+01,1.497009057e+00,5.182116081e+00,4.152533671e+01,7.647790770e+01,8.721026232e+01,3.252865355e+01,3.865423444e+01,4.266616011e+01,4.577354497e+00,3.472910646e+01,7.502246342e+00,5.012277509e+01,5.843791991e+01,8.938696795e+01,7.619708731e+01,8.069102480e+01,1.673045323e+01,4.622165918e+01,3.676198934e+01,8.513598161e+01,8.568071591e+00,8.695403823e+01,1.858692718e+01,5.387303545e+01,3.223209255e+01,9.241598513e+01,8.023902428e+01,2.954736968e+01,5.698714769e+01,3.780407085e+01,5.218614275e+01,1.494470610e+01,8.695724816e+01,2.673413765e+01,7.752805763e+01,2.513893606e+01,7.798870271e+01,2.351859281e+01,3.937738878e+01,3.791138359e+01,7.842284322e+01,8.779636200e+01,8.080905624e+01,4.748287921e+01,4.259859671e+01,3.212328687e+01,2.272924637e+01,4.207584126e+01,4.044847257e+01,7.094823750e+00,9.954128972e+01,5.703630643e+01,2.440592714e+00,9.210741283e+01,1.196568893e+01,4.287198438e+01,9.633433989e+01,9.921501238e+01,2.222163403e+01,7.566773193e+01,6.066476071e+01,5.025547630e+01,6.193233162e+01,3.945652534e+01
3.619764867e+01,8.583189369e+01,9.159443564e+01,1.319368830e+01,4.769412555e+01,6.972397095e+01,5.038467608e+01,8.007330432e+01,1.972484207e+01,1.948684595e+01,3.860556190e+01,6.085894083e-01,6.924376006e+01,8.944594377e+01,6.613891576e+01,5.924150590e+01,4.734040655e+01,3.435874985e+01,6.662676707e+01,2.138269779e+01,3.064721698e+01,5.267802907e+01,1.613516282e+01,5.716842465e+01,6.928868405e+00,7.262790095e+01,4.403070461e+01,5.554503850e+01,2.774872961e+01,9.339977569e+01,5.894102907e+01,6.916445522e+01,8.599847028e+01,4.414115011e+01,5.285424774e+01,7.340069311e+01,1.453323051e+01,7.864298849e+01,7.813412482e+01,7.384030854e+01,1.592976034e+01,1.009859178e+01,9.486977442e-01,7.410811309e+01,2.158615763e+01,7.894917212e+00,9.041891330e+01,6.668366697e+01,9.364907408e+01,4.394643979e+01,8.659597498e+01,9.843537543e+01,5.785375106e+01,2.886547400e+01,7.672709392e+01,4.883662508e+01,1.943423691e+01,9.022913706e+01,6.112632308e+01,6.754897665e+01,6.730925942e+01,6.384302899e+01,5.604189341e+01,3.977955835e+01,4.194086530e+01,5.476441104e+01,4.143999288e+01,2.282273906e+01,9.486246008e+01,4.103271917e+01,7.381092278e+01,1.410227047e+01,4.458327448e+01
1.610760774e+01,6.638096006e+01,1.498440889e+01,8.116460328e+01,7.695873887e+01,3.451068324e+01,5.066395703e+01,7.417035066e+01,4.268351204e+00,8.913084330e+01,7.496582633e+01,5.529723409e+01,2.712850733e+01,5.883173716e+01,7.450357787e+01,3.875999937e+01,3.262060238e+01,7.897033861e+01,9.243114242e+01,6.022672756e+01,6.005153834e+01,1.888155377e+01,5.614008380e+01,1.590359141e+01,1.366521045e+01,3.868666383e+01,4.827333440e+01,8.711201740e+01,1.872497901e+01,3.750859234e+01,7.082688525e+01,5.655206638e+01,3.715631499e+01,4.393411734e+01,2.428874765e+01,1.618465409e+01,5.377201412e+01,7.559399719e+01,6.173362791e+01,8.592543333e+01,7.893135253e+01,3.965740360e+01,2.887867987e+01,3.162167263e+00,4.031558895e+01,3.367484931e+01,8.789676262e+00,4.864607330e+01,2.413483063e+01,8.389108029e+01,4.234701339e+01,6.015128529e+01,3.108090848e+01,2.562303796e+01,3.197636244e+01,7.074597663e+01,6.771058183e+01,3.446488491e+01,4.626571792e+01,8.147293341e+01,4.173952901e+01,4.938550936e+01,9.338731606e+01,6.675110947e+01,3.193239491e+01,9.061054402e+01,6.575807067e+01,5.341096300e+01,1.920439072e+01,6.403653489e+01,4.781473594e+01,3.236217152e+01,5.654501930e+01
