v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74
5.797917687e+00,7.235171466e+01,9.302213686e+01,9.137492642e+01,5.898390970e+00,8.890778701e+01,2.859176352e+01,3.525208854e+01,6.252428474e+00,4.607912999e+01,3.391309240e+01,8.500870347e+01,7.226800713e+01,1.135709866e+00,1.139253610e+01,9.945517929e+01,4.035533953e+01,6.814175130e+01,8.376124152e+01,8.290024398e+01,4.795260442e+01,8.487915188e+01,5.543916553e+01,2.345814054e+01,2.000312885e+01,6.110652794e+01,7.059459113e+01,6.246166557e+01,8.242909754e+01,1.540833119e+01,2.296535388e+01,2.359862251e+01,2.492980413e+00,2.509882019e+01,7.179073619e+01,3.657911351e+01,9.332468966e+01,2.831847798e+01,5.503312442e+01,2.976247256e+01,7.130723023e+01,9.177249705e+01,6.754892112e+01,3.620304293e+01,2.493067076e+00,3.240177743e+01,7.770876234e+01,3.343755812e+01,9.556987987e+01,2.448354510e+01,6.778895380e+01,1.464147576e+00,8.252453798e+01,7.003934336e+01,4.852114668e+01,6.820484800e+01,7.701782896e+01,7.589090310e+00,9.663539334e+01,6.331454851e+00,3.508240883e+01,8.965374740e+01,6.561844972e+00,8.637299327e+00,2.678028673e+01,6.361706731e+01,9.099498656e+01,3.750565067e+01,5.667113015e+01,6.176796099e+01,4.387208534e+01,9.179429207e+01,2.947861254e+01,8.721626708e+01
1.671671998e+01,3.798792632e+01,7.781331433e+01,7.240780099e+01,6.489090350e+01,3.056982194e+01,5.470441021e+00,7.979489697e+01,6.181143051e+01,8.080289343e+01,7.475070635e+01,8.454598622e+01,3.256718488e+01,5.665153790e+01,1.572638464e+01,2.300213313e+01,2.041821736e+01,3.330491900e+01,8.412765623e+01,3.432832888e+01,5.874501362e+01,9.044128561e+01,4.748713207e+01,5.222129421e+00,6.781065791e+01,5.204899499e+00,1.893572781e+01,6.374841551e+01,3.490007297e+01,8.194439617e+01,3.171089938e+01,6.173930991e+01,3.162670864e+01,5.194801778e+01,8.818328595e+01,6.377777363e+01,7.020855596e+01,8.608769214e+01,6.336333198e+01,3.014908967e+01,3.446230745e+00,6.479319252e+01,4.389272375e+01,4.610994943e+01,9.104644874e+01,4.991220841e+01,6.207639431e+01,2.592503231e+00,3.245359677e+01,2.922005105e+01,1.670782977e+01,2.331939543e+01,5.747124638e+01,4.699896408e+01,8.149861822e+00,8.496752285e+01,5.080250484e+01,9.370981581e+01,5.734962076e+00,3.282492712e+01,4.575743730e+01,3.095311803e+01,9.428210434e+01,7.206294427e+01,5.011810340e+01,7.049966983e+01,9.015993368e+01,5.614695728e+01,4.634678223e+01,9.306083208e+01,5.256591646e+01,9.018766413e+01,5.694097556e+00,4.642733139e+01
5.223835234e+01,5.446144413e+01,3.474686504e+01,1.073469685e+01,1.825573653e+01,6.867382894e+01,2.550760930e+01,2.063948375e+01,7.800585913e+01,4.972444467e+01,2.906045310e+01,5.901570927e+01,9.080845778e+01,9.984455097e+01,8.286094495e+00,9.528113594e+01,5.390157144e+00,3.789906276e+01,9.925365161e+01,9.336565706e+01,7.816676342e+01,7.156346833e+01,1.575158541e+01,9.540948600e+01,7.249682328e+01,9.963456114e+01,8.234956605e+01,8.314575655e+01,4.449530122e+01,7.789641216e+01,2.957440469e+01,3.667316388e-01,1.861806777e+01,1.556002846e+01,4.914256096e+00,5.955062637e+01,1.639871374e+01,5.203422751e+01,6.490007938e+01,7.780198867e+01,4.325222396e+01,7.307479625e+01,2.971296676e+01,8.267934351e+01,6.580872883e+00,1.014110358e+01,4.237665940e+01,4.453583729e+01,2.267723947e+01,9.257409488e+01,3.421929525e+01,8.441160725e+01,7.812749172e+01,5.578662634e+01,8.649796161e+01,4.701515183e+01,6.722256634e+01,8.621834252e+00,4.662219467e+01,3.278681891e+00,5.565110183e+01,4.842429209e+01,1.615649105e+00,3.843283206e+01,1.801843482e+01,3.039268614e+01,8.535193064e+01,9.236884404e+01,7.523266316e+01,8.387416580e+00,7.627708152e+01,7.141872730e+01,5.758412401e+01,3.851598011e+00
2.874377710e+01,2.985942736e+01,3.733077984e+01,4.109951516e+00,5.306101529e+00,6.695702742e+01,1.566589897e+01,9.487328513e+01,3.698612629e+01,4.174174180e+01,1.985840035e+01,1.383641169e+01,3.913779454e+01,7.860323943e+01,8.408529689e+01,6.194962043e+01,8.542548731e+01,8.451058335e+01,4.859704896e+01,7.971693372e+01,9.196919937e+01,2.397116980e+00,8.736637788e+01,6.914969729e+01,3.558667608e+01,5.585413933e+01,5.856691801e+00,5.860498447e+01,5.953724678e+01,4.267416761e+01,1.758300708e+01,9.803965399e+01,5.510724091e+01,1.444891005e+01,1.657257920e+01,5.627507907e+01,9.978033976e+01,6.321425454e+01,4.085758393e+01,8.651524297e+01,4.069180248e+01,5.387584734e+01,7.555120229e+00,3.965882214e+01,1.832444092e+01,3.006209462e+01,1.963843999e+01,1.824441825e+01,7.894563106e+01,3.897734196e+01,7.699081028e+00,6.793496175e+00,4.341174925e+01,9.779364600e+01,6.455431787e+01,5.370491537e+01,2.302551777e+01,9.226354730e+01,8.131437890e+01,3.434450319e+01,2.631413507e+01,6.229536989e+01,7.975318868e+01,1.986399436e+01,4.011201404e+01,3.285561213e+01,8.992450622e+01,7.789398317e+00,6.914661643e+01,9.356737568e+01,8.454807459e+01,9.671588173e+01,2.815964145e+01,4.281511614e+01
2.826168135e+01,6.401420027e+01,9.755837860e+01,5.827320288e+01,4.190717984e+00,4.125059417e+01,1.032020428e+01,6.369008347e+01,3.887365733e+01,4.782218681e+01,4.887908952e+01,5.553086544e+01,7.704747494e+01,9.921831842e+01,1.143094401e+01,1.743866907e+01,2.074374062e+00,5.551621034e+01,2.875945933e+01,7.238446648e+01,3.680757120e+01,7.467216124e+01,5.444191910e+01,6.337336848e+00,2.257715270e+01,6.188889502e+01,3.435541961e+00,3.670252842e+01,2.369923925e+01,4.122948821e+01,1.042014504e+01,2.704400224e+01,1.523386700e+01,9.797336312e+01,6.386539708e+01,5.288757596e+01,4.539252961e+01,9.760775270e+01,9.049752122e+01,3.481389648e+00,6.361051757e+01,9.802095135e+01,8.598971272e+01,9.116185824e+01,7.261967357e+01,4.558160726e+01,7.368232232e+01,4.122980788e+01,1.862937728e+01,1.508243809e+01,5.684563116e+00,3.786423479e+01,7.317964216e+01,6.456511197e+01,8.657021006e+01,8.672643572e+01,7.803650507e+01,7.761169529e+01,2.280985345e+01,1.897965093e+01,4.484824935e+01,1.851307139e+01,8.932254188e+01,3.421919348e+01,1.877564798e+01,1.783251952e+01,2.880838766e+01,8.282803479e+01,9.476900156e-01,5.563441953e+01,9.853659571e+01,1.936015983e+01,7.258091182e+01,1.475560061e+01
5.181521280e+01,1.344915797e+01,5.668853000e+01,1.804148496e+01,1.203915523e+01,4.106217827e+01,4.544300203e+01,1.050944105e+01,1.442435919e+01,3.550768907e+01,7.367590812e+00,6.781619085e+01,6.291555387e+01,9.688252248e+01,6.208390760e+01,8.655705028e+01,5.220552007e+01,1.500209853e+01,7.419864286e+01,6.025312356e+01,1.724776135e+01,3.748279582e+01,9.834939241e+01,9.562572520e+01,3.108758847e+01,8.383941572e+01,8.247187859e+00,7.442570864e+01,1.750131576e+01,1.476905588e+01,4.570606968e+01,8.872595699e+01,6.532931832e+01,4.762801960e+01,9.652272072e+01,4.252584580e+00,7.671774225e+01,4.495819456e+00,2.336773503e+00,8.031212346e+01,6.897581202e+01,9.080806374e+01,8.030314852e+01,8.390537175e+01,2.538946277e+01,6.021180788e+01,8.831164728e+01,3.682907586e+01,5.630872522e+01,1.346783111e+01,7.433964335e+01,2.631559258e+01,9.078723451e+01,4.247018104e+01,5.728685644e+00,8.736988642e+01,1.491675687e+01,1.137097471e+01,3.515889861e+00,3.102617534e+01,1.076513496e+01,9.148142638e+01,1.757435583e+01,1.846875890e+01,1.242072126e+00,6.155868735e+01,4.402982530e+01,8.185145129e+01,8.647452787e+01,7.793423069e+01,4.450312381e+01,2.571602631e+01,1.675801805e+01,4.504732130e+01
9.390665712e+00,9.946617240e+01,6.253275094e+01,9.247551905e+01,3.736543309e+01,4.307120836e+01,7.658592236e+01,7.954354595e+01,8.853514848e+01,4.948711372e+01,8.873349262e+01,6.958032733e+01,1.081065163e+01,2.271636829e+01,7.667513186e+01,9.330671558e+01,1.073146059e+01,2.415195659e+01,8.936446727e+01,3.518057286e+01,2.417811120e+01,9.006398915e+01,7.894517971e+01,9.186167703e+00,5.392894101e+01,5.326203017e+01,5.601697070e+01,9.031199121e+01,8.520968289e+01,5.101420413e+01,2.980583649e+01,3.410662012e+01,6.616952451e+01,3.683146324e+01,7.308293765e+01,4.679350705e+01,6.741565041e+00,5.577861132e+00,9.495299145e+01,4.822873730e+01,4.444876319e+01,3.178077945e+01,6.438497819e+01,3.871532401e+01,8.776660432e+01,9.841512549e+01,5.396876710e+00,1.475129133e+01,2.210685421e+01,7.627809461e+01,6.543988027e+01,2.419525791e+01,9.539578324e+01,7.747090885e+01,3.182540242e+01,6.195894600e+01,9.951703809e+01,4.503694007e+01,1.652508399e+00,1.532548615e+01,3.460101509e+01,8.615272167e+01,8.279579184e+01,2.886165726e+01,9.261099994e+01,6.451113142e+01,7.743734238e+01,4.612371822e+01,7.914947921e+01,3.158663725e+01,5.606189483e+01,3.306040073e+01,1.059783773e+00,7.384578120e+01
2.453293337e+01,9.362580523e+01,8.211274112e+01,1.994379649e+01,7.491537393e+00,8.332977146e+01,2.104217879e+01,3.300177841e+01,9.992009657e+00,1.037206700e+01,1.909374121e+01,2.372028756e+01,4.364417321e+01,7.524914550e+01,5.324993400e+01,3.532618046e+01,3.435455657e+00,1.392486194e+01,8.480588793e+01,2.278894147e+01,5.208451450e+01,8.837941493e+01,7.279484999e+01,7.839866255e+01,5.309051730e+01,9.569164589e+01,4.197441200e+00,4.504026957e+01,9.036717392e+01,4.197553249e+01,8.016564545e+01,9.961124489e+01,9.407416103e+01,7.408205774e+01,5.167724606e+01,5.810545631e+01,1.862861681e+01,3.743254810e+01,1.105641976e+01,3.177708474e+01,7.125995136e+01,9.510561488e+01,3.518182485e+01,8.617522955e+01,1.882188173e+01,2.784242598e+01,7.425616042e+01,2.280906521e+01,4.488730969e+01,7.597551921e+00,8.940111117e+01,1.260996270e+01,9.618192431e+01,4.817207548e+01,1.868095275e+01,8.935853317e+01,6.749118958e+00,8.762398859e+01,7.932370630e+01,1.553810062e+01,7.456231627e+01,8.659842768e+01,2.034396599e+01,2.226746875e+01,1.977105911e+01,2.293950444e+01,2.157304657e+01,6.515673067e+01,2.258197497e+01,2.369104432e+01,6.570194847e-01,5.845016093e+01,1.862138089e+01,1.975601315e+01
7.313610525e+01,1.076845515e+01,7.627881233e+00,4.442995540e+01,8.685468877e+01,9.483158722e+01,1.395131137e+01,9.147224585e+01,4.948985147e+01,8.354374477e+00,4.898336612e+01,4.950478297e+01,3.024312055e+01,2.877166576e+01,7.193308525e+01,5.419643233e+01,6.704084430e+01,3.904178788e+01,1.192835075e+01,9.417531708e+01,5.701818701e+01,6.931675402e+01,2.231367652e+01,8.773634820e+01,8.797301789e+01,8.415588908e+01,6.586225196e+00,5.206621204e+01,3.227993147e+00,8.822130778e+01,8.118964682e+01,5.083160943e+01,6.902347945e+01,2.023124093e+01,9.586560696e+01,9.233574906e+01,8.067679399e+01,3.857283075e+01,8.857460516e+01,5.997958671e+01,9.707946695e+01,1.724330111e+01,2.599165594e+01,8.119995880e+00,7.515664079e+01,4.453624364e+01,8.318225058e+01,5.574651391e+01,7.137475611e+00,3.855560978e+01,5.409813796e+01,6.745608046e+01,2.766861070e+01,5.096293147e+01,7.605275421e+00,6.138535095e+01,9.125285420e+01,9.970239051e+01,1.895137205e+01,3.073727405e+01,3.954024940e+00,7.660002237e+01,2.242965244e+01,8.519267317e+01,7.807916167e+01,1.740587972e+01,2.902135386e+01,7.242768100e-01,3.030599594e+00,7.165412921e+01,2.517034000e+00,9.733757687e+01,6.928722699e+00,6.673721625e+01
3.401613716e+00,5.196526345e+01,6.019060040e+01,6.357691153e+00,1.612877878e+01,1.798209172e+01,7.846369893e+01,1.911214447e+00,4.134784182e+00,9.982199439e+01,1.238477426e+01,3.544518034e+00,6.167838228e+01,6.423285448e+01,8.039840064e+01,3.229666720e+01,3.075431399e+01,1.130029726e+01,3.211050732e+01,1.734313372e+01,5.593833695e+01,6.507194822e+00,6.195493081e+01,8.550416828e+01,3.709977707e+01,6.736478323e+01,7.919055640e+01,7.935978687e+01,8.896421414e+00,3.878078759e+01,8.829169966e+01,5.515265263e+01,1.376984354e+01,5.171251600e+01,2.670306468e+01,3.710853421e+01,9.785294672e+01,7.936086897e+01,9.719291653e+01,2.160052463e+01,1.694310183e+01,1.387237891e+00,9.837925348e+01,1.039229728e+01,2.933221853e-01,2.708288863e+01,2.385391060e+01,2.533335687e+01,2.754323712e+01,3.869904724e+01,3.595994526e+01,1.512204481e+01,1.757401039e+01,2.333382970e+01,2.621059905e+01,9.313380137e+01,8.724876748e+01,8.829703564e+01,2.639003712e-01,6.574698851e+01,6.469101371e+01,9.268907993e+01,4.508058480e+01,8.109357498e+01,8.925576906e+01,7.510112991e+01,7.688302342e+01,9.648267630e+01,5.706965542e+01,1.605475296e+01,2.150365980e+01,5.092527839e+01,5.408495038e+01,9.916355653e+00
