v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75
9.548763424e+01,4.787936472e+00,2.035248561e+01,6.814399963e+01,6.561337087e+01,8.943641985e+01,7.443862828e+01,3.971191668e+01,4.319902760e+01,7.823062051e+01,6.831202836e+01,4.594796749e+01,1.710598757e+01,4.952579369e+01,9.605966297e+01,2.865863200e+01,1.078318794e+01,4.686924028e+01,7.350586944e+01,5.106586491e+01,3.056277956e+01,1.900938246e+01,6.604455458e+01,1.147248010e+00,3.678609005e+01,8.518376717e+01,6.683076281e+01,8.549367023e+01,8.118116004e+00,9.035446368e+01,4.626967438e+01,1.193425354e+01,7.859684129e+01,7.063044302e+01,4.896302346e+01,3.602116251e+01,6.360750287e+01,2.077404198e+01,3.744882526e+01,8.000645555e+01,3.818771804e+01,8.426331549e+01,8.054260492e+00,3.490360514e+01,9.522624899e+01,5.966543184e+01,8.269747012e+01,4.245491730e+01,7.318296085e+01,7.241688575e+01,8.679755785e+01,3.779756831e+01,4.517752564e+01,6.212616451e+01,5.387419458e+01,9.332404743e+01,5.187391476e+01,3.848163753e+01,6.423518844e+01,3.746198559e+01,4.925496869e+01,3.651618836e+00,3.510900310e+01,8.276107341e+01,7.367266359e+01,6.546833264e-02,4.164611938e+01,2.009052728e+01,1.926964211e+01,5.361172608e+01,5.824604952e+01,2.255277966e+01,5.326851327e+01,7.489158757e+01,9.162190346e+01
4.207179676e+01,2.208194380e+01,1.428592480e+01,2.254183854e+01,7.413169165e+01,2.504796042e+01,9.409744518e+00,2.544195607e+00,3.694668248e+01,5.403632622e+00,1.549818375e+01,3.618978580e+01,4.755593147e+01,5.465700463e+01,3.367985658e+01,9.195251594e+01,6.636816922e+01,7.672734564e+01,9.709476727e+01,2.924258037e+01,9.625279472e+01,6.720953625e+01,2.649313621e+00,4.533573734e+00,8.820640660e+01,4.303560765e+00,3.620633216e+01,6.686810341e+00,6.206692963e+01,3.941780954e+01,5.825905555e+00,5.247772812e+01,4.197640055e+01,5.562909954e+01,3.660948979e+01,2.162922060e+01,4.643636747e+01,2.976216701e+01,7.843278001e+01,2.600740676e+00,6.072211531e+01,5.669483907e+01,2.958133605e+01,9.526840123e+01,3.367146502e+01,1.059773754e+01,9.475561080e+01,9.780235248e+01,3.093382235e+01,1.230857527e+01,9.139383079e+01,6.282587274e+01,5.369963545e+01,8.509306380e+01,6.357635166e+01,7.004383324e+01,4.827343950e+01,4.437556725e+01,2.087022752e+01,7.972697723e+01,3.047721558e+01,4.118380018e+00,8.167678915e+01,1.187510177e+01,9.651883799e+01,8.789667918e+01,8.838715876e+01,9.246299914e+00,3.978468757e+01,6.355827302e+01,8.086154832e+01,4.932443632e+00,3.800458366e+01,6.301152150e+01,5.964160955e+01
4.713775006e+01,3.557744809e+01,1.426550133e+00,2.034241133e+01,8.968735963e+01,7.718407541e+01,7.417059835e+01,9.854054070e+00,5.841452442e+01,4.143633728e+01,6.921739863e+01,4.525083808e+01,7.610997840e+01,5.311876760e+01,3.236998147e+01,1.944725709e+01,4.099861117e+01,5.224792490e+01,7.006014422e+01,3.093090721e+01,9.794199109e+01,1.341851342e+01,8.905119949e+01,2.619405433e+01,6.706153079e+01,8.378929766e+01,7.839206517e+01,6.074872243e+01,2.815856501e+01,7.857487718e+01,9.505402848e+01,4.610547963e+01,1.604580160e+01,2.225200509e+01,3.326076295e+01,9.072589390e+01,3.520358826e+01,8.812231401e+01,5.194718064e+01,2.580559647e+00,4.637001053e+01,7.096638568e+01,8.289184623e+01,2.720628853e+01,7.813020068e+01,4.208407903e+01,8.924447954e+01,5.686463478e+01,5.921258266e+01,5.438468091e+01,7.974108934e+01,6.276498753e+00,9.772834829e+01,2.499366868e+01,3.194723273e+01,8.801340852e+01,6.912514669e+01,6.951320230e+01,5.251619196e+01,9.174740226e+01,1.320698616e+01,9.488387304e+01,5.691525971e+01,7.419485248e+01,5.885757945e+01,3.261500413e+01,8.030493324e+01,5.378576821e+01,2.313486510e+01,6.068728268e+01,3.997302756e+01,4.360506007e+00,7.724393218e+01,5.282737996e+01,1.298755575e+01
9.811460952e+01,9.380252530e+01,7.767820939e+01,7.125887441e+01,5.146607654e+01,8.069842103e+01,4.895077242e+01,3.705697968e+01,8.863382090e+01,2.453561021e+01,6.362329993e+01,3.775786012e+01,4.597136430e+01,6.163605630e+01,2.499783199e+01,1.249874867e+01,1.094648576e+00,5.185900598e+01,5.752110491e+01,9.410300299e+01,2.935693934e+01,9.721662893e+01,5.914694287e+01,5.631774111e+01,9.879282277e+01,4.282461712e+01,1.380202826e+01,1.509266172e+01,4.470180401e+01,7.367049243e+01,8.846563166e+01,5.764372351e+01,4.592872769e+01,8.116130758e+01,5.845303567e+01,7.505683021e+01,9.464656139e+01,6.952467589e+00,7.747152185e+01,7.546013165e+01,3.122404353e+01,1.534067805e+01,7.242241968e+01,7.208205119e+01,6.286176519e+01,7.627147241e+01,8.161179995e+01,6.282804098e+01,4.236269491e+01,5.987671939e+01,2.186712414e+01,2.150798283e+01,4.351071742e+01,2.667816550e+01,5.798521874e+01,2.815865948e+01,7.220482994e+01,4.963481772e+01,8.302618083e+01,9.414276999e+01,6.298863652e+01,4.000532094e+01,2.045937763e+00,6.474072547e+01,9.207589569e+01,4.898429122e+01,5.170583748e+01,2.776224185e+01,8.992080765e+01,1.044264406e+01,2.388611051e+01,2.919420169e+01,1.351523474e+00,4.860916742e+01,7.942414174e+01
8.729230420e+01,3.720178007e+01,4.683808431e+01,3.309050702e+01,5.824131578e+01,3.603200080e+00,2.887865055e+01,7.857544499e+01,9.914784176e+01,2.791875516e+01,8.790112430e+01,2.815728373e+01,6.705504111e+01,5.086404989e+00,2.414957874e+01,7.804595651e+01,4.300733482e+01,5.481498307e+01,9.473062580e+01,2.339078156e+01,9.362625416e+01,8.823251049e+01,9.332412185e+01,2.036246425e+01,9.910049773e+01,1.372994695e+01,3.121521292e+01,8.436630806e+00,4.145296798e+00,8.029418899e+01,3.271087224e+01,4.749717009e+00,8.608858136e+01,2.129397554e+01,5.433076747e+01,8.707899261e+00,8.460330856e+01,3.763904779e+01,6.429313141e+01,7.484925658e+01,1.546690068e+01,7.597646643e+01,7.392364952e+01,5.933373298e+01,6.237338320e+01,7.859818027e+00,7.922329108e+01,5.615976241e+01,2.883968884e+01,8.502385106e+01,6.805285850e+01,6.161674062e+01,9.312122711e+01,3.936658701e+01,9.667692826e+01,7.195039320e+01,1.122147872e+01,2.335311686e+01,3.063703872e+01,5.090757360e+01,8.852031223e+01,4.537439367e+01,8.716309544e+01,4.412774050e+01,9.721457795e+01,2.252306619e+01,4.636097497e+01,5.766381992e+01,2.410289154e+01,1.228397586e+01,3.842588815e+01,1.820459861e+01,9.994999653e+00,2.472451513e+01,2.847545124e+01
2.293228481e+01,2.527509604e+01,5.122103105e+01,2.669329089e+01,4.952151155e+01,8.824985671e+01,1.269640189e+01,4.037102491e+00,3.440464188e+01,7.649590534e+01,3.778273457e+01,3.107955232e+01,2.982570608e+00,6.417435977e+01,5.957933439e+01,4.975673649e+01,2.168364993e+00,5.741133523e+01,8.471546030e+01,9.919373392e+01,9.405808735e+01,8.325302909e+01,1.068720015e+01,7.181601301e+01,5.965293561e+01,4.658359415e+01,1.183390122e+01,4.042977776e+01,6.399318102e+01,4.519788101e+01,5.399930117e+01,8.392200495e+01,3.420613224e+01,3.591545903e+01,8.801902768e+01,7.204673159e+01,4.017504187e+01,1.491199004e+01,5.845788539e+01,8.281155318e+01,4.340685540e+01,4.283513858e+01,3.720375302e+01,1.556729627e+01,5.034927245e+01,6.698824191e+01,4.773449693e+01,5.842725635e+01,5.554442449e+01,6.100980815e+01,1.184710471e+00,5.058276962e+01,2.259056146e+01,8.549514302e+00,3.693132914e+01,4.134830852e+01,8.184929308e+01,3.833875995e+01,4.467285132e+01,5.903071520e+01,7.366459086e+01,7.289265059e+01,1.007564320e+01,7.324561581e+01,3.418680246e+01,7.433662509e+00,7.647948568e+01,7.859198591e+01,1.751093687e+01,8.733772015e+01,9.274326571e+01,5.026107314e+00,9.266934195e+01,5.721143233e+01,6.074524588e+01
7.080210638e+01,5.298051530e+01,5.046384828e+01,7.095440709e+01,4.449650461e+01,9.594935100e+01,1.021000330e+01,8.037204999e+01,9.784264214e+00,8.027819611e+00,5.705626088e+01,4.264428343e+01,2.333679563e+00,9.631436925e+01,8.035039239e+01,5.942480182e+01,5.735605336e+01,8.610186570e+00,4.941874911e+01,4.739074891e+01,7.252292129e+00,6.650452971e+00,9.896214225e+01,7.053608996e+01,2.870803187e+00,8.435959740e+01,1.067258889e+01,2.141921840e+01,7.060481783e+01,1.721364095e+01,1.239141388e+01,4.873399892e+01,2.056099327e+01,6.354605323e+01,2.240005563e+01,8.206253280e+01,2.926535849e+01,1.918342044e+01,3.707242851e+01,4.999388442e+01,7.767117832e+01,6.094941815e+01,8.134456671e+01,3.716570776e+01,1.512933494e+01,7.722135813e+01,9.771122386e+01,7.145844103e+00,9.786575653e+01,6.751956507e+01,3.782707124e+01,4.402007248e+01,2.582462647e+01,3.895986620e+01,7.239978971e+01,8.152151026e+01,5.384857247e+01,2.948922010e+01,9.576807384e+01,3.430829526e+01,1.767854198e+01,1.743595281e+01,6.076750165e+01,7.408949120e+01,9.508069715e+01,3.846461510e+01,1.732956631e+01,2.102049062e+01,8.670060710e+01,4.280780463e+00,9.062380121e+01,8.822792498e+01,2.168725408e+01,9.467656515e+01,8.389242096e+01
5.512541509e+01,2.112693050e+01,3.261289735e+01,6.303548299e+01,5.745447340e+01,4.244232795e+01,3.109411063e+00,8.327634068e+01,9.163014173e+01,3.903468267e+01,4.783678706e+01,7.635008897e+01,3.077212237e+01,7.179546639e+01,6.735258698e+01,5.849213794e+01,7.667731286e+01,7.025462292e+01,1.271006197e+01,4.793680928e+01,7.697087632e+01,6.202225929e+01,5.192928734e+01,3.779802435e+00,9.039033707e+01,7.764878553e+01,8.504790486e+01,8.047980089e+01,7.894835451e+01,7.215189762e+01,2.294431729e+01,5.589019149e+01,9.118361157e+01,4.432332326e+01,1.147854160e+01,9.619844129e+01,7.123517495e+00,3.264283590e+01,8.432971860e+01,3.826130017e+01,6.784677582e+01,3.561839507e+01,7.034126377e+01,8.353852010e+01,9.338562162e+01,2.500197829e+01,1.310646691e+01,8.715035868e+01,1.415504856e+00,6.635888202e+01,8.494619219e+01,2.174365035e+01,1.054780828e+01,9.695784998e+01,6.857518427e+01,9.845933036e+01,2.387460101e+01,7.239526053e+01,5.818763105e+01,3.210712925e+00,2.403024729e+00,4.358614409e+01,3.773597601e+01,2.223096234e+01,4.951159262e+01,8.921804211e+01,1.165207521e+01,1.742535229e+01,1.311420208e+01,4.314469666e+01,5.515952881e+01,1.882108898e+01,2.239773745e+01,8.044073697e+00,6.827853879e+01
6.369774440e+01,2.073581095e+01,5.605252744e+01,4.564969001e+00,9.933776471e+00,6.757055584e+01,2.448819320e+00,2.833520768e+01,2.822021963e+01,5.394090076e+01,1.990137091e+01,5.397253639e+01,5.936541870e+01,7.242834341e+01,4.640239478e+01,5.528470264e+01,3.195778212e+01,9.183683542e+01,8.980687915e+01,7.142535781e+01,6.065150970e+01,4.527894286e+01,5.080099436e+01,4.040692468e+01,7.944028086e+01,3.989520204e+01,5.910388875e+01,5.785553166e+01,7.336900932e+01,4.918864024e+01,7.241061647e+01,8.573226016e+00,6.482584402e+01,1.745797546e+01,7.814936265e+01,7.779016784e+01,4.775183862e+01,6.880640060e+01,8.247856122e+01,1.077228491e+01,2.824385370e+01,5.750053427e+01,7.171373094e+01,7.984342885e+01,6.534508300e+01,3.952118409e+00,1.757289404e+01,3.548729835e+01,7.588418894e+01,3.533764808e+01,4.353172525e+01,9.016437440e+01,1.302312508e+01,3.907337678e+01,7.130336971e+01,9.070455269e+01,3.008436699e+01,7.535658086e+01,3.595688258e+01,5.592226789e+01,7.631248956e+01,1.303652633e+00,3.990310806e+01,5.406682067e+01,7.146887514e+01,3.451722080e+01,9.445451301e+01,6.396776860e+01,3.349146983e+01,2.748932354e+01,8.215036101e+01,4.691917157e+01,2.931113272e+01,5.023909901e+00,3.491498301e+00
5.855853753e+01,1.270942144e+01,9.157559915e+00,1.044085424e+01,3.515224258e+01,3.944115442e+01,7.334914719e+01,4.833124298e+01,9.966254867e+00,5.961189274e+01,4.662522180e+01,1.091192573e+01,9.293664786e+01,1.950544703e+01,6.190595989e+01,9.732939328e+01,4.799062609e+01,3.478529035e+00,2.164240108e+01,2.577894237e+01,3.127058315e+01,3.510955960e+01,5.798987191e+01,2.343339548e+01,9.026542331e+01,7.135920335e+01,2.463022403e+01,8.418786586e+01,2.568465985e+01,9.711623867e+01,6.028154821e+01,6.993763832e+01,5.278852661e+01,5.826098826e+01,3.450027988e+01,7.257786852e+01,1.060233533e-01,9.373043077e+01,5.153377432e+01,5.860261715e+01,3.199561276e+00,6.389138298e+01,2.028478443e+01,3.969940110e+01,1.192045297e+01,4.010037845e+01,5.622133972e+01,8.375737136e+01,6.100670081e+01,7.358436612e+00,4.569234779e+01,8.841934693e+01,9.688639358e+00,5.743328681e+01,3.356786895e+01,8.457635325e+01,9.073073829e+01,5.704805185e+01,2.756666135e+00,4.203546868e+01,4.999341380e+01,1.603423221e+01,9.768171307e+01,2.196533795e+01,7.580379162e+01,8.486257461e+00,5.687436551e+00,3.435554251e+01,8.577094587e+01,7.785705393e+01,9.483256499e+01,8.156267017e+01,3.501285109e+01,9.855937238e+00,8.768645667e+01
