v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76
3.104669909e+01,3.563192584e-01,2.054581771e+01,9.714613596e+00,6.402620871e+01,9.236144004e+01,1.144942451e+01,7.111404973e+01,3.906074688e+01,3.945139934e+01,2.179238372e+01,8.698539316e+01,1.795556320e+01,9.276849273e+00,7.100315065e+01,5.335434469e+01,6.801511636e+00,9.251110258e+01,7.388857135e+01,5.508214084e+01,5.426646699e+01,3.832135033e+01,2.971639256e+01,3.082323956e+01,8.878452952e+01,8.281811740e+01,2.524243372e+01,8.186972243e+00,1.069860100e+01,8.250885975e+01,5.292878138e+01,6.346865912e+01,5.248191071e+01,8.020486341e+01,1.460205501e+01,7.168201564e+01,6.856713522e+01,4.880246074e+00,7.915308719e+01,9.965418881e+01,2.930676535e+01,8.318631268e+01,6.084282086e+01,1.395469961e+01,5.798183443e+01,8.746856812e+01,3.234298113e+01,5.881929709e+01,3.290430116e+00,6.358802209e+01,1.211338604e+00,8.689566612e+01,5.269770698e+01,6.884478654e+01,7.397279536e+01,5.902378372e+01,5.968249212e+01,7.381593209e+01,2.925303783e+01,2.028922638e+01,4.520900270e+01,9.719839236e+01,5.302598530e+01,3.211401273e+00,9.132777951e+01,6.595050063e+01,3.771146105e+01,7.270512579e+01,5.922744209e+01,5.805682233e+01,3.291542399e+01,7.517257808e+01,9.843082973e+01,8.138624173e+01,1.695582880e+01,3.852815235e+01
5.051918418e+01,9.815126099e+01,9.084747909e+01,5.248293890e+01,9.223626624e+01,5.927534412e+01,3.145954790e+00,1.874180562e+01,3.113945332e+01,4.599419765e+01,3.813538928e+01,5.731643483e+01,8.441673683e+01,2.027347991e+01,2.233769165e+01,5.709882539e+01,9.945792761e+01,5.845864727e+01,7.877828802e+01,5.736626827e+01,5.010312760e+00,5.991460975e+01,4.612078953e+00,2.528253179e+01,5.656989045e+01,8.579661674e+01,3.126941908e+01,4.055988755e+01,4.249748368e+01,8.987083117e+01,2.308058009e+01,2.659378108e+01,1.106212116e+00,6.605963797e+01,8.980902164e+01,8.725574963e+01,6.659597952e+01,8.334992973e+01,5.447281886e+01,4.083995276e+00,6.840119233e+01,6.266542270e+01,7.810696646e+01,3.726718716e+01,1.001580626e+01,8.816938463e+01,8.106627816e+01,9.765106948e+01,4.594889641e+01,2.684389973e+01,7.199605911e+01,1.843612764e+01,7.609653371e+01,1.395953943e+01,8.562021073e+01,8.367524595e+01,5.537709033e+01,3.317133445e+01,6.108011598e+01,1.620173395e+00,5.714033264e+01,6.098416038e+01,3.973711459e+01,6.084210863e+01,1.917271049e+01,4.005533975e+01,3.785195025e+01,6.909851500e+01,7.367413303e+01,6.202528069e+01,9.719834418e+01,2.154565117e+01,1.979203768e+01,9.919586383e+00,5.275748429e+01,1.941564031e+00
4.617501491e+01,4.561429377e+01,7.274718910e+01,5.480567436e+01,8.512957511e+01,3.694376683e+01,2.593858800e+01,3.323712942e+01,9.742578871e+01,3.983035243e+01,8.884102426e+01,6.547827932e+00,6.965872759e+01,2.633195464e+01,3.597268347e+01,5.597149990e+01,9.275724284e+01,5.514833364e+01,8.511609207e+01,6.164704886e+01,6.353648955e+01,3.530395414e+01,8.573258168e+00,2.419676211e+01,3.334085574e+01,4.767686624e+01,3.177739952e+01,2.850637129e+01,9.041472479e+01,3.510010404e+01,7.851869481e+01,1.834177189e+01,7.230445618e+00,9.440145024e+01,3.421093150e+01,9.490398474e+01,4.260455184e+01,7.400762329e+01,2.387197818e+01,4.338093883e+01,1.039142679e+01,3.320821411e+01,3.269614794e+00,6.610798733e+00,3.905994754e+01,4.375767984e+01,4.083385745e+01,9.619384520e+01,3.480816247e+01,5.157450040e+01,4.094376414e+01,8.423816790e+01,6.589431103e+01,5.002985993e+01,6.698842164e+01,3.777670348e+01,5.014633516e+01,8.875301523e+01,1.330409274e+01,7.844635660e+01,7.891113669e+00,2.262431775e+01,7.039393742e+01,7.002531821e+01,8.560397529e+01,3.163040894e+01,4.832562866e+01,7.771125078e+01,3.894449008e+01,8.352279119e+01,8.206540584e+01,9.552012202e+01,8.599355008e+01,4.839057639e+00,3.125060803e+01,6.766549439e+01
5.698629918e+01,7.158515360e+01,3.522656943e+00,1.864157370e+01,3.526566336e+01,1.173177984e+01,4.959468622e+01,2.732016625e+01,5.873345889e+00,5.317099781e+01,3.140465577e+01,1.087332684e+01,9.929887315e+01,9.634140106e+01,7.656688073e+01,9.430011954e+01,2.823932092e+01,6.411856773e+01,2.669300859e+00,6.566137835e+01,1.732616953e+01,3.682843322e+01,1.522204314e+01,1.052369746e+01,3.947054097e+01,7.436423653e+01,6.903937040e+01,8.779384837e+01,3.478592795e+01,3.217459180e+01,6.945548215e+01,4.247862183e+01,7.410652049e+01,8.713219467e+01,3.330036253e+01,1.250267985e+01,6.564913212e+01,9.094554196e+01,9.604365228e+01,2.425528341e+01,6.715107147e+01,5.862284254e+01,4.546012011e+01,3.061328069e+01,1.197017869e+01,4.417005228e+01,5.336965767e+01,7.169544607e+01,1.590990599e+01,3.434675308e+00,4.619679324e+01,5.802423470e+01,5.384480414e+01,7.717520117e+01,5.416240445e+01,9.552342428e+01,1.318879456e+01,9.298795219e+01,2.985804780e+01,9.318762593e+01,4.258593298e+01,6.257860630e+01,4.076471205e+01,4.616771504e+01,9.093355913e+01,8.969733716e+01,7.758199537e+01,1.191382587e+00,7.256038361e+01,1.105436195e+01,2.642888543e+00,8.330989023e+00,8.820008231e+01,7.131069179e+01,1.360362941e+01,5.464299349e+01
8.222030121e+01,7.024578528e+01,4.299511857e+01,6.555491814e+01,5.459187053e+01,5.672979323e+01,9.806385091e+01,8.521795230e+01,2.698460413e+01,8.857193705e+01,1.374245177e+01,9.977863965e+01,4.925394759e+01,2.322773052e+01,8.517360210e+01,5.934048272e+01,3.948367632e+00,3.905866681e+00,3.310114079e+01,2.246487681e+01,4.949517718e+01,7.602464827e+01,7.591603193e+01,4.327547032e+01,4.493169947e+01,7.400497715e+01,1.882806894e+01,2.684568279e+01,5.603076179e+00,8.478096949e+01,3.651628783e+01,6.168814508e+01,8.137200743e+00,2.820278705e+01,6.714891633e+01,5.461608379e+01,4.370259926e+01,3.160698957e+01,4.588826927e+01,5.274029113e+01,4.287930390e+01,7.469521684e+01,4.443324492e+01,7.753795939e+01,5.256302433e+01,9.849780592e+01,7.447385623e+01,4.208658271e+01,3.054580180e+01,4.681609327e+01,8.269918977e+01,9.887118384e+01,9.285596867e+01,1.946733036e+00,8.410396932e+01,3.785488764e+01,8.025671521e+00,3.125861861e+01,6.772619293e+01,5.433056881e+01,4.983004720e+01,6.323197321e+00,6.773594193e+01,7.387497912e+00,1.618119377e+01,8.243455595e+01,8.908976693e+01,6.999717815e+01,6.919925545e+01,6.095148976e+01,9.433175023e+00,4.808691686e+01,7.546741156e+01,3.352415355e+01,8.030474137e+01,4.129236131e+01
4.626065862e+01,4.006065930e+01,5.106714032e+01,9.367109023e+01,9.527644197e+01,2.283044879e+01,8.712394327e+01,4.397476890e+01,1.441395194e+01,7.486758782e+00,2.457481571e+01,6.024507187e+01,5.115568194e+01,2.481763766e+01,7.545875588e+00,8.056717001e+00,9.506435020e+01,7.058247640e+01,8.259500137e+01,5.021027481e+01,4.554887897e+01,9.959567435e+01,2.408511756e+01,1.908116464e+01,2.412239765e+01,2.457989760e+01,4.264039819e+01,9.741204796e+01,8.115907298e+01,7.484310800e+01,2.972988642e+01,7.178198187e+01,8.948634886e+01,9.056795593e+01,1.509478708e+01,3.385084267e+01,5.080486124e+01,4.623290703e+01,9.241450481e+01,8.879608826e+01,5.874072833e+01,1.300939081e+01,2.123667528e+01,9.261467131e+01,6.700913210e+01,5.868451141e+01,1.506367852e+01,1.968929476e+01,9.820090988e+01,5.943946331e+01,5.203127400e+01,2.753203237e+01,3.734228138e+01,9.207922626e+01,7.062797924e+01,8.945258830e+01,3.358863599e+01,6.538335746e+00,6.059982777e+01,7.108888551e+01,7.500439205e+00,6.511802903e+01,7.413881486e+00,6.246456092e+01,4.802852269e+01,5.410557771e+01,1.000780172e+01,2.200175915e+01,7.584037825e+01,4.490923653e+01,4.781549477e+01,1.971715257e+01,3.044890051e+01,5.514482068e+01,6.272354865e+01,2.887687979e+01
4.332860620e+01,6.180498583e+01,6.177778565e+00,6.071195714e+00,8.733334945e+01,8.885532989e+01,2.626863706e+01,3.441786272e+01,9.913116468e+01,3.788258560e+01,5.549944844e+01,6.478204404e+01,3.393672695e+01,2.501969492e+01,7.552020041e+01,2.871391323e+01,5.326701216e+01,9.373750152e+01,8.313349004e+01,5.512363765e+01,5.433786165e+01,9.041900821e+01,5.891209492e+01,9.820601581e+01,1.758424364e+01,2.602484741e+01,6.082329608e+01,8.331266343e+01,3.217551584e+01,1.513716262e+01,1.046317607e+01,9.553136381e+01,1.785782572e+01,4.888282601e+00,4.741934310e+01,9.371183447e+01,2.387230918e+00,8.893722372e+01,6.835850841e+01,7.272715383e+01,7.834692705e+01,3.795610149e+01,6.852083986e+01,4.042736179e+01,1.824480722e+01,9.412733411e+01,1.100770437e+01,2.074759083e+01,7.964736705e+01,8.222429094e+01,8.793931159e+00,5.719150021e+01,2.596900993e+01,2.565126357e+01,2.162845689e+01,3.006003443e+01,3.708252820e+01,2.434007103e+01,9.517795076e+01,7.468775348e+01,6.892238983e+01,4.056462668e+01,5.861030464e+01,5.309256008e+01,4.050134762e+01,8.129877891e+01,2.087962690e+01,9.610083539e+01,8.048350597e+00,1.783341286e+01,1.567455135e+01,7.910905014e+01,5.158412047e+01,1.720613446e+00,1.437516000e+01,5.719184784e+01
1.038517436e+01,5.383661775e+01,3.574948150e+01,7.633249312e+01,2.654280320e+01,1.022398186e+01,6.377769825e+01,8.881088882e+01,5.830329995e+01,2.519249119e+00,3.672345661e+01,9.984290022e+01,4.228581947e+01,4.386861061e+01,7.961555780e+00,1.067977743e+01,9.293177619e+01,7.080940243e+01,8.090090691e+01,1.222864594e+01,2.127668912e+01,9.099740777e+01,1.223618588e+01,3.280411399e+01,3.649461222e+01,4.416392941e+01,1.973496217e+01,2.728810331e+01,6.311311014e+01,1.559068731e+01,9.495199796e+01,7.129112599e+01,9.313350141e+01,1.927374976e+00,4.350425979e+01,8.605777062e+01,4.228350569e+01,9.831683835e+01,9.064809666e+01,7.222606629e+01,3.532565530e+00,4.374474890e+01,3.144185746e+01,3.930046711e+01,4.307535379e+01,2.750414915e+01,8.516593488e+01,2.550961019e+01,6.705494055e+01,2.060155387e+01,3.290539566e+00,1.475991859e+01,9.149769031e+01,7.015400211e+01,3.147961687e+01,8.221127109e+01,4.977173709e+01,1.180300901e+01,9.929296183e+01,3.340578434e+01,9.369724005e+01,5.558365736e+01,9.760057351e+00,1.451244690e+01,8.910617948e+01,5.544018142e+01,5.713834733e+01,9.549965490e+00,8.490036659e+01,6.939474112e+01,5.891229534e+01,2.560102489e+01,5.278820982e+01,2.582186314e+01,5.729149344e+01,8.024730694e+01
1.567163055e+01,7.109228717e+01,6.785999808e+01,3.859588781e+01,6.470092523e+01,1.087202698e+01,4.290827266e+01,4.803313834e+01,5.700225086e+01,2.237491204e+01,3.443310551e+00,6.279772920e+00,7.214689349e+01,9.684586952e+01,7.290109200e+00,5.814319895e+01,7.428865611e+01,9.014529828e+00,2.086569809e+01,5.068423213e+01,8.199089628e+00,2.616768091e+01,7.717005653e+01,7.348951211e+01,6.655669172e+01,3.267411826e+01,8.275832595e+01,7.648940689e+01,9.928200541e+01,9.813502717e+01,9.470040360e+01,7.582285379e+01,6.159298124e+01,5.989748862e+01,4.032023744e+01,8.481867936e+01,5.594365350e+01,4.467232148e+00,9.559116633e+01,1.786926293e+00,7.502178070e+01,7.362405183e+01,4.777779390e+01,3.713264302e+01,7.561695982e+01,8.076191691e+01,2.010136079e+01,1.973541802e+01,5.909740114e+01,1.654693665e+01,5.532835043e+01,9.508554154e+00,8.347645538e+01,5.060214001e+01,5.228395294e+01,1.125528672e+01,5.885665459e+01,5.525218763e+01,9.090596032e+01,8.459638084e+00,2.502024672e+01,4.964470293e+01,2.380075703e+01,5.679510259e+01,8.437924182e+01,3.538422670e+01,9.891531731e+01,5.004130063e+01,3.982034796e+01,2.415477731e+01,6.500650222e+01,1.246889894e+01,4.837201803e+01,3.558622812e+01,1.351136563e+01,1.754742660e+01
7.073496225e+01,9.210803611e+01,1.132029327e+01,8.654204214e+01,2.346540642e+01,9.909544807e+01,6.268872201e+01,2.165522900e+01,2.841613322e+00,6.585899556e+01,1.278954990e+01,8.364533241e+01,1.730655529e+01,2.127491536e+00,8.038391613e+01,3.100631616e+00,4.961703510e+00,7.375908918e+01,9.228534787e+01,9.902111593e+01,8.164673312e+01,9.016794352e+01,3.600543750e+01,8.290498128e+01,2.551385478e+01,8.011176210e+00,7.416981709e+01,3.678130303e+01,5.307354926e+01,2.653640016e+01,8.441268692e+01,1.553640168e+01,9.462682632e+01,5.324942745e+01,8.409896477e+01,4.845034545e+01,3.283011415e+01,5.633443759e+01,2.984688250e+01,9.831561569e+00,8.289954959e+00,8.981726763e+01,3.081069142e+01,1.099723776e+01,4.662326087e+01,2.111650361e+01,9.668371060e+00,9.108472221e+01,9.786347298e+00,1.634334465e+01,7.397762746e+01,1.619154366e+01,9.681671288e+00,1.634796314e+01,4.112128206e+01,8.154903712e+01,2.708606074e+01,8.631109001e+01,1.285405693e+01,4.360340701e+01,2.917070411e+01,2.277634177e+01,4.561849896e+01,2.135769501e+01,1.667179833e+00,1.634207135e+01,9.442904904e+01,3.562735041e+01,6.840852212e+01,8.383509662e+01,9.065918845e+01,1.654323268e+01,5.982402892e+01,6.547953441e+01,6.813283085e+01,2.070688673e+00
