v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77
5.751108277e+00,6.084883569e+01,9.669602563e+00,9.319650926e+01,3.616232063e+01,6.004172185e+01,2.032520574e+01,3.282269755e+01,2.533040777e+01,4.295334459e+01,3.293132393e+01,7.992414542e+01,9.729192987e+01,8.699964958e+01,9.840031142e+01,6.208931141e+01,1.140714801e+01,4.239387332e+01,2.519833898e+01,5.871453377e+01,1.358860370e+01,8.131359668e+01,2.070772525e+00,8.897301940e+01,7.665630642e+01,9.033843570e+01,2.253300232e+01,3.046364090e+01,7.781408699e+01,7.227586151e+01,1.932871223e+01,9.684999970e+01,8.383603995e+01,7.236983903e+01,6.818992299e+01,5.105319079e+01,1.072985921e+00,2.878438982e+01,8.182024261e+01,6.025044096e+01,7.510918025e+01,2.437844182e+01,6.300082256e+01,3.333360684e+01,8.466837571e+00,4.050934101e+01,6.572265954e+01,1.688391868e+00,2.447422534e+01,9.948162483e+01,6.127256202e+01,5.352975564e+01,7.830908946e+01,4.769424377e+01,6.710376145e+00,8.177005763e+01,7.301754857e+01,7.162972380e+01,7.440676781e+01,8.886247389e+01,2.775216584e+01,3.235368385e+01,6.561393505e+01,1.109311152e+01,1.445315738e+00,3.462955972e+01,5.545547350e+01,1.967376026e+01,5.583968376e+01,1.001363179e+01,5.403575229e+01,6.963902606e+01,7.849295851e+01,6.466808009e+01,8.294548717e+01,2.183190804e+01,2.809901963e+01
3.509532878e+01,5.930294484e+01,1.425537983e+01,5.275023810e+00,9.667361926e+01,7.093863636e+01,8.015076174e+01,5.151419755e+01,4.548803945e+00,2.290514012e+01,5.895563425e+01,4.002571240e+01,4.961374186e+01,5.379132107e+01,3.207779652e+01,7.098525136e+01,1.938230049e+01,3.997419034e+01,7.301334661e+01,6.369495315e+01,9.763533570e+01,4.129140462e+01,4.696470926e+00,1.878328614e+01,6.253661817e+01,5.010840304e+01,7.637648030e+00,6.742012831e+01,7.247013387e+01,2.583263396e+00,6.714427252e+01,1.600977618e+01,3.945276949e+01,2.791527530e+01,5.018238206e+01,4.568485743e+01,6.848204343e+01,4.796013706e+01,3.405797407e+01,5.910213152e+01,8.530347327e+01,4.951354676e+01,6.370237218e+01,2.764937754e+01,4.330434651e+01,7.010391197e+01,6.728582093e+01,7.859338104e+01,7.041844360e+01,4.167933526e+01,5.856801340e+01,8.048834582e+01,9.885500596e+01,6.795328928e+01,5.027767248e+01,4.180697605e+01,4.956791297e+01,7.139069788e+01,7.228185800e+01,8.400911014e+01,6.599359306e+01,8.818643590e+01,7.562268624e+01,8.409960425e+01,4.364768203e+01,7.725376849e+01,3.350657883e+01,4.087114609e+01,2.427780924e+01,5.170253231e+01,1.065361996e+01,6.485389874e+01,8.507858662e+01,8.747891410e+01,6.142030331e+00,5.776369637e+00,8.441502323e+01
9.092097648e+01,6.293386858e+00,5.357029259e+01,9.352434964e+01,9.592978371e+01,7.198796988e+01,8.851421572e+01,4.543681499e+01,6.821617435e+01,7.491816741e+01,6.146813135e+01,7.784932466e+01,3.055495426e+01,2.994805693e+01,7.361642741e+01,7.170883371e+01,9.240052277e+01,9.970280164e+01,3.168363214e+01,4.469756234e+01,8.701117790e+01,2.888368476e+01,7.929315059e+01,6.841475722e+01,2.745813708e+01,5.828209389e+01,7.514253642e+01,7.091923706e+01,4.096416309e+01,6.967705596e+01,8.665879450e+01,8.412215779e+01,1.701874715e+01,1.219852647e+01,7.576698241e+01,1.336836051e+01,3.198589459e+01,3.908292462e+01,9.233985520e+01,9.846303968e+01,4.614083385e+01,3.639867029e+00,7.867787740e+01,7.761011837e+01,1.658074865e+01,2.290303366e+01,8.155095471e+01,4.857882926e+01,5.911317611e+01,3.511494408e+01,6.862224369e+01,2.354395810e+01,2.464101136e+01,5.288837629e+01,9.528062159e+01,9.658868560e+01,4.613768387e+01,8.964180923e+01,8.284108038e+01,4.350045927e+01,7.427971667e+01,2.989961949e+01,8.624602147e+01,1.630836075e-01,7.246721319e+01,7.271448013e+01,6.219409952e+01,1.172407828e+01,9.215657473e+01,9.064149543e+01,9.628685546e+01,4.908392368e+01,1.309406185e+01,6.990662078e-01,6.714012228e+01,9.817685167e+01,9.653008404e+01
1.644729437e+01,3.397924408e+01,6.033074636e+01,7.124834549e+00,3.720848585e+00,5.795522300e+01,6.865358412e-01,1.284012580e+01,3.713098686e+01,2.867937913e+01,6.574143502e+01,4.562750627e+01,8.145747456e+01,8.485652749e+01,5.284561466e+01,7.411625218e+01,4.320734463e+01,6.043328332e+01,8.483495616e+01,2.749909434e+01,5.801048602e+01,7.759748848e+01,8.915900178e+00,5.665215696e+01,4.339719444e+01,6.460580099e+01,7.323076351e+00,8.622665645e+01,9.590780458e-01,8.045331404e+01,2.032009990e+00,4.491749301e+01,2.291896822e+01,9.716794780e+01,6.493445984e+01,7.542876971e+01,2.889071367e+01,5.341295121e+01,8.120606468e+01,7.996393496e+01,2.275436662e+01,5.339567048e+01,7.646241773e+01,2.528145351e+01,8.532590904e+01,3.747389498e+01,6.794728311e+01,4.329174308e+01,2.214343311e+01,9.218831280e+01,7.943488386e+01,9.689334052e+01,6.691678394e+01,2.405859198e+01,4.937049548e+01,5.300027169e+01,2.481998166e+01,7.204174071e+01,4.728801894e+01,9.041023872e+01,6.231965776e+01,5.954439231e+01,1.933378227e+01,2.947901835e+01,6.337190651e+01,6.815442036e+01,9.363060332e+00,9.402274119e+01,2.236016115e+01,7.238997772e+01,6.538469834e+01,5.733437003e+01,3.577306601e+01,1.042130887e+01,9.612895346e+01,4.898860790e+01,9.026309803e+01
1.410995415e+00,6.029375840e+01,2.404971179e+01,1.948903168e+01,4.647517939e+01,7.600150335e+00,5.923600367e+01,6.795967256e+01,5.104056315e+01,6.335470276e+01,2.242264222e+01,5.149941207e+01,9.693868477e+01,2.508894264e+01,8.285414933e+01,5.272187553e+01,6.910313566e+01,7.297542421e+01,2.377777219e+00,7.815316528e+01,9.339252162e+01,2.212302930e+01,7.764680039e+01,3.646146170e+01,4.395347196e+01,3.850498006e+00,5.281058318e+00,6.625809350e+01,1.361342290e+01,4.846111999e+01,2.170574942e+01,6.696984494e+01,7.843846793e+01,2.651431128e+01,5.423737006e+01,2.570775761e+01,7.462597292e+01,6.733367713e+01,8.693113024e+01,7.734579142e+00,1.134695517e+01,3.231174359e+01,4.657962710e+01,6.692682480e+01,3.634644054e+01,1.468058940e+01,6.602523471e+01,5.032814295e+01,3.140035786e+01,7.165401668e+01,5.123930563e+01,9.580330098e+00,3.529569446e+01,1.867563264e+01,3.413774099e+01,2.224233024e+01,5.948660699e+01,1.918301040e+01,2.382795992e+01,7.923407126e+01,8.240439180e+01,3.087583078e+01,6.077009605e+01,6.118784291e+01,8.616533092e+01,4.441429890e+01,9.168525670e+01,6.699071948e+01,4.302871191e+01,4.668081119e+01,1.294961557e+01,1.265747750e+01,1.237920710e+01,3.054740950e+01,6.607614897e+01,6.640256987e+01,4.840052211e+01
6.166999403e+01,2.714628141e+01,6.206665712e+01,5.730050958e+01,2.794122720e+01,8.765655115e+00,2.295681933e+01,6.978662263e+01,3.381061326e+01,9.749049375e+01,2.508285455e+01,7.436102000e+01,8.544495112e+01,6.948460287e+01,5.774371057e+00,4.337963176e+01,4.862714582e+00,6.363499444e+01,2.316070446e+01,4.630713239e+01,1.435241813e+01,9.700462898e+01,2.531219991e+01,4.811776745e+01,2.137728936e+01,2.593340704e+01,2.605385142e+01,6.021412994e+01,4.834735891e+01,5.077749226e+01,2.472712208e+01,6.420673268e+01,9.150208664e+01,8.837043953e+01,7.396861068e+01,7.814606618e+01,4.548006104e+01,4.752232044e+00,8.478864194e+01,5.519905056e+01,8.801475499e+00,5.385668377e+01,6.791040445e+01,5.800646770e+01,1.931974784e+01,4.673424911e+01,9.539630416e+01,6.602263701e+01,9.738019215e+01,5.649313924e+01,6.201052639e+01,1.277392445e+01,7.096693106e+01,1.316134943e+01,7.859979720e+01,1.370064285e+01,2.890782792e+01,1.122570282e+01,6.582056397e+01,6.406003110e+01,1.137215634e+00,1.511971501e-01,4.061592059e+01,2.164477486e+01,4.753441072e+01,6.694882078e+01,5.493817639e+01,3.593587176e+01,1.097524318e+01,3.684881247e+01,1.342563963e+01,9.311270431e+01,6.042536267e+01,2.599408741e+00,9.754685808e+01,2.770471744e+00,6.139217465e+01
8.832392226e+01,9.871240472e+01,8.962130133e+01,2.610555400e+01,5.655436907e+01,4.046545234e+01,9.023057561e+01,7.947944246e+01,7.348080040e+01,4.785495924e+01,2.148526523e-01,1.802270965e+01,3.513874282e+00,6.298791634e+01,1.771998693e+01,8.593287896e+01,4.283294750e+01,6.446410374e+01,5.551052292e+01,6.826661847e+01,9.854956960e+01,3.524626768e+01,3.303551676e+01,2.350198949e+01,8.010481746e-01,9.843178537e+01,6.218172807e+00,7.326491945e+00,4.955155220e+01,4.809319302e+01,9.900553656e+01,1.092555829e+01,3.403272956e+01,4.280769949e+01,2.286037740e+01,2.701046372e+01,3.981873761e+01,6.523018475e+01,8.682832618e+01,6.500631753e+01,2.513322015e+01,7.935571766e-01,8.589363115e-01,5.735684583e+01,6.957217745e+01,2.944844334e+01,7.192412329e+01,1.086886331e+01,4.275335179e+01,4.932543696e+01,6.159064434e+01,5.811337833e+01,9.358902155e+01,6.159853473e+01,8.731823913e+01,8.219224764e+00,3.436693124e+01,3.702305705e+01,3.597055467e+01,5.475850610e+01,3.367025293e+01,5.777506443e+01,5.747726829e+01,9.386948339e+01,1.770846950e+00,5.500605883e+01,9.279977862e+01,5.764720443e+01,1.377533742e+01,3.532452102e+01,5.651762085e+00,9.131926090e+01,2.291058098e+01,5.131805536e+01,3.906016005e+01,6.423688133e+01,1.009322054e+01
4.329221259e+01,8.817960419e+01,2.099439839e+01,7.865924480e+01,4.223204820e+01,3.555248205e+01,2.827165723e+01,5.378791447e+01,7.666745821e+01,9.675596346e+01,6.337659607e+00,1.139059254e+01,8.805184878e+01,9.001787463e+01,7.658089111e+01,7.450151940e+01,1.664470572e+01,9.390762449e+01,2.452207155e+00,2.557208643e+01,2.234934281e+00,5.447004080e+00,1.929347708e+01,2.373402306e+01,1.073788718e+01,7.032036423e-01,9.018250826e+01,3.513705775e+00,7.682346967e+01,4.177369437e+01,9.363884848e+01,1.443327814e+01,8.912645008e+01,7.163722842e+00,3.223079551e+01,5.842118925e+01,6.654459820e+00,1.554882433e+00,3.267275117e+01,6.222476638e+01,7.450709348e+01,9.568350146e+00,4.369069208e+01,3.238378229e+01,5.080677575e+01,9.482522175e+01,7.603297672e+01,6.857235362e+01,3.900272187e+01,6.785929345e+01,4.716561413e+01,4.307305431e+01,1.680979641e+01,9.402433403e+01,7.417925100e+01,1.105297471e+01,2.955370095e+01,2.959080359e-01,1.557093048e+01,6.390739669e+01,9.406147969e+01,3.051229652e+01,3.705611213e+01,1.675981893e+01,6.162456074e+01,7.226101231e+01,6.883542107e+01,8.167924771e+01,4.128181228e+01,9.337435611e+01,8.386174110e+01,4.099969239e+01,5.056876120e+01,8.336429811e+01,3.654479133e+01,1.838540192e+01,8.195391139e+01
8.354118524e+01,2.436064841e+01,1.770531001e+01,1.283596540e+01,5.032246237e+01,3.582723177e+01,1.967575260e+00,5.202013382e+01,9.461668549e+01,6.352973860e+01,6.103282477e+01,2.772616438e+01,8.799936271e-02,2.143439287e+01,8.915710074e+01,5.695651197e+01,2.722409346e+01,3.124299833e+00,8.910009616e+01,4.948144219e+01,6.553370385e+01,5.877435046e+01,3.092016968e+01,1.862074815e+01,5.042067027e+01,3.117126260e+00,7.058922308e+01,1.977842233e+00,8.992090959e+00,3.575272886e+01,7.457127339e+00,3.647642372e+01,1.126399771e+01,6.597100847e+01,6.543723063e+01,4.680132550e+01,6.860753156e+01,8.323994478e+01,8.300720124e+01,2.277986276e+01,1.151669019e+00,9.620973559e+01,6.441927590e+01,6.876197809e+01,7.417244916e+01,7.416953563e+01,4.512852841e+01,5.297150092e+01,4.338132109e+00,4.351641664e+01,8.039110137e+00,8.285823322e+01,1.479533626e+01,9.649923323e+01,8.923894803e+01,3.873522707e+01,8.135788535e+01,9.372578455e+01,4.630537967e+01,2.411482658e+01,6.514381620e+01,6.746660645e+01,4.127905629e+01,9.790080097e+01,4.708641170e+01,4.250780975e+01,2.381521002e+01,3.307518789e+01,5.699650127e+00,3.308106501e+01,4.373162946e+01,3.105474382e+01,7.733757566e+01,5.974957387e+00,5.754963339e+01,8.519910481e+01,5.317854496e+01
6.398220831e+01,1.099990360e+01,6.645440786e+01,1.485699592e+00,7.445371596e+01,8.943361229e+01,6.387668546e+01,7.031908042e+01,2.405511493e+01,2.202620921e+01,9.620177925e+01,9.596253409e+01,3.290058598e+01,2.699453472e+01,9.923490409e+01,4.641147721e+01,8.424924207e+01,5.237146417e+01,6.469767216e+01,3.401071261e+01,6.224417993e+01,8.553190137e+01,4.495518985e+01,7.038448314e+01,3.690564244e+01,1.823273562e+01,3.144815050e+01,1.366396036e+01,7.501590184e+01,6.609423745e+00,5.847486005e+01,8.952672873e+01,6.129351769e+01,1.071186826e+01,7.157368232e+00,9.025235426e+01,1.737899011e+01,8.166869569e+01,2.501759312e+01,6.910373767e+00,5.620442254e+01,3.110974822e+01,3.314912335e+01,4.078200466e+01,2.203757927e+01,2.274376932e+01,3.560930318e+01,2.297412496e+01,8.823010921e+01,7.460771162e+01,4.819130458e+01,8.627067617e+01,6.187185267e+01,1.248112631e+01,5.108129448e+01,7.639925510e+01,4.088108866e+01,5.695238287e+01,9.455027525e+01,3.766565316e+01,2.442989699e+00,7.209391119e+00,5.965582727e+01,3.652809734e+01,8.958935389e+01,7.838878987e+01,5.247896273e+00,4.016384919e+01,8.594101866e+01,5.594680225e+01,4.830897018e+01,1.193332044e+01,2.607884811e+01,9.167334393e+01,7.322791787e+01,8.247431249e+01,9.760616326e+01
