v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78
3.734384312e+00,6.775125224e+01,4.343693819e+01,8.688920884e+01,2.659310520e+01,6.988851075e+01,7.457167385e+01,2.526035713e+01,8.081353256e+01,1.423849319e+01,6.497547049e+01,2.307202821e+01,4.406572617e+01,8.161297341e+01,4.398873546e+01,1.207373315e+01,7.966470310e+01,8.917092653e+01,3.760806096e+00,3.680815127e+01,4.559102989e+01,5.183956634e+01,4.928302847e+01,4.881036856e+01,8.297704355e+01,3.417231824e+01,4.789819599e+01,8.052298408e+01,8.317744188e+01,6.555556813e+01,6.823702142e+01,1.050075787e+01,3.675493261e+01,8.126490881e+01,8.589123840e+01,6.938606218e+01,1.738654489e+01,7.862615994e+00,4.523815485e+01,6.950191740e+01,2.540749017e+01,6.235247694e+01,3.552735219e+01,5.113496677e+01,5.287092203e+01,3.935148961e+01,7.755304662e+01,7.133113239e+01,1.404492501e+01,1.786512140e+01,1.040229522e+01,3.010655922e+01,9.041905421e+00,2.746617944e+01,8.375844974e+01,5.858406807e+01,7.626026124e+01,9.965817456e+01,2.595578986e+01,3.718204348e+01,3.485344221e+01,1.961663046e+01,4.454839222e+01,3.216903194e+01,2.070256358e+01,1.068232930e+01,5.363892137e+01,2.390904517e+01,1.454523107e+01,9.558730469e+01,2.498499222e+01,3.955922419e+01,3.000996704e+01,2.430311545e+01,3.066478556e+01,7.285156675e+00,2.229426075e+01,6.388955737e+01
9.089765099e+01,6.701422824e+01,1.030535754e+01,2.090883907e+01,6.624633809e+01,1.469751051e+01,9.607066091e+01,5.464537186e+01,4.032988647e+01,1.243656827e+01,6.950087059e+01,7.017449903e+01,9.139036006e+00,7.614284226e+01,5.702926009e+00,9.229303108e+01,2.141845392e+01,8.893589666e+01,2.836786521e+01,6.741545810e+01,2.416452956e+01,1.241489011e+01,2.332799419e+01,3.969899565e+00,1.549530038e+01,5.017437081e+01,7.001192214e+00,5.038953767e+01,1.624650041e+01,4.239876133e+01,2.507479979e+01,2.503554471e+00,6.942556773e+01,3.201460508e+01,9.321251089e+00,3.738494896e+01,2.535022036e+01,9.939164033e+01,2.489838232e+01,8.858762420e+01,9.598517808e+01,5.922051806e+01,5.617441426e+01,9.646941977e+01,6.644031897e+01,1.747282383e+01,6.063843691e+01,5.818705950e+01,8.967964583e+01,1.881325092e+00,4.588281383e+01,3.131946043e+01,6.676888056e+01,1.170541777e+01,6.065800886e+01,7.380723410e+00,3.094109354e+01,3.241237489e+00,9.770605957e+01,8.062153951e+01,6.244608510e+01,1.297333100e+01,2.452522011e+01,7.004224778e+01,2.386322057e+01,4.970128612e+01,5.239585630e+01,9.629523584e+01,1.607117111e+01,1.228103548e+01,5.483629347e+01,9.773578899e-01,4.625325517e+01,6.757379700e+01,8.394981594e+01,7.755748423e+00,2.816939500e+01,3.562901823e+01
3.361852794e+01,3.258472384e+01,1.656437849e+00,6.139760687e+00,1.481399090e+01,9.959609595e+01,9.444761500e+01,5.391979712e+01,4.128325940e+01,3.019724449e+01,9.433592671e+01,1.547596432e+01,9.396213290e+01,1.842488866e+01,5.647235028e+00,8.314845837e-01,8.046904370e+01,3.785276559e+01,1.477719592e+01,6.916342306e+01,2.992467274e+01,6.454947695e+01,5.249227286e+01,8.712237132e+01,5.389845334e+01,3.460924963e+01,7.426973778e+01,9.796172759e+01,3.638223544e+01,6.960445630e+01,5.107268411e+01,1.266537637e+01,5.031457813e+01,2.217916065e+01,5.233029606e+01,9.350653734e+01,3.802599021e+01,2.939359682e+01,2.672856958e+01,3.826367133e+01,6.391322507e+01,1.106189066e+01,8.762530905e+01,6.295132006e+01,1.366926057e+00,8.970192409e+01,6.100124418e+01,6.796648666e+01,9.038209034e+01,8.105377165e+01,2.399196248e+01,2.605513431e+00,4.541158020e+01,3.833555769e+01,8.662387430e-01,6.361613774e+01,6.836453831e+01,1.133179791e+01,3.381533963e+01,9.941061216e+01,1.785555722e+01,4.738388897e+01,7.173234157e+00,4.114171706e+01,6.609311497e+01,7.003963637e+01,3.058310378e+01,4.988279240e+01,4.387224978e+01,3.374634377e+01,7.165267259e+01,7.067581877e+01,7.044175124e+01,5.584193517e+01,8.145588753e+01,7.573735984e+01,5.275133840e+01,2.716291645e+01
3.785942519e+01,4.087998683e+01,3.618590291e+01,5.049912503e+01,9.598963497e+01,7.389676745e+01,3.087628433e+01,7.016271251e+01,8.634338515e+01,5.847632184e+01,9.919145780e+01,5.623727139e+01,5.326629126e+01,1.416766351e+01,6.747392415e+01,7.697834543e-01,2.837202363e+01,6.203100139e+01,6.208373252e+01,3.823440361e+01,7.592273104e+01,8.866923628e+01,1.893475342e+01,8.627169093e+01,3.098674743e+01,6.127919168e+01,5.245422532e+01,6.821083206e+01,2.608336133e+01,9.954272222e+01,5.412629721e+01,2.144625571e+01,3.530124968e+01,1.145429033e+01,5.256877053e+01,8.638449725e+01,1.189859916e+01,2.188357360e+01,5.495098933e+01,1.053848158e+01,7.007721018e+01,5.879218429e+01,9.494026515e+01,8.292450400e+01,5.469638477e+01,4.718563371e+01,2.479305585e+01,6.701135901e+01,1.810611225e+00,9.116440272e+01,4.122316821e+01,6.288300614e+00,5.459508802e+01,5.416681989e+01,8.795359340e+01,2.063927917e+01,3.116442115e+01,3.434430685e+01,6.298461894e+01,4.490345767e+01,8.455010601e+01,2.550849337e+01,2.783806213e+01,6.451570552e+01,9.817035595e+01,8.836741084e+01,4.221337107e+01,2.536415447e+01,6.713492729e+01,2.245955428e+01,4.171296016e+01,3.042453169e+00,1.776596112e+01,2.917232051e+01,2.966616152e+01,2.507323579e+01,7.155887639e+01,7.457591405e+01
2.433069236e+01,7.562129343e+01,3.776303875e+01,3.496970441e+01,4.768604689e+01,6.576631038e+01,6.887612254e+01,7.277940971e+01,4.362509827e+01,4.976302423e+01,7.571284351e+01,1.182153611e+01,7.241994007e+01,1.869843556e+01,9.912502206e+01,2.776233756e+01,4.881824095e+01,6.191708594e+01,3.331381245e+01,9.779639472e+01,6.551371239e+00,9.794755816e+01,5.178786724e+01,6.962309773e+00,8.132600382e+01,9.241573945e+01,6.091908949e+01,2.088473295e+01,1.454948163e+01,3.337385326e+01,5.183171960e+01,7.010837136e+01,1.430331271e+01,9.789857050e+01,5.337476221e+01,5.018892382e+01,3.110348217e+00,7.444068142e+01,7.265676231e+01,5.818934323e+01,3.055661944e+01,6.832023519e+01,6.229573352e+01,3.013169716e+00,1.026322324e+01,5.072282113e+01,2.930585120e+00,3.478653259e+01,1.014511846e+01,3.560246365e+01,5.074814785e+00,5.404047864e-01,1.811191195e+00,3.134907718e+01,5.253023472e+01,9.731558207e+01,1.604657599e+01,2.885211782e+01,7.924949364e+00,4.953325764e+01,9.662008689e+01,7.994541232e+01,5.116781917e+01,6.671873480e+01,8.267785579e+01,5.101528264e+01,5.547734777e+01,1.315356752e+01,6.569341504e+01,9.016431318e+01,3.512354749e+01,6.817849404e+01,6.011515601e+01,6.523372048e+01,6.230994385e+01,7.117299905e+01,2.885289629e+01,6.924666899e+01
7.762312261e+01,8.536774891e+01,8.460978538e+01,9.552468046e+01,8.316603201e+01,4.961651187e+00,1.170097856e+01,4.699367294e+01,4.184515708e+01,2.207131178e+01,2.062935320e+01,2.694650666e+01,8.274981769e+01,6.354910348e+00,2.746048777e+01,6.324182920e+01,8.239952535e+01,6.632482959e+01,2.574822528e+01,4.171108329e+01,9.924373886e+00,2.487286797e+01,5.364131709e+00,3.136256712e+01,7.642012764e+01,2.303251535e+01,6.690890519e+01,9.169871252e+01,4.601959201e+01,1.771819231e+01,3.569358060e+01,1.556854957e+01,9.153111883e+01,8.547734863e+01,2.082546746e+01,4.798047508e+01,7.029935343e+01,3.700572273e+01,9.001677916e+01,1.593166107e+01,9.771859715e+01,7.908685105e+01,2.505293322e+01,3.450807731e+01,5.761106909e+01,6.059115309e+01,2.469478226e-01,6.006572063e+01,4.638312527e+01,6.723316579e+01,7.406282736e+01,9.662755389e+01,1.679196532e+01,2.036643647e+00,8.037011139e+01,3.880071830e+01,4.237286830e+00,9.229393915e+01,9.939732830e+01,7.966716118e+01,3.109473515e+01,6.270317410e+01,9.248771114e+01,5.253982811e+01,1.442190947e+01,3.536394050e+01,1.249149510e+01,4.218291689e+00,3.261589192e+00,6.527142840e+01,9.289302903e+01,9.316919630e+01,2.733752958e+01,2.018750793e+01,1.113030596e+01,6.222882943e+01,3.936594396e+01,7.151757812e+01
8.632288365e+01,6.332589199e+01,5.100016656e+01,6.313045363e+01,3.466712566e+01,3.539678969e+01,8.414627736e+01,6.789451999e+01,5.657678597e+01,5.387030528e+01,7.814177969e+01,8.908431856e+01,3.013357920e+01,2.442556096e+01,5.511468743e+01,2.398784653e+01,1.677829284e+01,5.759076954e+01,2.290893696e+01,4.934516215e+01,1.454790708e+01,5.541196309e+01,8.441026674e+01,6.201727036e+01,8.253727883e+01,1.366404866e+01,5.685318414e+01,5.216720388e+01,4.742637782e+01,6.250014949e+01,7.299651847e+01,8.351061371e+01,3.237231061e+01,2.445066087e+01,2.574478954e+01,5.592900226e+01,8.140438899e+01,5.574042261e+01,8.166557401e+01,5.958906932e+01,9.503255839e+01,2.682140259e+01,6.842412877e+01,6.143261362e+01,2.111058643e+01,3.338138375e+01,3.102880199e+01,4.330196107e+01,2.443143427e+01,1.604374027e+01,2.099159802e+01,2.442936086e+01,8.360011273e+01,1.481818631e+01,2.425117016e+01,6.102893153e+01,3.412804977e+01,1.295888004e+01,1.581702873e+01,6.138370407e+01,2.376822426e+01,6.302888736e+01,3.757023985e+01,2.887049785e+01,4.687298584e+01,5.827789120e+01,1.577856661e+01,9.011592705e+00,8.539183752e+01,2.103531562e+01,9.803307276e+01,8.542268827e+00,4.336995259e-01,2.056689040e+01,4.833736636e+00,9.846786652e+01,6.232352922e+01,9.799593594e+01
5.125804808e+01,5.844654336e+01,1.093462647e+01,5.300566227e+01,3.830837274e+01,5.736771233e+01,4.346353180e+01,9.881387503e+01,5.486905589e+01,9.078557025e+01,7.786886217e+01,3.877860822e+01,6.250712672e+01,3.686431904e+01,8.338942046e+01,3.174901803e+01,2.664130026e+01,4.737525348e+01,1.812136778e+01,1.721223686e+01,6.744361669e+01,2.240737758e+01,6.047427964e+01,5.321614856e+01,1.843780489e+01,6.884228841e+01,3.247676852e+01,3.871092509e+01,6.067172080e+01,2.766673937e+01,9.866234665e+01,4.431934628e+01,4.766237079e+01,9.039930139e+01,9.697304627e+01,2.895302928e+00,5.512428267e+00,1.977911062e+01,7.090278581e+01,3.357155481e+01,5.663835526e+01,3.611186521e+01,9.573617352e+01,3.823764228e+01,2.939879536e+01,8.865692289e+01,8.512674245e+01,6.432909178e+01,5.325546429e+01,7.362676739e+01,9.726119683e+01,9.786090399e+01,1.641904867e+00,6.272134808e+00,1.244410937e+01,7.203749983e+01,6.037429395e+01,7.540097699e+01,8.316352513e+01,3.130437999e+01,7.178961794e+01,5.175657102e+01,5.347349984e+01,5.373394931e+01,1.363287425e+01,7.542364575e+01,9.137546293e+01,8.270696683e+01,1.675885171e+01,7.651653780e+01,6.884219717e+01,8.124977773e+01,7.504058054e+01,7.432988418e+01,6.846909415e+01,3.535912506e+00,1.602628812e+01,7.079715483e+01
4.991527003e+01,6.451432953e+01,1.782551083e+01,2.224701083e+01,6.237020923e+01,8.756297882e+01,3.966880722e+01,6.269599746e+01,7.588800882e+01,8.877865296e+01,3.936005495e+01,8.320436128e+01,9.310617250e+01,3.741421591e+01,3.877455769e+01,8.925477940e+01,5.305786935e+01,3.772479839e+01,2.204466472e+01,9.934659516e+01,5.287404542e+01,4.180982420e+01,2.457738028e+01,6.327704517e+01,7.003308329e+01,5.150615694e+01,3.656446556e+01,3.931211372e+01,6.338874972e+01,5.532588307e+01,9.293537422e+01,1.946635220e+01,5.018505910e+01,6.151032936e+01,7.954160794e+01,2.146769556e+01,7.865328137e+01,3.259052168e+01,4.584226107e+00,2.171693801e+01,9.365606084e+01,3.301383471e+01,1.651089698e+01,9.033799681e+01,8.614121860e+01,9.652771612e+01,3.802407367e-01,7.146967537e+01,6.815536409e+01,3.543211512e+01,1.894069461e+01,4.914860742e+01,9.605409260e+01,6.383683876e+01,3.025372842e+00,7.988054348e+01,8.820864506e+01,9.203106155e+01,6.617885628e+01,7.742622850e+00,1.773402636e+01,6.243605321e+01,5.770030091e+00,5.675558608e+01,1.175598197e+01,1.133261549e+01,6.244975976e+01,1.823172355e+01,3.594070402e+01,8.973193577e+01,4.940319405e+01,7.951435882e+01,4.682578039e+01,4.360256460e+01,1.703699815e+01,3.266312529e+01,6.082144831e+01,3.750764049e+01
3.052551177e+01,6.325891812e+01,8.388003205e+01,9.734345895e+01,6.608439616e+01,6.046814101e+01,2.848898723e+00,1.989460660e+01,4.563458186e+00,1.970542707e+01,2.655775023e+01,5.349325789e+01,7.395012315e+01,6.446881966e+01,3.854807873e+01,2.099515425e+01,5.893873697e+01,8.966197829e+01,2.962521910e+01,7.308210847e+01,5.517963683e+01,4.789626499e+01,8.735087576e+01,9.181736322e+01,6.462767087e+01,4.783576127e+01,2.760930022e+01,7.078497771e+01,9.735368274e+01,5.697528146e+01,4.986265524e+01,3.144430432e+01,9.588052178e+01,8.068151288e+01,8.099575581e+01,9.834345874e+01,8.200617795e+00,7.291673100e+01,7.778913574e+01,3.102936648e+01,9.456999360e+01,8.302902321e+01,7.774159716e+01,6.231792452e+01,3.881659822e+01,1.134677131e+01,5.327624062e+01,1.318508604e+01,1.797045827e+01,9.360436365e+01,8.550153432e+01,6.785069350e+01,5.411762901e+01,4.492177294e+01,2.753599633e+01,1.720278704e+01,3.248023742e+00,6.069182080e+01,7.770920371e+00,3.798950929e+01,1.805660458e+01,1.863300538e+01,6.399430627e+01,2.739444874e+01,1.357171435e+01,1.772241110e+01,3.375695528e+01,3.459920005e+01,4.017979259e+01,8.101921409e+01,7.404910801e+01,2.470471646e+00,8.892729267e+01,6.774068110e+01,5.892530951e+01,4.706560616e+01,8.820129375e+01,9.743724593e+01
