v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79
8.577766841e+01,2.751284018e+01,3.335319733e+00,9.983708838e+01,3.964384345e+01,5.447408737e+01,7.485967652e+01,6.833430049e+00,9.180391047e+00,1.761620261e+01,4.334462045e+00,7.076448495e+01,9.534908729e+01,6.093118921e+01,2.363148591e+00,4.403336883e+01,3.416017108e+01,8.078048627e+01,6.849477778e+01,4.726111735e+01,3.698619211e+00,3.267285450e+01,2.412300142e+01,5.790098447e+01,6.386675164e+00,8.329308681e+01,3.662467621e+01,1.542553773e+01,4.687081533e+01,5.428986153e+01,8.572247276e+01,2.785045652e+01,6.447852727e+00,9.694379971e+01,1.574368413e+01,8.519454253e+00,8.837889550e+00,9.776149351e+01,4.236170548e+01,9.402089305e+01,4.446449231e+01,2.749800483e+01,5.415833985e+01,1.472317730e+01,9.101087746e+01,1.049305567e+01,1.931529957e+01,1.960940992e+01,7.201533551e+01,9.110304818e+01,2.139733567e+01,7.664178253e+01,1.325713956e+01,6.610572835e+01,9.210641687e+01,8.354826765e+00,4.331192172e+01,9.518694232e+00,4.221801758e+01,7.950578589e+01,7.675325659e+01,2.698489146e+01,9.547254499e+01,4.395631969e+01,8.342793290e+01,8.989335738e+01,5.046561766e+01,1.630038249e+01,9.562829234e+01,6.477140726e+01,8.789200962e+00,7.436820052e+01,1.194394260e+01,6.741691694e+01,9.541632762e+01,4.052479383e+01,9.596412553e+01,8.873746053e+01,2.933937633e+01
7.594689421e+01,4.160210643e+01,4.145421672e+01,2.301138966e+01,1.232942811e+01,5.085055079e+01,9.761057700e+01,4.446888264e+00,4.425602829e+01,6.850731560e+01,4.594341518e+01,6.321039281e+01,1.662515618e+01,9.923984194e+01,1.532516285e+00,4.398408960e+01,7.158195414e+01,5.638451783e+01,6.290565149e+01,1.012927038e+00,4.571386876e+01,7.541145441e+01,8.214760607e+01,6.450574110e+01,4.499205041e+01,6.263974545e+00,8.257164709e+01,7.907832883e+01,5.061503670e+01,6.831891938e+01,4.217284814e+01,4.824464434e+01,6.027145367e+01,3.440346030e+01,9.018446829e+01,3.545471555e+01,6.045175486e+01,9.548679699e+01,6.842674546e+01,1.716939591e+01,6.573202504e+01,9.162295407e+01,4.365950332e+01,4.141977731e+01,6.678592612e+01,4.758213760e+01,7.463165847e+01,2.668639365e+01,1.623884406e+01,8.079783834e+01,6.232501056e+01,9.247736760e+01,4.470385230e+00,4.329796174e+01,4.117074576e+00,8.546838760e+01,1.210598091e+01,7.878932443e+01,5.538699661e+01,6.447129849e+01,1.725526364e+01,3.626634064e+01,1.374380380e+01,7.941864352e+01,1.365280771e+01,1.847039069e+01,1.353504920e+01,4.617005607e+01,1.834318316e+01,9.346340854e+01,1.788289576e+01,9.954404372e+01,6.553259083e+00,3.345906982e+01,4.682012527e+01,5.437473512e+01,5.386198513e+01,2.097933153e+01,2.099649196e+01
7.356568399e-01,4.454334767e-01,5.804183878e+00,4.713530107e+01,8.382047042e+01,2.686487913e+01,8.516552934e+01,8.349121919e-01,4.458420877e+01,3.093968967e+01,5.684188287e+01,5.734885257e+01,8.172290334e+01,3.081437969e+00,9.140453655e+01,2.077765473e+01,1.452071904e+01,1.253265249e+01,3.365661241e+01,2.846713665e+01,8.346925185e+01,5.865838486e+01,8.053346073e+01,7.557041908e+01,4.539552560e+00,8.445658767e+01,2.248653915e+01,8.431167596e+01,6.330215079e+01,8.870951036e+01,5.304080526e+01,7.964696488e+01,3.813618257e+01,5.024921630e+01,4.804032950e+01,1.018564251e+01,7.173189246e+01,2.631647130e+01,2.476333127e+01,1.457812095e-01,5.632295562e+01,7.633308447e+00,7.210205932e+01,9.613734443e+01,9.157413449e+01,3.929053359e+01,3.730137783e+01,5.923705181e+01,3.185399565e+01,6.760319908e+01,5.379507052e+01,4.387293363e+01,6.566705035e+01,2.403991754e+01,8.920333818e+00,8.774975759e+01,9.475803099e+01,6.735332409e-01,1.687004710e+01,2.434844769e+00,3.253646664e+00,4.067211629e+01,1.860497351e+01,2.055790897e+01,2.036606460e+01,6.643562955e+01,3.274151552e+01,6.280878937e+01,3.514464754e+01,7.547365332e+01,5.462709472e+01,4.082226971e+01,4.892308523e+00,4.342892816e+01,6.980906726e+01,9.646654635e+00,2.100496484e+01,8.187366328e+01,6.159988637e+01
9.524163787e+01,5.248786419e+01,6.193594469e+01,6.492774527e+01,2.441980690e+01,1.164662833e+01,7.447700918e+01,3.417445780e+01,4.193825641e+01,6.685129292e+01,8.584447422e+01,7.451053669e+01,5.953954149e-01,9.157491051e+01,1.799047064e+01,5.240184972e+01,7.880612639e+01,7.065495583e+01,8.208672944e+01,8.324970030e+01,5.590307599e+01,5.287704006e+00,3.582223165e+00,8.140447268e+01,1.274109516e+01,4.835628118e+01,7.504716328e+01,2.075204866e+01,1.557160627e+01,8.608694973e+01,1.029103052e+01,1.633070426e+01,3.221437601e+01,7.342864959e+01,2.566130481e+01,2.802449644e+01,8.461188381e+01,1.800226955e+01,1.504647559e+01,5.289207019e+01,2.919616520e+01,8.705819594e+01,9.335061390e+01,8.783800114e+01,3.481635603e+01,6.803443959e+01,9.489945803e+01,8.475873885e+01,6.538753964e+01,1.123005714e+01,2.655412943e+01,8.571700262e+01,7.213236642e+01,1.499230011e+01,4.886875069e+00,3.913535388e+01,7.146341064e+01,3.000538917e+01,6.893423175e+01,7.857682773e+01,6.602032646e+01,6.035434702e+00,6.363917529e+01,1.978040103e+01,5.200323716e+01,7.132794217e+01,7.208255878e+01,3.253944482e+01,4.016684439e+01,1.900380098e+01,5.011516877e+01,8.538661033e+01,1.178924955e+01,4.879913298e+01,9.891893797e+00,1.845971765e+01,4.294587898e+01,2.952841191e+01,6.172547457e+01
1.317745249e+01,5.925022010e+01,9.263707691e+01,8.007747378e+01,9.270628984e+01,9.352739631e+01,1.806808560e+01,9.249887210e+01,2.740044513e+01,7.932596908e+00,2.488885241e+01,1.563942079e+01,4.659366691e+01,4.176088047e+01,6.258161134e+01,8.072339468e+01,7.402141336e+01,2.934013808e+00,8.437977253e+01,8.346506582e+01,8.429029010e+01,1.812443656e+01,7.577023276e+01,9.474005476e+01,1.373525557e+00,6.378665551e+01,3.746276917e+01,9.484925539e+01,6.352444233e+01,9.153761832e+01,9.203830212e+01,7.911428447e+01,2.373526599e+01,1.435660606e+01,4.604276207e+01,6.794039697e+01,4.542290529e+01,8.625049685e+01,5.826810684e+00,1.470498046e+00,9.571636864e+00,9.717258004e+01,6.071295314e+01,8.340446572e+01,8.430558551e+01,9.156356805e+01,3.949466228e+01,4.195838469e+01,2.639959328e+01,3.762476009e+01,8.463476367e+01,2.755477031e+01,6.501362933e+01,9.926872861e+00,7.070195828e+01,4.134134000e+00,2.063604960e+00,7.652167841e+01,5.968725116e+01,3.078126150e+01,6.658201099e+01,4.505053411e+01,4.153293288e+00,5.431481899e+01,6.412423063e+01,8.438705431e+01,6.858230946e+01,1.388041593e+01,2.499706633e+01,4.579936829e+01,4.542122306e+01,8.186605972e+01,7.383115417e+01,9.071266004e+01,7.491694061e+01,3.741864442e+01,3.252208735e+01,2.004159322e+01,5.029197135e+00
7.132417663e+01,4.552001711e+01,7.983130992e+01,9.976097142e+01,5.955926259e+01,2.832900542e+01,8.474895052e+01,9.545953794e+00,3.735122701e+01,4.142165702e+01,9.270715787e+01,4.007299457e+01,7.317464675e+01,2.137702365e+01,2.082124403e+01,3.118947332e+01,4.045480711e+01,3.547778418e+01,6.890772496e+01,7.300080920e+01,9.470855537e+01,7.379486874e+01,3.379752528e+00,7.114507544e+01,2.625625043e+01,9.576902140e+00,9.739033850e+00,9.770711865e+01,9.494215385e+01,2.776748411e+01,3.134675714e+01,9.150216960e+01,8.631371411e+01,2.331387942e+01,4.399074663e+01,7.786401793e+01,6.471526633e+01,7.226185989e+01,7.345139212e+01,7.678268278e+01,9.691590471e+01,5.927446144e+01,2.663815931e+01,6.436301767e+01,6.456987204e+01,3.046204259e+01,5.051621125e+01,3.363924043e+01,1.366022257e+01,8.739295107e+01,3.965322350e+01,2.202714638e+01,5.950612303e+01,1.724317752e+01,5.311436242e+01,6.961316967e+00,3.040055489e+01,4.605449599e+01,3.109275728e+01,6.846828050e+01,9.350048880e+01,6.892835762e+01,9.134675402e+01,7.814132104e+01,7.052721935e+01,9.633368802e+01,7.547509172e+01,6.392097031e+01,6.313549699e+01,9.789962378e+01,4.036643178e+01,5.813368130e+01,4.110440626e+01,8.129113725e+01,8.152062409e+01,9.873826774e+01,2.918688073e+01,5.822236204e+01,6.804648138e+00
2.089434571e+00,8.996333962e+01,3.662509857e+00,6.120437154e+01,2.276440537e+01,4.507133723e+01,9.905875513e+01,6.157070319e+01,3.339032579e+01,6.040740615e+01,4.848420082e+01,3.066887423e+01,7.692027219e+01,7.626747061e+01,8.975983196e+01,4.157231647e-01,7.908560944e+01,6.292884862e+01,4.774899466e+01,8.474336007e+01,7.928348982e+01,5.503464864e+01,7.937895888e+00,3.155571089e+01,2.384154549e+01,6.407079605e+01,8.325264916e+01,6.647569742e+01,1.516285515e-03,6.592964714e+01,6.297583938e+01,6.595434234e+01,4.137417492e+01,3.272435963e+01,8.297393207e+01,7.138678703e+01,6.132443428e+01,7.528477806e+01,1.644149439e+01,7.895997080e+01,5.913526271e+00,2.548601917e+01,5.262019294e+01,8.912941092e+01,3.731979792e+01,6.991318269e+01,6.625561536e+01,5.484815518e+01,5.269506792e+01,8.138684641e+01,5.006071836e+01,3.252701061e+01,6.348787980e+01,4.922703251e+01,1.713350580e+01,3.528718655e+01,7.591233475e+01,5.398439867e+01,7.469120038e+01,9.902746586e+01,1.671211424e+01,4.127226661e+01,5.619323740e+01,3.413733438e-01,2.415490767e+01,7.044263710e+01,6.815478757e+01,8.778213117e+01,1.083819253e+01,7.334470312e+01,8.360768956e+01,9.341061833e+01,9.370951096e+01,1.168827681e+01,2.932313775e+01,6.440489412e+01,6.056619980e+01,4.771537873e+01,9.261223590e+01
3.869994016e+01,2.728710431e+01,2.609103491e+01,6.212197313e+01,8.125131112e+01,8.066309143e+01,7.595423670e+01,1.780067187e+01,4.019607765e+01,1.916520495e+01,4.245127534e+01,5.892123527e+01,2.336043861e+01,4.426452397e+01,1.040910247e+01,8.223818973e+01,9.392866679e+01,6.327150956e+01,9.358746143e+01,4.036281224e+01,6.879663565e+00,2.185415869e+01,7.404398965e+01,3.647170790e+01,1.708063217e+01,6.999339681e+01,1.241028621e+01,2.614925726e+01,4.957104232e+01,1.704225476e+01,2.446739262e+01,4.161740950e+01,8.562152335e+00,2.264698473e+01,5.226997855e+01,8.117139034e+01,6.423274886e+01,5.414572242e+01,3.950983521e+01,6.565976725e+01,6.489012940e+01,4.639473987e+01,1.460183262e+00,7.857023586e+01,7.244866958e+01,5.248772077e+01,3.811506310e+01,9.292505631e+01,1.411636658e+01,6.515050563e+01,3.825871846e+01,8.512694486e+01,9.806784229e+01,6.204023208e+01,5.766627727e+01,5.245127533e+01,8.469647615e+01,4.886273883e+01,2.240115278e+01,9.258724403e+01,3.350486646e+01,6.330414048e+01,1.337594885e+01,6.012494057e+01,6.079434365e+01,7.041277764e+00,2.165651060e+01,8.564328358e+01,8.049726776e+01,5.555831895e+01,4.583038201e+01,1.048914497e+01,6.078700621e+01,5.989108824e+00,9.456941743e+01,8.003344389e+01,3.764447164e+00,2.809558159e+01,6.757400549e+01
4.728261848e+01,9.210661747e+01,9.553350483e+01,7.169796329e+01,8.628186791e+01,7.675623818e+01,9.173971465e+01,6.312341414e+01,4.942355596e+00,1.985615976e+01,2.615415255e+01,1.687858270e-01,9.062484296e+01,5.631384038e+01,6.418260835e+00,6.597300671e+01,7.628789011e+01,3.002729134e+01,4.659255660e+01,5.694504306e+01,2.521640235e+01,4.307605199e+00,2.379993837e+01,4.784576797e+01,4.550988882e+01,9.669544319e+00,4.416317972e+01,8.624053883e+01,6.092934835e+01,6.626078566e+01,6.273202008e+01,8.516225054e+00,5.621321729e+00,2.854030788e+01,3.653579396e+01,4.236355932e+00,5.126880875e+01,5.686303210e+01,8.505324939e+01,5.734621875e+01,6.923733126e+01,8.691121967e+01,3.027918999e+01,5.583175139e+01,9.180762155e+01,5.136230633e+00,6.344576110e+01,4.068453547e+01,8.399498769e+00,3.423954414e+01,3.737942589e+01,1.984655251e+01,8.281166243e+01,6.163393571e+01,9.042783641e+01,1.989438546e+01,7.056496223e+01,3.092909521e+01,2.174130740e+01,2.019747090e+01,1.324957188e+01,2.613923101e+01,8.256007399e+01,5.993393838e+01,1.297246739e+01,6.187993193e+01,9.423626941e+01,5.993964666e+01,4.120322513e+01,9.046501931e+01,4.379082415e+01,6.330771235e+01,2.005634759e+00,3.834443180e+01,5.757044966e+01,2.367029594e+01,9.588950210e+01,8.250983690e+01,8.506426341e+00
3.621407372e+01,6.023323672e+01,9.766419813e+00,2.643399700e+01,5.024712104e+01,3.520849630e+01,6.600586880e+01,4.644127534e+01,7.300270889e+01,9.375558157e+01,2.842424201e+01,5.346854608e+01,3.865390379e+01,5.938886667e+01,1.824795875e+01,3.818576211e+01,1.589531627e+01,3.766926653e+01,4.959665036e+01,6.920033307e+01,1.835591622e+01,9.135680680e+01,7.005158387e+01,8.001836030e+01,4.468256967e+00,9.800961881e+01,8.088495615e+01,1.078799379e+01,2.716523978e+01,5.286466297e+01,4.899421958e+00,4.713162844e+00,7.353295480e+01,3.319282426e+01,7.362499222e+01,5.408915543e+01,9.115745383e+01,2.545431491e+01,8.132860771e+01,4.676873105e+01,3.101204546e+01,6.739174078e+01,6.370395244e+01,4.644795654e+01,1.709648330e+01,4.314975238e+01,3.656573309e+01,8.170352021e+01,2.819457166e+01,4.568670601e+01,4.516191644e+01,7.721338204e+00,1.525212779e+01,7.974548359e+01,8.860128858e+01,9.193737176e+01,7.512451943e+01,5.106712873e+01,4.373145800e+01,4.518484429e+00,7.954903336e+01,8.966232924e+01,4.411590776e+01,3.972272300e+01,2.670220342e+01,3.671843239e+00,6.558400434e+01,3.658015314e+01,5.729872803e+01,3.236141538e+01,8.453464377e+01,5.027810569e+01,5.039092483e+01,3.208961515e+00,8.277242455e+01,6.926890222e+01,9.607137554e+01,6.050286555e+01,4.247021443e+01
