v1,v2,v3,v4,v5,v6,v7,v8
9.949809610e+01,5.820244194e+01,3.023560324e+01,9.234877048e+01,9.897709594e+01,8.166145584e+01,9.514771375e+01,5.648477983e+01
3.151794195e+01,6.628733694e+01,9.400157582e+01,2.197347031e+01,5.207378632e+01,1.283795847e+01,2.676037715e+01,3.408290352e+01
6.770595621e+00,9.174471308e+01,1.700200771e+01,7.886860597e+01,3.328575843e+01,6.638173624e+01,2.193917429e+01,5.980850009e+01
2.207962469e+01,2.976707208e+01,5.750947287e+00,7.381601053e+00,5.377399666e+01,6.059177707e+01,6.573310439e+01,6.093377375e+01
5.950291374e+01,3.944996183e+01,2.257130060e+01,4.091853303e-01,5.145835495e+01,2.877569365e+01,8.622496260e+00,3.778832111e+01
9.210024960e+01,4.196375953e+01,5.775022775e+01,4.276628902e+01,2.767017113e+01,2.765649036e+01,6.292828912e+01,2.083541829e+01
6.692847868e+01,1.903955067e+01,4.546783418e+01,1.637117735e+01,8.308012153e+01,1.436289969e+01,8.545330135e+01,6.202369087e+01
2.099511202e+01,4.783881251e+01,1.495572751e+01,6.906151055e+01,1.169506332e+01,5.645487714e+00,8.085345881e+00,2.762631654e+01
2.129413168e+01,6.771739152e+01,5.141396782e+01,6.116274615e+01,8.908459421e+01,1.741167198e+01,9.547873343e+01,8.753917415e+01
1.931539993e+01,4.864619534e+01,2.078942333e+01,9.602269729e+00,1.607215430e+01,4.206950096e+01,5.320341599e+01,3.173753934e+01
5.868113314e+01,8.537249989e+01,1.519893666e+01,5.896906359e+01,1.398626977e+00,9.397826439e+01,3.290700322e+01,2.740052913e+01
5.437157138e+01,5.623879317e+01,9.634544139e+01,6.027312838e+01,6.284796315e+00,6.838946403e+01,2.902168856e+01,2.110223566e+01
6.088406764e+01,8.987537156e+01,2.955131933e+01,8.731469199e+01,1.846098398e+01,6.161291344e+01,7.186803547e+00,7.287444271e+01
1.920549965e+01,3.105342356e+01,9.125207080e+01,5.779260744e+01,4.434830865e+01,9.067713619e+00,5.225876800e+00,8.225056168e+01
1.607387719e+01,4.605321139e+01,8.216906547e+01,1.728695891e+01,8.833011224e+00,4.310269215e+01,4.849778481e+01,3.135690191e+01
