v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80
5.004932237e+01,8.632104784e+01,1.124793628e+01,5.577782371e+01,6.687153407e+01,1.458435221e+01,2.372765964e+01,8.259479824e+00,4.209771719e+01,5.227811354e+01,7.662911118e+01,6.210082942e+01,1.599558349e+01,1.083443437e+01,5.294523718e+01,2.764929346e+01,5.475479945e+01,8.007754486e+01,5.203504015e+01,4.851378220e+01,9.410237416e+01,7.670432041e+01,2.495520750e+00,5.049262917e+01,7.546699357e+00,5.507574950e+01,9.690341606e+01,1.912805686e+01,8.297494047e+01,8.374787690e+01,4.826505190e+01,3.385981439e+01,3.338176491e+01,3.140633000e+00,8.318811032e+01,8.049523573e+00,5.575571131e+01,9.966150850e+01,6.442270338e+01,9.218739540e+01,8.197663705e+01,1.595897638e+01,9.114524209e+01,4.218068183e+01,1.356995847e+01,4.338642994e+01,1.221564079e+01,2.087557506e+01,9.183536759e+01,7.704810988e+01,6.364336454e+01,7.665751519e+01,1.565773992e+01,8.279402911e+01,5.501728043e+01,6.116082369e+01,9.311725411e+00,5.157212375e+01,7.899591441e-01,1.135746308e+01,3.798028602e+01,9.590999874e+01,1.806021697e+01,6.997218173e+01,7.922780954e+01,1.758174481e+01,6.261376026e+01,7.522444011e+01,1.749604622e+01,8.013804521e+01,1.460621481e+01,2.533258539e+01,8.332392533e+01,3.006330085e+00,1.660037532e+01,6.023477200e+01,3.478519562e+00,8.867714779e+01,1.889669349e+00,4.434392652e+01
7.699350599e+01,2.802467085e+01,7.309261585e+01,4.246732910e+01,7.233078846e+01,5.492447331e+00,2.191557852e+01,8.228379888e+01,5.158231456e+01,1.012960776e+01,6.486829613e+01,8.236844349e+01,4.613597318e+01,5.088607701e+01,5.682568489e+00,5.236732750e+01,7.255907043e+01,6.124618350e+01,8.700675141e+01,2.636747756e+01,1.428706495e+01,2.372493792e+01,2.470934133e+01,6.267061503e+01,8.145653077e+01,5.584923071e+01,7.328581561e+01,7.271125264e+01,6.443769019e+01,6.351744994e+01,7.407360848e+01,7.571141475e+01,2.828500389e+01,6.114728691e+01,1.309704586e+01,9.163919953e+01,5.499633004e+01,5.738595915e+01,9.263474981e+01,2.326944867e+01,7.142310281e+01,6.454193798e+01,9.069753445e+01,1.313032247e+01,7.339159124e+00,8.879792253e+01,3.777648176e+01,6.414413159e+01,6.653869637e+01,1.086200176e+01,3.413772332e+01,8.237656788e+01,3.955664536e+01,8.714695653e+00,9.190976864e+01,2.237147272e+01,1.940157131e+01,8.313018126e+01,2.275668057e+01,9.815586525e+00,2.916133227e+01,8.184324524e+01,8.945847978e+01,8.825434067e+00,4.824761686e+01,5.080153383e+01,7.923507653e+01,1.048394164e+00,2.712443978e+01,6.793042954e+01,4.575628416e+01,2.468782866e+01,3.544314967e+01,4.891161072e+01,9.015002275e+01,2.452484968e+01,8.639341621e+01,8.875859436e+01,9.086388868e+00,5.077612065e+01
5.952929640e+01,3.351670396e+01,1.115826580e+01,4.922514615e+01,6.086587519e+01,1.144782409e+01,2.620684492e+01,3.543294400e+01,5.079518333e+01,1.580657107e+00,4.533879992e+00,7.643128053e+01,8.774962262e+01,5.770609444e+01,2.068970674e+01,1.825769278e+01,5.900495499e+01,9.670767922e+01,1.367654111e+01,2.966996870e+01,1.189771265e+01,4.628944336e+01,2.667552886e+01,2.086727116e+01,8.955032993e+01,2.287081696e+01,3.891648645e+01,1.296185666e+01,1.308003133e+00,9.355259787e+01,2.914733942e+01,8.605190427e+01,9.955418396e+01,2.835430623e+01,2.972093807e+01,1.341092756e+01,2.537090460e+00,6.966295329e+01,5.012502419e+01,8.175916749e+01,7.243769925e+00,4.647368530e+01,8.581681174e+01,5.155371115e+01,9.142323057e+01,5.874704037e+01,6.139239826e+01,6.838483499e+01,4.760327011e+01,4.583442913e+01,8.656093762e+01,5.569663055e+01,6.860641984e+01,5.684225966e+01,6.159533031e+01,6.957056681e+01,6.392616417e+01,3.537148880e+00,1.048882282e-01,8.387690748e+00,3.051042700e+01,4.663844841e+01,5.146653311e+01,5.301633264e+00,7.787201343e+01,3.849660607e+01,5.352395458e+01,4.376532129e+01,7.541500125e+01,1.195293306e+01,1.622959994e+01,5.377746254e+01,4.016355351e+01,4.025559216e+00,7.709479200e+01,1.261137699e+01,8.293732644e+01,7.504335206e-01,7.417214840e+01,3.062490082e+01
6.071066115e+01,7.876081789e+01,7.073197490e+00,5.875892190e+01,2.576892986e+01,8.351309327e+00,4.480614800e+01,9.320433819e+00,7.980525973e+01,7.802102023e+01,2.069900093e+01,2.282918247e+01,5.962579854e+01,1.660166591e+01,2.998674157e+01,7.788746328e+01,7.884505335e+01,5.256623828e+01,7.921915561e+01,2.463760825e+01,6.935761507e+01,6.048403462e+01,9.673733024e+01,3.224451111e+01,3.652971006e+01,9.868561343e+00,9.984899338e+00,7.510415482e+01,3.939242363e+01,3.333388968e+01,1.194511795e+01,5.262781586e+01,1.204646601e+01,8.409959689e+01,6.708681808e+01,8.018411066e+01,8.718757535e+01,7.982153339e+01,9.417379436e+01,8.621330501e+01,7.829453226e+01,6.006079164e+01,4.652506416e+01,4.266937448e+01,6.500310097e+01,5.982801481e+01,3.097140946e+00,3.733991001e+01,8.109236448e+01,4.633482087e+01,7.086556273e+01,2.279268597e+01,5.672729534e+01,4.243066633e+01,4.574046793e+01,4.361024521e+01,7.931647316e+01,5.342655520e+01,4.080256959e+01,1.268469060e+01,5.398934883e+01,8.219854229e+01,4.850538523e+01,6.031208253e+01,2.729008808e+01,6.121367042e+01,5.831636840e+01,3.608230488e+01,9.775738864e+01,1.731076520e+01,6.780895413e+01,6.501083215e+01,6.017352713e+01,4.825491954e+01,3.876661416e+01,9.776349510e+01,9.879270670e+01,8.003514480e+01,1.630864202e+01,6.739554057e+01
5.425155181e+01,7.726722014e+01,1.740978663e+01,5.934187542e+01,3.689250844e+01,4.324908015e+01,1.793074073e+01,3.197117116e+01,5.180538199e+01,4.130680474e+01,2.971014207e+01,5.931864382e+01,3.991268798e+01,9.484489734e+01,2.775223135e+01,3.457164311e+01,2.010626627e+01,8.539547034e+01,5.940386324e+01,7.310801471e+01,1.465638171e+01,1.358386916e+01,1.933765346e+01,3.140518865e+01,7.862016313e+01,1.663468221e+01,7.122086931e+01,6.414709457e+01,4.949079183e+01,4.869035510e+01,7.887190139e+01,8.779577053e+01,5.003580932e+01,8.364984630e+01,3.760699324e+01,7.612635090e+01,4.267790388e+00,7.197026734e+01,1.106457452e+01,5.543423408e+01,9.932512922e+01,4.091784756e+01,9.441538249e+01,2.928478921e+01,6.845787610e+01,2.371306435e+01,3.094548903e+01,5.386254987e+01,7.254852148e+01,9.988955341e+01,6.490929825e+01,7.613945536e+01,9.224033592e+01,6.805595390e+01,9.711961586e+01,3.070629576e+01,1.651568137e+01,2.327718583e+01,6.140795650e+01,4.884733654e+01,3.736713176e+01,6.125060295e+01,1.516208102e+01,7.456525225e+00,2.591593704e+01,7.720058555e+00,7.519383050e+01,6.939871190e+01,3.837642886e+01,6.530382026e+01,8.185871249e+00,1.222856984e+00,7.076425716e+01,5.342279197e+01,7.983840414e+00,5.209402028e+01,3.430884757e+01,4.371842540e+01,4.088853026e+01,5.371839593e+00
7.527417864e+01,7.591897069e+00,7.905651992e+00,4.791851980e+01,7.414822317e+01,9.942531258e+01,7.059099949e+01,9.538133165e+01,5.776901256e+01,3.860711366e+01,8.336364362e+00,4.450464075e+01,8.311031109e+01,4.701558223e+01,6.713656611e+01,6.212942600e+01,3.543175500e+01,6.224553920e-02,9.290110589e+01,2.231437190e+01,8.859890677e-01,3.328480693e+00,6.292157680e+01,3.262964227e+01,3.904106425e+01,1.835115395e+01,1.305433614e+01,5.797528307e+01,3.858220480e+01,5.739977420e+01,8.919586255e+01,8.217731589e+01,3.974845117e+01,8.925749978e+01,8.927525782e+01,4.606361630e+01,8.674520234e+01,9.989565454e+01,9.784437867e+01,6.941077117e+01,7.125938268e+01,7.522061868e+01,1.642053586e-01,1.719943298e+01,6.888061237e+01,1.279996044e+01,2.712352792e+00,6.042509800e+01,1.279803811e+01,9.141409348e+01,2.759881420e+01,2.547237127e+01,3.494783044e+01,8.368257183e+00,7.278618235e+01,9.701989813e+01,8.313404841e+01,7.955490166e+01,8.821369613e+01,8.453865247e+01,5.765698620e+01,8.297570668e+01,6.462463392e+01,3.017520739e+01,6.815227449e+01,7.429839763e+01,9.403402952e+00,7.372269161e+01,3.160113048e+01,3.302356099e+01,2.107226686e+01,7.895748957e+01,2.498497290e+00,4.595928448e+01,6.364805566e+01,1.669222930e+01,6.368969574e+01,6.414586191e+00,3.355288814e+01,2.199013670e+01
3.529177701e+01,6.991874937e+01,5.023115893e+01,6.721537048e+01,5.386994147e+01,7.159433540e+01,1.833404449e+01,8.984194608e+01,9.049529158e+01,9.778038432e+01,2.558858363e+00,5.807460188e+00,5.356547958e+01,8.620667443e+01,9.889364197e+01,1.805831752e+01,3.642545193e+01,2.204131912e+01,7.898262776e+01,1.170168622e+01,8.956715213e+01,5.102715309e+01,1.065531021e+01,7.242552521e+01,4.873632578e+01,1.404654556e+01,5.167234377e+01,1.358844629e+01,2.888987536e+01,6.179401582e+01,7.217855344e+01,9.611162424e+01,7.968673162e+01,6.170239844e+01,9.060980797e+01,2.623233770e+01,9.706605512e+01,3.729681488e+01,4.647336180e+01,8.696751686e+01,6.915431362e+01,5.467201665e-02,1.098942008e+01,9.214975243e+01,3.769573860e+01,8.140740966e+01,7.253073992e+01,8.660430209e+01,1.744542472e+01,1.811909681e+01,6.208442371e+01,4.953846195e+01,1.728423214e+01,7.060328432e+00,7.068690011e+01,4.920298161e+01,4.240443354e+01,2.477566612e+01,6.120316788e+01,5.236327719e+01,3.442804540e+01,3.524842053e+01,2.312006335e+01,9.345760671e+01,8.694870973e+01,7.255231657e+01,8.769514489e+01,2.367718473e+01,6.083304545e+01,3.350429350e+01,7.954149476e+01,5.599607953e+01,1.314713639e+01,7.791277086e+01,8.247521791e+01,5.807928835e+01,2.648855210e+01,7.048349963e+01,3.151452443e+01,6.125595337e+01
9.218179647e+01,4.682373234e+01,5.589737008e+01,8.457777040e+01,8.787313344e+01,6.404905051e+01,3.694797136e+01,8.798706197e+01,4.777701637e-01,8.215753754e+01,7.120429894e+01,8.455949984e+01,3.534913400e+01,1.756382376e+01,3.409871923e+01,7.501379022e+01,2.103544073e+01,4.404357230e+00,5.727267539e+01,1.437713980e+01,4.707041618e+01,7.750805711e+01,7.016669380e+01,9.004907797e+01,5.416981764e+01,7.129955777e+01,5.036936282e+01,1.079070135e+01,3.577975134e+01,9.612634012e+01,6.016547915e+00,7.657061809e+01,6.605511049e+01,7.945098578e+01,7.137861429e+01,8.337322268e+01,5.269141879e+01,6.460384236e+01,9.910890483e+00,2.566989813e+00,6.240997328e+01,2.862335556e+01,2.391468661e+00,9.567526129e+00,6.791963878e+01,7.922976535e+01,8.363955105e+01,9.239442522e+01,7.053998679e+01,9.313306491e+01,6.344563309e+01,5.203683506e+01,7.032777107e+01,5.585913726e+01,9.627320512e+00,7.716357485e+01,4.822547689e+01,5.794978727e+01,9.611187853e+00,6.515615567e+01,3.427283596e+01,6.754711203e+01,2.986906006e+01,9.547159674e+01,2.653810380e+01,2.749037617e+01,1.529856268e+01,5.590875274e+01,5.335284059e+01,5.208624587e+01,7.351011025e+01,6.840707584e+00,9.069899653e+01,5.915324977e+01,2.181473719e+01,3.628331879e+01,2.436849262e+01,3.018118614e+01,8.216308233e+01,1.260792716e+01
9.152763183e+00,1.684005556e+01,3.337954384e+00,1.557875101e+01,8.075013081e+01,5.374792241e+01,1.217024370e+01,7.912778832e+01,1.342055511e+00,4.445676670e+01,6.420464575e-01,2.678646166e+01,1.154813623e+01,4.484152382e+01,6.908880456e+01,9.796007460e+01,4.815507680e+01,7.310391075e+01,8.329031401e+01,1.871958224e+01,1.966845654e+01,2.502204496e+01,8.177506042e+01,8.353086681e+01,7.757105445e+01,8.320967093e+01,5.481651473e+01,1.395185629e+01,8.401003310e+01,5.594255679e+01,1.629296589e+01,7.855645640e+01,8.656609331e+01,7.317410347e+01,1.268925081e+01,7.481109615e+01,9.245643352e+01,8.427015658e+01,5.560777035e+01,7.806261142e+01,7.005400298e+01,8.095503141e+01,2.116623572e+01,1.669936703e+01,7.050985979e+01,8.579135737e+01,2.550506106e+01,3.186823630e+01,8.280196110e+01,1.423136674e+01,9.725426332e+01,9.849803821e+01,3.423335674e+01,1.976136503e+01,5.344387088e+01,3.784317658e+00,7.345242158e+01,7.742587507e+01,1.832113742e+01,6.820066829e+00,6.386073608e+01,4.187700191e+01,9.843046538e+01,3.792977130e+01,4.446065131e+01,8.473589681e+01,4.042309304e+01,9.393494354e+01,3.629209773e+01,1.078296239e+01,4.833995865e+00,7.812818477e+01,4.310970979e+01,4.330579831e+01,4.649038285e+01,9.445457010e+01,4.681758182e+01,6.642566326e+01,4.647322371e+01,2.677918787e+01
7.920863258e+00,9.704904458e+01,8.632826213e+01,5.566812904e+01,3.774413104e+01,7.330532108e+01,6.407805349e+01,1.810466745e+01,6.555900435e+01,8.151185143e+00,4.460403974e+01,1.823707773e+01,7.234683816e+01,2.214035968e+01,4.857904036e+01,4.077666692e+01,6.400191469e+01,5.604408585e-01,1.221285573e+01,9.673928215e+01,2.945132065e+01,3.214650907e+01,5.372681044e+01,1.108791258e+01,7.298078834e+00,7.047505861e+01,9.889740319e+01,5.017293771e+01,8.062640499e+01,8.298874097e+01,5.012345182e+01,6.911378923e+01,2.403735326e+01,9.979647993e+01,6.456669021e+01,7.282860658e+01,8.590840471e+01,3.151571251e+01,1.375133214e+01,7.520407908e+01,8.580053074e+01,5.362447727e+01,8.713524922e+01,5.950981760e+01,3.234514510e+01,5.088143177e+01,3.127373191e+01,5.024078846e+01,9.528007555e+01,3.518005801e+00,9.212075671e+01,4.264329495e+01,5.646935086e+00,7.498236498e+01,2.165230659e+01,1.407391541e+01,8.405690159e+00,8.230281635e+00,1.255565931e+01,8.711769766e+01,4.495106040e+01,4.545388575e+01,9.482675991e+01,4.250728703e+01,5.755672167e+01,6.597194256e+01,2.984415578e+01,8.350122778e+00,1.978782862e+01,9.688609241e+01,5.545480460e+01,4.581479026e+01,5.027926373e+01,2.876449876e+01,4.547943785e+01,3.299436737e+01,9.609892409e+00,2.662364763e+01,1.423728991e+01,9.978679537e+01
