v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81
8.957358092e+01,2.099545205e+01,6.702627458e+01,3.572932752e+01,7.812471561e+01,1.120077776e+01,3.024263487e+01,1.468942828e+01,9.480792029e+01,3.490677500e+01,2.373218621e+01,1.168533957e+01,5.930518253e+01,2.475519325e+01,1.616209199e+01,9.136202555e+01,2.077157080e+01,3.128601740e+01,5.870483884e+01,7.582666064e+00,9.597119269e+01,3.436382676e+01,9.120031402e+01,5.972014500e+01,2.737329636e+01,9.668871889e+01,7.012217320e+01,1.200217798e+01,1.537535073e+00,4.804015229e+01,4.050361234e+01,4.744841403e+01,3.747421921e+01,7.057728490e+01,8.190301202e+01,5.942306916e+01,6.276664472e+01,1.211015513e+01,6.917749214e+01,5.781882816e+01,9.325986957e+01,9.425610273e+01,4.695489079e+01,3.749967397e+01,2.204303355e+00,5.180348813e+01,9.685117829e+01,4.061522166e+01,8.938377620e+01,4.146787948e+00,4.502159015e+01,9.078381658e+00,4.452094186e+01,8.714199488e+01,4.235302015e+01,6.855909527e+01,4.225259721e+01,8.761988068e+00,1.581810276e+01,3.560809774e+01,1.906916898e+01,5.291380784e+01,8.217511405e+01,8.599272155e+01,2.651146984e+01,6.406725426e+01,7.759485318e+01,7.382948467e+01,9.454626398e+01,8.391603852e+00,9.689224687e+01,2.457783259e+00,1.443805479e+01,7.376823936e+01,8.733574401e+01,5.676745072e+01,7.885512024e+01,2.739739017e+01,8.800390121e+01,9.729016385e+01,3.223585558e+01
3.866807032e+01,2.798469332e+01,5.412719353e+00,4.834133195e+01,5.796111413e+01,4.206566233e+01,4.072415032e+01,6.234353382e+01,2.388188246e+01,8.266426166e+01,2.598823532e+01,7.051586894e+01,7.923356881e+01,9.964202172e+01,8.983638864e+01,4.870149370e+01,1.295752005e+01,8.052257167e+01,7.097170865e+01,6.763537334e+00,2.498074155e+01,8.407525739e+01,5.688852242e+01,8.049134420e+00,3.430310217e+01,5.793403761e+01,7.626610044e+00,4.112116411e+00,9.390145027e+01,5.306767038e+01,6.306048631e+01,8.261722487e+01,1.282622242e+01,5.191526384e+01,3.037573793e+01,6.392171074e+01,7.496012672e+01,4.778705746e+01,3.303148161e+01,2.296327654e+01,4.445641995e+01,1.614931257e+01,4.163218639e+01,4.737191314e+01,1.945038923e+01,8.775083765e+01,7.516658715e+01,8.635330321e+00,9.481841737e+01,2.903671387e+01,7.602528613e+01,2.508272847e+01,6.599288356e+01,2.376210723e+01,1.155946819e+01,8.270951975e+01,6.468783380e+01,6.739209083e+01,6.558298538e+01,8.050963863e+01,1.240681190e+01,5.805942210e+01,8.512281707e+01,1.369336341e+01,9.726427724e+01,8.866116246e+01,2.696456143e+01,7.216408185e+01,6.821298434e+01,2.937802541e+01,9.891655196e+01,3.855922833e+01,5.220605463e+01,4.731126334e+01,8.504956961e+01,2.346664821e+00,8.986770502e+01,8.599681629e+01,6.887539991e+01,8.032220961e+01,2.624650888e+01
1.980865864e+01,9.222961347e+01,2.777740033e+01,8.090687837e+01,8.838124149e+01,2.034230658e+01,3.630244796e+01,2.920668805e+00,5.982700702e+01,9.303252576e+01,4.797194870e+01,9.620865981e+01,3.876579924e+00,3.593350406e+00,8.928912350e+01,4.708409226e+01,1.837028617e+01,4.811276959e+01,4.978693150e+01,8.288961863e+01,3.489526054e+01,1.371077411e+01,9.541098011e+01,2.754887766e-01,8.317247949e+01,5.317804581e+01,3.324351929e+01,4.717536954e+01,3.683882562e+01,1.517592012e+01,4.155720107e+01,7.464153070e+01,4.467927069e+01,7.994484093e+01,6.727397249e+01,6.719753517e+01,3.996877093e+01,2.391842317e+01,5.208718817e+01,1.132512906e+01,7.569368006e+01,1.083837873e+01,2.143486531e+01,1.554195079e+00,9.274400159e+01,1.781844830e+01,8.037347419e+01,2.648882541e+00,1.462617400e+01,8.551408431e+01,5.394268438e+01,5.866112836e-01,2.206064674e+01,4.603765156e+00,3.748274055e+01,5.467407436e+01,5.618670170e+01,1.373325695e+01,9.616196324e+01,3.194268274e+01,5.263640863e+01,6.754747131e+01,7.847491647e+01,9.387542565e+01,3.013354502e+01,1.220924505e+01,4.627299394e+00,5.026073475e+01,7.715022237e+01,6.790273681e+01,7.155833107e+01,6.360221718e+01,7.842287259e+01,7.057977444e+01,8.904688718e+01,9.994144100e+01,8.509075661e+01,3.042416808e+01,1.593767818e+01,1.169712967e+01,9.465535925e+01
5.375551532e+01,3.721880757e+01,5.199402877e+01,5.419873531e+01,7.528114750e+00,3.170357654e+00,1.744683483e+01,7.985566399e+01,9.399124336e+01,5.286715581e+01,3.559771751e+01,8.505317412e+01,2.519394980e+01,6.630785556e+01,5.616931154e+01,3.192972340e+01,1.014030078e+01,8.119117850e-01,7.831199698e+01,4.191878105e+01,2.687404386e+01,9.710805913e+01,6.423977101e+01,9.560041413e+01,9.388236420e+01,8.162649387e+01,2.141046722e+01,5.818432663e+01,4.240150198e+01,5.577431609e+01,4.513502179e+01,1.473644344e+01,9.703193718e+01,2.337764577e+01,9.065058357e+01,5.566080910e+01,9.669886500e+01,9.093677492e+01,6.545323249e+01,5.919437101e+01,8.687113784e+01,9.093916952e+01,4.836225885e+01,6.597658284e+01,3.701667938e+00,2.196084574e+00,2.997918817e+01,2.404395153e+01,7.289107872e+01,1.241337834e+01,1.855617044e+01,7.023759337e+01,2.080544476e+01,9.653588125e+01,9.755457418e+01,6.987937171e+00,7.103502169e+01,8.354895886e+01,8.230718694e+01,5.025028344e+01,7.778825922e+01,9.212519816e+01,5.446157933e+01,7.779992479e+01,7.114807612e+01,2.010482562e+01,6.280339583e+01,1.302470187e+01,7.796620566e+01,7.439918032e+01,4.407155446e+01,8.903315362e+01,7.968900808e+01,5.595254273e+01,4.044610956e+01,3.493968792e+01,6.712806969e+01,1.209607181e+00,9.283760260e+01,7.462856029e+01,5.894558767e+01
4.712696320e+01,1.355613671e+01,6.927355324e+01,2.054037974e+01,8.351387430e+00,1.499798583e+01,3.592712115e+01,3.460347137e+01,4.048535993e+01,2.862458173e+01,8.282295839e+01,6.046979522e+01,6.789025625e-01,6.385332272e+01,7.915026391e+01,2.155189652e+01,9.146194522e+01,9.077438712e+01,2.836537627e+01,2.949705341e+01,5.597129205e+01,7.612867417e+00,9.058362182e+01,1.598442987e+01,5.133914370e+01,3.287327691e+01,1.119319175e+01,2.437402402e+01,1.638823679e+01,3.577546006e+00,5.544661722e+01,6.745072576e+01,2.938757006e+01,2.387059673e+01,9.043321909e+01,4.354661951e+01,3.605610012e+01,8.749512027e+01,9.255428867e+01,1.045124008e+01,7.603202986e+01,5.940072717e+00,2.769024756e+01,9.403305903e+01,1.640402300e+01,8.141024955e+01,7.353773243e+00,9.762427861e+01,7.972271066e+01,4.432400806e+01,1.537821980e+01,6.453110614e+01,5.295385737e+01,1.697405237e+01,6.266310001e+01,3.843424559e+01,6.956421657e+01,2.510388464e+01,6.467662456e+01,5.666579374e+01,7.269020322e+01,3.698527066e+01,9.264857405e+01,4.712717976e+00,7.913228247e+00,9.874313901e+01,3.341559481e+01,4.345492778e+01,1.020177395e+01,1.450394793e+01,5.918023940e+01,3.798523945e+01,6.993292920e+01,8.363797203e+01,7.150057683e+01,9.545976046e+01,5.295972351e+00,8.631812430e+01,2.833729386e+01,6.151501937e+01,4.671313637e+01
2.783351449e+01,7.554505510e+00,4.768773152e+01,4.942919410e+00,6.269416685e+01,1.617627800e+01,8.784055469e+01,1.618621658e+01,6.539471888e+01,1.399005372e+01,5.460600463e+01,2.041273023e+01,7.878271219e+01,5.023958974e+01,2.345341093e+01,8.263821585e+01,7.872187106e+01,1.260583421e+01,2.532065632e+01,8.855211566e+01,2.538247293e+01,3.006489798e+01,5.446247510e+00,6.955543495e+01,3.151077017e+01,9.270883678e+01,1.183361132e+01,7.118768377e+01,8.633994011e+01,6.981268708e+01,4.696949107e+01,5.283650585e+01,7.978265848e+01,7.147497893e+01,8.743376172e+01,7.637330925e+01,9.813797382e+01,6.140612175e+01,4.964265512e+01,2.801975825e+01,3.208388324e+01,6.728063660e+01,4.391009898e+01,5.232027453e+01,1.377397842e+01,1.656310646e+01,8.395513824e+01,4.798666538e+01,3.688773144e+00,5.636185629e+01,9.802611200e+01,5.832995726e+01,3.522535324e+01,9.221211281e+01,2.745584148e+01,7.440622252e+01,1.621885570e+01,4.425811923e+01,1.848077245e+01,9.405463615e+01,2.021578405e+01,1.993612053e+01,5.004021712e+01,9.048737772e+01,5.338628424e+00,6.309153292e+01,5.352445449e+01,8.852078514e+01,4.680706831e+01,2.792108065e+01,5.245084629e+01,7.107269417e+01,4.189572095e+01,7.033274326e+01,7.812118434e+01,5.306705218e+01,6.016757943e+01,7.450038443e+00,6.733118047e+01,5.131307017e+01,6.838600757e+01
6.396432901e+01,5.365399701e+01,2.679847870e+01,4.231661458e+01,8.171101976e+01,5.086346749e+01,4.132960777e+01,7.905907515e+01,1.104986516e+01,8.828993573e+01,1.051875540e+01,4.089873443e+01,7.170716573e+01,5.247962175e+01,3.745358616e+01,1.328280845e+01,5.230030763e+01,6.330599584e+01,1.526526250e+01,4.118878978e+01,4.647383664e+01,6.756895703e+01,1.415019159e+01,8.976172907e+01,8.539833018e+01,2.994652547e+00,1.816347966e+01,9.535711819e+01,1.654832018e+01,5.085146101e+01,3.992032125e+01,5.342462696e+00,6.600166612e+01,4.359038156e+01,7.512924703e+01,6.708689443e+01,1.271112285e+01,3.278500639e+01,2.813691978e+01,2.193853768e+01,5.881867389e+01,2.047330417e+01,7.265383339e+01,6.844945228e+01,2.464165122e+01,8.541161718e+01,5.065197294e+01,8.157045132e+01,7.044707010e+01,6.825567260e+01,6.955691277e+01,2.938484199e-01,8.074435260e+01,2.602596969e+01,5.921194075e+01,2.864400723e+01,9.496366147e+01,8.696653110e+01,9.047595696e+01,9.637339867e+01,3.949871846e+01,3.142806426e+01,4.947391579e+01,1.009265080e+01,5.025063453e+01,6.055488977e+00,8.326287769e+01,6.873428634e+01,6.588417787e+01,9.509674399e+00,6.463751393e+01,2.924983387e+00,3.324945721e+01,2.003786835e+01,5.084626537e+01,2.102591265e+01,2.623326752e+01,4.909879375e+01,5.785231560e+01,6.555357213e+01,2.425809352e+01
4.761180189e+01,1.820689401e+01,8.587883112e+01,7.261057735e+01,8.147578831e+01,7.819970364e+01,3.839171815e+01,3.954680917e+01,5.423527403e+01,7.773115008e+01,9.596346652e+01,6.349947595e+01,7.874233448e+00,6.592294772e+01,1.299526695e+01,6.495951611e+01,9.651578507e+01,3.294326166e+01,9.728375178e+01,1.918378472e+01,6.457684834e+01,8.302286843e+01,3.433727764e+01,3.518474626e+01,1.534390910e+01,8.231685464e+00,4.866905538e+01,1.965830508e+01,9.232593691e+00,9.258804202e+01,7.465778109e+01,6.479289262e+01,8.741228538e+01,2.827950404e+01,3.739699669e+01,6.302853683e+01,3.114683812e+01,1.997295738e+01,1.543552912e+00,2.425200943e+01,9.041812339e+01,5.684154858e+01,5.554698236e+01,6.175347573e+01,4.287987289e+01,4.613524640e+01,3.460620046e+01,8.766433560e+01,5.458344633e+01,9.400795116e+01,9.388623946e+00,3.060947064e+01,5.117536568e+01,2.040104999e-01,7.691083137e+00,7.713340699e+01,7.207203281e+01,9.869603924e+01,5.329022726e+01,5.064478234e+01,6.781777721e+01,4.149521547e+01,2.888576252e+01,9.052913895e+01,9.673307143e+01,7.303495117e+00,7.825928943e+01,3.372731990e+01,1.848673728e+01,8.669605164e+00,1.616552298e+01,8.066170812e+01,2.990688344e+01,3.725202128e+01,4.333115723e+01,9.479132982e+01,8.388837883e+01,6.062751690e+01,7.958661561e+01,7.286542849e+01,8.511410409e+01
2.744463823e+01,9.635843076e+00,6.772703965e+01,4.801103685e+01,3.816775262e+01,9.707987614e+01,6.870963136e+01,7.480273066e+01,2.109462902e+01,5.609841532e+01,8.806795702e+01,2.192023571e+01,8.625096372e+01,5.468624415e+01,4.777045906e+01,4.532041874e+01,5.742537089e+01,2.838849219e+01,7.787019930e+01,9.570834977e+01,3.399302795e+01,9.556531704e+01,1.184827361e+01,4.828930924e+00,8.504061087e+01,6.153446475e+01,2.822816885e+01,1.559661807e+01,4.189934891e+01,1.061022319e+01,1.768723015e+01,9.700313847e+01,1.964107329e+01,1.165451428e+01,1.794543729e+01,5.370366963e+01,3.560580257e+01,8.585226556e+01,6.232991627e+00,3.430423688e+00,8.108770081e+01,1.395010775e+01,6.276938276e+01,9.203525792e+01,2.409628946e+01,4.878829516e+00,3.856937206e+01,6.821402798e+01,3.488156734e+01,2.342208748e+01,8.701920298e+01,5.897144054e+01,4.549479937e+01,2.536428272e+01,7.653980560e+01,3.001276982e+01,1.843371678e+01,1.573768834e+01,2.866773571e+01,6.625047755e+01,9.193039958e+01,2.427411297e+01,1.848782750e+01,7.046348947e+01,7.397208554e+01,9.632957100e+01,3.769005416e+01,6.416519620e-01,1.474581782e+00,9.316586729e+01,5.451791875e+00,7.180914342e+01,9.518978992e+01,3.207822884e+01,3.452106254e+01,7.625556814e+01,5.632793272e+01,8.924392362e+01,2.444144360e+01,2.796471152e+01,2.368988125e+01
4.271117706e+01,2.513355458e+01,2.755080721e+01,7.718538357e+01,1.473880466e+01,6.789804041e+01,8.124540230e+01,9.539748784e+01,7.482115080e+01,1.173298529e+01,6.240360865e+01,1.727037345e+01,5.178634925e+01,2.323124700e+01,1.791279452e+01,8.109205778e+01,3.750235152e+01,1.130328893e+01,4.392849642e+01,1.816729284e+01,8.120134253e+01,5.762903797e+01,3.755102875e+01,3.168595187e+01,4.663426874e+01,5.001528194e+01,2.591146152e+01,8.033578211e+01,7.498156096e+01,3.120362912e+01,8.646101118e+01,1.807140785e+01,1.555441177e+00,9.040241280e+01,6.527910633e+01,5.095355155e+01,7.914193350e+01,3.237368841e+01,5.810306740e+01,6.752439721e+01,8.859686213e+01,1.914805370e+00,2.989915947e+01,5.275285085e+01,3.989959354e+01,1.674224833e+01,1.054052344e+00,3.739405734e+01,8.063729960e+01,4.493722893e+01,9.506516577e+01,8.334042270e+01,4.353814614e+01,1.877821356e+01,1.354815284e+01,4.818431615e+01,9.179452836e+01,9.270623669e+01,9.995081143e+01,6.703516204e+01,5.584582144e+01,1.227839598e+00,5.758848579e+00,2.332647967e+01,1.248986408e+01,7.814176811e+01,1.874895667e+01,6.863590895e+01,5.549278297e+01,3.204202013e+01,8.763695176e+01,1.341084391e+01,4.862615661e+00,4.019469850e+01,3.591772007e+01,7.639642605e+01,9.439897589e+01,8.025171372e+01,6.542714776e+01,8.096730416e+01,5.106867820e+01
