v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82
5.553606167e+01,3.863368371e+01,1.754792147e+01,3.644143499e+01,5.757145129e+00,8.515093533e+01,5.034001102e+01,2.054577636e+01,2.865705479e+01,8.960067261e+01,2.600070188e+01,2.986391498e+01,1.309588341e+01,9.628352324e+01,8.766710970e+01,2.810632448e+01,2.818429189e+01,1.781183873e+01,7.601732102e-01,5.121077939e+01,7.176128887e-01,8.143620612e+01,5.321438641e+01,2.212842872e+01,3.691914654e+01,5.179473469e+01,6.883830310e+01,4.270791270e+01,6.179128731e+01,8.372872536e+01,5.723723026e+01,3.007288209e+01,1.138109726e+01,8.811501093e+01,4.160976508e+01,9.312750634e+01,4.654827206e+01,1.512161808e+01,4.956422504e+01,9.626523116e+01,2.570772970e+00,1.488934266e+01,9.137828876e+01,3.714290637e+01,5.429268454e+01,3.469153083e+01,6.409331125e+01,3.726508098e+01,4.285519505e+01,1.653768375e+00,6.018824719e+01,6.947068013e-02,1.847184770e+01,9.158070941e+00,7.431065168e+01,4.038035125e+01,7.397996572e+01,7.871177379e+01,5.095495427e+01,9.250171630e+01,4.858850034e+01,1.524983733e+00,9.926824035e+01,4.970762756e+01,5.992965368e+01,4.742523834e+01,5.890344765e+01,7.607619204e+00,2.758435655e+01,3.394000837e+01,4.182436718e+01,3.005497069e+01,3.397007936e+01,8.674103253e+01,2.647052487e+01,8.321472268e+01,3.373985657e+00,6.565521353e+01,1.433784032e+01,4.529815835e+01,2.562028181e+01,9.511280314e+01
5.441152452e+01,3.641128952e+01,9.592381733e+01,8.564928874e+00,9.693724699e+01,9.836234413e+01,8.419370635e+01,6.929004130e+01,3.494974273e+01,1.595149471e+01,8.718743303e-02,6.320005313e+01,3.354990103e+01,7.844329112e+00,3.228004183e+00,3.329875436e+01,3.819946335e+01,6.095885316e+01,6.104334427e+01,7.952808548e+01,6.386553233e+01,3.870620791e+01,8.641918593e+01,4.080174014e+01,4.645503122e+01,8.857910122e+01,3.307964567e+01,7.960028034e+01,6.255066205e+01,7.897567610e+01,5.021661334e+01,7.875774195e+01,8.482567649e+01,8.308393560e+00,7.892659985e+01,9.933596985e+01,2.951369544e+01,7.184834117e+00,8.440960990e+01,6.281773474e+01,8.897666123e+01,5.020979098e+01,3.202622783e+01,3.247343465e+01,6.034244839e+00,5.282974003e+01,3.699033888e+01,1.812685321e+01,7.557356731e+01,1.740669832e+01,3.137412017e+01,3.130169382e+01,9.675447685e+00,1.029006647e+01,9.545996042e+01,8.809733397e+01,9.015002135e+01,6.354476996e+00,6.779526395e+01,6.679930160e+01,6.891802117e+01,7.838890826e+00,6.784411244e+01,2.272021491e+01,4.930302224e+01,8.341755467e+01,6.436502877e+01,9.352416226e+01,3.542296859e+01,1.316145941e+01,7.615215639e+01,6.428557561e+01,1.027110471e+01,3.239893429e+01,5.370430092e+01,4.123824048e+01,2.577579418e+01,9.232537826e+00,1.127298516e+01,7.476476980e+01,4.468625116e+01,1.272552600e+01
3.934747949e+01,3.611818941e+01,3.291171138e+00,1.945213677e+01,5.852589538e+01,1.468566098e+01,6.767820459e+01,6.354710007e+01,6.014430083e+01,8.932007728e+01,7.149898022e+01,4.433214833e+01,9.172085014e+01,1.685193459e+01,8.572835470e+01,8.337436834e+01,5.857017168e+01,8.287365043e+01,1.292097321e+01,4.705325414e+01,8.671467948e+01,2.394199672e+01,5.911416008e+01,6.878365463e+01,5.566560785e+01,6.627455270e+01,7.658972391e-01,8.730752102e+01,2.150140098e+01,7.753731155e+01,2.435785098e+01,7.221808631e+01,2.445473335e+01,4.712490549e+01,5.821467850e+01,4.967540004e+01,4.609879517e+01,6.949124070e+01,1.938913773e+01,6.554812314e+01,2.889945306e+01,3.343010143e+01,7.202933644e+01,8.907668734e+01,1.599037117e+01,5.242862488e+01,2.058574650e+01,7.873790101e+01,1.941372928e+01,3.159570235e+01,2.585869214e+01,6.538329184e+01,2.457691732e+01,4.403442816e+01,1.350664517e+01,6.166216969e+01,8.792585497e+01,2.505077042e+01,9.823280024e+01,7.618238632e+01,4.054272099e+01,8.302763484e+01,5.516613921e+01,2.422897749e+01,5.359016239e+01,9.048721869e+01,4.518270222e+01,1.490583339e+01,6.428251691e-01,1.882649219e+01,8.800510704e+01,1.944255577e+01,2.913484284e+01,4.967908646e+00,6.652708394e+01,2.646599650e+01,8.983579356e+01,5.852172419e+00,1.264340666e+01,6.197459014e+01,5.423829645e+01,8.977491657e+01
8.059899910e+01,8.022107400e+01,7.370368243e+01,9.422822643e+01,4.496377980e+01,9.095062311e+01,9.630258666e+01,1.586779238e+01,2.030784000e+01,8.134009030e+01,7.956221371e+01,3.124798529e+01,5.192175549e+01,8.371050074e+01,4.036957089e+00,4.017617849e+01,3.982339602e+00,2.258529914e+01,1.864392782e+01,4.072348912e+01,2.109222309e+00,5.967916829e+01,9.279562373e+01,6.351073891e+00,5.916825160e-01,1.089087683e+01,5.570241316e+00,2.296951482e+01,1.403273778e+01,8.938467640e+01,5.470610480e+01,5.534353538e+01,1.976466692e+01,8.648950425e+01,2.656209893e+01,7.936472545e+01,3.453847405e+01,9.280548197e+01,4.200896447e+01,3.073267311e+01,6.481243721e+01,3.045028525e+01,3.043490884e+01,9.842248301e+01,5.330023383e+01,2.980533274e+01,6.415697930e+01,7.506237411e+01,7.491877741e+00,8.947397991e+01,5.664895460e+01,3.289238806e+01,4.059193621e+01,6.431753135e+01,5.649980311e+01,6.988273548e+01,5.835709799e+01,6.552010610e+01,4.471724171e+01,6.958992118e+01,9.205406953e+01,7.571573532e+01,6.048901747e+00,2.101049352e+01,9.375267922e+01,1.661245644e+00,8.684484533e+01,5.999173082e+01,2.573820294e+01,8.154388721e+01,2.185012933e+01,8.312525699e+01,4.879537421e+01,9.842741719e+01,5.664209460e+01,4.012617133e+01,9.952589540e+01,5.299391844e+01,4.156764801e+01,6.027690909e+01,3.250677354e+01,5.696099644e+01
4.130844300e+01,4.600314119e+01,4.999498960e+01,8.794546008e+01,9.397431580e+01,5.439743511e+01,4.422615453e+00,2.668495448e+01,7.247356767e+01,2.962860317e+01,8.547308010e+01,1.484027672e+01,5.473446965e+01,8.346333416e+01,8.055855193e+01,6.185565454e+01,9.169557238e+01,1.563280002e+01,1.049336565e+01,7.682305154e+01,2.287721736e+01,4.357353854e+00,6.789672052e+01,5.042206028e+01,7.619308216e+01,4.969628974e+01,4.509367859e+01,4.375131427e+01,3.708477225e+01,8.357160760e+01,8.071282268e+01,2.869525382e+01,2.590725471e+00,6.422103809e+01,8.818305001e+01,8.091337492e+00,2.594215175e+01,4.668048199e+01,5.904795403e+01,4.176125618e+01,4.357677992e+01,2.209865904e+01,3.495615842e+01,2.038191980e+01,3.210816947e+01,5.294409974e+00,3.617148191e+00,8.566214377e+01,1.577102545e+01,5.874107341e+01,2.037935594e+00,2.162726015e+01,1.670975257e+01,1.801524591e+01,4.020913865e+01,8.355793895e+01,8.008696279e+00,1.500561046e+01,5.274368396e+01,2.685783023e+01,3.092661770e+01,1.040651714e+01,8.970615331e+01,8.972359186e+01,6.733170330e+01,1.695799378e+01,5.911279332e+01,8.539501407e+01,9.817480754e+01,6.724601110e+01,7.569507296e+01,5.937338091e+01,8.933881673e+01,8.475578219e+01,2.664773204e+01,3.352637985e+01,7.381817064e+01,1.641042506e+01,5.141066728e+01,3.104939267e+01,3.935559951e+01,6.748235896e+01
1.431779768e+01,3.708871690e+01,1.330885152e+01,1.756425116e+01,9.183292195e+01,9.588815555e+01,9.437510986e+01,7.347160977e+01,6.911615793e+01,3.663015065e+01,9.081551907e+00,3.570584745e+01,2.382747184e+01,5.898146402e+01,5.830398802e+01,8.871329586e+01,3.519906333e+01,2.421508718e+01,1.791816443e+01,2.831526044e+01,2.277613401e+01,3.744469279e+01,1.762047824e+01,9.509677539e+01,3.997635454e+01,2.231244240e+01,9.266469967e+01,7.408224350e+01,8.409543851e+01,8.242639531e+01,1.246724596e+01,3.877443665e+00,2.555058812e+01,1.833670256e+01,2.257893666e+01,1.686472981e+00,5.354123819e+01,4.831723982e+01,4.412241254e+01,4.047178909e+01,6.237011737e+01,8.950660454e+01,9.671652518e+01,1.636108900e+00,1.175030530e+01,6.365130144e+00,7.224184270e+01,8.259340631e+01,4.811071314e+00,8.930999479e+00,4.320895673e+01,6.421979766e+01,6.368979729e+01,6.306141498e+01,9.497747806e+01,1.545237399e+01,3.650666522e+01,2.799029632e+01,4.726393108e+00,2.575998696e+01,9.537821977e+01,3.541234683e+01,3.720909561e+01,8.210952090e+01,1.374827741e+01,9.292997826e+01,9.419901370e+01,7.079492384e+01,9.947018854e+01,5.659879761e+01,4.760623701e+01,6.790393130e+01,5.762456869e+01,5.730746813e+01,1.211149082e+01,3.558466244e-01,8.607702176e+01,9.543706015e+01,7.857994406e+01,2.099444635e+01,1.884133822e+01,2.624441960e+01
7.992320391e+01,2.372455228e+01,3.142697091e+01,8.540949328e+01,1.833569053e+01,1.989833220e+01,2.550194680e+01,7.361008208e+01,8.592141273e+00,8.303860137e+01,4.889092629e+01,3.902013002e+01,1.488551645e+01,6.642251608e+01,9.792415160e+01,8.660328275e+01,1.999665478e+01,7.121537207e+01,4.458188824e-03,2.313107171e+01,8.668433926e+01,1.341927673e+01,8.730920362e+01,8.307513504e+01,1.406829473e+01,1.349740027e+00,5.909467087e+01,7.440101498e+01,7.197893139e+00,6.476909798e+01,5.771347877e+01,2.925314359e+01,7.894897980e+01,3.673598596e+01,6.319292312e+01,2.303409681e+01,8.543955256e+01,4.406443314e+01,5.664929514e+01,2.615832308e+00,4.778592780e+01,2.549636064e+01,9.292532299e+00,5.763805714e+01,2.492139156e+01,3.024989460e+01,2.413505026e+01,3.210552930e+01,4.446536768e+00,3.297684098e+01,2.965815632e+01,8.502303669e+00,5.662468214e+01,7.772134645e+01,3.528003617e+01,5.457628556e+01,3.976778615e+01,8.827797446e+01,1.030554647e+01,7.254207211e+01,2.523062054e+01,2.690977241e+01,7.055872280e+01,4.416033366e+01,2.794172757e+00,5.758110234e+01,2.436050331e+01,8.613273327e+01,3.695231673e+01,3.313749261e+01,1.940113934e+01,8.339781598e+01,8.022792696e+01,9.258905641e+01,9.359079967e+01,1.549051523e+01,1.079780662e+01,4.806093456e+01,7.159082016e+01,4.535208110e+01,7.137558026e+01,3.192131768e+01
3.941285381e+01,6.393038473e+00,6.751963376e+01,5.926222862e+01,2.449375123e+01,2.238465849e+01,6.135395812e+01,3.345364409e+01,8.716981748e+00,7.812590144e+01,5.825168871e+01,8.773431348e+01,9.200745667e+01,6.817714974e+01,2.599482265e+01,7.247113786e+01,1.865807694e+01,2.124058242e+01,5.036712438e+01,2.765551464e+01,8.231177863e+01,9.894175094e+00,4.062299964e+01,2.413445540e+01,4.810932744e+01,2.192754827e+01,8.406029110e+01,8.710328067e+01,1.695761739e+01,2.757883000e+01,7.218405053e+01,6.738814335e+01,2.319175972e+01,5.259911032e+01,6.869421618e+01,5.728093087e+01,6.964682242e+01,9.460554216e+01,7.976343651e+01,7.459128774e+01,6.221086535e+01,3.011069821e+01,5.341435074e+01,4.046957842e+01,5.480508925e+01,3.395901391e+01,7.382966324e+01,9.185965200e+01,3.595284336e+01,6.533997238e+01,3.855163430e+01,4.560544493e+01,9.701726354e+01,8.668020032e+01,8.736305399e+01,8.186903837e+01,4.652880548e+01,4.046270724e+01,3.901487677e+01,8.602360201e+01,7.883063828e+01,9.158845193e+01,3.806276407e+01,8.142647178e+01,3.199175778e+01,1.135948222e+01,2.660557494e+01,8.223860686e-01,6.317315640e+01,1.713556489e+01,9.763288105e+01,2.879170296e+01,9.847475675e+01,4.952589197e+01,9.879630124e+01,7.398487950e+01,3.249644643e+00,4.473934120e+01,1.605222187e+01,3.552976223e+01,5.005422657e+01,3.951283237e+01
7.635634048e+00,6.721698608e+01,4.668939317e+01,6.172072314e+01,7.101014485e+01,1.209538424e+00,5.169376751e+01,8.740907660e+00,3.917284452e-02,8.247463408e+01,4.839895179e+01,8.393366126e+01,8.159086396e+01,8.135954932e+01,2.792887088e+01,3.017728809e+01,4.307045501e+01,1.367124185e+01,4.186889298e+01,5.024422294e-01,9.696032954e+01,8.996907681e+01,3.662139719e+00,1.023151930e+01,2.076872286e+01,3.578546445e+01,7.332545427e+01,2.652647456e+00,5.328770960e+01,4.431902652e+01,5.077107489e+01,1.408027761e+01,6.434371131e+00,1.070091475e+01,1.306814235e+01,3.949258881e+01,9.000667235e+01,2.109329320e+00,9.164014388e+01,3.430416056e+01,6.774583079e+01,5.511302895e+01,8.513918225e+01,8.865101022e+01,6.597740297e+01,7.154152266e+01,8.317061950e+01,4.977704116e+01,2.695216837e+01,8.708459912e+01,8.050004179e+01,7.451388503e+01,3.445966403e+00,8.696421662e+01,9.215215813e+01,5.986645388e+01,4.728438022e+01,1.883681327e+01,6.602791240e+01,6.719774437e+01,1.181179240e+01,4.963760251e+01,1.347548211e+01,5.093568959e+01,4.623195547e+01,1.475127826e+01,4.219629482e+01,6.728727711e+01,3.448652779e+01,8.199481622e+01,2.897416273e+01,8.522089209e+01,7.593674479e+01,2.334684194e+01,4.083484015e+01,2.041017612e+01,1.344462938e+01,3.725230733e+01,1.159727948e+01,9.463267178e+00,6.193109117e+01,5.401407529e+01
3.142766741e+01,3.795016271e+00,3.686496868e+00,1.538618096e+01,4.952828930e+01,7.297714828e+01,6.393670183e+01,4.225047518e+01,8.181686935e+01,6.442241375e-01,9.678098130e+01,3.695659728e+01,2.041979601e+01,6.690498525e+01,2.652884530e+01,2.801193785e+01,4.556462764e+01,5.265657390e+01,4.018838576e+00,7.188104374e+01,4.836523296e+01,7.249553741e+01,8.000196513e+01,7.816873249e+01,1.372693887e+01,8.780641099e+01,8.219532224e+01,2.565153842e+00,7.157659378e+01,1.762964498e+01,2.210825713e+01,5.671379442e+01,7.943671027e+01,4.590159993e+01,7.388545338e+01,7.769684596e+01,6.435191012e+01,7.819654308e+01,7.055776092e+01,2.267486099e+01,8.485438190e+01,9.986313465e+01,3.674381756e+01,6.776959114e+01,1.357750606e+01,7.110225470e+01,2.402973301e+01,9.561292770e+01,1.679081257e+00,1.952810083e+01,9.996706746e+01,3.196740743e+01,9.644869442e+01,1.911306205e+01,9.430572043e+01,6.339521332e+01,8.166836622e+01,4.383332797e+01,3.815921134e+01,4.379437300e+01,2.524947148e+00,6.146260755e+01,9.780515827e+01,4.103587291e+01,3.547827430e+01,8.565141103e+00,7.723038942e+00,6.676636452e+01,3.159380687e+01,2.768722498e+01,7.200807725e+01,6.633341234e+01,4.069465934e+01,4.079425076e+01,9.018361029e+01,2.376384697e+01,5.057003798e+01,4.779523202e+01,5.214208978e+01,2.025382637e+01,4.688027484e+01,3.812633679e+01
