v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83
9.358892945e+01,9.117355621e+01,5.413543558e+01,9.147773173e+01,9.057838440e+01,9.259045416e+01,8.595937284e+01,9.305545716e+01,6.910239510e+01,3.917225054e+01,3.837171722e+01,9.727195767e+01,4.172726526e+01,2.646602385e+01,2.251366725e+01,2.839639671e+01,5.396015879e+01,5.017984545e+01,8.129626966e+01,4.276188443e+01,4.657538952e+01,2.071446531e+01,4.215907578e+01,7.100824118e+01,1.480162087e+00,8.566009148e+01,3.650632694e+01,3.370585925e+01,3.199956989e+01,4.808003091e+01,8.820498474e+01,6.785962764e+01,1.960067279e+01,4.623151925e+01,6.002035477e+00,2.610996314e+01,7.366060764e+01,9.416878639e+01,2.266837210e+01,9.165139071e+01,8.561797066e+01,5.302604669e+01,4.401549356e+01,9.319290141e+01,8.177616891e+01,9.362953556e+00,4.141185811e+01,2.209166333e+01,5.432767671e+01,5.179905983e+01,8.303280656e+01,1.334163796e+01,1.750660689e+01,2.693147151e+01,2.100910137e+01,5.127812336e+01,1.392911530e+01,5.824425056e+01,2.821718195e+01,3.218016754e+01,3.365126617e+01,4.065774358e-01,9.397967364e+01,7.724444030e+01,8.752062743e+01,8.556172037e+01,5.568430660e+00,9.496088875e+01,5.135968741e+01,9.583277394e-01,3.398267540e+01,7.277580816e+01,2.035778745e+01,3.158632700e+01,1.208336606e-01,1.347813420e+00,7.990730361e+01,5.703576158e+01,2.670429189e+01,4.328184026e+01,2.263877704e+01,6.111240348e+01,7.255692813e+01
2.259078069e+01,7.008456133e+01,2.088490143e+01,6.946925823e+00,1.284785863e+01,2.354641459e+01,2.955021293e+01,6.142300523e+00,7.886539140e+01,3.419160706e+01,7.469858194e+01,9.427940308e+00,5.990687510e+01,9.457109948e+01,3.563488314e+00,8.485837894e+01,3.471153616e+01,5.299493061e+01,6.221118417e+01,5.142435153e+01,7.297590494e+01,4.345462817e+01,6.422289952e+01,2.188345647e+01,2.568788153e+00,9.040383447e+01,3.313045462e+01,5.286052500e+01,6.662118236e-01,5.420953107e+00,6.267009917e+00,3.891474157e+00,2.387020433e+01,7.407437682e+01,9.336295418e+01,9.326571971e+01,4.048232468e+01,6.148981719e+01,6.005136755e+01,1.835026276e+01,4.423272418e+01,3.732218181e+01,8.499492257e+01,4.768131908e+01,7.074960793e-01,4.660806190e+00,6.195348075e+01,2.926245072e+01,6.605723754e+01,6.060111419e+01,4.218047305e+01,1.372898340e+01,5.938651591e+01,8.798308547e+01,3.919123502e+01,4.730232622e+01,9.090367840e+01,2.286117939e+01,7.428472721e+01,3.962643226e+00,8.998746116e+01,5.497630176e+01,1.917634099e+01,2.071580552e+01,9.707873178e+00,4.508616404e+01,6.647385583e+01,6.862525411e+01,9.469244150e+01,8.279603761e+01,9.546789558e+00,5.191942521e+01,6.588031815e+01,2.098333744e+01,6.450971243e+01,9.957772267e+01,8.974507943e+01,5.070951060e+01,4.542219805e+00,6.843990533e+01,4.533350583e+01,3.880461232e+01,4.740229597e+01
6.840393751e+01,6.750290790e+01,8.491285414e+01,9.251020066e+01,7.466003653e+01,2.256443537e+00,9.530458393e+01,7.339859387e+01,4.653088307e+01,2.256192588e+01,3.443730567e+01,5.285053282e+01,3.358559620e+01,7.903775092e+01,8.760552955e+00,1.166874037e+01,9.697294277e+01,2.318478712e+01,3.743884605e+01,8.111096911e+01,8.608776651e+00,2.993177924e+01,3.299502509e+01,7.264983769e+01,3.975209197e+01,6.095695638e+01,9.752236294e+01,8.180631687e+01,7.447824222e+01,9.146366345e+01,3.867459327e+01,2.867531787e+01,6.444633980e+01,5.655112502e+01,9.519469442e+01,8.888309437e+01,9.668021478e+01,7.562135256e+01,8.035468449e+01,3.549312867e+01,4.501326860e+00,7.386186327e+01,1.005580603e+01,1.986147682e+01,2.098217466e+01,2.095001725e+01,2.200275559e+01,1.962948223e+01,7.013028456e+01,1.200617337e+01,6.778483291e+01,1.958642425e+01,2.822333145e+01,7.446238030e+01,6.713323264e+01,7.961489435e+00,9.549160989e+01,3.364562847e+01,7.702977704e+00,4.430363989e+01,7.015156168e+01,1.871055051e+01,8.459060144e+01,2.551620577e-01,4.104835828e+01,4.254830451e+01,2.855168530e+00,7.076037405e+01,1.453207268e+01,2.767193211e+01,9.779596283e+01,7.482446957e+01,3.918666669e+01,8.511700733e+01,9.329487916e+00,7.026494905e+01,7.951883064e+01,2.411175319e+01,8.687539227e+01,7.866112809e+01,5.381283917e+01,7.252477495e+01,8.624387859e+01
7.947135165e+01,9.559094106e+00,5.194417342e+01,7.526398334e+01,7.914980776e+01,9.599033290e+01,7.509992392e+01,3.176411393e+01,1.621691493e+01,9.147161993e+01,8.650237585e+01,9.509412650e+01,9.075786353e+01,5.489461247e+00,7.935304218e+01,2.682071557e+01,8.950947042e+01,8.261446997e+01,4.731201377e+01,6.594246209e+01,2.097910886e+01,4.260836887e+01,4.350162031e+00,1.430910806e+01,1.978206972e+01,2.718325896e+01,2.175994464e+01,8.796423355e+01,9.866295118e+01,5.220010723e+01,2.497106071e+01,9.915080243e+01,8.391527461e+01,2.799698021e+01,3.357317267e+01,1.056152353e+01,7.868822516e+01,8.543160269e+01,1.087185254e+01,2.983150798e+01,3.167776692e+01,8.271405097e+01,6.476827146e+01,4.710454612e+01,8.573605102e+00,9.015330876e+00,9.250558661e+01,4.415216383e+01,8.185983660e+01,1.620452009e+01,2.566994826e-01,7.635889003e+01,8.874421715e+01,9.442043862e+01,6.277786236e+01,7.765077655e+01,4.190008730e+01,3.963196490e+01,7.778992606e+01,8.930277097e+01,8.640376694e+01,1.680552121e+01,9.285234502e+01,1.480976506e+01,5.335776715e+01,9.942963682e+01,5.124310098e+01,3.959892232e+01,7.325686225e+01,2.645457307e+01,8.275005668e+01,6.263717017e+01,2.746210580e+01,5.354211566e+01,8.777854617e+01,8.839964857e+01,4.023194011e+01,9.264709987e+00,1.154554671e+01,2.740191293e+01,6.169651602e+01,3.140333732e+01,9.359720034e+01
4.819747882e+00,3.351248924e+01,9.784041036e+01,3.068156735e+01,8.424124272e+01,2.549272754e+01,5.677212881e+01,8.179722356e+01,9.814665283e+01,7.839713307e+01,4.634266018e+01,4.746379588e+01,4.005435891e+01,4.486770998e+01,9.027706373e+01,9.432184743e+01,6.290902548e+01,2.843164050e+01,9.590636728e+01,8.584147426e+01,8.724321943e+01,5.435519012e+01,6.125520197e+01,4.247193972e+01,7.698510140e+01,8.222822089e+01,1.426403257e+01,8.965253750e+01,6.724579740e+01,6.369420815e+01,2.735395760e+01,6.820047456e+01,7.478963832e+01,5.561287306e+01,8.030247914e+01,4.460669114e+01,3.199248616e+01,8.038165740e+01,7.535795733e+01,9.597291293e+01,4.936023578e+01,8.594258622e+01,7.544554793e+01,2.593618103e+01,5.288918015e+01,5.943328376e+01,5.730813435e+01,6.917592941e+00,8.048625854e+01,1.194553474e+01,5.406681715e+01,1.502666822e+01,9.839247318e+01,8.809660906e+01,3.637445337e+01,8.090494917e+01,3.151416343e+00,4.375932165e+01,5.089878394e+01,8.823215326e+01,1.417082419e+01,5.613116238e+01,2.281867950e+01,4.818241198e+01,6.090137868e+01,1.396102812e+00,5.175423984e+01,9.414088795e+01,1.000384769e+01,1.406825373e+01,2.525024890e+01,6.364442251e+01,9.489481729e+01,1.720195970e+01,2.275822533e+01,9.139809794e+01,9.602290080e+01,5.798138486e+01,8.202514493e+01,2.793642911e+01,4.343733276e+01,1.384765945e+01,9.784365859e+01
5.988611361e+01,6.029088324e+01,6.472663482e+01,2.463587401e+01,8.863396102e+01,4.108251593e+01,5.289031955e+00,3.756314939e+01,3.941240182e+01,1.094010330e+01,8.501511160e+01,7.936010480e+01,4.986777364e+01,1.288632079e+00,3.269895097e+01,4.147209930e+01,1.807595414e+01,7.632863313e+01,4.269695195e+01,8.830237935e+01,4.800915170e+01,3.840608364e+01,8.222815046e+01,6.332793880e+01,4.231052852e+01,4.947625088e+01,2.860348753e+01,1.672318236e+01,8.991473247e+01,5.798792673e+01,4.169421140e+00,6.541525131e+01,1.323721585e+01,8.622781319e+01,7.090337574e+01,7.222017394e+00,8.528781438e+01,8.054608817e-01,2.538509579e+01,5.943898825e+01,1.186614018e+01,9.837756526e+01,3.378638428e+01,4.458990802e+01,8.400972820e+01,8.995678642e+01,2.881776601e+01,2.418122941e+01,8.609368928e+01,8.620495273e+01,9.233871080e+01,7.801245275e+01,6.066597240e+00,3.786650327e+01,8.216013090e+01,8.278020329e+01,1.992370845e+00,6.820784770e+01,7.826534989e+01,5.721040169e+01,1.593136248e+01,8.729521027e+01,2.063455523e+01,3.569478733e+01,5.066549271e+00,6.735739395e+01,7.529364916e+01,3.940872341e+01,3.123059874e+01,6.281578511e+01,9.360228140e+00,7.151317152e+01,4.753158214e+01,3.244301993e+01,9.285576966e+01,6.040396051e+01,7.146298187e+01,7.077190714e+01,3.334314114e+01,2.253955408e+01,8.350865348e+01,9.596125204e+01,8.213471241e+01
9.849825731e+01,9.140561610e+00,4.255397502e+01,1.256286594e+01,7.726340315e+01,3.795134739e+01,2.159661614e+00,2.888784086e+01,7.858667292e+01,9.575670036e+01,6.050305404e+01,2.004037138e+01,7.295477638e+01,2.718919689e+01,2.953845867e+01,9.264208524e+01,5.501375477e+01,2.140584375e+01,7.042920957e+01,4.926736893e+01,7.438265975e+01,3.574653083e+01,3.603613934e+01,4.204228469e+01,2.658754734e+01,7.933242904e+01,3.557159822e+01,3.385623563e+01,1.173526143e+01,2.389822521e+01,9.505126273e+01,7.497700141e+01,5.093680663e+01,1.059307297e+01,6.566643814e+01,7.822620732e+00,1.270615904e+01,4.379395237e+01,6.768029836e+01,6.204797830e+01,3.082111628e+01,1.932305138e+01,1.796067581e+01,2.809415798e+01,1.116200869e+01,5.089041366e+01,8.807250482e+01,9.407222749e+01,4.849784474e+01,1.687405641e+01,5.300631651e+01,3.116982795e+01,9.597625413e+01,2.090826016e+01,1.239780157e+01,1.796037545e+01,7.844490310e+01,7.192383982e+01,3.376753137e+00,7.574200019e+01,9.484609031e+01,8.626253246e+01,2.757152744e+01,7.141639868e+01,7.231554406e+01,8.279695501e+00,4.127229536e+01,7.142095298e+00,9.955597706e+01,7.539175015e+01,9.410187501e+01,3.210865002e+01,8.151106309e+01,6.140972919e+01,5.496393070e+01,2.096320297e+01,9.436645529e+01,4.960851650e+01,8.595952620e+00,1.926787673e+00,1.815409072e+01,2.319139185e+01,1.153909380e+01
8.882034289e+01,7.792130892e+01,9.681729923e+01,5.906128425e+01,3.366398633e+00,8.512130485e+01,2.457165566e+01,9.191607569e+01,1.747294828e+01,6.419338661e+01,5.821764314e+01,7.047860306e+00,5.411382806e+01,6.731492329e+01,2.605108073e+01,3.258241302e+01,8.066266717e+01,4.268033787e+01,2.268944651e+01,6.394616064e+00,9.119338210e+01,4.797966300e+01,3.824014038e+01,6.621114081e+01,3.594905537e+01,5.242545223e+01,2.883613871e+01,1.859002927e+01,7.953212275e+01,6.273971063e+00,8.865504701e+00,1.265805405e+01,6.543605235e+01,7.316859123e+01,7.799132018e+01,2.669642352e+01,6.587824353e+01,3.656703557e+01,1.471318359e+01,8.391560925e+01,3.258061740e+01,7.503800254e+01,3.844247064e+01,4.807928647e+01,2.290509828e+01,3.797331905e+01,2.383449962e+01,1.041280265e+00,7.717072431e+01,9.077926543e+00,3.805468097e+01,8.430268840e+01,3.846174830e+01,1.450327668e+01,1.202447440e+01,1.611359842e+01,9.522727182e+01,6.148524195e+01,7.634395608e+01,4.338788060e+01,9.471694252e+01,1.431655954e+00,8.846819991e+01,1.741642396e+01,8.613255589e+01,5.907623537e+01,5.289418347e+01,9.410827687e-01,6.217943076e+01,2.503371811e+01,2.511792661e+01,6.035037105e+01,5.401704424e+01,8.502428660e+01,6.690671218e+01,2.638719566e+00,4.809913374e+00,8.144425970e+01,1.233535675e+01,7.294518710e+01,4.943404293e+01,8.695499586e+01,5.762370478e+01
8.383349045e+01,1.342522175e+01,2.248073976e+01,3.028870734e+01,5.170181688e+01,7.746161097e+01,4.024470303e+01,1.679277504e+01,4.802984342e+01,9.253016498e+01,5.760486021e+01,2.808067733e+01,8.509759549e+00,5.503959231e+01,8.853287158e+01,4.013085081e+00,7.874993905e+01,1.508696736e+01,7.791309860e+01,2.359697611e+01,6.216101602e+01,6.827949150e+01,1.649111273e+01,4.608790943e+01,2.470461227e+01,9.758693481e+01,7.965308344e+01,7.154430594e+01,4.230536215e+01,9.452151845e+01,7.749052578e+01,3.148360605e+01,6.756531404e+01,3.006539507e+01,1.272721729e+00,1.860002334e+01,8.470548295e+01,4.904594989e+01,7.678301383e+01,3.684310746e+01,4.462898171e+01,2.113014387e+01,5.524305841e+01,6.098280839e+01,1.590198789e+01,7.816590450e+01,2.666784181e+00,8.614072789e+00,1.545835938e+01,8.531107080e+01,7.134977212e+01,7.490959824e+01,3.214894943e+01,9.359276257e+01,1.586317711e+01,7.513947503e+01,3.480844016e+01,2.267318969e+01,4.453920195e+01,6.744355459e+01,2.020706942e-01,9.465497411e+01,5.991982356e+01,6.747338114e+01,2.662051183e+01,2.746530235e+01,4.891838198e+01,6.528279713e+01,3.621012722e+01,2.720473751e+01,8.605753170e+01,4.107859814e+01,4.813083860e+01,1.580207569e+01,6.910793660e+01,3.762407094e+01,6.373258384e+00,3.131556092e+01,5.714866040e+01,8.247116801e+01,2.528999220e+01,4.688606277e+01,4.864031158e+01
6.296053836e+00,4.079776424e+01,1.089092792e+01,7.165435755e+01,1.266503665e+01,4.945644856e+01,1.334722452e+01,3.536400790e+01,7.899434968e+00,1.961893477e+01,3.054471500e+01,3.532304576e+01,1.158303187e+01,3.669787881e+01,1.286760845e+01,7.652037654e+01,2.489301445e+01,1.840687345e+01,4.111925329e+01,7.192800057e+01,2.539918951e+01,4.053393623e+01,6.607154007e+01,7.672387536e+01,1.103074337e+01,5.578064471e+01,7.051988229e+01,3.849990400e+01,9.230047194e+01,7.888637336e+01,7.858677939e+01,2.146444351e+01,4.377584920e+01,5.671532791e+00,1.312650481e+01,5.488172131e+00,3.267404831e+01,5.307869744e+01,3.264117414e+01,9.308776930e+01,6.930585414e+01,5.384258362e+01,8.993333249e+01,7.550768681e+01,2.164432161e+01,7.279871957e+01,6.955884911e+01,8.093269979e+01,4.457112783e+01,4.650805966e+01,1.798410539e+01,3.910733043e+01,7.293157807e+00,7.491095552e+01,2.783291629e+01,3.228838498e+01,7.758908903e+01,5.240044919e+01,8.247439690e+01,5.908101702e+01,5.261373142e+01,1.673096312e+01,1.624526938e+00,2.679492792e+01,9.793843572e+01,1.504846366e+01,6.823165619e+01,3.007830142e+01,8.621604362e+01,4.112562752e+01,3.285357822e+01,9.733374893e+01,3.892387231e+01,6.996074010e+01,9.493884464e+01,3.575991254e+01,1.735969189e+01,1.996899504e+01,7.191295023e+01,5.620114310e+01,8.259144693e+01,4.262903047e+01,2.547672037e+01
