v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84
7.641274727e+01,6.761527518e+01,8.665099037e+01,5.867825991e+01,2.954644550e+01,5.455565551e+01,6.599060600e+01,5.143133185e+01,5.620731797e+01,7.340742391e+00,7.682002037e+01,1.835384598e+01,8.360593050e+01,1.051938166e-02,8.503438872e+01,1.664559098e+01,1.829413617e+01,7.555290821e+01,2.585296199e+01,4.689111595e+01,9.054454464e+01,6.251116181e+01,7.929039831e+01,5.075317242e+01,6.099154946e+01,4.861999940e+01,9.698652425e+01,9.290656341e+01,3.674122734e+01,7.304251822e+01,8.461065284e+01,5.512474267e+01,9.753223593e+01,7.448754734e+01,7.952084156e+00,1.545044327e+01,8.368572857e+01,6.120044268e+01,8.983709235e+01,1.397023685e+01,7.262532283e+01,1.824373927e+01,7.520397932e+01,7.626897991e+01,7.332689618e+00,4.616182482e+00,9.150370078e+01,9.116901902e+01,9.817768439e+00,4.443262325e+01,6.128490700e+01,9.233053829e+01,7.151083962e+01,4.821715647e+01,5.049902145e+01,5.429997423e+01,6.698700048e+00,3.926256016e+01,8.368080714e+01,1.323599037e+01,5.538705154e+01,9.095910865e+01,8.416866963e+01,1.356473571e+01,2.625361272e+01,1.752248916e+01,2.635838455e+00,7.827162094e+01,4.946655887e+01,1.375196086e+00,9.683727421e+01,7.088398458e+00,4.595726321e+01,9.849651889e+01,3.601105003e+01,7.511900624e+01,4.534052682e+01,4.381804261e+01,5.894448299e+01,2.098590471e+01,5.610946087e+01,6.927481104e+01,9.575222053e+01,2.614432564e+01
2.962204562e+01,8.237291777e+00,8.326652439e+01,1.631502644e+01,7.909246340e+01,5.392496058e+01,3.487140149e+01,4.605673041e+01,4.095937871e+01,8.039642748e+01,3.192246249e+01,7.443639157e+00,4.781206016e+01,9.038647525e+01,3.960347359e+01,6.941572099e+01,1.508932703e+01,7.722384293e+01,1.142464845e+01,4.083401132e+01,6.149880018e+01,2.674766410e+01,8.601279738e+01,7.966652578e+01,8.079643762e+01,8.859392878e+01,6.598510985e+01,3.942286839e+01,5.869804540e+01,9.857810114e+01,5.127599334e+01,4.476913675e+00,1.654586056e+01,1.199603208e+01,7.969736487e+01,7.093065882e+01,3.074877085e+01,7.917241403e+01,9.485370871e+01,7.809607860e+01,6.204417120e+01,2.777073111e+01,4.740736130e+01,3.675130238e+01,3.150492074e+01,5.644573933e+01,3.753716839e+01,9.615472573e+01,5.805370384e+01,4.319976229e+01,4.535042542e+01,9.502558798e+01,2.374374231e+01,6.876386893e+01,5.977003870e+01,3.051635729e+01,4.224146364e+01,7.464134535e+01,4.079578872e+01,4.730918167e+01,8.320676798e+00,6.435491653e+01,5.555621699e+01,8.939024437e+01,4.938996522e+01,6.388597403e+01,5.587891045e+01,6.065452761e+01,7.415538729e+01,5.716839914e+01,4.830999311e+01,2.094248934e+01,4.263464185e+01,9.486518184e+01,1.543904952e+01,1.742153437e+01,8.326646839e+00,3.041269548e+01,1.496868434e+00,3.621537647e+00,5.698505349e+01,4.778334002e+00,3.188842229e+01,1.020431357e+00
7.134899973e+01,4.147440206e+01,2.453091778e+01,3.615569672e+01,9.032171932e+01,9.095208246e+01,6.826429953e+01,3.194756556e+01,5.375006199e+01,2.012071453e+01,6.962824448e+01,1.323405028e+00,4.914330979e+01,2.550984532e+01,4.024439172e+01,5.243454666e+01,8.801078312e+01,7.503468628e+01,5.063871143e+01,6.182025388e+01,2.982678148e+01,1.620851692e+01,2.848009675e+01,3.567574179e+01,2.440326887e+01,2.484901663e+01,7.885265271e+01,6.242441667e+01,4.073478453e+01,5.361364737e+01,9.504056902e+01,2.368740650e+01,3.733437389e+01,1.495964384e+01,7.608665630e+01,4.790986807e+00,5.153640663e+01,9.506485958e+01,3.647400120e+01,7.245543503e+00,2.650921320e+01,2.340695853e+01,8.592246744e+01,5.399018346e+01,7.989017418e+01,6.669494672e+01,8.025519964e+01,8.166528980e+01,4.394255894e+01,3.154158389e+00,5.466059450e+01,8.251210442e+01,8.084968915e+01,4.800552002e+01,3.598577187e+01,6.149637259e+01,9.719688108e+00,9.187580166e+01,3.274242644e+01,2.026760241e+01,4.622375520e+01,1.530536485e+00,6.156869601e+01,7.537904685e+01,4.173646102e+01,2.036748022e+01,9.782775383e+01,7.222006143e+01,9.618285266e+01,8.242358811e+01,7.865994399e+01,2.952788617e+01,9.824751286e+01,2.291025462e+01,7.430978257e+01,5.146758106e+01,3.191706521e+01,5.974707377e+00,3.945912830e+00,3.895832459e+01,2.266155135e+01,1.841908254e+01,4.985204251e+01,4.098203723e+01
2.594833500e+01,4.722083121e+01,3.270239833e+00,7.029008806e+01,2.217070824e+00,8.175517172e+01,5.736688501e+01,1.731183758e+01,6.650463258e+01,4.655190779e+01,1.121663193e+01,4.087059800e+00,1.086529220e+01,4.456009198e+01,2.889515939e+01,6.436068608e+01,3.815863607e+01,5.196911807e+00,2.209042858e+00,1.343349256e+00,3.827752090e+01,9.868641823e+01,1.590494973e+01,1.078953516e+01,9.565512574e+01,4.314650417e+01,2.039500456e+01,2.503301259e+01,8.586184731e+00,1.423472962e+01,9.208414351e+01,4.550649710e+01,7.164933868e+01,5.185570690e+01,9.499061162e+01,7.043564961e+01,2.386035109e+01,8.748701311e+01,7.665273928e+01,7.130330664e+01,2.553114882e+01,9.679452815e+01,2.062630927e+01,9.877758970e+01,8.046415957e+01,9.113900687e+00,4.959616082e+01,1.572706195e+01,7.738110130e+01,8.179458059e+01,4.739717380e+01,6.618727502e+01,9.415813418e+01,3.231994017e+01,5.810567778e+01,7.744902892e+01,8.516831551e+00,3.574902355e+01,4.508128127e+01,4.796732525e+01,2.803649192e+01,9.955539595e+01,3.456380031e+01,6.689422142e-01,6.853347133e+01,7.236990476e+01,3.344736840e+01,8.821818358e+01,6.075634095e+01,9.271916917e+01,8.165616775e+01,3.554892365e+01,7.930477399e+01,2.312088446e+01,2.240351360e+01,1.135891740e+01,1.306457854e+01,4.825783089e+01,4.231825602e+01,7.179956333e+01,7.458450293e+01,4.092597531e+00,2.658029683e+01,2.047320820e+01
2.889776634e+01,5.931365424e+01,6.325030994e+01,7.292197873e+01,5.460041127e+01,2.244042021e+01,5.014683815e+01,9.495444881e+01,9.774476616e+01,9.318030792e+01,4.262351641e+01,5.467953604e+01,3.870231575e+01,2.732951692e+01,3.672633945e+01,3.580008673e+01,6.648850530e+01,8.323939678e+01,3.356708930e+01,2.938920895e+00,1.305750252e+01,7.484090632e+01,3.603273344e+01,6.855746312e+01,8.962612384e+00,1.322653020e+00,1.108966469e+01,7.203996300e+01,1.957999671e+01,4.864397546e+00,9.304147161e+01,6.085611056e+01,8.267483990e+00,7.030591450e+01,4.128077205e+01,9.140620894e+01,6.913119230e+01,9.941796093e+01,1.105532852e+01,3.189927410e+01,2.166282367e+01,6.529677898e+01,1.019835823e+01,4.428438098e+00,3.956163056e+01,9.508039841e+01,2.321580769e+00,1.111092862e+01,1.629167339e+01,8.307625873e+01,6.138540719e+01,6.418068391e+01,5.716697283e+01,4.541069593e+01,2.080055480e+01,9.287770016e+01,3.800114163e+01,5.355646724e+01,2.918055178e+01,3.555302776e+01,8.764204652e+01,2.803456423e+01,2.972264938e+01,2.982563297e+01,3.343462244e+01,9.882990145e+01,5.783017730e+01,1.400845670e+01,1.227477603e+01,9.226515172e+00,9.333554690e+01,2.238626323e+01,5.402490385e+01,4.091768516e+01,4.222771067e+01,3.761045964e+01,3.214664737e+01,9.105676476e+01,8.051727541e+01,4.485046395e+01,7.344629090e+01,7.524594804e+01,1.804842890e+01,2.274789094e+01
9.837096660e+01,1.946348703e+01,1.434592862e+01,2.136580616e+01,8.866410400e+01,9.398840287e+01,2.067447455e+01,8.323734514e+01,9.926066637e+01,5.314251990e+01,7.382747613e+01,8.682664198e+01,7.079075057e+01,6.737590834e+01,6.626689219e+01,3.199991731e+01,7.362909192e+01,6.842522855e+01,4.387526805e+01,9.674328573e+01,8.860185324e+01,4.333861388e+01,1.989994192e+01,5.996571985e+01,2.341326725e+01,3.625431796e+01,8.680196429e+01,4.632577764e+01,4.801931761e+01,6.688022885e+01,5.267199739e+01,6.074545241e+00,4.694342246e+01,9.129280695e+01,4.966679226e+01,5.038652168e+01,8.309047565e+01,6.695798319e+01,2.885647626e+01,1.079577888e+01,1.668548098e+01,6.214238016e+01,1.583025335e+01,8.321839823e+01,3.282768254e+01,6.187859493e+01,9.683273153e+00,4.964729574e+01,7.088715163e+01,7.425458708e+01,9.744395515e+01,9.659451124e+01,5.264496215e+01,1.483548729e+01,8.378467273e+01,5.694306339e+01,4.843718786e+00,8.654803175e+00,5.548793165e+00,9.805471466e+01,7.762283677e+01,5.176850083e+01,2.306494231e+01,4.481960116e+01,7.364233184e+01,2.474414196e+01,5.938584230e+00,5.861583870e+01,7.119352375e+01,5.912034895e+01,1.168719175e-01,7.084230790e+01,2.234445919e+01,7.144916857e+00,7.341648667e+01,7.804829596e+00,6.901460604e+00,3.974403803e+01,2.656716410e+01,6.900795182e+01,6.078876656e+01,2.070104052e+01,3.904118852e+01,8.252743085e+01
8.942341049e+01,7.743535955e+01,6.416671730e+01,8.407074918e+01,6.832639766e+00,3.487527107e+01,3.680819430e+01,7.751111171e+01,5.456992731e+01,2.294336602e+01,4.799403256e+01,1.142627786e+00,7.960896963e+01,1.731771355e+01,4.105219138e+01,2.397629794e+01,1.535556625e+01,1.512838284e+01,2.140040003e+01,4.930038444e+01,6.954190338e+01,3.050053555e+01,4.552931115e+01,7.282286304e+01,1.004351861e+01,4.669020135e+01,2.949746478e+01,8.110152735e+01,9.114211451e+01,1.759024583e+01,4.655763010e+01,9.917075130e+01,3.429389994e+01,8.735485968e+01,8.546153911e+01,6.390058447e+01,6.838614331e+01,1.425610912e-01,3.152001970e+01,9.959633886e+01,2.112223407e+01,1.780481399e+01,6.038821006e+01,2.377202472e-01,3.469160245e+01,9.394589778e+01,7.238885742e+01,9.280487881e+01,5.429200242e+01,1.409469424e+01,4.174217093e+01,2.115624555e+01,1.468897382e+01,8.196859651e+01,2.588956380e+01,1.879046233e+01,3.395478521e+01,7.106076962e-01,5.537361357e+01,8.198576454e+01,8.098606559e+01,1.304877209e+01,5.869494927e+00,9.996457623e+01,5.203543125e+01,9.407663645e+01,7.752435550e+01,5.267554665e+01,3.498184918e+01,9.545056722e+01,9.241218388e+01,5.526031598e+01,1.312963191e+01,6.598008913e+01,9.938748496e+01,4.386840007e+01,7.538789176e+01,4.249302801e+01,2.805709557e+01,8.807377356e+01,7.936279429e+01,4.176921489e+00,3.678401121e+00,2.857168665e+01
9.172371828e+01,2.468923096e+01,6.429965952e+01,6.488976962e+01,1.956896568e+00,7.922841565e+01,3.007598447e+01,9.045242104e+01,5.170849504e+01,6.900652992e-01,8.530559130e+01,9.177816620e+01,2.976080301e+01,6.291594253e+01,5.157758735e+01,9.039396009e+01,3.977040658e+00,4.153399977e+01,3.496337436e+01,1.732721909e+01,4.812016924e+01,5.910735853e+01,2.881848837e+01,5.717650126e+01,4.052978803e+01,9.223774038e+01,2.873361720e+01,4.221524144e+00,1.052710881e+01,7.293352935e+01,6.069242745e+01,5.120924262e+01,1.724435483e+01,1.359411557e+01,8.489400725e+01,5.447267123e+01,2.604849496e+01,2.189580992e+01,5.655343313e+01,3.679131001e+01,5.445602624e+01,5.420140467e+00,4.361955814e+00,2.537317570e+01,6.507752473e+01,9.743697724e+01,8.783778243e+01,7.511643476e+01,7.581831632e+01,9.374179024e+01,9.333665029e+01,1.739458591e+01,7.876541255e+01,4.742312805e+01,4.972837643e+01,3.088552498e+01,3.080141842e+01,6.008941849e+01,7.996887805e+01,8.110152433e+01,1.452993381e+01,5.425394371e+01,5.569579154e+01,3.255107677e+01,9.064748976e+01,1.195105785e+01,9.542950199e+01,3.176268999e+01,8.580069282e+01,5.615059906e+00,3.484506865e+01,4.027705044e+01,6.377074941e+01,5.577388897e+01,9.314213060e+01,6.986339639e+01,7.006734628e+01,7.954550521e+01,9.284097859e+01,5.919881801e+01,5.134734903e+00,5.559400947e+00,4.154275383e+01,5.497415011e+00
3.062460497e+00,9.529833899e+00,3.684332108e+01,6.984586866e+01,8.317793020e+01,6.326300428e+01,2.246372346e+01,3.506749896e+01,7.226112008e+01,5.266931865e+01,4.239180634e+01,4.440310007e+01,2.200196789e+01,8.576301949e+00,3.455146981e+01,1.512203235e+01,6.820915429e+01,2.124732023e+01,4.029718830e+00,2.911109370e+01,5.779269744e+01,9.462747304e+01,3.036944160e+01,5.948807355e+00,3.095322136e+01,3.834849775e+01,2.297362162e+01,1.007393238e+01,7.129336900e+01,5.544508506e+01,9.584894720e+01,3.586814732e+01,3.320681775e+00,5.962813208e+01,1.928509090e+01,5.145877869e+00,5.388956552e+01,1.225942595e+00,4.421799236e+01,1.174464595e+01,4.536859791e+01,4.335960493e+00,7.390550286e+01,1.539568220e+01,6.654068057e+01,2.363939097e+01,9.038464307e+01,4.393183671e+01,4.131483841e+01,8.416265772e+01,6.874434684e+01,9.628568005e+01,7.335498255e+01,5.968477182e+01,6.408152702e+01,4.339665496e+01,1.674811790e+01,7.378529763e+01,2.371318764e+00,6.878132852e+01,6.672037605e+01,8.919311192e+01,6.711003577e+01,7.187805988e+01,8.964997923e+01,7.385120359e+00,4.092226350e+01,9.119558072e+01,6.370424947e+01,2.273935537e+01,9.867740920e+01,9.249359101e+01,3.503032287e+01,6.813642232e+00,8.797646621e+01,4.292170233e+01,5.128487656e+01,4.174405668e+01,4.542141316e+01,1.008437531e+01,8.674549188e+01,4.280062543e+00,3.324325416e+01,5.983118461e+01
8.161735346e+01,9.293100666e+01,4.021807622e+01,8.258748829e+01,6.423696814e+00,3.098787575e+01,7.790231222e+00,1.058006883e+00,7.363336590e+01,8.828778046e+01,7.922483825e+01,7.998541656e+01,3.295724843e+01,1.321005612e+01,4.442705293e+00,2.862929824e+01,3.395798755e+01,2.378777782e-01,4.361242879e+01,5.039820023e+01,6.154596311e+01,3.392905279e+01,6.152610032e+01,4.915797436e+00,7.618287154e+01,7.333569764e+01,1.335833196e+01,4.599339935e+01,7.248561261e+01,6.503846321e+01,8.216035075e+01,2.838880950e+01,4.034068241e+00,8.896629169e+01,5.222538398e+01,1.686045378e+01,5.644623171e+01,9.162348980e+01,7.679030722e+01,3.767569061e+01,8.728665875e+01,6.167141388e+01,2.924955338e+01,5.022717521e+01,2.419453368e+01,2.448206054e+01,7.829048448e+01,1.460172132e+01,5.144419374e+01,7.098395975e+01,4.103191019e+01,7.336013321e+01,4.549754989e+00,8.210894372e+01,3.633246741e+01,9.210041776e+01,7.161771970e+01,8.248660172e+01,8.402189840e+01,4.518974080e+01,9.724337225e+01,3.889641124e+01,9.889644056e+01,5.733175803e+01,8.773653443e+01,1.468358588e+01,1.752770485e+01,9.628536038e+01,1.802562890e+01,7.382367566e+00,7.815244978e+01,7.414418390e+01,4.089542522e+01,6.960687140e+01,7.650980784e+01,2.012503673e+01,2.263547377e+01,7.175407129e+01,2.865933650e+01,7.290644494e+00,9.718708906e+01,3.293096978e+01,8.626765049e+01,7.257656730e+01
