v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85
8.674117011e+01,9.288154733e+01,3.713309886e+01,5.407343424e+01,7.743229600e+01,5.840087228e+01,8.234147850e+01,2.872874401e+01,4.096188816e+01,2.763236661e+00,4.429107128e+01,2.064372830e+01,6.177532996e+01,2.748324113e+01,5.431545292e+01,8.226108155e+01,7.975472012e+01,6.236307971e+01,3.334527099e+01,4.367731679e+01,3.006897625e+01,9.440795193e+01,5.304948786e+01,7.119042466e+01,9.629437974e+01,6.706813713e+01,3.658268375e+01,6.932758150e+01,3.667574677e+01,4.509829769e+01,1.152488523e+01,8.027869221e+01,8.029974645e+01,5.081893620e+01,8.932181310e+01,7.114290943e+01,4.959829122e+01,3.631723042e+01,3.628108037e+01,9.575030151e+01,9.102463032e+01,8.905097386e+01,8.953653778e+01,6.745782130e+01,4.315387638e+01,9.319281969e+01,8.726004979e+01,6.490671597e+01,2.779499754e+01,2.811486628e+00,1.289117802e+00,5.052839601e+01,1.346751425e+01,2.387281923e+01,7.852934511e+01,8.930516661e+01,6.361602356e+01,2.501796006e+01,4.427657653e+01,8.153980853e+01,7.260298266e+01,3.993812199e+01,6.716265443e+01,5.405291634e+01,7.830382565e+01,2.311657873e+01,7.142468847e+01,2.422001754e+01,8.268470578e+00,1.832766436e+01,4.921153501e+01,6.912589226e+01,5.971041890e+01,6.777290423e+01,4.974488745e+01,4.333533658e+01,6.218553365e+01,4.186147402e+00,3.151751167e+01,1.439831560e+01,1.839321092e+01,4.765086582e+01,9.928474279e+01,8.231176986e+00,4.471778716e+01
7.684324602e+01,8.343145787e+01,3.479987787e+01,1.723235615e+01,9.360909202e+01,7.077394289e+01,6.636662782e+01,1.040979436e+01,5.262564035e+01,5.860445417e+00,9.280184726e+01,7.577708429e+01,6.638474199e+01,3.014142228e+01,9.770692905e+01,3.358190947e+01,1.127131703e+01,1.772466592e+01,7.259977795e+01,6.121100130e+01,7.740384221e+01,4.007963174e+01,6.432536734e+01,1.594490391e+01,1.687946544e+01,9.153318600e+01,5.536262481e+01,3.716511483e+01,2.983975511e+00,3.922426728e+01,6.534442888e+01,5.655625207e+01,8.910941884e+01,6.656953117e+00,9.765004144e+01,2.897697518e+00,3.845977629e+00,2.080057095e+01,3.594772774e+01,1.875139558e+01,2.665284113e+01,8.205008213e+01,2.940367105e+01,9.532958249e+01,9.232072064e+01,7.614709605e+01,6.506778520e+01,3.270363506e+01,8.765095157e+01,9.550862646e+01,1.110017695e+01,1.597902742e+01,7.430988449e+01,6.467958513e+01,3.435652366e+01,2.550934181e+01,8.236897027e+01,7.617769168e+01,9.725730178e+01,9.610771445e+01,9.871370188e+01,2.568722330e+01,3.889654980e+00,4.264923513e+01,1.633995025e+00,1.950548475e+00,5.025952163e+01,9.749656423e+01,8.275609054e+01,1.122749536e+00,6.492692706e+00,3.916206169e+01,5.003658132e+01,9.900634257e+01,9.945037406e+01,8.139301840e+01,7.765321236e+01,7.143743538e+01,5.388674472e+01,7.594725115e+01,2.488376213e+01,2.485384987e+01,2.921857430e+01,3.503503725e+01,8.508533152e+01
9.268740040e+01,2.353973815e+01,8.077217930e+01,1.670286432e+01,7.678610190e+01,2.664272744e+01,9.326353391e-01,7.381322929e+01,6.171244832e+01,7.553685572e+01,2.007300604e+01,3.612343183e+00,5.413624659e+01,8.932176023e+01,2.579619797e+01,5.817311459e+01,3.595960709e+01,7.173428565e+01,8.437021700e+01,3.485796482e+00,1.063199679e+01,2.617013949e+01,5.619540280e+01,7.590388752e+01,3.713377801e+01,8.661780257e+01,6.081053214e+01,4.456205792e+01,4.795508961e+01,7.617105378e+01,9.237488794e+01,1.212458384e+01,3.522243126e+01,6.292591865e+00,8.701117997e+01,4.057910532e+01,9.744116571e+01,4.925823245e+00,1.934366569e+01,5.063473804e+01,7.122567567e+01,2.137511676e+01,7.658365037e+01,8.763684707e+01,2.966918186e+01,1.951903113e+01,2.059629663e+01,2.966204130e+01,3.553340739e+01,7.643895615e+01,2.525375192e+01,8.218216787e+01,2.557971685e+01,1.876506967e+01,2.498016845e+01,6.635769522e+00,2.763798722e+01,8.672487646e+01,4.735170579e+01,1.590108637e+01,8.437697927e+01,9.737949377e+01,5.351594662e+01,8.238589125e+01,3.621353858e+01,7.090803877e+01,2.712836271e+01,7.236199137e+01,6.546171451e+01,2.704123783e+01,5.062998268e+01,2.385236424e+01,6.964486821e+01,1.476147363e+01,8.602761686e+01,7.351209165e+01,4.447408459e+01,7.447109415e+01,3.758439847e+01,6.793319333e+01,1.769027409e+00,2.298363920e+01,3.198530055e+01,4.040773550e+00,8.896685112e+01
5.059175430e+01,3.716761058e+01,4.756125482e+01,4.160517430e+01,9.072832584e+01,2.287695262e+01,6.422777817e+01,1.703812755e+01,8.176416095e+01,8.040346282e+00,9.993272872e+01,4.988846930e+01,4.591391878e+01,6.717213028e+01,1.980471792e+01,3.403449254e+01,3.077087893e+01,4.746399193e+01,7.349810559e+01,6.091216137e+01,8.104658846e+01,6.742620313e+01,2.184976513e+01,1.229790453e+01,9.264063000e+00,7.048650280e+01,6.465751603e+01,7.471395711e+01,5.213691989e+01,9.543064195e+01,3.564561567e+01,9.945016296e+01,5.750426861e+01,8.278440481e+00,7.723949949e-01,3.539697807e+01,8.343903157e+01,6.620738724e+01,7.692390112e+01,8.546987450e+01,5.592801064e+01,7.271108242e+01,1.586080009e+01,6.222903061e+01,1.023438012e+01,7.265507980e+01,1.978014563e-01,7.181264890e+01,1.552186752e+01,4.504726623e+01,1.565364047e+01,4.072347594e+00,4.888326532e+01,1.250279481e+01,2.198001492e+00,2.620516191e+00,9.277478492e+01,4.664111411e+01,5.703885981e+01,5.170404092e+01,8.907166089e+00,8.233672944e+00,3.057741660e+01,9.931922048e+01,9.283520472e+01,3.040755209e+01,5.342642312e+01,8.758894490e+01,9.584189584e+01,7.175766139e+01,4.051861584e+01,4.513356250e+01,5.582534993e+01,2.773125486e+00,1.369804563e+01,2.868428845e+00,6.182329560e+00,1.013883847e+01,2.128863502e+01,4.538280606e+01,8.220793826e+01,7.507411237e+01,2.485582278e+01,1.557139945e+01,9.048990767e+01
7.773802044e+01,7.037637106e+01,8.958605739e+01,6.425786046e+01,6.940664133e+01,6.229686058e+01,3.144525353e+01,5.140130730e+01,7.921216358e+01,6.090616914e+00,1.136216710e+01,8.779871913e+01,1.214983598e+01,3.084800644e+00,5.694531868e+01,6.844854877e+01,1.005309861e+01,9.812251286e+01,6.545308663e+00,4.281227910e+01,3.176478617e+01,1.689154278e+01,2.766604843e+01,3.581641585e+01,3.953769741e+01,3.387642393e+01,7.716347846e+01,3.749266991e+01,9.820629656e+01,5.983624132e+01,7.488338879e+01,6.093274661e+01,7.069328808e+01,8.862955158e+01,7.837954524e+01,3.693723808e+01,5.973983390e+01,1.135691086e+01,9.163647503e+01,4.192573088e+01,1.871683374e+01,7.598564906e+01,5.139354632e+01,5.783487058e+01,1.250611340e+01,8.897554045e+01,1.447968970e+01,8.234518629e-01,6.054227306e+01,8.758311369e-01,9.153826610e+00,3.242447924e+01,8.270446512e+01,2.582933986e+00,8.933974845e+01,3.268981110e+00,9.018101415e+01,7.010194302e+01,3.498561361e+01,9.148744138e+01,2.392805062e+01,9.826479256e+01,4.890279622e+01,3.566281748e+01,9.429572310e+01,8.352998836e+01,1.129871205e+01,1.292416608e+00,8.655374737e+01,6.208371707e+01,9.852917870e+01,3.473442010e+01,7.044463788e+01,5.098213422e+01,3.680011415e-01,2.013239453e+01,9.906549808e+01,9.639949795e+01,5.422000640e+01,8.746802170e+01,1.289050244e+01,4.982324653e+00,3.297201963e+01,2.517333302e+01,2.708479263e+01
8.003871911e+01,6.196836086e+01,1.366922609e+01,9.086811218e+01,2.214692939e+01,5.873799182e+01,2.827042028e+01,3.164885696e+01,7.983457175e+01,8.441349268e+01,6.366221284e+01,2.048933281e+01,2.234601049e+01,9.053898017e+01,9.580246602e+01,2.737415306e+01,5.938695928e+01,1.902402275e+01,4.952705602e+01,1.935606869e+01,7.523572713e+01,6.519511232e+01,5.448173280e+01,1.088624141e+01,1.421122984e+01,6.027907864e+01,7.503615916e+00,7.290354999e+00,1.870568599e+01,9.827771855e+01,4.383618127e+01,3.947857053e+01,3.844741148e+01,7.312463609e+01,7.337009162e+01,5.954502674e+01,7.996016719e+01,7.439249082e-01,2.986419674e+01,4.943902759e+00,7.496628647e+01,1.012395121e+01,8.173974045e+01,9.805499434e+01,4.720794322e+01,6.469325735e+01,1.108989370e+01,6.444608703e+01,6.970566450e+01,7.014470212e+01,7.086158155e+01,7.880102834e+01,9.412070931e+01,9.509334583e+01,2.015633419e+01,8.579018622e+01,4.436277212e+01,4.329345496e+01,6.552498343e+01,3.534761440e+01,5.277972099e+01,8.914465901e+01,9.336856420e+01,9.639327833e+01,1.190111922e+01,9.314657788e+01,6.821233339e+01,9.426646809e+01,9.749681504e+01,4.633549026e+01,9.534699581e+01,4.255701947e+01,3.857127706e+01,9.476045887e+00,8.032127848e+01,7.250222321e+01,6.729624377e+01,6.039720336e+01,3.376359108e+01,8.262154235e+00,6.856257790e+01,1.443388657e+01,9.503564750e+01,3.299279929e+01,8.840843089e+01
2.730014455e+01,4.412331705e+01,4.038492276e+01,5.447223759e+01,6.039937673e+01,2.024395657e-01,4.465656042e+01,5.314042780e+01,9.284577068e+01,5.732498671e+01,1.835667051e+01,8.045664426e+00,9.377581918e+01,1.422310628e+01,8.404013148e+01,6.785029177e+01,6.546224891e+01,6.049995295e+01,2.087904893e+01,3.712129745e+00,8.241332287e+01,3.545155494e+01,5.831028918e+01,3.722625908e+01,7.586032727e+01,2.717017489e+01,1.102725112e+01,5.481272242e+00,4.351727999e+01,8.851996487e+01,8.547956455e+01,9.384325369e+01,4.009087324e+01,8.748353850e+01,6.454101366e+00,6.938190670e+01,4.756255803e+01,1.821225371e+01,2.950524269e+01,6.835158581e-01,9.998566814e+01,7.723433651e+01,9.068019780e+01,7.633049971e+01,6.867617192e+01,8.493795850e+01,2.256471536e+01,2.259656548e+01,2.100738588e+01,3.667218039e+01,5.989102010e+01,2.197966459e+01,5.808040141e+01,8.128188072e+01,2.578771709e+01,9.681279553e+01,4.652922875e+01,3.560613408e+00,1.277553614e+01,4.318716467e+01,1.070661420e-01,2.725010655e+01,5.127554622e+01,2.834124310e+01,7.313938995e+01,8.226410869e+01,3.333856811e+00,5.548468006e+01,5.178141897e+01,9.863710211e+01,7.380681799e+00,3.274455454e+01,9.254108527e+01,5.301817277e+01,4.837242310e+01,6.348751021e+01,3.835569926e+01,6.114917564e+01,8.265956607e+01,3.740558852e+01,2.753898162e+01,6.765031161e+01,5.652017033e+01,1.676166463e+01,7.347521292e+01
5.619991999e+01,3.780985487e+01,7.386077958e+00,6.217165089e+01,9.204571236e+01,9.087291379e+01,6.611335838e+01,9.741892615e+01,5.505337067e+01,5.064243779e+01,4.181498057e+01,5.007061393e+01,5.431001235e+01,2.684726820e+01,8.303466428e+01,6.575789971e+01,7.577823199e+01,5.920202794e+01,1.878041827e+00,1.730448694e+01,4.141335039e+01,4.731446193e+01,7.482811524e+01,1.507091600e+00,7.792088663e+00,2.993588986e+01,1.383277690e+01,5.968695087e+01,7.982613869e+00,3.430522079e+01,3.615656625e+01,6.520085863e+01,4.878598532e+00,9.883160858e+01,9.501299309e+01,7.480005797e+01,4.679269855e+00,8.648064930e+01,3.678448113e+01,8.768480565e+01,7.059359194e+01,5.679839103e+01,5.992323735e+01,4.167654484e+01,5.546350634e+01,2.794102900e+00,6.300297135e+01,5.499785101e+01,7.138788347e+01,6.838553500e+01,2.280898522e+01,4.287641114e+01,3.897992228e+00,5.258994887e+01,1.105438322e+00,2.121278644e+01,2.018591803e+01,8.318204148e+01,4.625584765e+01,4.885114689e+01,9.767398036e+01,7.133357798e+01,9.976417366e+01,2.781115302e+01,6.798451432e+01,3.526605573e+01,9.077545933e+01,2.018342503e+01,5.488861193e+01,2.114055675e+01,5.753892992e+00,2.318047001e+01,4.878269988e+01,6.416557898e+01,2.881346087e+00,2.176817958e+01,2.503127323e+01,6.527077908e+01,1.005717519e+01,6.121104219e+01,6.435439792e+01,9.098111123e-01,1.969365878e+01,4.193441811e+01,4.130069671e+01
4.440679582e+01,5.233601153e+00,4.121196644e+01,4.410629547e+01,1.004325683e+01,9.773668006e+00,5.041593464e+01,5.329210255e+01,3.588754211e+00,1.738082483e+01,3.767011709e+01,8.908698250e+01,5.233078246e+01,4.390744100e+01,1.598537501e+01,9.975104310e+01,9.937284763e+01,5.423432941e+01,2.965595505e+01,8.342000134e+01,1.770613552e+01,5.360014989e+01,7.464724514e+01,8.991902376e+01,7.616259380e+01,8.846585663e+01,5.635751086e+01,1.020234732e+01,2.181500738e+00,3.146676514e+01,9.878648401e+01,3.591121207e+01,2.385425489e+01,1.608369284e+01,7.211846200e+01,9.181182355e+01,2.811250875e+01,5.143330599e+01,8.169628379e+01,8.269141732e+01,5.552360538e+01,7.477990755e+01,1.630996331e+01,7.933801098e+01,4.797364263e+01,3.358331286e+01,7.175522398e+01,5.768543986e+01,1.798137585e+01,9.196689081e+01,1.845239830e+01,4.581004278e+01,5.235223132e+01,7.854819142e+01,1.890315615e+01,4.515353258e+01,5.762141541e+01,5.991727519e+01,5.312623291e+01,9.340425485e+01,9.303717939e+01,8.425271301e+01,8.169099919e+01,9.999528637e+01,2.330705329e+01,7.677161893e+01,4.487442894e+01,4.311133692e+01,2.028226848e+01,8.680600611e+00,8.856319477e+01,8.288709128e+01,5.913501769e+01,8.639735212e+01,4.769528099e+00,3.755893622e+00,3.718379438e+01,2.774564542e+01,1.953487947e+01,3.790398008e+01,8.683834828e+01,3.242848827e+01,9.985896920e+01,9.035709366e+01,5.231253576e+01
5.951307534e+00,8.231682248e+01,4.228687046e+01,8.254681867e+01,6.050720477e+01,7.615743383e+00,2.509933548e+01,9.232419524e+01,7.963900366e+01,4.226521339e+01,6.290891224e+01,5.341133192e+01,4.533299768e+01,5.100819733e+01,2.935092844e+01,2.720965257e+01,2.532833207e+00,4.892362668e+01,9.048132583e+01,7.289769265e+01,7.190225841e+01,1.930061670e+01,7.901104573e+01,6.329058924e+01,7.399394843e+01,1.436559445e+01,4.142481701e+01,9.436120438e+01,6.667493263e+01,4.711343710e+01,4.768700257e+01,6.179757725e+01,6.850846913e+01,4.142701409e+01,1.343715405e+01,8.157906863e+01,5.478839163e+01,1.374675290e+01,6.481542708e+01,7.201704264e+01,6.264221732e+01,3.812296063e+01,8.656809707e+01,2.934302061e+01,4.215929063e+01,1.268097740e+01,4.657433718e+01,8.379205183e+01,6.864334047e+01,6.530081882e+01,5.172019306e+01,8.048728897e+00,8.161921704e+01,9.666180125e+00,7.202096421e+01,8.742282743e+01,5.821177597e+01,3.265545272e+01,8.794609589e+01,3.420966839e+01,8.983221497e+01,6.169559011e+01,7.455882047e+01,7.928006732e+01,2.789414606e+01,1.074073872e+00,9.563181146e+00,9.716234633e+01,9.755913692e+01,4.071557852e+01,8.189346696e+01,8.730702497e+01,9.083131698e+01,3.302295187e+01,9.871433447e+01,9.863608225e+00,9.024451835e+01,5.738063935e+01,8.980988819e+01,4.864918899e+00,3.700310465e+01,9.987704238e+00,5.901735873e+01,8.741652409e+01,2.018385075e+01
