v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86
4.422548423e+01,4.319907210e+01,9.796448471e+01,2.131358808e+01,7.441555265e+01,5.470890238e+00,3.294774945e+00,8.282282183e+01,8.574864159e+01,6.566968379e+01,7.849532416e+01,7.868729324e+01,7.580231237e+01,2.801838512e-01,4.539094663e+01,8.979403465e+01,7.450438176e+01,4.405417739e+01,7.245085919e+01,4.254880394e+01,8.235414748e+01,6.808583637e+01,5.796242843e+01,8.572080492e+01,2.118337269e+01,9.878471171e+01,1.014075107e+01,8.195888784e+01,3.930373657e+01,6.474499675e+01,8.323527896e+01,7.832298804e+01,1.688620954e+01,4.208038720e+01,3.104202848e+01,6.233869197e+01,4.366896612e+01,2.065649784e+01,8.122629426e+01,1.640195803e+01,3.680507092e+01,4.764644539e+01,8.615627566e+01,3.692330549e+01,8.974729201e+01,3.508677056e+01,8.490490343e+01,5.651567781e+01,9.651366722e+01,5.133990362e+01,9.461078700e+01,8.706473302e+01,3.429874046e+01,4.271047083e+01,1.656208526e+01,4.103162424e+01,5.870909853e+01,5.717035169e+01,5.815009479e+01,4.449225500e+01,2.934370027e+01,5.031914936e+01,9.439597167e+01,9.793824062e+00,2.465008680e+01,4.778240005e+01,5.176525575e+01,7.366332759e+01,5.582373394e+00,3.702496954e+00,4.877021823e+01,3.187748783e+01,8.687896991e+01,8.655781316e+01,8.062792120e+01,5.406733465e+01,7.839301515e+01,1.736151497e+01,7.663753709e+01,1.076280546e+01,7.137595450e+01,2.054424938e+01,1.852980366e+01,2.557455245e+00,6.817086134e+01,8.972776646e+01
2.486277278e+01,5.202648234e+01,6.537584189e+01,2.538963240e+01,5.936541129e+01,9.487103422e+01,8.171875501e+01,8.871058518e+01,1.574471213e+01,4.194367010e+01,3.805250321e+01,3.170747915e+01,3.040603473e+00,1.408092020e+01,9.052899448e+01,9.827572351e+01,7.116650610e+01,2.672119399e+01,7.471184537e+01,3.808598621e+01,4.036621499e+01,1.764083681e+01,5.683770352e+01,4.982957534e+01,4.516983440e+01,5.976065114e+01,3.607156460e+01,6.560934673e-01,7.401813006e+01,4.702976346e+01,5.219868025e+01,1.740566289e+01,9.182745541e+01,5.559535833e+01,7.513755655e+01,5.504789259e+01,8.746407938e+01,5.324174397e+01,6.136049444e+01,5.588288209e+01,9.406367495e+01,3.332735271e+01,8.372801831e+01,2.388059751e+01,6.686550310e+00,3.264805849e+01,4.183904479e+01,5.209636387e+01,4.476952244e+01,9.687429251e+01,8.585294017e+01,6.629501291e+01,3.707426074e+01,3.385525686e+01,6.994351085e+01,6.636111192e+01,6.862667027e+01,3.357986205e+00,1.174738634e+00,5.350490116e+01,4.935826084e+01,5.970467597e+01,8.115232848e+01,8.430197040e+01,9.976145426e+01,8.407810671e+01,9.779392589e+01,7.461836301e+01,8.326511396e+01,9.889460749e+00,2.084486789e+01,8.353618166e+01,5.586425589e+01,1.341252054e+01,1.030299750e+01,5.250225153e+01,4.303228930e+01,2.032234913e+01,3.761205896e+01,2.933748249e+01,9.292923083e+01,3.589021295e+01,9.648586154e+01,9.785302000e+00,9.171434341e+01,2.187009169e+01
6.467891904e+00,7.861673493e+01,2.282092468e+00,6.246125530e+00,6.646547001e+00,7.360725727e+01,5.406213016e+01,1.597182827e+01,8.731369498e+01,6.991852326e+01,3.170900025e+01,7.938761962e+01,6.511926006e+01,4.574057374e+01,1.278479371e+01,9.483836171e+01,2.019009399e+01,4.980759162e+01,4.332285546e+01,9.702332788e+01,4.926826624e+01,3.753634112e+01,9.378541793e+01,5.260296750e+01,8.192841828e+01,6.089680480e+01,6.195693728e+00,4.268413265e+01,9.940534874e+00,2.635212981e+01,6.655229993e+01,5.713642737e+01,8.660240631e+01,5.003083205e+01,1.353630503e+00,1.810938913e+01,5.854965049e+01,4.655117789e+01,7.324967925e+01,4.665960428e+01,4.550465220e+01,6.590459731e+01,2.144760398e+01,2.460992105e+00,3.421405241e+01,7.462004489e+01,8.313557350e+01,7.164362032e+01,8.672284203e+01,9.920044154e+01,1.585303454e+01,5.648816065e+01,5.666658492e+00,2.807228796e+01,4.215643604e+01,9.420739884e+01,7.168014773e+01,8.874811488e+01,2.738135035e+01,8.406928105e+01,6.509782612e+01,2.894036936e+01,8.961961105e+01,7.638754281e+01,9.478478134e+01,6.766440615e+01,1.241374284e+01,3.309829737e+01,8.262216333e+01,6.754781881e+01,7.519852799e+01,5.898648950e+01,7.310111069e+01,6.485773672e+01,7.651316633e+01,6.767475258e+01,7.302094099e+01,1.859084135e+01,5.476808957e+01,5.331754267e+01,6.783319282e+00,6.679057979e+01,1.317671770e+01,9.806413725e+01,7.115357780e+01,6.406991675e+01
8.740218589e+01,1.037538150e+01,5.560662408e+01,2.040782777e+01,2.571986556e+01,7.879929723e+01,1.920619702e+01,1.470839795e+01,9.078792179e+01,5.187949681e+01,9.926757134e+01,1.006405771e+01,3.187366552e+01,9.852254665e+01,5.399715552e+01,8.139490165e+01,7.172281966e+00,9.422114989e-01,4.689657935e+01,9.872819873e+01,9.927932375e+01,8.739328018e+01,1.635185874e+01,7.169270024e+01,7.807505677e+00,6.559832909e+01,7.161928582e+01,1.708433929e+01,7.579833940e+01,1.899918761e+01,7.490192175e+01,5.630043124e+01,9.424560627e+01,5.449249510e+01,1.720930581e+01,9.781594627e+01,3.628417052e+01,9.014107159e+01,2.001525619e+01,4.516342976e+01,9.978751916e+01,6.017912045e+00,3.757212695e+01,9.525292467e+01,5.959320164e+01,3.986334349e+00,7.235550732e+01,3.317163294e+01,8.156645272e+01,3.010743750e+00,7.782717665e+01,3.135836356e+00,2.721629650e+01,2.939619408e+01,6.212040330e+01,7.192895096e+01,6.300796742e+01,7.596362992e+01,6.277616276e+01,9.735100301e+01,3.924800639e+01,8.604471607e+01,8.628804021e+01,6.846944844e+01,2.867195969e+01,6.946650350e+01,5.742250546e+01,9.148217138e+01,9.730158265e+01,6.336433769e+01,9.264441719e+01,8.429214669e+01,8.341332525e+00,5.591484356e+01,1.099836519e+01,5.944362889e+00,4.932827864e+01,4.225488348e+01,2.226606226e+01,1.748968007e+00,3.687975961e+01,3.339245972e+01,2.032240032e+01,9.897254493e+01,5.296031128e+01,5.995344367e+01
6.026802353e+00,2.382390529e+01,2.638381846e+01,1.146764547e+01,8.164142039e+01,1.282279859e+01,1.945112858e+01,7.890116923e+01,6.848029628e+01,5.715730210e+01,9.010478760e+01,5.793389454e+01,3.134963017e+01,8.357535038e+00,3.631418267e+01,9.890104891e+01,3.556298490e+01,6.271709644e+01,7.690192570e+01,8.833294440e+01,9.830175407e+01,9.397166905e+01,5.237206924e+01,2.987568652e+01,4.850554700e+01,4.378221210e+01,1.425375364e+01,1.715060456e+01,2.302171886e+01,8.586357476e+01,2.980654085e+01,9.149886106e+01,3.045842120e+01,9.172794972e+01,9.248592313e+01,6.060621064e+01,4.608428042e+01,5.598589772e+01,9.968824263e+01,9.260508025e+00,6.318001001e+01,5.655033482e+01,7.612308037e+01,5.509049700e+01,4.018516497e+01,8.466814977e+01,1.995811155e+01,1.648252776e+01,5.026902266e+01,9.752931995e+01,1.931507296e+01,6.984730334e+01,3.237585716e+01,8.244755688e+01,6.038864352e+01,8.409967732e+01,7.458246792e+01,9.215769916e+01,9.958833701e+01,7.240999252e+00,7.009513883e+01,9.076503253e+01,4.762424981e+00,8.667806218e+01,1.749693968e+01,4.979133299e+01,6.483456556e+01,4.443356676e+01,3.367226492e+01,2.188222437e+01,5.747940143e+00,3.878427361e+01,3.204603394e+01,2.108229780e+01,6.013824103e+01,5.602398988e+01,3.143308822e+01,4.647843528e+01,2.716433950e+01,9.838491733e+01,4.358422831e+01,6.092997255e+01,4.777517941e+00,6.528215002e+01,6.959920739e+00,9.394495103e+01
9.161767536e+01,8.147836548e+01,7.271493561e+01,9.823557058e+01,1.321952491e+01,3.573467678e+01,9.151906783e+01,2.682320898e+01,5.660313212e+00,4.098580188e+01,7.665731739e+01,3.588652936e+01,6.367267576e+01,5.917763901e+00,6.444903167e+01,8.988436009e+01,3.596972000e+01,3.365918510e+01,1.436576437e+01,5.007701248e+01,6.109679657e+01,7.024812030e+01,9.155387124e+01,6.136310986e+01,1.738350533e+01,8.309991900e+01,2.391652014e+01,7.017019381e+01,5.994815357e+01,4.968003951e+01,8.676672001e+01,4.614340284e+01,8.868215682e+01,2.080961115e+01,4.924192593e+01,9.169325034e+01,8.815450606e+01,9.584916025e+01,6.356155377e+01,8.093420397e+01,4.599138836e-01,5.327762780e+01,7.505548498e+01,2.880358454e+01,1.708477336e+01,9.677218903e+01,8.235242141e+01,7.967319499e+01,3.825998780e+01,4.454065995e+01,4.982276909e+01,1.419123950e+01,9.815521915e+01,9.561903091e+01,6.545973482e+01,9.525668007e+01,1.058929590e+01,7.983510530e+01,3.160868318e+01,8.098262181e+01,9.222415762e+01,9.060529495e+01,3.015730284e+01,7.573844568e+01,6.718954377e+01,7.475232576e+01,9.992244675e+01,8.148868992e+01,1.639743043e+01,9.257600130e+01,4.802252411e+01,5.482810292e+01,2.338226507e+01,8.567969650e+01,9.144772281e+01,2.061882377e+01,7.235369734e+01,1.996762357e+01,1.697607598e+01,2.138573123e+01,7.215120423e+01,7.909124513e+01,2.399401722e+01,4.177500828e+01,5.024109663e+01,2.000706149e+01
6.455145037e+01,3.573193155e+00,1.395865002e+01,4.426746296e+01,2.720008458e+01,1.179903597e+01,1.721680541e+01,4.489864198e+01,4.619699536e+01,5.645887038e+01,2.266966317e+01,4.508894540e+01,2.707121049e+01,9.274662937e+01,7.579146990e+01,7.776101851e+01,8.468341010e+01,2.501911743e+01,9.671395955e+01,6.566128809e+01,4.058020491e+01,1.051147585e+01,5.344304669e+01,2.394736331e+01,3.798549705e+01,5.910949757e+01,6.669824703e+01,1.417906139e+01,7.859350601e+00,8.775378648e+01,8.793524672e+01,5.452329426e+00,3.927850497e+01,9.182912067e+01,3.820880733e+01,3.650488405e+01,7.627296599e+01,5.818021483e+01,2.575967754e+01,3.493024609e+01,8.787987874e-01,5.373571158e+01,1.628814319e+01,7.335184880e+01,2.162064600e+01,4.535522358e+01,5.337553178e+01,5.868075920e-01,3.303843845e+01,5.115323863e+01,4.829815735e+01,3.561629521e+01,9.350474681e+01,9.856239109e+01,8.787251904e+01,4.445854986e+01,8.920422971e+00,1.799967020e+01,6.293636025e+01,7.288077164e+01,5.273649350e+01,3.722775056e+01,8.238634734e+01,8.695734383e+01,7.919142253e+01,3.952020847e+01,7.354634958e+01,4.168153793e+00,5.252710003e+01,4.781987162e+01,7.374881702e+01,6.565733639e+01,1.969957673e+01,2.312427457e+01,1.824143004e+01,8.652200016e+01,9.472141733e+01,6.157593290e+01,5.857315105e+01,9.261846238e+01,2.200950139e+01,3.056523154e+01,2.172962950e+01,3.807990070e+00,9.948555923e+01,8.033183484e+01
9.140553014e+01,5.645566260e+01,5.348258388e+01,9.228298632e+01,2.226239957e+01,8.307600249e+01,5.376024825e+01,1.195071556e+01,1.464559759e+01,6.100700393e+01,2.879560914e+01,1.055586013e+01,8.308955203e+01,3.174272435e+01,8.702668574e+01,8.965325889e+01,9.827788004e+01,3.808617631e+01,9.647648278e+01,3.889628622e+01,1.692816449e+01,1.164989707e+01,8.113992921e+01,3.393418408e+01,4.008844749e+00,4.159686320e+01,2.699890173e+01,6.179472693e+01,5.912631494e+01,8.329854781e+00,2.874567528e+00,1.506047285e+01,6.449649609e+01,7.155795051e+01,7.733329781e+01,2.948179200e+01,3.825007619e+01,1.592378503e+00,3.230647988e+01,5.588688215e+00,4.964434792e+01,6.298877139e+01,9.226031593e+01,2.928101774e+01,6.505507686e+01,9.866932915e+01,2.308845433e+01,5.481626800e+01,9.578549688e+01,9.173415671e+01,2.541642002e+01,6.967103525e+01,9.512910881e+01,9.888098780e+01,4.134664066e+00,7.871067080e+01,1.534752189e+01,6.472404183e+01,9.714396290e+01,1.418957128e+01,2.017382034e+00,5.804507279e+01,2.764314605e+01,6.933200221e+01,6.297362083e+01,8.462381180e+01,2.306877021e+01,5.710718537e+01,4.243306789e+00,6.209251997e+01,9.414220885e+01,9.728775669e+01,9.874474309e+01,3.253643353e+01,3.255004630e+01,8.463587125e+01,8.020687886e+01,4.372494161e+01,6.904677806e+01,6.011161108e+01,8.825047859e+01,4.357323771e+01,3.489665430e+01,4.124812196e+01,3.717007812e+00,1.697543578e+01
4.005010186e+01,7.386582426e+01,4.833118043e+01,4.393109453e+01,3.377879577e+01,2.627643446e+01,3.551212940e+01,2.464064150e+01,4.021389313e+00,2.264079108e+01,6.586001834e+01,7.712034136e+01,7.452246177e+01,9.702026498e+01,5.365500972e+01,8.319560994e+01,5.937141950e+01,7.893879608e+01,8.807222034e+01,7.816388039e+01,3.997187633e+01,2.268246059e+01,1.623448625e+01,8.782003243e+01,3.699480979e+01,6.348923662e+01,2.544074425e+01,4.699790059e+01,2.059148054e+01,9.914586793e+01,5.095068611e+01,7.438361136e+01,7.629497361e+01,9.558603970e+00,9.333202637e+01,7.252252607e+01,4.489220091e+01,4.136507254e+01,1.037214671e+00,2.562011165e+01,9.581165370e+01,2.176303842e+01,6.438824738e+01,2.390767221e+01,7.934370545e+01,1.644576223e+01,1.982223458e+01,8.665602706e+01,8.508397178e+01,1.227115061e+01,7.916689614e+01,5.138407288e+01,7.573994970e+01,7.936260188e+01,4.553959253e+01,2.093947152e+01,6.774928651e+01,2.204749913e+01,2.955405015e+00,4.929730004e+01,8.722520552e+01,7.434395043e+01,9.981114137e+01,7.854816536e+01,9.996321326e+01,1.801011585e+01,9.851328973e+01,5.307562397e+00,2.571421035e+01,8.162439937e+00,2.747871580e+01,5.854365698e+01,5.880351505e+01,2.666134560e+01,2.353863058e+00,2.453292606e+01,3.381961708e+01,8.468704814e+01,8.997994589e+01,1.835887871e+01,1.362431970e+00,4.110723854e+01,8.493918943e+01,7.416132642e+01,5.254179108e+01,2.659002659e+01
3.735769964e+01,7.725880183e+01,9.765931844e+01,6.586007895e+01,8.023940632e+01,4.200816726e+01,5.850402077e+01,2.449164836e+01,2.944993482e+01,4.126933372e+01,9.129046394e+01,9.973558758e+01,8.491249702e+01,9.521993440e+01,6.268886136e+01,1.931428676e+01,2.444042211e+01,4.279828044e+01,7.130703873e+01,1.640698394e+01,4.171124528e+01,3.869329302e+00,5.012029758e+01,5.666221445e+01,4.335524814e+00,5.931459749e+01,1.332151848e+01,9.222550726e+01,9.945909865e+01,1.372846250e+01,6.264464208e+01,4.172823183e+00,6.298797984e+01,7.069332413e+01,4.823032545e+01,5.046470221e+01,8.035811652e+00,4.096474307e+01,5.919686840e+01,8.792081110e+01,1.191653179e+01,4.258943166e+01,9.030814698e+01,9.109167073e+01,7.117863120e+00,6.978042583e+01,7.279327975e+01,6.148730386e+01,4.032625327e+01,7.362493883e+01,4.581305246e+01,9.115061910e+01,4.843105566e+01,3.948991302e+01,8.287589222e+01,2.220967217e+01,2.018993637e+01,9.350648627e+01,3.368734901e+01,5.454954825e+01,1.067991599e+01,3.239813450e+01,3.870235319e+01,3.659195950e+01,7.983101697e+01,6.752813243e+01,8.972250538e+00,9.880275123e+01,9.413496056e+01,6.017800887e+01,5.960997353e+01,8.488739932e+01,9.658149045e+01,2.516722153e+01,5.895231059e+01,8.448491560e+01,9.463097667e+01,2.018654600e+01,6.566582817e+00,3.104035846e+01,3.834991283e+00,9.823145076e+01,2.717480717e+01,1.395955623e+01,8.330155341e+01,1.104154465e+01
