v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87
7.204670950e+01,7.731010347e+01,4.466642323e+01,4.898763234e+01,7.919617160e+01,9.014579650e+01,2.422482755e+01,7.610436389e+01,9.247877228e+01,8.328086592e+01,4.480787828e+01,2.613535479e+01,3.813796052e+01,6.369789277e+01,1.536981998e+01,3.101773949e+01,4.190963639e+01,6.740353790e+01,5.091312280e+01,8.588774333e+01,7.984921374e+01,2.081478708e+01,8.476363763e+01,5.365066866e+01,8.996808837e+01,2.839618669e+01,5.481024480e+01,5.349097596e+01,7.850508219e+01,6.178929846e+00,8.734207252e+01,4.735658340e+01,7.743028612e+01,1.198101231e+01,9.860008271e+01,7.566093875e+01,8.505554542e+01,9.863484521e+01,5.192078646e+01,2.935883508e+01,5.394462118e+01,1.265119105e+01,7.257982286e+01,6.248393010e+01,4.436264580e+01,1.406805165e+01,7.202038684e+01,2.361089895e+01,8.498138921e+01,2.786106668e+01,1.425354823e+01,9.959469901e+01,6.675935112e+01,3.980731119e+01,2.088683132e+01,8.032684821e+01,1.439658316e+01,7.548923385e+01,1.358233270e+01,5.576484666e+01,4.571240296e+01,5.688576733e+00,8.139367170e+01,7.751322418e+01,2.314723087e+01,5.550976632e+01,4.764996915e+01,6.165792544e+01,3.326328750e+01,3.852138891e+01,1.342762093e+01,2.958218688e+01,7.566784414e+01,4.268577247e+01,8.027705216e+01,4.146666980e+01,7.570034246e+01,2.696139734e+01,9.844638529e+01,1.936288377e+01,2.047897875e+00,8.058058818e+00,4.018988866e+01,7.282842459e+01,9.979346028e+00,9.240257212e+01,3.783165123e+01
6.136937692e+01,2.681035807e+01,4.704581883e+01,7.525621590e+01,5.634249409e+01,1.973625131e+01,4.769426903e+00,8.106585935e+01,8.933741302e+01,1.178711799e+01,1.268321388e+01,6.148176894e+01,1.532001731e+01,4.488370514e+01,1.296315385e+01,3.777716640e+01,6.021373975e+01,1.225658378e+01,5.146387018e+01,4.969744478e+01,8.548507263e+00,6.877791682e+01,5.192239241e+01,9.012546591e+01,3.846889778e+01,2.157791482e+01,5.088557083e+01,2.185949086e+01,6.328917542e+01,2.819519740e+01,5.668844663e+01,2.079680324e+01,8.784021759e+01,7.851477089e+00,9.749432634e+01,8.566036605e+01,2.977634389e+01,1.583584877e+01,9.683991323e+01,6.089406983e+01,3.791957502e+01,1.830245253e+01,4.052372860e+01,3.468131937e+01,4.767697141e+01,3.485131343e+01,3.729520525e+01,5.168582789e+01,4.060980066e+01,4.896708619e+01,7.377390679e+01,4.268518405e+01,8.393716921e+01,9.130320093e+01,8.372079729e+01,8.160568868e+01,5.810781474e+01,2.037217548e+01,6.791107750e+01,8.316696068e+01,8.598532936e+01,2.098258270e+01,2.012875249e+01,6.721258516e+01,2.746546244e+00,1.394690733e+01,4.717312023e+01,9.792967215e+01,2.612041115e+00,5.919176998e+01,2.595465609e+01,6.650140340e+01,3.142834544e+01,6.488419038e+01,5.483516278e+01,4.115409292e+01,9.464560885e+01,6.579605089e+01,4.846855944e+01,1.671016507e+01,7.165186235e+00,4.258422145e+01,3.600205079e+01,7.278966685e+01,6.424679056e+01,9.026563390e+00,1.648397062e+01
5.743010081e+01,6.835649127e+01,7.262510232e+01,2.805631877e+01,6.916380075e+01,2.042015411e+01,4.087557154e+01,2.306333469e+01,4.953113203e+01,8.389853924e+01,9.859008571e+01,8.862807297e+01,2.931354961e+01,6.107662060e+01,9.450891794e+01,9.087676059e+01,4.800079918e+01,4.808706797e+01,1.160812677e+00,3.962320417e+01,4.288148792e+01,2.764922596e+01,4.563018688e+01,2.607148711e+01,8.593766951e+01,1.562545961e+01,6.671653760e+01,5.322534466e+01,9.187094319e+01,9.374958682e+00,2.853751979e+01,3.095506031e+00,5.883357858e+01,1.388154514e+01,9.155479671e+01,9.498817911e+01,8.039333071e+01,5.637875780e+01,8.207001080e+01,3.408958568e+01,2.894082020e+01,4.122448455e+00,1.197057760e+01,4.917533720e+01,9.942203861e+01,7.946763469e+01,1.565449895e+01,7.815513307e+01,7.691351506e+01,4.267442249e+01,8.420767189e+01,9.154162344e+01,6.855455715e+01,2.690539539e+01,7.692753046e+01,6.547943197e+01,1.909059447e+01,7.144530814e+01,6.382691535e+01,7.531470951e+01,3.142645703e+01,7.118469808e+01,2.022157814e+01,1.805195413e+01,3.040132045e+01,5.139530537e+01,1.242025226e+01,4.455035848e+01,8.439717370e+01,2.311219986e+00,8.355967214e+01,1.269076484e+00,2.631341656e+01,1.296271855e+01,4.320761984e+01,3.947682211e+01,1.689191148e+00,4.098558270e+00,1.529249240e+01,7.931024074e+01,7.621409290e+01,4.157398084e+01,5.021897983e+01,6.968701320e+00,4.143168814e+01,2.409320353e+01,7.049310338e+01
9.265330729e+01,4.676935480e+01,3.892742731e+01,9.667814879e+01,2.115493950e+01,8.392420334e+01,6.376624875e+01,3.250883583e+01,1.993165626e+01,7.845829218e+00,1.741682493e+01,4.200430594e+01,7.337362534e+01,7.149225043e+01,1.118665719e+01,3.856523072e+01,6.334290513e+00,8.191371308e+01,6.597254373e+01,4.044974572e+01,4.167642648e+01,8.978476209e+00,1.447814207e+01,6.750802572e+01,5.836673952e+00,5.481615040e+00,3.418180129e+01,6.908489215e+01,6.914948876e+01,1.510171674e+01,1.506811232e+01,2.370153177e+01,8.963691195e+01,4.830958034e+01,3.587455426e+01,7.626943297e+01,2.924195932e+01,8.129881621e+01,7.298282617e+01,3.636875782e+01,1.827220153e+01,4.827550010e+01,6.789851125e+01,2.905911761e+01,1.803483777e+01,4.921876027e+01,8.965187761e+01,9.377564165e+01,7.195337616e+01,2.082449104e+01,8.407829234e+01,3.798352709e+01,5.884942272e+01,7.800076298e+01,4.257115028e+01,5.192062143e+01,1.452206054e+00,2.263453681e+01,5.234385480e+01,4.447786320e+01,5.818960122e+01,9.295918073e+01,5.188642113e+00,3.736228749e+01,1.971743343e+01,5.992866304e+01,5.481490582e+01,9.275201705e+01,7.788797432e+01,9.132547419e+01,9.628473666e+01,5.228938706e+01,2.997357362e+01,1.546666532e+01,7.713524806e+00,9.876851630e+01,3.813122293e+01,2.199367571e+01,6.643308921e+01,9.654685755e+01,8.427478571e+01,3.354848845e+01,4.937473523e+01,1.369666013e+00,5.711118515e+01,9.294662417e+01,3.893169951e+01
3.758744454e+01,1.788459273e+01,3.365626692e+01,2.439319541e+01,4.170988127e+01,6.679987862e+01,5.583844021e+01,6.437145226e+01,3.544154992e+01,6.802454386e+01,8.061846007e+01,6.419799310e+01,5.862499795e+00,2.593365644e+00,9.286338720e+00,5.189713201e+01,7.331758965e+01,4.262561919e+01,1.386948329e+01,8.615212833e+01,7.742353851e+01,3.448310718e+01,7.806706891e+01,4.940001850e-01,1.052026952e+00,6.791766772e+01,7.857378589e+01,6.851682543e+01,5.708738178e+01,4.993366531e+01,7.922099412e+01,2.283373735e+01,3.326782789e+01,1.926850364e+01,8.280530958e+01,2.286448816e+01,8.121608442e+01,1.952635743e+01,4.834014660e+01,1.710554029e+01,2.435180253e+01,7.955207669e+01,3.275893866e+01,6.416587608e+01,6.745871491e+01,5.432737605e+01,9.693496178e+01,3.294463041e+01,5.156257219e+01,9.595976697e+01,7.403235219e+01,6.079464082e+01,2.078103881e+01,6.447959895e+00,9.409337328e+01,6.871060906e+01,6.483093226e+01,1.468465085e+01,8.759606176e+01,1.716284908e+01,6.990660622e+01,5.293830315e+01,8.115320782e+00,2.659309511e+01,6.856611132e+01,8.555053257e+01,5.570938647e+01,4.840934467e+01,7.965938568e+01,7.361928057e+00,4.956945535e+00,8.357647726e+01,1.583949068e+01,8.947933736e+01,5.492930591e+01,5.991583943e+01,3.487838665e+01,3.701832962e+01,4.795094375e+01,5.071767950e+01,5.167186304e+00,7.841651219e+01,3.879342426e+01,5.975374761e+01,5.507840225e+01,3.176598330e+01,9.952115622e+01
2.845037982e+01,4.842823910e+01,3.047581291e+01,8.516148218e+01,3.360544965e+01,4.673013526e+01,1.308796787e+01,4.790715540e-01,3.143642774e+01,5.189855728e+00,8.373806595e+01,6.848050152e+01,4.996623318e+01,8.712575447e+01,4.987490045e+01,1.122580462e+01,8.394610827e+01,6.003542393e+01,9.443956427e+01,1.449304930e+01,2.498746450e+01,7.611453571e+01,5.218434236e+01,5.924740071e+01,5.636865436e+01,2.920159625e+01,8.272344587e+01,6.232551389e+01,1.554828557e+01,8.069738975e+01,9.695397051e+01,9.965051336e+01,8.391446397e+01,2.544027058e+01,3.346490706e+01,4.504292505e+01,6.735047424e+01,1.632719797e+01,9.595704588e+01,7.069899901e+01,8.830997485e+01,1.689235335e+01,9.905041202e+01,8.549847778e+01,1.853213385e+01,2.774110207e+01,8.074195784e+01,3.803526652e+00,7.495824032e+01,3.659126828e+01,4.920058488e+01,1.748447061e+01,3.869465987e+00,4.876256203e+01,1.579724804e+01,5.911908173e+01,4.939841000e+01,3.111246474e+01,7.400012207e+01,8.529595202e+01,7.721089929e+01,6.322333483e+01,7.430699225e+00,9.853382856e+01,8.238354475e+01,6.006854478e+01,8.894720265e+01,1.691806120e+01,6.420174839e+01,7.116007676e+01,6.346199681e+01,1.427546538e+01,6.815207350e+01,7.357204587e+01,8.003303232e+01,4.093024350e+01,4.176990317e+01,9.483817406e+01,2.056016240e+01,3.666346096e+01,2.077278431e+01,6.286950902e+01,3.481005597e+01,7.333122267e+01,1.398306392e+01,6.166371057e+00,5.540712975e+01
4.326236615e-01,1.408141703e+01,4.531627303e+01,2.092549654e+01,6.044143709e+01,9.907039226e+01,5.823381499e+01,5.527611316e+01,4.123682186e+00,1.696052569e+01,4.789071944e+00,8.149724387e+01,2.940932268e+00,5.154654680e+01,7.017305653e+01,8.567985728e+01,5.063008564e+01,3.787157145e+01,4.787954418e+01,8.416537766e+01,5.139688250e+01,5.162508860e+01,4.534765133e+01,6.295529796e+01,8.979446739e+01,4.672909095e+01,5.961511878e+01,4.293733262e+01,3.767867314e+01,3.572698119e+01,2.521826056e+01,2.225985265e+01,5.918970792e+01,6.022272669e+01,8.239686558e+01,8.471606867e+01,7.024750461e+01,6.856540957e+01,2.772193722e+01,2.697582863e+01,1.262887520e+01,3.770843231e+00,4.032032767e+01,4.103864129e+01,8.376512433e+01,6.590886362e+01,9.778013384e+01,4.318996675e+01,6.484326844e+00,3.165611294e+01,8.584402300e+01,1.692740908e+01,9.682467205e+01,1.033422344e+01,4.155250062e+01,5.926357148e+01,6.106383777e+01,4.747220216e+01,1.907507252e+01,7.373448303e+01,9.710341075e+01,7.703122386e+01,9.187998777e+01,2.925966675e+01,4.272780165e+01,8.976772611e+01,2.479581902e+01,6.897313911e+01,9.071881080e+01,9.289552136e+01,5.889557861e+01,8.114114897e+00,5.332562029e+00,5.850822867e+01,8.047531851e+01,1.211082331e+01,3.990553951e+01,3.121233418e+01,9.779084684e+01,7.174527107e+00,8.638697005e+01,4.608118536e+01,9.184969419e+01,5.964208794e+01,6.657587393e+01,9.951100817e+01,6.546759324e+01
1.940404235e+01,9.719231630e+00,4.903159522e+01,1.629998073e+01,4.453196832e+01,3.813430919e+01,6.384421107e+01,7.738722459e-01,2.307828029e+01,2.179889575e+01,3.544984743e+00,3.901192936e+01,1.744022128e+01,9.289733509e+01,5.911664579e+01,4.681124794e+01,3.838397636e+01,1.548328813e+00,2.626206546e+01,6.889213495e+01,9.778417664e+01,1.441591885e+01,4.335282421e+01,6.007176144e+01,6.552035306e+01,7.965962770e+01,8.547399726e+01,8.988954703e+01,7.937596621e+01,9.576555270e+01,6.031161048e+01,7.836144293e+01,2.270298927e+01,4.236546073e+01,8.572132072e+01,6.861071337e+00,5.258779954e+01,4.398254540e+01,4.177329301e-01,7.299490718e+01,5.153357029e+01,8.985924447e+01,5.771763686e+01,6.120526729e+01,5.075440668e+01,1.031504575e+01,1.097918528e+01,9.740255156e+01,6.773999752e+01,6.205269739e+01,7.081242500e+01,7.365252260e+01,1.192870435e+01,1.188120650e+01,2.002060015e+01,8.538706834e+01,9.102210213e+00,2.659287055e+01,5.603180278e+01,9.402031683e+01,5.264742280e+01,1.141236193e+01,8.780793143e+01,5.064233330e+00,5.147004010e+00,6.133143458e+01,7.420527716e+01,7.572395323e+01,6.858611176e+01,4.146960813e+01,3.219735577e+01,7.074426767e+00,1.954676082e+01,2.331605788e+01,2.512801955e+00,1.209036933e+00,8.150409284e+01,3.397957287e+01,8.703613611e+01,2.876228294e+01,2.957267268e+01,5.270443549e+01,9.698590769e+01,5.287992761e+01,1.914802427e+01,2.096426314e+01,9.156685725e+01
8.091155212e+01,9.360497006e+00,8.106674738e+01,2.770363020e+01,6.710652683e+01,9.139583331e+01,7.584066135e+01,4.423282986e+01,2.742969954e+01,8.185103219e+01,5.311228594e+01,5.877476073e+01,6.068161922e+01,4.499613750e+01,1.168871280e+00,7.773225656e+01,6.284052584e+01,4.430191459e+00,4.349073416e+01,3.269024588e+01,1.061541906e+00,8.898944140e+01,4.171771703e+01,5.276374758e+01,7.303810224e+01,7.563631605e+00,4.489695020e+01,4.816156725e+01,6.677899004e+01,3.106652157e+01,4.147930209e+01,2.615172621e+01,7.486543822e+01,3.913898412e+00,2.724987741e+01,5.137677951e+01,5.184622351e+01,8.078485395e+01,8.846218977e+01,8.060470909e+01,1.880712624e+01,1.553242079e+01,6.167253091e+01,5.417655392e+01,8.710171555e+01,2.455788757e+01,1.814767207e+01,2.547010746e+01,7.833385818e+01,8.598173234e+01,1.115393644e+00,3.352565781e+01,3.067243442e+01,8.356881213e+01,3.550917147e+01,5.709561357e+01,3.223416299e+01,7.749686180e+01,2.490415741e+01,4.354297081e+01,8.919460628e+01,2.165115805e+01,9.554512621e+00,2.936867079e+01,4.030086634e+01,9.983735323e+01,6.064384196e+01,5.034632146e+01,7.881641083e+01,3.404227954e+01,7.301007581e+00,8.091394595e+01,1.572828772e+01,1.449547248e+01,9.326628363e+01,8.280849052e+01,2.445236093e+00,2.535024216e+01,3.850025427e+01,6.385436831e+01,3.364581123e+01,3.652945730e+01,7.388046347e+01,8.778226142e+01,3.263601180e+01,1.926318879e+01,8.361137057e+00
4.323133606e+01,3.705063964e+01,6.061369009e+01,6.482775518e+01,5.383022841e+01,1.238128865e+01,8.299942621e+00,5.962717067e+01,4.624022919e+01,3.140131024e+01,5.688480925e+01,7.329285782e+01,1.722527153e+01,1.665358070e+00,2.184948120e+00,7.722120327e+01,1.138625696e+01,6.127760125e+01,4.100134377e+01,6.797218190e+01,4.211101553e+01,4.129804415e+01,6.850320787e+01,9.503460292e+01,8.161553801e+01,7.214704278e+01,2.815767267e+01,6.386276232e+01,1.693844598e+01,8.186750254e+01,1.580828603e+01,1.763679998e+01,7.345339415e+01,4.535029418e+01,2.141220175e+01,8.849831209e+00,5.602774360e+01,6.966518323e+01,6.554787280e+01,4.471769360e+01,2.789188031e+01,6.632760531e+00,6.420979066e+01,4.347003607e+01,2.468349420e+01,1.198887355e+01,8.576015057e+01,1.407435414e+01,1.892367353e+01,8.390114438e+01,6.461297687e+01,7.293876497e+01,5.183196269e+01,4.511144478e+01,6.107043970e+01,2.885975079e+01,4.761103138e+01,1.247264875e+01,9.010405220e+01,6.271085656e+00,3.967962287e+01,3.286541993e+01,9.650800622e+00,8.709864403e+01,4.794553949e+01,9.076116352e+01,9.146403701e+00,1.181136927e+01,7.494299573e+01,4.706079424e+01,2.324391463e+01,1.931113275e+01,3.613854648e+01,4.813286632e+01,1.082998088e+01,6.009913041e+01,2.767020316e+01,9.049499156e+01,7.396599833e+01,6.627830008e+01,1.411891162e+01,2.350161056e+00,9.058820810e+01,8.288492257e+01,8.066198970e+01,8.149290988e+01,7.212211111e+01
