v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88
1.859345766e+01,7.862902786e+01,1.161532166e+01,1.864083113e+01,2.050418283e+01,4.920408353e+01,4.990640581e+01,6.311793949e+01,2.255652902e+01,5.060450653e+01,4.580350677e+01,7.555324243e+01,3.612978729e+01,7.385670032e+01,2.385413290e+01,7.060752479e+01,3.177453636e+01,3.950958884e+01,9.931605826e+00,3.070972832e+01,5.653944852e+01,9.307432679e+01,1.686170885e+01,4.367164327e+01,7.451131201e+01,6.544294976e+01,9.502028031e+01,3.967037117e+01,9.108090701e+01,6.982283218e+01,2.634387753e+00,1.182140446e+01,4.146310196e+01,1.745322825e+01,6.637536844e+01,6.229003388e+01,8.396991797e+01,6.155682200e+01,5.086576538e+01,5.118693029e+01,8.268382727e+00,1.255112529e+01,6.555775296e+01,4.580316554e+01,6.100674654e+01,7.774753088e+01,4.623365014e+00,4.800072378e+01,5.555470311e+01,5.223254536e+01,4.660711111e+01,4.927217447e+01,4.794702550e+01,6.631775236e+01,4.019151071e+01,8.203181805e+01,1.112852772e+01,9.661371345e+01,7.843092715e+01,2.367032555e+00,6.149567355e+01,2.361299469e+01,4.863218362e+01,3.992677655e+01,8.280190403e+01,1.212301112e+01,4.540794710e+01,7.493714134e+01,5.303998852e+01,8.122351688e+01,4.176623467e+01,5.087225769e+00,4.507521990e+01,3.676359180e+01,3.172502723e+01,7.409783217e+01,1.296862099e+01,1.268924159e+01,7.486580769e+01,2.642390203e+01,5.158085953e+01,6.468257865e+00,7.269639024e+01,6.733582062e+01,9.808516500e+01,1.834723460e+01,4.190239475e+01,7.228418263e+00
9.289997355e+01,2.667689319e+01,3.254958599e+01,1.154728937e+01,2.957896953e+01,4.739980582e+01,9.529512347e+01,1.988676846e+01,9.563394991e+01,4.533701835e-01,5.261404262e+01,1.909709192e+01,3.634913381e+01,9.411149258e+01,5.887895164e+01,7.825919847e+01,6.976717361e+01,2.423743697e+01,5.444476900e+01,8.778072728e+01,7.876721620e+01,6.750718201e+01,7.098196578e+01,8.070372053e+01,6.911703661e+01,3.811141846e+01,9.555799003e+01,3.894663994e+01,3.527030480e+01,1.974475611e+01,7.547898460e+01,9.388398312e+01,2.465316030e+01,3.058529292e+01,4.859629372e+01,8.771004233e+01,5.961625171e+01,5.640758139e+01,9.662174014e+01,4.667071665e+01,4.565104531e+01,7.064298377e+01,8.484480497e+01,4.732528422e+01,4.095004760e+00,5.851522336e+01,4.245467353e+00,8.513417176e+01,5.134760416e+01,2.912197105e+01,1.717397401e+00,3.736385731e+01,1.441499675e+01,3.161125035e+01,4.086982396e+00,6.227380031e+01,4.704503964e+01,3.013193877e+01,1.200129369e+01,3.438812593e+01,6.487966962e+01,2.402828272e+01,5.587285912e+01,1.711122876e+01,2.410556121e+01,7.607572833e+01,9.248795515e+01,5.883686984e+01,6.250949777e+01,2.913823976e+01,1.913719255e+01,9.310848144e+01,2.746191406e+01,6.427528317e+01,8.062450108e+01,6.309524256e+01,7.209764233e+01,1.145408647e+01,4.775663600e+01,2.634359729e+01,6.612673581e+00,4.682091665e+01,3.229481214e+01,6.478479441e+01,3.453070521e+01,8.243162296e+01,2.661105145e+01,2.812500901e+01
3.840456836e+01,6.570407826e+01,4.425014758e+01,4.280702615e+01,1.428477318e+01,4.500363022e+01,3.191237863e+01,7.181733068e+00,9.535664086e+01,1.520840863e+01,5.582701243e+00,2.111850289e+01,5.035354364e+01,7.142037779e+01,9.794805516e+01,2.086693102e+01,2.055776580e+01,9.903103229e+01,5.206982710e+00,5.298572069e+00,6.576557563e+01,1.364148096e+01,8.792527442e+00,2.301613019e+01,1.238422629e+00,2.332286699e+01,2.431698118e+01,7.151224629e+01,3.541375645e+01,2.001034471e+01,5.581555674e+01,7.785190752e+01,5.405521689e+00,3.096622509e+01,3.943549408e+01,6.439363149e+01,9.432500340e+01,3.438365225e+01,3.822274864e+00,4.450273138e+01,7.965927208e+01,3.958677440e+01,8.149556189e+01,7.435463843e+01,2.315116196e+01,9.956442415e+01,7.632171934e+01,1.912534335e+01,2.314084914e+00,1.046728973e+01,5.800640272e+01,8.552474856e+01,8.359561410e+01,5.002062251e+01,7.587417548e+01,2.887310400e+01,1.054590197e+01,8.218514564e+01,4.039450368e+00,1.014830747e+01,4.179874362e+01,2.015863369e+00,1.250080352e+01,7.203657264e+01,9.903796837e+01,7.548265065e+01,5.813591112e+01,3.628302335e+01,9.228709339e+01,4.525669983e+01,5.692979968e+00,9.481997200e+01,7.405555703e+01,5.925025840e+01,2.365224733e+01,7.881166003e+01,3.510398488e+01,5.157535608e+01,2.644278964e+01,9.150461126e+01,9.468208095e+01,8.912359968e+01,4.609437221e+01,6.639544300e+01,6.243400893e+01,1.105656338e+01,2.904106835e+00,7.994359411e+01
4.569700964e+01,2.177587352e+01,7.963226548e+01,6.789451504e+01,9.450333951e+01,9.220149834e+01,3.330858630e+01,1.550311053e+01,4.424626563e+01,8.489215401e+01,7.283877953e+01,6.420033070e+01,8.823532065e+01,7.985630330e+01,3.214288730e+01,9.067255777e+00,1.661097783e+01,2.363926286e+01,2.574229761e+01,3.361414819e+01,4.688738749e+01,7.694569030e+01,3.283212295e+01,2.162491904e+01,4.454308324e+01,3.868931267e+01,1.466732051e+01,6.042403358e+01,4.679374980e+01,6.353912093e+01,2.466683808e+01,1.830012092e+01,7.941602930e+01,8.281014137e+01,3.807023315e+01,9.734911172e+01,1.582092505e+01,3.567697303e+01,9.659555222e+01,5.983494529e+01,5.840068603e+01,7.342616769e+01,6.984416129e+01,5.809104783e+01,4.960597191e+01,6.960623647e+01,8.822733385e+01,1.636323157e+01,9.959479046e+01,4.095514816e+01,2.108599487e+01,5.402308377e+01,8.753931821e+01,4.331089545e+01,4.033848843e+01,5.039269641e+01,2.812421157e+00,9.723011964e+01,2.799344936e+01,8.153303400e+01,5.360292526e+01,1.152360279e+01,2.626038214e+01,4.853847233e+01,1.018180997e+01,6.311684483e+01,2.372524296e+01,2.211464180e+01,8.669157411e+01,5.804947006e+01,3.261255200e+01,1.185582022e+01,2.889394082e+01,9.062975990e+01,9.780346932e+01,7.651003443e+01,9.134789118e+01,7.902290946e+01,9.209363773e+01,4.870807371e+01,3.626595744e+01,7.112212966e+00,5.190833469e+01,7.553140633e+01,6.118667514e+01,4.513212235e+01,9.782272167e+01,8.418071921e+01
6.984019583e+01,4.938537247e+01,8.155290805e+01,7.214866125e+01,7.974417462e+01,9.608640678e+01,3.416564284e+01,4.024870814e+01,1.443850335e+01,6.079572531e+01,4.008457475e+01,5.566226764e+01,3.699744793e+01,1.086723252e+01,8.751039160e+01,5.413258175e+01,9.578989801e+00,2.121322984e+01,7.876593110e+01,8.789441299e+01,3.041644382e+01,1.672379892e+01,5.967190496e+01,2.779788417e+01,8.455011810e+00,6.950604609e+01,3.574481003e+01,5.211760283e+01,1.802455260e+01,5.110256443e+01,4.741218598e+01,5.743545490e+01,9.960132079e+01,1.336921958e+00,2.985015499e+01,2.018330311e+01,5.988938449e+01,1.657283801e+01,6.786647618e+01,8.680038051e+01,3.684640379e+01,9.183102612e+01,7.891279508e+01,7.960279059e+01,1.345955941e+01,7.820905346e+01,5.386549915e+01,7.230593482e+01,1.833987566e+01,7.761546887e+01,8.069100289e+01,4.329438984e+01,5.891462790e+01,1.553696671e+01,8.912121218e+01,2.096591267e+01,4.098304484e+01,2.722709507e+01,2.272042975e+01,7.415487788e+01,5.882699686e+01,1.949473366e+01,9.591470991e+01,5.502577530e+01,7.913183060e+00,8.381357658e+01,7.912243548e+01,1.903285938e+01,7.134760618e+01,3.654737465e+01,8.031703411e+01,9.094984487e+01,1.115419515e+01,2.508263227e+00,5.868851040e+01,8.743867397e+01,9.023982293e+00,7.243479434e+01,1.889261831e+01,4.883002945e+01,6.309476153e+01,4.634524239e+01,2.883225553e+01,4.887279540e+01,5.429636737e+01,5.839040283e+01,9.967052100e+01,3.986223257e+01
1.313315792e+00,4.404841866e+01,7.793420381e+01,1.524421540e+01,2.470588367e+01,7.589695296e+01,4.764464508e+01,2.100337105e+01,9.237279060e+01,1.133357560e+01,2.789481601e+01,2.571048257e+01,5.651798318e+00,2.122098841e+01,1.996347355e+00,8.898136406e+01,9.696497593e+01,8.659232392e+01,2.197968258e+01,4.379648513e+01,2.560598203e+01,8.496019426e+01,6.244199456e+01,6.422390516e+01,5.214560821e+01,6.268280648e+01,3.590875918e+00,5.483745131e+01,1.879449225e+01,1.761408977e+01,1.756910902e+01,1.420517676e+01,5.729726384e+01,6.348833086e+01,1.630051353e+01,9.686027058e+01,6.346839932e+01,5.792551822e+01,8.158080433e+01,8.725800961e+01,9.679371383e+01,3.059938030e+01,8.527461833e+01,9.389645839e+01,1.720639634e+01,9.583735022e+01,9.560897974e+01,5.851176698e+01,8.411647157e+01,7.271930321e+01,9.160213722e+01,1.592371752e+01,9.259431760e+00,4.963994711e+01,3.773544428e+01,9.599282208e+01,4.467668130e+01,9.848834596e+01,9.363333511e+01,6.552381493e+01,5.444955404e+01,8.528730578e+01,9.291553593e+01,2.079982305e+00,4.374668440e+01,8.746495530e+01,2.989498836e+01,1.426362775e+01,2.228546112e+01,8.260624850e+01,4.297681715e+01,8.941071520e+01,5.700913337e+01,1.143951907e+01,2.081797959e+01,6.835482978e+00,6.047543202e+01,2.031334141e+01,3.303434459e+01,3.874902274e+01,2.541799148e+01,3.729080777e+01,1.698362757e+01,8.338332464e+01,2.538539859e+01,9.681785409e+00,5.314728452e+01,5.116791524e+01
9.821724608e+01,4.671501179e+01,3.473368720e+01,3.933683355e+01,5.077365499e+01,1.626270480e+01,9.900265053e+01,7.047948825e+01,5.298587798e+01,2.525582398e+01,5.721573175e+01,8.860192013e+01,8.432184677e+01,3.370692170e+01,5.907299515e+01,1.766519635e+01,7.198403847e+01,1.914076029e+01,2.569107417e+01,9.348637092e+01,9.022079182e+01,6.674184465e+01,9.774327060e+01,2.532891418e+01,8.329740005e+01,4.200000236e+01,2.358345482e+01,2.058767283e+00,4.227091455e+01,2.329268231e+01,5.699327280e+01,8.017347454e+01,2.484937040e+01,3.195975554e+01,1.756825170e+01,7.931892074e+01,3.353243519e+01,3.709962608e+01,8.696962389e+01,5.274111730e+01,5.845660624e-01,3.322625466e+01,6.672209897e+01,2.206445585e+01,1.609461893e+01,3.914596478e+01,9.264840197e+01,8.874415176e+01,8.539024037e+01,9.266258670e+01,5.940114551e+01,4.650245269e+01,7.801131274e+01,5.184569654e+01,4.296958800e+01,9.734293825e+01,9.190032049e+00,6.806248079e+01,2.141966080e+01,8.713254004e+01,3.231927867e+01,2.453036953e+01,2.576582414e+01,5.168672172e+01,7.962689732e+01,1.036935585e+00,8.319273042e-01,7.237516745e+01,6.011555498e+01,1.674308327e+01,8.851200378e+01,5.067392916e+01,2.579108124e+01,6.253758140e+00,8.778088233e+01,2.513745359e+00,1.314657318e+01,3.623208135e+01,1.877825719e+01,2.252999580e+01,9.663024739e+01,3.410547415e+01,8.784901568e+01,7.005853458e+01,8.590261171e+01,2.378867884e+01,4.277799516e+01,6.173045659e+01
4.308180400e+01,5.348616767e+01,4.928375591e+01,9.740289164e+01,9.689091547e+01,2.171522305e+01,3.628350207e+01,1.639844286e+01,2.805557453e+01,8.301098388e+01,3.503117426e+01,6.492891826e+01,1.122977128e+01,1.877831674e+01,6.696533347e+01,1.367036872e+01,9.595085632e+01,2.535631144e+01,1.203086520e+01,5.934152338e+01,8.496658704e+01,5.591667333e+01,7.247465102e+00,7.745297791e+01,5.124656855e+01,6.928302657e+01,9.928023395e+01,1.063132815e+01,6.248998541e+01,5.783420467e+01,5.684365324e+01,7.167191061e+01,7.381116464e+00,1.028657034e+01,2.618825703e+01,1.936828489e+01,9.277819116e+00,5.057101459e+01,8.978361086e+01,3.393349732e+01,2.165086127e+00,5.000741128e+01,2.172846531e+01,8.995172367e+01,9.707357995e+01,6.091144694e+00,2.736246198e+01,7.489490076e+01,3.836820696e+01,6.623239816e+00,2.357752246e+01,4.045454583e-01,8.077676637e+01,8.519210811e+01,3.926585295e+00,2.766486809e+01,7.426466897e+01,9.610891314e+01,9.685942778e+00,9.038893729e+01,9.454047157e+01,7.907354090e+00,1.189930161e+00,3.517658528e+01,9.534971132e+01,7.984421567e+01,9.977150034e+01,2.476304390e+00,2.113888073e+01,1.496389708e+01,8.353266689e+01,1.860994531e+01,3.703474953e+01,9.191445312e+01,5.442805472e+01,7.308032578e+01,5.859045328e+01,2.975361829e-01,9.310605170e+00,6.783254505e+01,5.895951095e+01,2.934498907e+01,5.618792458e+01,8.009667915e+01,6.166600080e+01,5.515810349e+00,2.710577723e+01,7.595156806e+01
4.942672813e+01,1.775342064e+01,3.051324524e+01,2.053430944e+01,8.371249423e+01,1.586750703e+01,6.739627982e+01,8.896710977e+01,8.655850166e+01,7.540040235e+00,5.752882324e+01,7.183196465e+00,2.781138710e+01,2.661636572e+01,2.181403115e+01,6.551717026e+01,7.007015214e-01,9.623350090e+01,7.506554710e+01,5.618754199e+00,5.512515030e+01,3.844408024e+01,1.905605989e+01,1.521374562e+01,2.229694327e+01,5.916021650e+01,9.845918888e+01,2.903381642e+01,9.051661533e+01,2.257300389e+01,4.172998739e+01,5.301038867e+01,6.953977620e+01,3.592305161e+01,6.651167081e+01,3.143860960e+01,9.020761829e+01,4.769001041e+01,2.654434189e+01,2.671458357e+01,8.187621145e+01,3.110079829e+01,3.344007598e+01,7.169300283e+01,7.801384982e+01,2.510152839e+01,1.545420253e+01,7.733503719e+01,9.652744830e+00,7.421153022e+01,1.412106717e+01,2.145676534e+01,3.863510785e+01,1.924571123e+01,8.181991379e+01,8.228937800e+01,6.840547396e+01,6.587670470e+01,5.976169727e+01,6.170645943e+01,5.562012944e+01,6.046531813e+01,4.573290057e+01,8.745400669e+01,1.692348245e+01,9.129176901e+01,1.872909091e+01,4.134446248e+01,2.901676562e+01,5.671023294e+01,7.183423678e+01,4.342741887e+01,8.620901277e+01,3.107668460e+01,2.373190012e+01,9.289790935e+01,3.094113841e+01,2.381090332e+01,1.583851116e+01,4.973395715e+01,1.913821083e+01,1.497932452e+01,6.756619822e+01,8.372293340e+01,1.231940453e+01,2.152404889e+01,1.450431185e+01,9.189209143e+01
3.031169149e+00,1.190002310e+01,2.346910989e+01,1.467243841e+01,5.713722750e+01,9.396926618e+01,6.012112849e+01,5.277996915e+01,9.197811519e+01,9.845259160e+01,8.265673456e+01,3.115336859e+00,5.745949240e+01,9.124312365e+01,2.870570775e+01,8.815806930e+01,2.960559557e+01,1.129497655e+01,4.398917687e+01,6.918947294e+01,9.812599012e+01,4.091783330e+01,6.511464313e+01,1.530183954e+01,7.373185054e+01,4.952920889e+01,7.324050306e+01,3.705670104e+01,6.862619341e+01,3.299618150e+01,3.882322016e+01,6.817994967e+01,1.371652562e+01,5.310684088e+01,6.641633252e+01,3.060329058e+01,5.866433910e+01,6.490352179e+01,8.581893275e+01,1.026419067e+01,1.699023567e+01,3.086900472e+01,6.248894587e+01,3.450891658e+01,6.524508880e+01,9.619333705e+00,8.107187984e+01,2.602297330e+01,1.273210162e+01,9.516254935e+01,8.490336424e+00,7.620903123e+01,8.839628868e+01,1.532167217e+00,5.926815408e+01,8.104120429e+01,1.001559365e+01,5.433706418e+01,2.183420163e+01,6.311043137e+01,5.974935286e+01,5.929050031e+01,7.485547150e-02,5.072731119e+01,8.603478698e+01,8.829493156e+01,2.887933045e+01,6.060024319e+00,8.985661797e+01,3.442720807e+01,1.963902249e+00,4.857951519e+01,3.801768940e+01,1.926002950e+01,4.639388584e+01,8.175337066e+00,7.415156003e+01,9.859749277e+01,3.043764725e+01,8.073801399e+01,6.767394027e+01,7.879265327e+01,1.660804693e+01,6.972412613e+01,3.541797522e+01,7.146164087e+01,7.985474933e+01,2.276915133e+01
