v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89
7.031667406e+01,5.117503176e+00,9.356581879e+01,8.153477204e+01,5.896328915e+01,2.302035795e+01,4.358002200e+01,7.042943415e+01,9.392998329e+01,1.025224299e+01,9.769391593e+01,2.909407417e+00,4.323183290e+01,7.310985518e+01,5.920612807e+01,7.836169925e+01,8.372163532e+01,3.266543689e+01,5.880898813e+01,6.531833010e+01,4.581712520e+01,4.805564327e+01,8.715304637e+01,5.395191086e+01,6.860932462e+01,8.490663805e+01,3.514389932e+01,1.651381582e+01,8.053295614e+00,3.826207685e+00,9.263147171e+01,7.765429182e+01,2.759155838e+01,4.128119259e+01,1.160790296e+01,1.619283366e+01,3.972219164e+01,1.410894402e+01,2.959258803e+01,9.846180036e+01,3.811230482e+01,5.625577232e+01,5.946424494e+01,3.079417703e+01,9.887636037e+01,2.410447500e+01,3.063118787e+01,5.322183241e+01,7.321461421e+01,4.814257044e+01,4.738770093e+01,3.999037533e+01,1.176729699e+01,8.309393135e+01,6.023466721e+01,5.793153441e+01,6.459758004e+01,3.215203695e+01,3.851814406e+01,7.503863569e+01,6.988813891e+01,7.260683766e+00,9.117969925e+01,3.247437179e+01,8.614698694e+01,9.530748371e+01,8.994969587e+01,1.081665152e+01,8.581040081e+01,9.053831626e+01,9.541894842e+01,1.461270923e+01,7.075318216e-01,9.438327125e+01,9.431346014e+01,4.201492783e+01,1.069140511e+01,9.603863509e+00,7.476714448e+01,8.152246728e+01,9.520450828e+01,7.895264587e+00,6.216267602e+01,5.138295274e+01,8.990945727e+00,4.238756576e+01,2.365809162e+01,3.747469853e+01,6.402483880e+01
8.265249411e+01,2.393005658e+01,4.925521609e+00,6.331857568e+01,4.662055643e+01,2.323713741e+01,7.029953574e+01,2.124050925e+01,9.272351795e+01,8.880146059e+01,7.452409158e+01,5.696655896e+01,5.919940413e+01,2.986923450e+01,9.158846210e-01,9.685099492e+01,1.581240978e+01,2.486660206e+01,6.292695165e+01,6.714988124e+01,4.901713420e+00,3.759478886e+01,3.762626560e+01,5.457893803e+01,8.544368805e+00,4.704894167e+01,3.271636319e+01,6.886048809e+01,5.304538916e+01,2.834253025e+01,2.906437129e+00,1.298480235e+01,1.254413115e+01,1.774017811e+01,9.283670633e+01,6.234061198e+01,9.805851415e+01,9.195275114e+01,4.130903748e+01,1.626933508e+01,4.126755167e+01,3.974330478e+01,7.226705411e+01,7.465446636e+00,6.804159331e+01,8.576653557e+01,2.803800894e+01,6.636700654e+01,5.863745154e+01,9.950701077e+00,9.706081856e+01,7.885681566e+01,8.551472904e+01,4.281431275e+01,8.240459389e+00,1.282829470e+00,1.251477606e+01,1.898333664e+01,2.635089527e+01,4.625748067e+01,4.375076013e+01,3.414039290e+01,8.316758152e+01,6.418047486e+01,6.666606360e+00,8.431768371e+01,8.329555514e+01,2.214077286e+00,7.670362170e+01,7.536693766e+01,6.350700875e+01,1.902531705e+01,6.002247615e+01,5.963519518e+01,3.093160298e+01,1.500963089e+01,6.535039437e+01,2.958190257e+01,7.247393608e+01,9.630467416e+01,2.212788226e+01,9.114454656e+00,7.488396253e+01,6.362083209e+01,3.696853707e+01,2.875549301e+01,5.629210461e+01,7.709407249e+01,7.544709499e+01
2.371724481e+01,5.127669915e+01,4.380054033e+01,3.496845481e+01,3.515910572e+01,4.289989987e+01,4.947356071e+01,1.461271594e+01,6.301584130e+01,2.955344296e+01,8.000444365e+01,9.464871683e+01,6.480555361e+01,4.607914520e+01,8.119286637e+01,1.943444923e+01,1.707363101e+01,7.650909377e+01,6.329211828e+01,4.140207820e+00,7.890332239e+01,1.662921942e+01,9.972313426e+00,2.642138962e+01,9.749695713e+01,6.313092493e+01,9.808726979e+00,9.404908430e+01,3.615202680e+01,6.825821731e+01,2.183294896e+01,6.998126815e+00,3.484312464e+01,1.100289286e+01,6.842048411e+01,3.797097297e+01,4.550536025e+00,7.610557952e+01,9.671910696e+01,4.306726814e+01,7.886310333e+01,5.563133858e+01,4.162727811e+01,3.297457659e+01,3.882899408e+00,8.662123006e+01,2.923381521e+01,9.384321852e+01,7.157665263e+01,2.738368471e+01,3.058571126e+01,8.346913213e+00,4.635219914e+00,8.121912047e+01,8.918168926e+01,1.858434903e+01,1.845934657e+01,9.570950144e+01,7.959954181e+01,4.502225953e+01,7.084050895e+01,9.635869166e+00,2.471529841e+01,1.665633886e+01,9.294258311e+01,4.188586203e+01,8.253488454e+01,5.479664627e+01,4.713061485e+01,3.710745643e+01,9.531565660e+01,5.294085653e+01,7.221419805e+01,1.477985550e+01,5.838840953e+01,1.227831880e+01,2.865440386e+01,2.268693785e+01,2.143130664e+01,4.792683184e+01,7.607817836e+01,8.315092227e+01,7.802992096e+01,6.380969850e+01,5.469032888e+01,1.501365162e+01,3.126893480e+01,6.167758324e+01,9.887704546e+01
5.411826320e+01,1.334529576e+01,6.728854632e+01,1.734076655e+01,9.969560877e+01,2.005981238e+00,2.895473982e+01,1.551728067e+01,9.791714423e+01,3.822604785e+01,7.880892294e+01,9.045478354e+01,9.449353256e+01,6.768666790e+01,2.833678155e+01,7.503094627e+01,2.637810998e+01,7.842722216e+01,1.414415081e+01,7.182028097e+01,2.926124217e+01,5.733725015e+00,9.469585431e+00,5.438565795e+01,6.152355755e+01,8.054317115e+01,7.280601961e+01,4.761958950e+01,1.026549246e+01,4.717748185e+01,1.533777217e+01,6.334012492e+01,8.271739313e-01,1.290443874e+01,3.835032286e+01,7.486718670e+01,9.416276327e+01,7.750542765e+01,9.264060824e+01,2.927089872e+01,5.525573152e+01,3.157892712e+01,4.830316788e+01,9.175139236e+01,7.237033538e+01,5.727510476e+01,2.783006331e+01,1.917133257e+01,3.529804713e+01,1.510922196e+01,7.111749817e+01,3.508402508e+01,2.813176017e+01,1.136797483e+01,5.787360991e+00,6.185373712e+01,8.704508634e+01,2.965322548e+01,9.958756874e+01,7.038179223e+01,8.723648971e+01,3.244380545e+01,4.050833962e+01,1.998471508e+01,2.863392309e+01,2.086113840e+01,4.010968944e+01,3.385822477e+01,9.377079615e+01,3.916994537e+01,7.472860015e+01,7.420786627e+01,3.461302398e+00,9.556035661e+01,7.326523370e+01,9.742127295e+01,6.742044933e+01,4.836791728e+01,6.449917703e+01,6.883883826e+01,4.294814335e+01,4.406525447e+01,6.404776595e+01,9.861221737e+01,7.157011507e+01,6.784678854e+01,6.349815212e+01,7.758814904e+01,6.486347928e+01
3.322437830e+01,3.128513499e+01,7.099087581e+01,9.048212246e+01,1.110119730e+01,4.138535060e+01,5.869849148e+01,6.837189439e+01,7.371889380e+01,7.180251026e+01,5.065656752e+01,6.051881932e+01,7.401872207e+00,5.203893405e+01,9.249071180e+01,5.109368730e+01,4.194711489e+01,8.803509488e+00,4.960329679e+01,3.551352129e+01,9.368504828e+01,7.115451255e+01,3.166238951e+01,7.694957542e+01,6.306184743e+01,6.906531436e+01,1.760772440e+01,1.410429619e+01,3.212303641e+01,9.395544593e+01,6.763345473e+01,8.880553750e+01,6.101007167e+01,6.646019357e+01,9.707753795e+01,2.891676544e+01,5.575710543e+01,9.383833616e+01,3.290039081e+01,3.412811966e+00,6.710608777e+01,2.682801860e+01,8.215542249e+01,2.739229510e+01,1.597309853e+01,2.704077450e+01,5.967032475e+01,7.995060869e+01,6.869572097e+01,5.598707683e+01,6.789087756e+01,5.229992445e+01,5.833049819e+01,1.473777252e+01,1.959415918e+01,4.395155587e+01,8.356252674e+01,8.536018368e+01,9.646249509e+01,1.427425792e+01,1.853463240e+01,4.013632405e+01,9.835434874e+01,4.882701874e+01,1.059579470e-01,6.616858729e+01,8.566729369e+00,1.737030951e-01,2.871501939e+01,1.832529025e+01,1.991165632e+01,1.274473523e+01,7.010545874e+01,4.146789757e+01,6.058319897e+01,5.103924477e+01,8.825325643e+01,4.183563371e+01,2.003273607e+01,9.854963820e-01,5.151713060e+00,4.950583967e+01,9.251482701e+01,8.548502672e+01,8.857570469e+01,8.678272670e+01,5.635694384e+01,3.193491456e+00,8.095255165e+01
9.282791181e+01,6.912416157e+01,2.874662393e+01,8.709410385e+01,7.447945521e+01,2.692105255e+00,7.591432773e+01,5.449588670e+01,5.134753760e+00,9.863877194e+01,4.846199019e+01,6.324555525e+01,1.337969638e+01,1.214186304e+00,2.721032115e+01,7.446010197e+01,6.851470314e+01,1.086901278e-01,8.945889245e+01,3.494255544e+01,3.865046426e+01,8.357020822e+01,9.478891005e+01,9.128658063e+01,2.409176768e+01,4.681532568e+01,4.604702971e+01,8.702437929e+01,6.422454807e+01,5.988987894e+01,1.566853123e+01,7.630386617e+01,3.564416102e+01,5.210143433e+00,8.510908678e+01,4.881984606e+00,9.044157725e+01,8.885607004e+01,3.359220605e+01,2.036306882e+01,9.941308522e+01,4.648793396e+01,6.387770587e+01,7.069027753e+01,8.549515444e+01,6.009557133e+01,5.387380346e+01,3.931534791e+01,5.157140646e+01,6.228461130e+01,9.330909232e+01,5.363946689e+01,4.120818347e+01,4.180409794e+01,2.996260621e+01,9.970117321e+00,2.499738882e+01,1.264414866e+01,2.773789722e+01,5.975029705e+01,8.375227013e+01,3.724382194e+00,2.209215129e+01,9.376570055e+01,1.728360313e+01,4.545444729e+01,6.988674585e+01,7.733357550e+01,6.768532187e+01,3.767213706e+01,9.672938295e+01,8.280176863e+01,2.270613047e+01,3.203086212e+01,1.556256709e+01,6.073774514e+01,4.144582889e+01,2.940665584e+01,3.434730502e+01,1.773745309e+01,7.573454791e-01,4.228435276e+01,6.429058451e+01,8.183604331e+00,1.251603584e+00,5.334824410e+00,7.870459669e+01,2.618100416e+01,4.322823499e+01
7.738523557e+00,3.643600738e+01,7.327163582e+01,3.302025607e+01,9.853012842e+01,4.060724237e-01,7.538565409e+01,6.141772630e+01,8.725973483e+00,5.393069303e+00,9.641445560e+01,5.001737168e+01,1.646190139e+01,3.398796253e+01,5.866075894e+01,3.339113231e+00,5.433121917e+00,9.058061973e+00,5.433697811e+01,7.510875661e-02,5.651982792e+00,6.261103850e+01,2.456912167e+01,9.972808720e+01,6.205190468e+00,1.872300738e+01,5.393733805e+01,4.930014389e+01,6.776335343e+01,1.563582475e+01,7.836230950e+01,6.396654787e+01,2.926578318e+01,3.749377740e+01,2.271144196e+01,8.607843295e+01,2.264872456e+00,6.491465522e+01,3.443377464e+01,4.404381793e+01,9.822371196e+01,5.902186390e+00,5.612026767e+01,1.748449044e+00,2.055868358e+01,4.808223060e+01,4.485703189e+01,8.020991411e+01,3.876172400e+01,2.972927842e+01,8.018604246e+01,3.462250945e+01,1.010524366e+01,5.172749232e-01,9.033454483e+01,8.240710190e+01,4.153460385e+01,9.762239948e+01,4.644891702e+01,7.733251547e-01,3.162379851e+01,4.672631158e+01,8.007995372e+01,8.490275917e+00,2.659897126e+01,6.209407708e+01,9.670796572e+01,7.429506029e+01,3.496753497e+01,1.299017270e+01,5.120775686e+01,1.632046347e+01,9.923319219e+01,5.232306888e+01,1.595815820e+01,3.975529033e+01,4.054260028e+01,6.671245629e+01,8.327847072e+01,1.059186515e+01,2.189350605e+01,7.067006309e+01,8.337667810e+01,3.732922895e+01,1.933242108e+00,3.626237373e+01,9.825175077e+01,6.044742271e+01,8.671590558e+01
3.179385831e+01,1.318185476e+01,1.177209285e+01,8.315808787e+01,4.771276542e+01,7.931164803e+01,1.489081899e+01,1.690863655e+01,4.208956430e+00,8.305351087e+01,8.947347518e+01,1.824897115e+01,4.767385833e+01,2.266189626e+01,6.224533593e+00,3.016898704e+01,3.914885591e+00,2.817626316e+01,3.198456353e+01,9.264014843e-01,2.618075061e+01,1.355737804e+00,3.756103091e+01,4.260602225e+01,4.732289368e+01,3.622806998e+01,9.311453427e+01,7.062255133e+01,2.121535574e+01,5.829906348e+01,8.518243535e+00,3.738344701e+01,2.250009284e+01,1.137992832e+01,5.911005742e+01,4.761474992e+01,8.624277039e+01,6.202261513e+01,3.433112889e+01,7.887030602e+01,4.231716578e+00,5.844528891e+01,7.382455599e+01,1.521565080e+01,7.690473462e+01,8.125617237e+01,5.179762100e+01,6.458192934e+01,4.393089714e+01,6.837929965e+01,6.588743162e+01,8.780936714e+01,9.408947798e+01,4.529497816e+01,8.891441649e+01,7.095038947e+01,8.256711670e+01,3.792112259e+00,7.789736672e+01,7.178126923e+01,6.022957088e+00,4.554868762e+01,8.123462436e+01,3.812463409e+01,3.148363703e+01,5.710148012e+01,6.608298352e+01,7.555663316e+01,2.288948927e+01,9.762319119e+00,2.370223591e+01,4.260753253e+01,2.356093522e+01,3.795174294e+01,9.843744461e+00,7.614395454e+01,3.318819972e+00,3.537029834e+01,2.813016112e+01,6.015288831e+01,6.688985563e+00,1.624919020e+01,6.718562710e+01,8.363294233e+01,1.736042447e+01,4.070719456e+01,2.953551400e+01,6.469403175e+01,4.336925715e+01
1.898642919e+01,6.107600967e+01,3.179920752e+01,3.923458491e+01,4.569365480e+01,5.988178778e+01,6.334811085e+01,8.291678969e+01,4.785604575e+01,6.586437959e+01,6.951728363e+01,7.879512959e+01,3.255073748e+01,5.640583915e+01,5.690078852e+01,7.238421112e-01,1.451375325e+01,6.279956162e+01,6.268043891e+01,6.844517117e+01,8.671048634e+01,9.426770058e+01,6.381569899e+00,4.305421874e+01,9.666150647e+01,6.217568285e+01,2.028015131e+01,8.519321146e+01,1.479342157e+01,6.187827516e+01,9.665941875e+01,9.267518265e+01,2.240747972e+01,5.522971069e+01,8.778607798e+00,9.612965042e+01,1.937450086e+01,4.745137210e+01,6.804078574e+01,3.789656704e+00,7.507785316e+01,6.835422581e+01,1.518152294e+01,3.937859913e+01,9.573796956e+01,3.599169274e+01,2.229494862e+01,9.637476595e+01,6.280235122e+01,1.620820978e+00,3.526699587e+01,8.154602816e+01,8.760422318e+01,5.200228975e+01,3.792206845e+01,8.460577059e+01,3.752240089e+01,8.702823978e+01,6.713456238e+01,3.033321641e+01,2.165457405e+01,3.507247187e+01,1.368337828e+01,6.846788916e+01,6.389512132e+01,4.117461750e+01,7.605553596e-01,4.494705670e+01,2.253249533e+01,3.891217628e+01,2.066943523e+01,8.389828294e+00,4.998165584e+01,1.645398218e+01,8.215104271e+01,5.334551399e+01,3.244179960e+01,2.239722368e+01,3.231564406e+01,1.249095780e+01,6.183131340e+01,7.563148334e+01,7.899250203e+01,4.907868171e+01,5.452408903e+01,8.460426334e+01,3.800722035e+01,6.706215215e+01,8.804015808e+01
7.006714714e+01,4.191534880e+01,3.436614693e+01,9.705238647e+01,6.836996951e+01,4.920701876e+01,5.735121694e+01,3.531685000e+01,8.129251218e+01,5.892070757e+01,6.358023613e+00,3.320611315e+01,5.864438152e+01,5.532287624e+01,2.712831236e+01,5.513897277e+01,7.338946143e+01,2.229297816e+01,2.879282613e+01,4.888452140e+01,5.026464813e+01,3.451032165e+01,2.433280839e+01,6.666970088e+01,7.689452080e+01,8.048196342e+01,1.261879288e+01,3.159026551e+01,2.632695039e+01,4.457162977e+01,8.320759542e+01,6.214150410e+01,5.453904810e+01,8.733453555e+01,1.336338364e+01,9.445847583e+01,9.263905612e+01,3.027619029e+01,7.610523375e+01,7.684531551e+01,7.108306048e+01,6.598280561e+01,1.056673617e+01,8.653538420e+01,6.327608206e+01,6.489138877e+01,9.788415714e+01,6.588384252e+01,1.212522211e+01,8.045698768e+01,9.626925159e+01,2.232965235e+00,2.233144231e+01,6.123863079e+01,3.519033170e+00,3.122903424e+00,1.014804507e+01,4.625020996e+01,2.402364001e+01,7.765702686e+01,1.340259744e+00,8.347619228e+01,3.403425429e+01,2.652685710e+00,6.233075667e+01,6.850882678e+01,4.963882744e+00,6.320292589e+01,8.365613811e+01,7.339916517e+01,8.544445749e+00,7.739520208e-01,2.794250188e+01,3.175482420e+01,9.150148907e+01,3.764182678e+01,5.379642961e+01,2.648531812e+01,5.890899365e+01,7.931780039e+01,9.797278395e+01,6.086489776e+01,8.077849713e+01,1.683113199e+01,9.464406653e+01,3.659199497e+01,7.361665690e+01,1.365791733e+01,7.950581640e+01
