v1,v2,v3,v4,v5,v6,v7,v8,v9
8.780653680e+01,5.666289758e+01,8.285394086e+01,9.920640039e+01,4.958177568e+01,6.140904566e+01,6.122547380e+01,4.779165835e+01,6.713043285e+01
1.556143863e+01,6.703849526e+01,2.311364628e+00,8.092867293e+01,6.225007673e+00,8.877963036e+01,3.538089382e+01,9.294966100e+01,9.461917552e+01
7.914888563e+01,5.813585946e-01,5.094081617e+01,4.701302106e+01,2.776956825e+01,1.347255385e+01,7.900379525e+01,8.493115835e+01,5.625333887e+01
9.460069692e+01,3.554576966e+01,2.178816164e+01,5.551959222e+01,5.767895591e+01,6.109756873e+00,7.628464355e+01,4.860128159e+01,1.447107289e+01
8.185270056e+01,6.238377123e+01,5.251263525e+01,3.180134576e+00,9.353476773e+01,7.383970766e+01,8.799298863e+00,3.777113721e+01,5.855149383e+01
2.210516231e+01,2.543562125e+01,4.731360583e+01,5.404899225e+01,1.388545344e+01,3.356174275e+01,2.471424954e+01,4.633272682e+01,3.148904878e+01
9.965236950e+01,7.416670003e+00,5.181370241e+01,1.626190589e+01,3.407783957e+01,9.491554848e+01,6.191385858e+01,9.172820495e+01,3.928364873e+01
2.220375579e+01,7.424088257e+01,3.035592787e+01,7.427712441e+01,7.676129013e+01,8.497764290e+00,2.180733974e+01,7.636871364e+01,7.160651134e+01
3.976693932e+01,1.224262726e+01,8.686489191e+00,4.938414239e+01,2.953193267e+01,1.795930526e+01,3.054386817e+01,4.470866459e+01,8.428416344e+01
4.643584256e+00,5.306015681e+01,6.224158878e+01,9.997932296e+01,4.601289708e+00,6.330279619e+01,2.155331177e+01,6.508983591e+01,4.151022427e+01
9.067941426e+01,9.280860799e+01,4.788907056e+01,9.077632272e+01,9.279910363e+01,6.073553707e+01,2.593036022e+01,8.348802140e+01,9.355624862e+01
5.076038409e+01,1.748047156e+01,6.740890536e+01,1.902476030e+01,4.152000852e+01,6.392748848e+01,9.745818304e+01,8.480316057e+01,4.818980407e-01
5.775306519e+01,5.583560239e+01,1.463535378e+01,5.940093784e+01,1.109496452e+01,1.426409855e+01,9.402896529e+01,3.959969474e+01,4.096909719e+01
4.917874246e+01,9.754206525e+01,2.511699421e+01,3.587226266e+01,7.269377513e+00,8.988528490e+01,3.671615921e+01,1.704909508e+01,7.738412598e+01
3.701682768e+01,2.705957505e+01,7.488782190e+01,1.586712955e+00,6.234446291e+01,3.725342106e+00,5.515236842e+01,2.973127167e+01,8.419627777e+01
3.571266548e+01,2.351316671e+01,5.116242972e+01,7.950740947e+01,9.840661773e+01,5.734649888e+01,5.884153167e+00,1.326864630e+00,6.244573176e+01
5.228097883e+01,2.334483868e+01,4.932900291e+01,5.130853230e+01,4.978697022e+01,3.386686556e+00,4.750498764e+01,7.878381338e+01,9.861025172e+01
6.409263183e+01,8.589860405e+01,5.106033178e+01,6.266542037e+01,3.737034900e+01,2.713973017e+01,9.325180201e+01,1.738679697e+01,8.747640446e+01
7.165329656e+01,4.066901653e+01,4.499264584e+00,4.190198941e+01,2.738387685e+01,9.837355862e+01,4.779474569e+01,7.906054638e+01,7.196211379e-01
8.115789892e+00,5.705150074e+01,3.162306028e+01,7.499372084e+01,2.374222912e+01,2.958027671e+01,6.609250198e+01,4.570597300e+01,2.842850964e+01
1.890592164e+00,9.662576552e+01,6.004693626e+01,9.255874315e+01,8.949511867e+01,1.250282287e+00,5.814197158e+01,5.060073096e+01,4.734810948e+01
9.204572610e+01,4.920216636e+01,4.554888467e+01,7.545480289e+01,5.336752040e+01,6.572929810e+01,6.958685036e+01,8.388272223e+01,4.043247752e+01
2.497773677e+01,4.685757495e+01,5.191367380e+01,7.608881147e+01,7.440071189e+01,2.542407163e+00,5.880619548e+01,5.165603771e+01,4.798157628e+01
7.240404730e+00,6.094725409e+01,1.630763229e+01,7.229176256e+01,9.094832471e+01,2.925845844e+00,8.731171470e+01,7.558863695e+01,2.969390058e+01
7.953602766e+01,5.829988237e+01,3.186563588e+01,2.983425490e+01,5.675530963e+01,5.452922468e+01,9.482655454e+01,8.264443297e+01,2.693807958e+01
1.020141318e+01,9.254652306e+01,1.681854084e+01,2.129285166e+01,4.186047647e+01,6.445491910e+00,3.309266116e+01,9.414316693e+01,6.136829701e+01
5.599073247e+01,8.708530653e+01,1.434937419e+00,1.194434009e+01,3.660301340e+01,2.861572257e+01,1.891548361e+01,1.179216528e+01,9.884759002e+01
8.331269485e+01,8.714568521e+01,1.583878849e+01,6.209910576e+01,3.689629215e+01,8.369798775e+01,4.656465629e+01,8.914754672e+01,8.451545306e+01
2.615068027e+01,7.204175156e+01,2.111966893e+01,1.560528503e+01,8.991699920e+01,8.672035589e+01,9.273241812e+01,6.300401432e+01,5.495099679e+00
3.088704442e+01,3.049319049e+01,5.508406946e+01,3.799275604e+00,6.739811876e+01,5.528845206e+01,6.030014825e+00,7.938557692e+01,2.533608208e+01
9.846825744e+01,8.695807770e+00,9.973486308e+01,7.147415521e+00,5.149729512e+01,1.947117290e+01,7.152472070e+01,9.338678107e+01,2.951209784e+01
1.485263648e+01,4.984405720e+01,5.745113275e+01,4.177730120e+00,1.164535164e+01,3.816196607e+01,4.690564274e+01,2.493550318e+01,9.550521813e+01
8.567761428e+01,8.010292214e+01,5.467472291e+01,6.691018658e+01,7.429171768e+01,2.696186965e+01,4.358448280e+01,8.730903222e+01,7.828287708e+01
9.240996674e+01,2.058845006e+01,4.887217943e+01,1.742761391e+01,8.450330957e+01,3.519236267e+01,8.207427026e+01,5.496778635e+01,8.593206187e+00
9.494616704e+01,1.965336322e+01,6.093494529e+01,6.423263722e+01,9.405308704e+00,7.595722885e+01,5.323804262e+01,3.102387803e+01,5.650532209e+01
8.373462404e+01,7.502551437e+01,7.117402916e+01,8.147902902e+01,4.270727591e+01,8.163496745e+01,6.835849549e+01,1.563024511e+01,6.015368810e+01
5.637598808e+01,7.064787204e+01,8.958674184e+01,7.639331907e+01,9.044967969e+01,7.743969767e+01,4.577698976e+01,1.000903009e+01,7.803902008e+01
6.497389170e+01,4.425851160e+01,7.953087983e-01,4.155643251e+01,3.303150272e+01,4.156234829e+01,5.579780897e+01,6.484205687e+01,9.934276343e+01
4.663293363e+01,7.009670730e+00,3.442872743e+01,6.004479981e+01,6.502806943e+01,6.839472863e+01,9.125100000e+00,4.272184979e+01,1.873789615e+00
7.151499749e+01,5.466351414e+01,7.081452215e+01,6.640662448e+01,5.027192597e+01,2.828459559e+01,1.359015286e+01,9.860310692e+01,1.405016103e+01
4.899140855e+01,5.400941989e+01,9.431535389e+01,2.357073319e+00,1.441398264e+01,3.240658696e+01,9.293218828e+00,6.449913369e+01,4.758824213e+01
9.075643383e+01,8.880162842e+01,7.760448295e+01,4.244960689e+01,9.537626778e+01,2.315138609e+01,3.076096970e+01,9.778345377e+01,7.623979204e+01
2.917715906e+00,1.622520139e+01,1.005413625e+01,9.843920435e+00,7.584679203e+01,3.108815750e+01,7.166114497e-01,9.527494525e+01,7.846016597e+01
1.412133675e+01,7.259678522e+01,7.185077836e+01,1.470395223e+01,6.240370344e+01,7.041664598e+01,4.204309162e+01,3.964200037e+01,3.583391598e+01
8.519653706e+01,7.542349060e+01,9.603124834e+01,1.251156697e+01,8.807596770e+00,8.441410898e+01,6.861221851e+01,6.018719783e+01,2.642365534e+01
7.750507956e-01,3.036050951e+00,1.605775775e+00,8.931468842e+01,6.468367407e+01,8.895379003e+01,7.788769422e+01,4.760953307e+01,2.713966152e+01
4.696065543e+01,5.219417862e+01,1.522565859e+01,5.673552043e+01,9.822626719e+00,9.666682722e+01,7.110949301e+01,9.069594135e+01,2.221978560e+01
4.838115066e+01,8.036949181e+01,3.355512695e+01,2.701322564e-01,9.124078777e+01,5.412259239e+01,7.633973683e+01,6.375065730e+01,6.727465411e+01
2.950350158e+01,8.760269620e+01,5.911660191e+01,2.568404349e+01,9.247142314e+01,8.865823848e+01,4.688726903e+01,6.042734076e+01,4.832690365e+01
5.330904380e+01,6.577111605e+01,1.740836537e+01,5.490814215e+01,7.091426945e+01,6.668964015e+01,6.627901882e+01,1.927298010e+01,8.620227710e+01
9.665727475e+01,2.956884738e+01,8.312193904e+01,3.423200887e+01,6.202661791e+01,3.180266460e+01,9.845017717e+00,3.530424332e+01,5.095625470e+01
4.445714551e+01,6.247752517e+01,1.903884090e+00,9.900203266e+01,5.690638065e+01,8.313127097e+01,3.569619654e+01,5.004274689e+01,9.858186002e+01
5.089022759e+01,8.868386365e+01,6.436371758e+01,9.325211795e+01,2.607333821e+01,8.748925160e+01,4.148506412e+01,1.756558416e+01,2.469848039e+01
3.605255214e+01,3.294694983e+01,8.881085685e+01,2.274765894e+01,8.825415504e+01,9.260317502e+01,3.737293478e+01,8.108321707e+00,6.405840763e+01
4.598633428e+01,1.931841219e+01,7.691430002e+01,2.848494339e+01,1.415159628e+01,6.176423784e+01,6.786230608e+01,7.863184560e+01,8.241450252e+01
5.008453518e+01,1.707117832e+01,5.448909548e+01,2.952541743e+01,3.092572797e+01,5.105734617e+01,5.118468667e+01,1.895008217e+01,8.691983555e+01
7.646647853e+01,2.287498122e+01,2.132580122e+00,7.158346726e+01,8.656043709e+01,6.596382692e+01,8.131421415e+01,7.772781526e+01,8.123812126e+01
4.742282189e+00,9.882953883e+01,1.857327961e+01,1.073911892e+01,5.772241023e+01,9.037855833e+01,3.857737588e+01,2.834594571e+01,5.062355264e+01
1.116961321e+01,8.319974628e+01,3.759202444e+01,3.910019695e+01,8.449447394e+01,8.764741540e+01,4.373545222e+01,5.648860879e+01,2.271406906e+01
3.408949767e+01,4.141742119e+01,3.868907971e+01,4.294305393e+01,3.106209161e+01,9.613598632e+01,5.250406941e+00,3.154271329e+01,6.494755771e+01
5.042394091e+01,6.198796889e+01,9.266546411e+01,8.278616306e+01,6.646251287e+01,5.183068477e+01,4.326984610e+01,5.154726817e+01,3.799995855e+01
6.123152170e+01,5.940939300e+01,7.689396350e+01,9.013296222e+01,2.225400648e+01,3.046527663e+01,4.831616918e+01,2.727552914e+01,9.569359925e+01
3.348303445e+01,7.960925622e+01,2.184644232e+01,4.607125986e+01,6.090708940e+01,4.982084344e+01,2.497141238e+01,2.034664551e+01,6.934955295e+01
1.562334612e+01,1.123369007e+01,4.532670822e+01,5.950519448e+01,4.378749676e+01,4.313832788e+01,8.587495776e+01,8.294399981e+00,9.721015737e+00
7.009663682e+01,1.067351526e+01,9.048759554e+01,5.104766021e+01,5.231343063e+01,3.074190413e+01,3.713217022e+01,6.070605176e+00,4.980544846e+01
1.948855786e+01,1.386681396e+01,9.296018350e+01,2.134657950e+01,5.152235730e+01,3.963278405e+01,4.090189336e+01,4.513689242e+01,1.064424943e+01
3.808784408e+01,4.752914100e+01,6.790408250e+00,5.744136830e+01,8.085880161e+01,8.294995364e+01,5.346107388e+01,8.001709130e+01,5.639058321e+01
6.875874437e+01,4.132055429e+01,7.129780855e+01,9.240458016e+00,2.267309287e+01,6.026790536e+01,2.719681792e+01,3.670955792e+01,2.752572585e+01
9.861732019e+01,6.486303385e+01,8.516122233e+01,5.249654252e+01,5.809560233e+01,9.286459650e+01,8.063133261e+01,6.177824516e+01,9.986325611e+01
5.984850742e+01,8.276876175e+01,9.144620497e+01,8.682299221e+01,5.180708056e+01,1.696452588e+00,2.374285532e+01,3.226551485e+01,2.590357831e+00
5.736576533e+01,8.421141770e+01,9.987754523e+01,7.323495846e+01,8.897185935e+01,8.138616364e+01,9.339304757e+00,1.406854223e+01,8.433368546e+01
6.307941491e+01,1.523511978e+01,7.828629587e+01,5.806576087e+01,4.666672757e+01,2.336321452e+01,1.056670615e+01,8.085276567e+01,6.463846059e+01
4.847893961e+01,9.634189972e+01,8.897450679e+01,7.740506383e+01,2.837767490e+01,8.007181335e+01,5.240126678e+01,9.585834259e+01,4.929742514e+00
7.766015318e+01,1.676231060e+01,9.960056938e+00,2.185256535e+01,6.789421058e-01,7.959923213e+01,6.265736986e+01,1.446143831e+01,1.149467758e+01
7.996756526e+01,9.918615656e+00,6.785127909e+01,1.340455081e+01,6.891515531e+01,3.059589096e+01,2.600104667e+01,8.410679564e+01,4.303603307e+01
8.392829351e+01,3.166657279e+01,9.903567269e-01,3.947718093e+01,9.749774769e+01,5.960911982e+01,5.556112282e+01,2.863038894e+01,6.124274695e+01
7.326662572e+01,8.250379806e+01,1.550794372e+01,9.060685544e+01,9.421491434e+01,2.892730962e+01,6.420939185e+01,4.494632665e+01,6.538604741e+01
4.122634243e+01,7.323223700e+01,9.107360567e+01,6.900425228e+01,4.455338620e+01,8.124247382e+01,3.248257976e+01,6.453396378e+01,7.100599428e+01
5.696522318e+01,2.719680461e+00,8.029163831e+01,3.338783419e+01,4.318468235e+01,1.544432799e+01,2.894420508e+01,9.874777850e+01,3.077984912e+01
9.392841329e+01,6.447479534e+01,3.058430331e+01,1.310738268e+01,7.745800948e+01,7.770223005e+01,9.162579266e+01,4.546813083e+01,6.756053689e+01
5.557952410e+01,2.527933048e+00,3.593706563e+01,4.141133892e+01,9.967459831e+01,9.659279070e+01,4.968489707e+01,5.794928864e+00,4.720057238e+01
3.865538811e+01,8.471517572e+01,3.257559062e+01,3.444067014e+01,5.347189097e+01,3.007833080e+01,9.183111404e-01,5.556605469e+00,9.305750105e+01
3.716527838e+00,9.525780134e+01,1.486077453e+01,8.990114213e+01,3.707295982e+01,6.451534376e+01,2.291631466e+01,5.985856291e+01,9.375699195e+01
