v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90
5.394809325e+00,7.492108151e+01,3.720485113e+01,6.220689711e+01,2.528692301e+01,5.199016933e+01,4.528964968e+01,7.987350599e+01,2.397033125e+01,3.221200941e+01,1.703962463e+01,4.548537652e+01,9.573150959e+01,5.540551929e+01,5.015636680e+00,5.242336569e+01,1.293623940e+01,8.236045548e+01,2.403645380e+01,8.909529621e+01,6.724515802e+01,6.259042293e+01,1.624133394e+01,9.283577125e+01,2.811280090e+01,6.756793349e+01,6.806430045e+01,3.329559357e+01,2.953811217e+01,4.275374667e+01,3.929471807e+01,6.951076730e+01,7.800818882e+01,5.161539435e+01,9.156769677e+00,6.523355089e+01,1.817872071e+01,6.316939171e+01,3.334290875e+01,3.411179463e+01,7.690104700e+01,2.672213719e+01,6.783641699e+01,1.732154325e+01,2.823381612e+01,4.107395176e+01,6.685684543e+01,4.766706416e+01,1.696667894e+01,7.879100557e+01,6.337167894e+01,1.837259790e+01,9.860637512e+01,8.952915798e+01,2.955244582e+01,4.119734593e+01,6.194175854e+01,6.172960595e+01,1.919940977e+00,3.189761975e-01,3.281406992e+01,1.322270200e+01,4.467294713e+01,6.498496905e+01,9.056119687e+01,4.562672223e+01,9.075542848e+01,7.755542992e+01,4.006387948e+01,8.253135688e+01,5.964372936e+01,8.099412830e+01,7.757909463e+01,6.243712854e+01,7.642476000e+01,6.786590557e+01,5.352609473e+01,4.043459559e+01,4.445185833e+01,1.895137861e+01,1.178670646e+01,2.171959912e-01,9.952176095e+01,7.226575249e+01,5.764875875e+01,2.709059360e+01,8.855203478e+01,6.154350045e+01,4.051961738e+01,5.236151355e+01
7.970301862e+01,7.057238915e+01,4.680803532e+01,2.572912541e+01,7.199323098e+01,1.168172884e+01,5.148285456e+00,8.722174994e+01,8.177237298e+01,5.054955660e+01,9.222925778e+01,9.898531160e+01,5.982853354e+01,3.652053719e+01,4.271984790e+01,9.720117029e+00,8.495123448e+01,4.155063637e-01,5.226957678e+01,4.490093825e+00,5.224831620e+01,8.511599961e+01,5.030167479e+01,8.292204365e+01,7.053515278e+01,1.740141246e+01,8.712749890e+01,5.601158639e+01,6.617972799e+01,1.659390417e+01,4.530257262e+01,4.526123322e+01,6.374548606e+00,3.041016022e+01,7.314085427e+01,2.344518528e+00,4.370138474e+01,8.438528474e+01,1.123460081e+01,5.142931619e+01,6.032022971e+01,9.581104056e+01,1.997205837e+01,9.853176850e+01,9.442306778e+01,7.219640114e-01,8.560063957e+01,8.803997318e+01,2.348452078e+01,8.100782480e+00,5.500597896e+01,5.849616805e+01,7.930719943e+01,4.267172021e+01,9.155119272e+01,4.409609934e+01,8.195596891e+01,4.773704725e+01,1.934408286e+01,4.549575269e+01,1.548668463e+01,7.520851140e+00,2.533082392e+01,2.848632918e+00,1.994942880e+01,9.015412716e+01,3.593009038e+01,9.354948945e+01,9.164706237e+01,4.735030063e+00,1.849155788e+01,6.452912364e+01,5.825584943e+01,8.564300289e+01,7.856003242e+01,7.374401511e+01,7.745931078e+01,8.293634908e+01,2.590910457e+01,9.436112088e+00,2.155058595e+01,9.114983531e+01,3.776500223e+01,9.742273399e+01,4.744640994e+01,8.384364657e+01,3.320379796e+01,8.138376384e+01,9.663150632e+01,4.522764734e+01
4.539207473e+01,2.023736251e+01,6.815411085e+01,9.639408245e+01,2.897022117e+00,9.497241812e+01,9.935146416e+01,6.347025842e+01,5.624361579e+01,2.237288842e+01,2.551060890e+01,7.453881320e+01,6.826398556e+00,8.907363065e+00,3.655416906e+01,6.874085710e+01,7.933629499e+01,8.999906263e+01,5.887140956e+01,9.607588287e+01,3.624536260e+00,5.617697200e+01,4.655986159e+01,5.802007227e+01,8.790221923e+00,1.234516492e+01,5.898799978e+01,8.685738536e+00,3.068682179e+00,6.975100472e+01,3.520169896e+01,9.357164361e+01,9.224075541e+01,9.723469522e+01,6.974420392e+01,7.999948734e+01,6.660555345e+01,5.205125661e+01,1.438465218e+01,7.844944758e+01,4.584832264e+00,6.073422413e+01,9.773545434e+01,8.221010768e+00,8.516061455e+01,6.915688920e+01,3.596325275e+01,7.915827043e+01,9.373687285e+01,6.855630272e+01,4.038533682e+01,4.253544676e+01,6.166826377e+00,7.930606770e+01,5.448695732e+01,7.868371382e+01,7.332703815e+01,3.989530289e+01,5.030123888e+01,5.446365304e+01,8.114286800e+00,6.562657392e+01,8.801988163e+01,2.970916667e+01,2.360922893e+00,3.826283876e+01,9.713528804e+01,2.310635597e+01,5.775802791e+01,3.501684655e+01,9.347284923e+01,5.882215393e+01,6.931250698e+01,4.127599435e+01,7.891545952e+01,9.339278088e+01,9.907390788e+01,1.169990520e-01,8.261739564e+01,3.600964794e+01,3.727437015e+01,3.855934686e+01,8.328456769e+01,9.068382817e+01,4.841267014e+01,2.754133409e+01,4.029224535e+00,1.552471277e+00,8.676264850e+01,5.118447120e+01
5.273643163e+01,3.454203126e+01,8.009633359e+01,5.599431128e+01,2.908741606e+01,8.214303468e+01,6.862901476e+01,8.689262802e+01,5.660369692e+01,9.825240998e+01,5.736805059e+01,1.783750796e+01,1.762043614e+01,9.922804938e+01,4.917477493e+01,9.875764915e+00,7.911892204e+01,1.502411394e+01,9.754778051e+01,6.284157101e+01,8.036758934e+01,2.797164813e+01,6.539729966e+01,2.180180002e+01,4.991624489e+01,6.630799326e+01,6.424603431e+01,3.482250865e+01,7.575180742e+01,9.402962992e+01,2.644891993e+01,4.990108328e-01,2.508123736e+01,8.760133202e+01,5.843866106e+01,1.306104323e+01,8.749660399e+01,2.823499776e+01,2.561052119e+01,3.841566994e+01,8.824720282e+01,4.901423309e+01,7.398101809e+01,4.830978517e+01,6.140921007e+01,5.826719541e+01,1.262769841e+01,8.177429154e+01,8.140358515e+01,3.952457258e+01,6.018601440e+01,5.052390570e+01,4.731578968e+01,8.483476013e+01,4.991633676e+00,8.065852658e+01,2.063686954e+01,4.802085766e+01,1.384841278e+01,4.076162267e+01,8.520703535e+00,3.620622527e+01,1.432577246e+01,7.667402191e+01,3.551355735e+01,6.926520943e+01,8.719178567e+01,8.019262532e+01,3.611850031e+00,9.182732904e+01,5.804955841e+01,4.820196632e+01,2.827271008e+01,7.461919749e+01,6.214740972e+01,5.709421832e+00,5.325858635e+01,3.171733000e+01,7.987490119e+01,7.896721185e+01,8.855862645e+01,4.288624221e+00,4.207231802e+01,9.942471541e+01,3.206174040e+01,5.694527972e+01,3.993337442e+01,7.231423892e+01,2.392052640e+01,8.785721125e+01
3.302363902e+01,6.467925349e+01,1.363579674e+01,3.454676743e+00,5.722831753e+01,7.179446842e+01,1.872008766e+01,4.131047588e+01,2.598849438e+01,8.093456189e+01,9.473506785e+01,9.636729388e+01,4.990969918e+01,9.144958318e+01,8.013972000e+01,6.234226419e+01,2.151032186e+00,1.983652146e+01,2.062058693e+01,7.740567328e+01,7.622599662e+01,1.782630816e+01,6.983340646e-01,1.902323824e+01,6.936624970e+01,9.080611460e+01,6.597705418e+01,1.543332290e+01,9.781554853e+01,3.504635993e+01,7.288662166e+01,9.642721799e+01,8.034873489e+00,8.375176971e+01,9.767480065e+01,4.803389035e+01,7.476190329e+01,2.650325248e+01,3.513611650e+01,5.374739290e+01,4.356302933e+01,5.576675441e+01,4.521208828e+01,4.535183201e+01,7.628437569e+01,2.790504003e+01,8.892977393e+01,2.373810020e+01,3.304791974e+01,7.953271416e+01,6.745810385e+01,6.184808748e+00,3.164543149e+01,6.594864383e+01,4.823496435e+01,4.818197460e+01,3.416017422e+01,2.439755562e+01,7.922531138e+01,1.295702856e+01,5.413351757e+01,4.142404755e+01,1.836941083e+01,8.969445782e+01,2.710862437e+01,5.386641308e+01,3.055011950e+01,2.561808991e+01,7.052368114e+01,8.507575593e+01,4.271402073e+01,3.552102610e+01,5.346670843e+01,7.378828036e+01,4.432685267e+01,3.560644090e+01,2.593455794e+01,2.325502948e+00,5.847639524e+01,1.373283280e+01,2.425143255e+01,8.103196017e+01,5.682362702e+01,2.568757222e+01,1.014352000e+01,9.927113908e+00,7.878624764e+00,6.864551726e+00,4.089094504e+01,2.078842801e+01
3.175020800e+01,9.058900995e+01,6.895505359e+00,5.484785410e+01,8.924831272e+01,2.121549447e+01,5.318929130e+01,6.556964369e+00,4.695279443e+00,7.788847129e+01,5.186764888e+01,1.381155861e+01,6.267726390e+01,6.352811599e+01,4.556581747e+01,5.400597884e+01,1.814519767e+01,9.364228073e+01,9.804904039e+01,3.121507582e+01,7.147936597e+01,2.086408598e+01,7.424232260e+01,6.485988258e+01,9.593538959e+01,1.793141508e+00,1.475518965e+01,8.711262392e+01,1.348255422e+01,8.168330725e+01,3.705767514e+01,4.000256085e+01,8.191726039e+01,8.557613387e+01,1.238726762e+01,7.355839371e+01,3.625270386e+01,6.686309630e+01,1.388169898e+01,1.797091270e+00,7.577856199e+01,6.640906714e+01,8.963024470e+01,7.108703405e+01,9.511884477e+00,7.979064676e+01,7.396262221e+00,2.938751996e+01,2.616209032e+01,6.066266263e+01,4.697047305e+01,9.947470014e+01,2.931020580e+01,4.283839600e+01,4.451429470e+01,8.483332844e+01,7.020768971e+01,3.707654590e+01,8.616430714e+00,1.002316080e+01,2.903800556e+00,7.663000190e+01,4.108448218e+01,2.385664707e+01,1.320791260e+01,1.611006104e+01,4.219509293e+01,8.550796139e+01,3.342755610e+01,3.354671285e+01,9.922547839e+01,3.682630145e+01,8.577504763e+01,2.036548754e+01,8.146020194e+01,9.264266897e+01,8.935119755e+01,2.227649319e+01,5.319446306e+01,3.990108913e+01,9.301758177e+01,5.364728450e+01,9.301872061e+01,1.734504585e+01,1.177833879e+01,3.237848880e+01,3.003444667e+01,9.548625080e+01,8.219005370e+00,2.124638006e+01
8.602277044e+01,3.080483212e+01,5.034857543e+00,8.536320189e+01,3.484308788e+01,7.800463168e+01,8.364199141e+01,6.119415219e+01,7.665059174e+01,9.181399904e+01,1.487362331e+01,2.251089105e+01,5.101018535e+01,3.906902538e+01,9.602803487e+01,4.671923448e+01,9.803444099e+01,3.495889911e+01,6.906622729e+01,3.317571296e+00,9.779131691e+01,4.059354621e+01,3.128644239e+01,9.612779419e+01,2.085359466e+01,7.515755776e+00,6.529029464e+01,8.885443493e+01,2.259396991e+01,4.745983620e+01,7.517007650e+01,4.672180791e+01,4.208245415e+01,1.110728638e+01,4.432305283e+01,7.756658625e+00,3.975701023e+01,3.809472611e+01,8.248837952e+01,8.107138448e+01,7.438869483e+01,6.168648391e+01,8.858150079e+01,9.309454576e+01,2.234562571e+01,2.093681013e+01,8.294616035e+01,8.110799283e+01,5.539459154e+01,4.584307913e+00,7.752059033e+01,4.869325292e+01,9.876291547e+01,8.999523365e+01,4.066063720e+01,1.413349426e+00,3.563756204e+01,5.978424612e+01,9.332858023e+01,4.660678883e+01,7.923961842e+01,1.470553284e+01,5.159509763e+01,6.349399596e+01,9.203274989e+01,2.421205911e+01,7.198427032e+01,6.837629845e+01,9.432806440e+00,1.852975645e+01,8.026875672e+01,6.483304388e+01,6.730543699e+01,1.707792933e+01,9.608630327e+01,7.591189074e+01,5.065111756e+01,4.251969368e+01,8.196640261e+01,6.529472568e+01,9.623939057e+01,4.786418476e+01,4.304159681e+01,7.271379809e+01,5.945311419e+01,2.683175686e+01,3.718686209e+01,1.136364283e+01,5.560278058e+01,9.452345826e+01
7.133447205e+00,3.622506157e+01,9.262638553e+01,9.970795356e+01,9.623924135e+01,4.666020736e+01,3.881346705e+00,8.674933130e+00,6.337441426e+01,3.817859043e+01,9.790508971e+01,9.793025162e+01,7.809865701e+01,7.969184888e+01,9.404443607e+00,2.995000176e+01,2.730525750e+01,7.549294212e+01,4.724134867e+01,9.867391180e+01,5.747802173e+01,3.866438609e-01,5.060863334e+01,6.125297580e+01,2.847591447e+01,3.384317585e+01,8.758072730e+00,5.477856544e+01,3.807465027e+01,9.398810524e+01,8.837428534e+01,6.359837238e+01,5.112288676e+00,1.976739509e+01,1.600961046e+01,5.157399928e+01,1.983923627e+01,6.599934872e+01,1.946350990e+01,8.902094629e+00,7.192686962e+01,1.922763426e+01,2.569773282e+01,6.545060864e+01,6.822338519e+01,4.577125286e+01,8.597884941e+01,8.202972369e+01,6.441942119e+01,9.622727319e+01,5.664041498e+01,7.665192699e+01,3.648846439e+01,1.895835735e+01,2.220555363e+00,6.535912237e+01,7.388769107e+01,9.101008649e+01,5.557816870e+01,1.922033895e+01,7.618789214e+01,6.236090423e-01,2.120745142e+01,4.456382539e+01,2.589113144e+01,3.562240699e+01,7.724509923e+01,4.753836455e+01,7.197975819e+01,6.029154414e+01,6.872858753e+01,9.834367797e+01,6.277627679e+01,3.373282382e+01,3.576776996e+01,2.167637893e+00,7.217384337e+01,9.124761738e+01,3.195837969e+01,3.423025323e+01,8.420734480e+00,4.592858922e+01,3.744630097e+01,4.994138396e+01,1.979277879e+01,1.876916378e+00,9.560347614e+00,1.613442100e+01,6.809801173e+01,4.988674626e+01
1.312800060e+01,2.102403296e+00,5.458757187e+01,2.155051109e+01,7.488901018e+01,9.015670232e+01,3.949011833e+01,7.565120304e+01,4.149849316e+01,5.465086443e+01,7.486160504e+01,2.515467619e+01,8.504786311e+01,9.805237053e+01,6.299286188e+01,4.965315018e+01,3.651415522e+00,1.807709188e+01,3.195797203e+01,9.719713383e+01,9.118625383e+01,9.157796701e+00,3.647942538e+01,8.872522491e+01,7.504429177e+01,4.247308959e+00,2.469582209e+01,7.016982817e+01,6.296727020e+01,9.964999084e+00,4.973778574e+01,2.437474646e+01,8.764159820e+01,2.428279193e+01,7.034288409e+01,5.039814474e+01,1.672178225e+01,3.925309961e+01,3.153960049e+01,3.316849651e+01,6.362585376e+01,4.818342344e+01,6.540736079e+01,7.531714704e+01,3.875746969e-02,4.029356949e+01,1.863960685e+01,3.015486093e+01,4.868476578e+01,7.038483002e+00,4.910038367e+01,9.334390524e+01,7.971066639e+01,8.259048053e+01,3.883280785e+01,7.467153771e+01,5.463187802e+01,5.411649007e+00,9.788403179e+01,6.168429964e+01,9.153310604e+01,9.456040811e+00,6.917230687e+01,3.034047357e+01,8.261286490e+01,1.579786337e+01,2.363230566e+01,1.987097948e+01,5.092219047e+01,1.300406628e+01,3.738022472e+01,9.498158075e+00,4.831717113e+01,9.431987046e+01,3.016615483e+01,9.246194489e-01,6.609641341e+01,5.635458763e+01,9.262005860e+01,9.626653488e+01,3.014153141e+01,1.997449954e+01,1.628299511e+01,5.017964068e+01,1.298636339e+01,1.761142182e+01,1.354156420e+01,5.421941235e+01,2.371064458e+01,5.810361267e+01
6.528893483e+01,2.579909313e+01,5.550497887e+01,8.294043480e+01,2.603651180e+01,9.952159898e+01,8.170364336e+00,6.236726054e+01,9.014705266e+01,8.541242400e+01,9.504076004e+01,6.215899712e+01,9.279758841e+01,8.875336556e+01,4.645840777e+01,8.901789370e+01,8.721108014e+01,7.626791884e+01,8.284242303e+01,5.641301651e+01,5.562421724e+01,8.942701066e+01,2.912624619e+01,6.003831403e+01,5.999245593e+01,5.779382508e+01,4.951084601e+01,8.000476293e+01,9.818885104e+01,7.810315735e+01,4.419720213e+01,7.232056951e+01,1.052126549e+01,8.480529197e+01,8.571618414e+01,9.580214083e+00,5.715343448e+00,1.465501962e+01,7.952638492e+01,4.026691807e+01,4.892969472e+01,1.551568133e+01,9.312841469e+01,1.548699381e+01,2.630086391e+01,3.005249127e+01,6.093331140e+01,1.185512237e+01,2.134278686e+01,8.693192370e+01,8.758659260e+01,4.448712292e+00,9.523070927e+00,2.328467223e+01,6.379931254e+01,2.740746279e+01,4.301761982e+01,6.349349620e+01,9.370916690e+01,6.445057195e+00,2.307155073e+01,9.358788763e+01,9.817373308e+01,7.897525522e+01,6.566390301e+01,5.163848656e+01,1.178819180e+01,4.151351572e+00,2.714512601e+01,3.122558453e+01,4.466169029e+01,3.278554174e+01,5.314418229e+00,4.281584708e+01,6.456731193e+01,9.228074614e+01,8.999013520e+01,2.108287537e+01,3.257476486e+01,1.981373816e+01,5.256115042e+01,8.887356906e+00,6.788369074e+00,2.407923565e+01,9.769953038e+01,9.043534678e+01,8.448416772e+01,6.812430891e+01,9.810900320e+01,4.097509031e+01
