v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91
1.565765454e+01,9.268037687e+01,6.407014055e+01,3.745788264e+01,9.268144479e+01,1.037745804e+01,5.251606605e+01,5.119528213e+01,7.831817189e+01,5.395837618e+01,9.950731181e+01,7.661340970e+00,7.830362343e+01,9.146992986e+01,9.800262018e+01,6.967892785e+01,2.269265683e+01,9.380123026e+00,7.327014529e+00,3.795679433e+01,5.585881430e+01,3.405611078e+01,9.047143066e+01,7.784926750e+01,1.775657935e+01,3.841333906e+01,4.130899071e+01,5.309841507e+01,3.974456697e+01,3.712260684e+01,1.517895994e+01,1.799749069e+01,9.196090127e+01,5.413259058e+01,5.152473268e+01,6.697909003e+01,5.881315094e+01,4.821673059e+01,7.898085199e+01,5.611909214e+01,1.310602703e+01,3.693241354e+01,5.907738412e+00,8.803339781e+01,3.682408718e+01,7.374359284e+01,8.472242654e+01,5.233481504e+01,3.940748599e+01,4.968579106e+01,8.890044461e+01,5.281992745e+01,8.388450362e+01,2.162583889e+01,6.080273203e+01,8.547736769e+01,8.845594780e+01,9.433171250e+01,3.444622354e+01,3.185625058e+01,6.005122026e+01,2.016689221e+01,7.160668359e+01,9.016972288e+01,9.080525849e+01,1.883076097e+01,5.289951612e+01,5.576080474e+01,3.259792097e+01,3.913156004e+01,7.790897731e+01,5.839484557e+01,9.935195099e+01,3.575653697e+01,3.457114071e+01,2.068875939e+01,8.667512833e+01,7.733843813e+01,9.405289335e+00,7.002013479e+01,5.921319278e+01,4.913280806e+01,8.603360253e+01,4.279934520e+01,1.095848073e+01,3.125621865e+00,7.221099040e+01,2.543046904e+01,3.018666088e+01,1.946975911e+01,7.304083693e+01
9.448568951e+01,8.121804199e+01,9.337406564e+01,1.924739115e+01,4.442507988e+01,3.814184135e+01,9.606770332e+01,6.585777996e+01,3.262037717e+01,1.275968220e+01,8.640955402e+00,9.952206032e+01,5.688256402e+00,1.875053485e+01,4.108218609e+00,3.100680279e+01,3.090004837e+01,5.801933945e+01,3.628438272e+01,6.855336708e+01,4.127921135e+01,8.253897336e+01,6.831786112e+01,1.910656219e+01,2.619760679e+01,1.341812570e+01,4.032952268e+01,6.017243943e+01,5.198268331e+01,6.030544678e+01,7.876744553e+01,1.940471316e+01,7.905184243e+01,5.284875948e+00,7.468520882e+01,4.484790974e+01,3.799934597e+00,6.986457827e+01,7.248569290e+01,1.498527054e+01,7.208071534e+01,2.901735187e+01,9.543147852e+01,6.567808504e-01,1.441087183e+01,2.033305234e+01,5.529353575e+01,1.872431310e+00,6.764062023e+00,4.216693776e+00,5.561133017e+01,6.497995707e+01,3.614444145e+01,6.865079322e+01,2.606478816e+01,2.741733301e+01,9.333088661e+01,9.568715282e+01,2.158179926e+01,1.148983008e+01,7.295226925e+01,7.871661936e+01,2.429875696e+01,4.418273421e+01,3.048840990e+00,3.201322543e+01,7.094277551e+01,7.715773857e+01,5.880647760e+01,7.854298701e+01,1.885870635e+01,1.466475189e+01,6.867380319e+01,9.241660196e+01,1.948865068e+01,8.211300135e+01,4.901250480e+01,9.418289619e+01,5.203401709e+01,7.942668748e+01,6.707618407e+01,7.059024927e+01,1.664169934e+01,8.361695356e+01,2.292082450e+01,9.889098575e+01,7.023195796e+01,7.057803897e+00,8.921940789e+01,3.372930790e+01,1.085317797e+01
1.880262729e+00,4.572179784e+01,4.259657003e+01,8.076562764e+01,3.771238466e+01,2.596832692e+00,8.336680877e+01,9.665999178e+01,2.631392118e+01,7.897387517e+01,8.192402634e+01,3.078414536e+01,4.062474328e+01,7.590413204e+01,2.137628647e+01,2.459987526e+01,6.350215187e+01,5.859906170e+01,1.622240143e+01,7.096667869e+01,9.805201095e+01,6.164758511e+01,1.085471952e+01,6.114324687e+01,1.077905208e+01,5.967927365e+00,7.797104145e+00,6.498391075e+01,8.532689512e+01,3.305697739e+01,1.633013082e+01,3.851045356e+01,1.228052684e+01,6.006334765e+01,5.532352924e+01,3.548331979e+01,4.379765698e+01,1.497172886e+01,1.978165698e+01,2.625169819e+01,2.348235985e+01,5.005568489e+01,9.441515172e+01,8.136319197e+01,4.460034581e+00,2.895295978e+01,1.140608221e+01,5.770896955e+01,9.748826046e+01,1.932802706e+01,6.060866552e+01,7.495314305e+01,5.624684282e+01,8.426732288e+01,2.583507128e+01,3.672016874e+01,1.582920984e+01,7.758821155e+01,4.602740426e+01,3.163110033e+01,6.139651313e+01,5.599328614e+01,3.261705421e+00,1.621935929e+01,9.958944057e+01,9.408840150e+01,2.833591629e+01,1.270944542e+01,1.000876856e+01,7.731501368e+01,7.437430328e+01,9.943354035e+01,5.394767652e+01,6.202424420e+01,2.458749200e+01,2.655605203e+01,9.845760336e+01,7.243653453e+01,3.925112611e+01,4.517539517e+01,9.180965606e+01,1.194816103e+01,4.512676045e+01,6.474046777e+01,8.973144727e+01,7.472884208e+01,1.181341188e+01,2.036371363e+00,4.937314182e+01,6.009669691e+01,6.920000946e+01
3.714134209e+01,4.811702939e+01,3.815413000e+01,2.615943797e+01,7.697619306e-01,9.684199747e+01,7.001435265e+01,4.042815760e+01,6.109304937e+01,9.311615801e+01,3.171236233e+01,1.139212389e+01,7.430966810e+01,3.218332081e+01,4.975754702e+01,3.182517606e+01,2.154714097e+01,4.981118317e+01,8.277386803e+01,8.883857981e+00,6.262860138e+01,9.721618847e-02,2.928646986e+01,5.819810505e+01,4.344001023e+01,4.349575332e+01,1.924818228e+00,2.233105859e+01,9.515329367e+01,5.762475486e+01,4.989274048e+01,2.717117580e+01,6.490317753e+01,3.592831313e+01,8.091354759e+01,3.193983588e+01,7.847306190e+01,5.970976684e+01,8.489504030e+01,4.895129289e+01,8.251480601e+01,4.141497188e+00,2.666048587e+01,7.858714290e+01,9.400968100e+01,1.055653978e+01,5.559363239e+01,7.637540799e+01,8.514327843e+01,1.019792115e+01,1.612572251e+00,5.517695734e+01,5.761513645e+01,4.926031573e+01,9.511172510e+01,7.843181447e+00,3.721517101e+01,1.294861317e+01,9.548322188e+01,4.713244437e+01,6.957807130e+01,5.554798155e+01,1.321383050e+01,9.177685339e+01,1.478856903e+01,2.978416100e+01,4.645367282e+01,2.999385635e+00,8.444616421e+00,3.906518851e+01,3.013194476e+01,3.219210959e+01,5.807706340e+00,8.438773569e+01,4.629405821e+01,5.493965458e+01,3.107396887e+01,2.406941164e+01,7.034396853e+01,9.151807537e+01,6.807039701e+01,9.695980918e+01,8.032695676e+01,8.650883966e+01,9.102221425e+01,8.537077100e+01,7.007398161e+01,8.199594882e+01,5.443409577e+01,5.268212259e+01,4.401939608e+01
5.950509189e+01,8.210424286e+01,3.863091247e+01,9.152180347e+01,7.973990582e+01,7.552286961e+01,7.644487289e+01,7.041819145e+01,9.171713431e+01,4.865288976e+01,1.077257421e+01,9.448615601e+01,8.033562769e+01,9.098700888e+01,4.946162368e+01,8.278433528e+01,9.880473300e+00,8.146392710e+01,9.819115391e+01,3.445033571e+01,1.780485889e+01,6.156326517e+01,3.275381590e+01,9.107244202e+01,6.817144406e+01,9.238120372e+00,5.857425287e+01,2.320818150e+01,1.220220178e+01,6.269137616e+00,6.016540796e+01,6.055037315e+01,6.760517410e+01,4.542782543e+01,7.064195325e+01,1.097912773e+01,8.933214080e+01,1.302058695e+01,1.856431901e+01,2.051427010e+01,4.230517989e+01,6.141374917e+00,3.818007465e+01,2.034767381e+01,9.188612373e+01,8.641594416e+01,7.617216112e+01,6.233787322e+01,9.199742273e+01,4.269988926e+01,6.293321251e+01,6.110765050e+01,4.077609055e+01,2.602626410e+01,8.905722325e+01,8.896421897e+01,9.803119971e+00,1.687465893e+01,1.833534366e+01,5.810159759e+01,3.810642562e+01,8.176010769e+01,1.880263495e+01,7.236362055e+01,3.278072521e+01,4.260423328e+01,5.393347056e+01,3.633971134e+01,8.296689922e+01,1.507022483e+01,1.363281932e+01,2.914567395e+01,1.350084200e+01,5.289421017e+01,1.724510837e+01,3.669420417e+01,3.068166980e+01,4.569867933e+01,5.538339184e+01,9.405304255e+01,6.600922769e+01,3.914243530e+01,3.688008391e+01,9.157034360e+00,2.578327756e+01,7.683864704e+01,8.274963101e+01,1.545854279e+01,8.948086994e+01,1.346639434e+01,8.639173172e+01
6.617675077e+01,3.245156379e+01,5.375555673e+01,7.017279014e+00,4.585382648e+01,2.187665071e+01,6.185546004e+01,4.222498378e+01,8.266350285e+01,2.456859220e+01,4.503188382e+01,5.697376545e+01,2.864716439e+00,9.015929966e+01,7.095089202e+01,4.051959480e+01,7.743778963e+01,4.461376296e+01,9.463188722e+01,8.795101950e+01,6.324679253e+01,1.893216552e+01,7.889266038e+00,7.206472938e+01,3.552608908e+01,3.554286840e+00,8.545711356e+01,3.708838211e+01,4.008215491e+01,4.193072436e+00,9.170214719e+01,7.977399980e+01,2.848776215e+01,5.479398675e+01,1.830457947e+01,4.530066561e+01,4.934071063e+01,3.711375906e+01,8.034357333e+00,3.771891566e+01,5.167357457e+01,8.546559583e+01,7.450829742e+01,2.979154387e+01,8.733627912e+01,1.246579694e+01,2.968941938e+01,3.775608362e+01,1.277853439e+01,2.359861299e+01,5.217515776e+01,2.794333153e+00,1.840275394e+01,4.701092695e+00,6.281490761e+01,7.075253676e+01,1.177139797e+01,8.655252640e+01,4.376194424e+01,5.389587259e+01,3.972883243e+01,6.760318801e+01,8.563908407e+01,3.386987387e+01,6.244562054e+01,8.646386958e+01,9.904634052e+01,1.340843684e+00,2.269196330e+01,9.408251466e+01,1.428114846e+01,3.666930908e+01,1.732701471e+01,7.301745862e+01,4.634052082e+01,1.402986647e+01,4.746252763e+01,2.804626910e+01,4.012353741e+01,3.607370540e+00,3.095209518e+01,8.012364456e+00,8.774371499e+01,8.060161961e+01,7.611662786e+01,1.131134204e+01,4.408893960e+01,6.165167352e+01,7.740977730e+01,3.274038332e+01,4.419884224e+01
1.334959036e+01,9.327160943e+00,3.962273953e+01,5.371807024e+01,1.329791834e+01,4.540688918e+01,7.056294192e+01,9.107580053e+01,9.703500459e+01,6.681393317e+01,9.919754172e+01,7.557318550e+01,2.253632100e+01,4.728657867e+01,6.616884647e+01,2.648201287e+01,7.852246094e+01,5.613703500e+01,7.762701195e+01,8.083756966e+00,6.039830498e+01,4.579901213e+01,2.650990322e+01,6.666897851e+01,9.935704769e+01,5.177951183e+01,8.689809890e+01,4.440709779e+01,1.814671414e+01,6.502380214e+01,1.234680857e+01,4.467862097e+01,1.418256058e+01,4.986441297e+01,8.258549380e+01,6.041792587e+01,8.872463084e+01,8.093532312e+01,2.152504889e+00,6.636414444e+01,8.547976212e+01,9.303286874e+01,4.921757059e+01,2.857386104e+01,8.091129824e+01,4.504481346e+01,4.796632564e+01,9.436448061e+01,9.689220780e+01,5.153889285e+01,7.083819691e+01,1.233231844e+01,6.374762777e+01,8.195212631e+01,1.274722117e+01,1.224735252e+01,2.833968572e+01,8.863006540e+01,8.035529219e+01,8.589077618e+01,7.232839693e+01,6.044260076e+01,6.588594277e+01,3.441653216e+01,8.836120283e+00,9.720215354e+01,2.467963524e+01,9.488876440e+01,7.180713486e+01,9.284532450e+01,6.465710977e+01,3.958145078e+01,7.158407406e+01,5.167293673e+01,4.075649077e+01,6.184892433e+01,3.403328139e+01,2.762554224e+01,2.589998930e+01,6.413712120e+00,8.567235235e+01,1.584881437e+01,4.137729536e+01,9.637320615e+01,8.400776525e+01,3.524059932e+01,6.534096645e+01,8.254806120e+01,8.850703629e+01,9.058964223e+01,6.523799931e+01
1.016698198e+01,3.197536063e+00,1.023656080e+01,2.267791181e+01,6.595865505e+01,6.143187216e+01,8.699841369e+00,1.995340271e+01,3.639606093e+01,2.609644484e+01,2.816112180e+01,8.434135480e+01,2.269685469e+01,2.603450292e+01,2.982885795e+01,5.619213936e+01,4.278559831e+00,3.123384814e+01,4.601288249e+01,8.934210415e+01,4.082449062e+00,5.039976032e+01,2.456623382e+01,2.400550012e+01,8.885115885e+01,5.714805180e+01,8.595621788e+01,7.394435240e+01,5.674341220e+01,1.349084190e+01,5.755694088e+01,2.406754204e+01,9.152748454e+01,9.162065174e+01,7.603968346e+01,8.450972719e+01,3.184432221e+01,8.665128073e+01,3.394931887e+01,8.482334263e+01,1.801602211e+01,5.651506952e-01,3.573849716e+01,7.152151681e+01,7.970082576e+01,4.718052841e+01,3.165791793e+01,8.274781616e+01,5.572782427e+01,7.679882431e+01,2.082806908e+01,6.516133429e+01,6.663266838e+01,8.913107752e+00,3.675776276e+01,3.043494047e+01,8.441200885e+01,6.470099838e+01,1.736609732e+00,9.139082410e+01,8.091367757e+01,2.502713204e-01,4.169163923e+01,8.880871669e+01,5.066728823e+00,9.254847560e+01,3.810512701e+01,4.101719116e+01,7.919635112e+01,6.839676149e+01,2.986657959e+01,6.608771991e+01,7.447181389e+01,7.219650175e+01,7.864884963e+01,1.492145107e+01,2.296411608e+00,3.564748393e+01,6.894842346e+01,7.496964270e+01,4.166463042e+01,2.567288294e+01,3.857916699e+01,5.388757205e+01,8.095440052e+01,8.290202155e+01,5.318698366e+01,6.928542760e+01,8.346663372e+01,2.569556978e+01,6.967339420e+01
8.203151231e+01,5.922207888e+01,2.726697243e+01,7.331938326e+01,2.110692042e+01,9.899812735e+01,8.304842186e+01,9.319504660e+01,5.429172348e+01,1.824531430e+00,9.131069956e+01,1.804992231e+01,3.680741916e+01,3.228441481e+01,3.783849279e+01,9.231494580e+01,2.477087928e+00,4.510307058e+01,9.272048115e+00,2.613312929e+01,7.541963296e+01,3.958419358e+01,7.563317652e+01,8.497992154e+01,2.828402034e+01,3.744896414e+01,7.840564480e+01,4.201336558e+01,6.229366807e+01,7.339496164e+01,9.831308297e+01,6.406307021e+01,7.218043430e+01,1.871955827e+01,1.226969675e+00,5.443668851e+01,2.067558996e+01,8.608034257e+01,4.701028666e+01,8.212530870e+01,6.209501672e+00,2.470968616e+01,2.540145863e+01,6.150213992e+01,2.050212332e+01,8.414653586e+01,2.047995962e+01,6.457276001e+01,9.839173706e+01,7.835883198e-02,1.199219089e+01,2.236223585e+01,7.345983376e+01,9.035491878e+01,8.532831592e+01,6.876619297e+01,2.601011851e+01,5.032257387e+00,2.531335109e+01,7.828335080e+01,7.537193298e+01,2.585339647e+01,8.813904498e+01,8.164795927e+01,8.858498006e+01,2.086964117e+00,6.595187557e+01,4.874694891e+01,4.753274175e+01,6.058019451e+01,5.559281254e+01,7.127749467e+01,6.261534031e+01,2.360325517e+01,4.059911950e+01,2.703426707e+01,9.937376595e+01,7.920459677e+01,6.441633887e+01,4.143137262e+01,2.030635283e+01,3.834861498e+01,8.009722346e+01,4.384893017e+01,6.324487867e+01,2.798650665e+01,4.381090438e+01,9.414795870e+01,2.899041697e+01,9.987620692e+01,9.062136079e+01
9.352925004e+01,3.196894939e+01,6.658585654e+01,4.237222506e+01,9.635135422e+01,2.492120479e+01,7.846362780e+01,9.644334861e+01,9.517132010e+01,6.968987398e+01,7.702191137e+01,8.894642917e+01,4.725972477e+01,3.125378343e+01,7.617087063e+01,2.676873953e+01,2.358683980e+01,7.269107833e+01,8.056177186e+01,7.983805849e+01,5.630449800e+01,2.548253816e+01,5.294337165e+01,3.100843911e+01,8.118693197e+01,3.449862902e+01,4.296327217e+01,8.548834786e+01,4.881465245e+01,7.180914646e+01,2.110924215e+01,3.680113931e+01,6.539376543e+01,4.264676726e+01,1.478979208e+01,9.762160170e+01,2.274937973e+01,9.652689735e+01,4.494830487e+01,5.258297256e+01,6.328229701e+01,3.710866015e+01,4.214353421e+01,2.498862601e+01,9.575630141e+01,1.465717115e+01,6.758791280e+01,5.284295657e+01,1.120661897e+01,3.172688005e+01,3.041870501e+01,9.026245122e+01,8.435531885e+01,1.985911188e+01,8.970725260e+01,7.863560956e+01,2.366985577e+01,6.659399318e+01,8.671071229e+01,4.751928436e+01,1.561835407e+01,1.779735548e+01,7.182082084e+01,6.286582080e+01,4.025997661e+01,1.621208358e+01,5.463385895e+01,1.506176835e+01,1.475290946e+01,5.317515084e+01,3.659033206e+01,7.620079825e+01,8.846204905e+01,2.995401604e+01,6.172938099e+01,8.265754181e+00,6.365457858e+01,1.305315387e+00,1.368394668e+01,9.352076661e+01,7.707952890e+01,1.280286193e+01,9.376509264e+01,9.379268197e+01,8.073286047e+01,8.881981405e+00,1.381549481e+00,9.894985996e+01,2.809616546e+01,7.721111019e+01,6.645025302e+01
