v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92
1.184424302e+01,9.435942417e+00,8.800809196e+01,6.920252408e+01,1.321343165e+01,5.673969034e+01,2.376079352e+01,6.776664690e+01,3.145272227e+01,5.298093383e+01,4.265498752e+01,9.327883912e+01,1.511496888e+01,7.048418291e+01,5.265225776e+01,8.787031142e+01,2.787259328e+01,9.325344179e+01,9.652761168e+01,5.387870469e+01,3.182899390e+01,4.105511261e+01,2.736174976e+01,3.828577250e+01,7.589420012e+01,8.949213748e+01,1.956493568e+00,6.549561584e+01,5.691224659e+00,4.983615075e+01,6.336694760e+01,4.343860987e+01,4.307790652e+01,2.807518500e+01,2.929385609e+00,3.177032215e+01,7.836896254e+01,5.620559970e+01,8.266241064e+01,6.927213613e+01,7.695364563e+01,8.698023079e+00,3.812709261e+01,3.448849325e+01,1.193730359e+01,3.930863611e+01,9.203195882e+01,8.690971466e+00,3.233908416e+01,4.796708054e+01,8.910959381e+01,8.949636250e+01,9.329768164e+01,5.218892627e+01,8.427733394e+01,6.506296919e+01,5.823453914e+01,3.163090090e+01,7.717670975e+01,5.305672471e+01,4.610041383e+01,4.846270593e+00,4.984668636e+01,7.481356219e+01,8.077738685e+01,9.857847246e+01,6.421523658e+01,7.307202828e+01,9.395892161e+01,9.040735029e+01,3.865978025e+01,9.004647698e+01,6.217158314e+01,9.860681759e+00,2.735906322e+01,4.341866973e+01,5.904477486e+01,7.919213211e+01,1.256274216e+01,6.745005014e+01,2.116461391e+01,3.837901988e+01,5.650194831e+01,5.891178712e+00,6.763541725e+01,1.562544411e+01,9.029180249e+00,9.203333550e+01,9.792510782e+01,5.845665354e+01,2.333142233e+01,5.892130476e+01
9.401546360e+01,4.171610962e+01,6.567881782e+01,7.384949677e+01,8.244653943e+01,1.349576967e+01,8.632260642e+01,7.753972420e-02,5.966790079e+01,5.178321146e+01,9.043569682e+01,9.096366228e+01,9.034905204e+00,9.742207102e+01,3.237579735e+01,6.634945660e+01,2.116092351e+01,6.776623190e+01,4.961844404e+01,5.424237387e+01,1.230952704e+01,8.720458343e+00,1.062183347e+01,4.868107340e+01,2.083105427e+01,1.113695407e+01,9.844205596e+01,7.526822975e+01,9.351603170e+01,1.365324701e+00,9.076789815e+01,5.211306938e+01,2.827836435e+01,7.032264060e+01,7.244912977e+01,7.863620483e+01,6.622356008e+01,3.322156634e+00,9.576849493e+01,2.274356100e+01,5.887967134e+01,8.812013649e+01,4.746675921e+01,1.919102634e+01,5.330978143e+01,8.777836209e+01,5.887739713e+01,2.322201204e+01,7.194146772e+01,3.235469501e+01,7.247496130e+01,5.042728539e+01,2.217568916e+01,1.396127061e+01,1.939488996e+01,4.310724399e+01,7.489099380e+01,1.064415051e+01,3.463374464e+01,7.380534310e+01,8.882022345e+01,5.941253219e+01,3.229147052e+00,1.930774562e+01,3.232321933e+01,9.803013103e+01,6.913980254e+01,4.787492175e+01,6.350786688e+01,8.142675709e+01,2.442026408e+01,7.292648333e+01,3.669453803e+01,2.449988727e+01,6.652887560e+01,5.443755550e+01,5.687353190e+01,9.519395559e+00,3.704346576e+01,4.925145275e+01,4.457655367e+01,8.679198381e+01,9.849480923e+01,9.868325916e+01,3.855951811e+01,3.273180646e+01,4.900815452e+01,9.226741528e+01,6.715580649e+01,3.958031511e+01,1.007553069e+01,7.904008845e+01
6.050952614e+01,5.919422965e+01,2.098202749e+01,2.484979271e+01,5.381149275e+01,6.923111291e+01,3.561691893e+01,5.007889734e+01,7.972653456e+01,9.215227962e+00,6.094348997e+01,9.213843002e+00,8.721318547e+01,2.978720648e+01,9.026209126e+01,4.703908042e+00,1.941747233e+01,3.197860839e+01,4.578158608e+01,7.142461400e+01,3.091415898e+01,1.896303173e+01,9.976720723e+01,8.330994690e+01,9.304283908e+01,3.979097713e+01,5.155584669e+01,6.826549328e+01,7.700670726e+01,1.918379125e+01,9.000836293e+00,9.539393851e+01,8.746223733e+01,2.562315400e+01,7.617528856e+01,4.767597184e+00,2.834416317e+01,4.249303946e+00,6.579058561e+01,4.010545255e+00,1.287952790e+01,6.470966726e+01,7.160158089e+01,8.321695610e+01,9.402625559e+01,4.222079663e+01,8.021320352e+01,8.257677140e+01,7.760364314e+01,7.738065186e+01,4.135625819e+01,4.053850253e+01,9.298233008e+01,3.074530913e+01,5.000541675e+01,5.542045185e+01,4.316724949e+01,8.973008177e+01,6.302495220e+00,1.034707367e+00,1.234979318e+01,7.775300060e+01,3.624291534e+01,5.523520352e+01,5.765619501e+01,3.302333024e+01,3.782858330e+01,4.390648811e+01,2.543376162e+01,8.234901337e-01,1.433813343e+01,5.808965338e+01,8.659206537e+01,8.616265212e+01,7.215701490e+00,6.489933501e+01,2.855765063e+01,9.171671186e+01,8.624559694e+01,3.230278323e+01,4.654487888e+01,1.844047420e+01,2.501092432e+01,3.757324053e+01,6.776836120e+00,3.155580913e+01,5.080108823e+01,5.255564415e+01,1.614105554e+01,6.644473538e+01,2.754099124e+01,5.010526655e+01
1.611239637e+01,8.928440715e+01,8.231728931e+01,5.592212370e+01,8.459558799e+01,7.629347681e+01,6.561441913e+01,7.608948102e+01,6.532165405e+01,8.559924622e+01,7.986883687e+01,8.294981852e+01,7.537975233e+01,1.671958392e+01,8.220884880e+01,4.056335934e+01,9.449468659e+01,8.986889100e+00,8.046249095e+01,2.820511066e+01,9.678558290e+01,2.687335524e+01,2.710752369e+01,8.228953637e+01,1.193957121e+01,5.496374953e+01,2.013461383e+01,5.785372579e+01,9.825888568e+01,4.878264811e+01,7.906106705e+01,9.436693000e+01,2.051800308e+01,2.815593176e+01,3.863659096e+01,1.267771661e+01,9.476761583e+01,9.189751952e+01,2.389003011e+01,7.354628253e+00,5.548181711e+01,6.449518687e+01,2.575065750e+01,9.762790604e+01,7.323302489e+01,1.940581171e+01,5.574846661e+01,1.538375196e+01,3.542797782e+01,2.175890980e+01,1.487684423e+01,8.180797945e+00,6.660013375e+01,6.987085623e+01,4.393606339e+01,6.430229700e+01,9.461044659e+01,5.619886063e+01,5.093628992e+01,7.995939521e+01,7.956895315e+01,2.109368945e+01,7.912167932e+01,2.428233289e+01,7.560945748e+01,9.538404976e+01,2.049773887e+01,3.618285349e+01,6.800288684e+01,5.047081778e+01,4.289220815e+00,1.538176333e+01,1.752059509e+01,1.943534305e+01,1.035826345e+01,1.598855594e+01,3.446697244e+00,8.281111658e+01,3.261538936e+01,4.983746940e+01,3.190449556e+01,4.109502228e+01,8.127365582e+01,3.780419653e+01,8.238424227e+00,4.804554962e+01,2.111900981e+01,3.418799853e+01,5.427291328e+01,4.519451410e+01,3.684468401e+01,6.125411878e+01
5.025585350e+00,5.500372991e+01,6.111042098e+01,1.322710540e+01,4.327858239e+01,3.232730323e+00,9.427787499e+01,2.410250645e+01,3.304147911e+01,5.952558547e+01,7.716397639e+01,8.684703077e+01,1.322168864e+01,8.597972582e+01,2.151153909e+01,9.015263634e+01,6.674626155e+00,8.997937891e+01,1.467050201e+01,9.437667909e+01,1.815038063e+01,3.610073186e+01,5.519124038e+01,4.814683587e+01,7.698855176e+01,7.104106638e+01,5.219496285e+01,4.383533390e+01,6.144295175e+01,6.475256020e+01,8.040153469e+01,6.571907239e+01,2.996381065e+01,5.857018272e+01,1.646117456e+00,6.385394662e+01,2.786825735e+01,1.964332204e+01,1.621067372e+01,8.330683521e+01,1.941689372e+00,6.916659330e+01,5.061285576e+01,2.486072486e+01,4.904632450e+01,5.957182314e+00,9.521963702e+01,7.220363769e+01,6.546284950e+01,6.838862921e+00,3.162530215e+01,1.722685682e+01,5.881166552e+01,5.678638526e+01,2.252773646e+01,6.497317614e+01,8.685343692e+01,1.510693270e+01,1.834880723e+01,4.576013616e+01,6.342359307e+01,6.935214150e+01,3.088849505e+01,8.586277749e+01,3.867517263e+01,6.544153035e+01,2.462820566e+01,7.644029125e+01,1.713400057e+01,2.652399623e+01,4.446950130e+01,2.162679206e+01,8.003416741e+01,8.767134791e+01,8.459267598e+00,1.513468014e+01,8.610702829e+01,4.458037898e+01,2.279355930e+01,3.427748003e+01,9.886121082e+01,3.804594078e+01,3.790721597e+00,1.034313044e+01,7.804517616e+00,8.473950947e+01,8.531811084e+01,5.739143139e+01,3.354523204e+01,5.336216878e+01,9.764432224e+01,2.360806307e+01
6.938458887e+01,6.727915653e+01,6.933064592e+01,1.862179627e+01,7.645801832e+01,2.661927494e+00,7.240322796e+01,5.850303412e+00,5.222257674e+01,5.457106245e+01,3.575096839e+00,5.953100871e+01,1.103438968e+01,6.291420669e+01,7.311532382e+01,7.983816106e+01,5.236508298e+01,2.232017405e+01,2.361495599e+01,3.335105761e+01,9.173828706e+01,9.105925917e+01,2.687113449e+01,1.219566442e+01,7.900221204e+01,1.767642385e+01,6.526256301e+01,8.665921667e+01,1.384813161e+01,3.255394005e+01,5.750750521e+01,1.034463418e+01,9.929546435e+01,1.724357764e+01,5.366548597e+01,2.915515519e+00,5.119769806e+01,6.623506782e+01,2.194351869e+00,1.484557225e+01,5.357700256e+01,7.282327997e+01,7.965944202e+01,1.267814217e+01,9.279323701e+01,7.246352011e+00,7.980040135e+01,2.381300924e+01,7.094575520e+00,2.787743164e+01,8.106041668e+01,6.836841785e+01,3.658133095e+01,2.039553363e+01,9.329343781e+01,1.084888405e+01,8.250147560e+01,9.181966143e+01,4.252030666e+01,5.648047387e+00,3.250658098e+01,8.883011615e+01,5.685366533e+01,3.156963862e+01,1.953246186e+01,8.514542341e+01,1.229688873e+01,6.520530280e+01,5.598635830e+01,4.215394035e+01,3.955632807e+01,1.913252146e+01,5.732910647e+01,9.650308832e+00,6.844929292e+01,1.362640660e+01,2.265306412e+01,8.829478634e+01,8.308518380e+01,5.686706285e+01,2.299987282e+01,2.479269867e+01,4.483667396e+01,8.567656379e+01,3.178336843e+01,3.988828830e+01,7.835512329e+01,6.149421149e+01,9.940155332e+01,9.145671814e+01,1.666499881e+01,4.088926923e+01
8.773375473e+01,1.354318384e+01,7.273038862e+01,6.186287652e+01,9.375363292e+01,2.761993177e+00,1.961530370e+01,8.821495364e+01,9.533771821e+01,3.375455356e+01,8.271866489e+01,3.384739473e+01,3.922004671e+01,4.128566545e+01,6.077001387e+01,3.969349142e+01,2.588447030e+01,5.750129065e+01,5.418553533e+01,2.941371681e+01,3.766526819e+01,6.139365299e+01,5.116741292e+01,1.922434358e+01,7.765327154e+00,3.870623837e+01,1.065530115e+01,6.091625746e+01,7.764062319e+01,1.357424001e+01,6.164752021e+01,4.266180399e+01,7.220812676e+01,5.260336418e+01,9.615962392e+01,4.392841000e+00,4.496324046e+01,6.945084629e+01,8.200891255e+01,2.649038441e+01,1.699395409e+01,6.538696111e+01,9.095715835e+01,3.738370116e+01,8.641330531e+01,4.795210953e+01,1.156210276e+01,5.478388420e+01,8.752453224e+01,2.287897352e+01,2.420982606e+01,2.192528217e+01,9.502291199e+01,1.430175084e+01,4.978570385e+01,4.422719728e+01,7.976076477e+01,5.360655609e+00,1.677997001e+01,3.680062575e-01,5.828164952e+01,1.950589925e+01,9.316948412e+01,2.033489113e+01,9.494134679e+01,4.416690100e+01,1.611026225e+01,2.626914305e+01,9.368031861e+01,7.613495471e+01,1.050572387e+00,2.207264249e+01,2.538764918e+01,3.519659379e+01,4.648635160e+01,9.437508662e+01,7.528030769e+01,4.236163126e+01,3.107253735e+01,5.436461300e+01,2.623038974e+01,9.082487253e+01,5.754741348e+01,5.207084146e+01,3.777276031e+01,9.175379896e+01,2.104421895e+00,6.583763666e+01,7.020720509e+01,5.450320237e-02,7.574474322e+01,5.472236187e+01
4.413090595e+01,2.789661082e+01,8.437931535e+01,5.907649680e+01,5.266694675e+01,1.797817142e+01,7.216018987e+01,6.875707974e+01,1.144498497e+01,4.108743439e+01,9.061895930e+00,8.722644512e+01,2.214876695e+01,6.895471580e+01,4.578707297e+01,3.714961905e+01,3.334533377e+01,6.386264118e+01,9.248691350e+01,4.635438396e+01,9.804792858e+01,2.480749367e+01,9.201182715e+01,5.050206690e+01,9.366013006e+01,6.062076705e+01,8.975757191e+01,7.450545522e+00,3.514653608e+01,1.788761022e-01,9.348092784e+01,2.506045837e+01,7.131370689e+01,9.414233968e+01,9.268978484e+01,6.615916785e+01,4.091817012e+00,8.318549940e+01,5.643611407e+01,6.143536702e+01,6.740607026e+01,2.252649805e+01,6.911667275e+01,1.531950601e+01,8.715864863e+01,4.780304938e+01,6.348151645e+01,8.018409758e+01,3.444553544e+01,1.829234308e+01,7.671792472e+01,6.084315680e+01,4.280673058e+01,1.045088093e+01,8.745640141e+01,8.533814012e+01,5.359169898e+01,1.353671837e+01,8.895476056e+00,3.326580691e+01,2.239701335e+01,8.930559162e+01,4.274807318e+01,2.122612820e+01,5.558896935e+00,3.916832679e+00,7.911046079e+01,7.151637146e+01,1.925504325e+01,9.234944024e+01,6.462204340e+01,8.029618547e+01,1.419166236e+01,1.266961588e+01,8.390571553e-01,2.182340121e+01,4.268834381e+01,9.014019918e+01,2.344420148e+01,2.773856205e+01,7.134723563e+01,8.696632873e+01,8.355187956e+01,4.761701618e+01,9.520007719e+01,8.960783405e+01,3.768816055e+01,3.761601186e+01,3.593199788e+01,4.719566500e+01,1.922898951e+01,6.769924482e+01
5.114772551e+01,1.361702527e+01,3.565308300e+00,5.488249610e+01,5.323420062e+01,2.347906397e+01,8.083730754e+01,2.991880924e+01,4.024090325e+01,7.661256584e+01,4.315421465e+01,3.531156457e+00,3.298465492e+01,8.872152690e+01,4.105270090e+01,1.710657035e+01,8.970464582e+01,5.550324484e+01,8.818619248e+01,7.501649989e+01,8.020769750e+01,5.677907290e+01,4.868678802e+01,5.475232066e+00,1.697211432e+01,9.807917475e+01,4.291931237e+01,1.053870329e+01,9.816178040e+00,8.114140028e+01,8.109214412e+01,7.507874693e+01,9.532655433e+01,5.019294890e+01,7.310817483e+01,5.693847860e+01,4.501837508e+00,5.697622330e+01,7.256791368e+01,2.890065882e+01,8.036058497e+01,7.754203361e+01,2.158728624e+01,9.619522520e+01,8.689235035e+00,6.217048611e+01,1.164016501e+01,3.589998105e+01,3.963540705e+01,7.728445833e+01,5.827119017e+01,5.800047428e+01,1.449610751e+01,7.840832792e+00,6.455340524e+01,5.634550638e+01,2.623069304e+01,8.917443206e+01,9.351067376e+01,3.556165209e+01,3.761427727e+01,8.647399394e+01,1.471600993e+01,2.375855159e+01,4.652396242e+00,2.371515132e+01,1.432963539e+01,6.159607116e+01,3.356802041e+01,2.520622230e+01,4.428959245e+01,2.788196623e+01,7.693692122e+01,5.834494981e+01,4.634539812e+01,3.874231069e+01,3.149969972e+01,4.460466664e+01,7.791510802e+00,8.023385266e+01,9.444832626e+00,3.370362387e+01,1.536157427e+01,2.609529858e+01,4.724875442e+00,5.426775451e+01,6.227824274e+01,8.461767147e+01,6.304279532e+01,5.613571463e+01,5.952969265e+01,4.834534960e+01
1.175813147e+01,6.654044539e+01,8.989944970e+01,9.908048335e+00,3.677253342e+01,3.710111707e+01,8.319823828e+01,1.877529398e+01,6.990813315e+01,7.607636170e+01,5.509874843e+01,1.753053018e+01,6.787075785e+01,9.699447607e+01,8.192299791e+01,1.247279071e+01,2.681181066e+01,8.954557423e+01,9.748219447e+01,2.488599179e+01,9.291207437e+01,5.455373638e+01,8.925060193e+01,4.455350504e+01,9.540361815e+01,3.097988499e+01,6.686536198e+01,6.900137111e+01,5.777269263e+01,6.104239186e+01,7.315068954e+01,2.679195162e+01,6.601221192e+01,4.116112680e+01,1.118858931e+01,9.905109028e+01,6.328954324e+01,7.968368928e+01,7.369368019e+01,7.656049081e+01,6.064931609e+01,6.241065019e+01,2.702098674e+01,1.673148168e+01,5.450847962e+01,8.490656585e+01,5.578964626e+00,7.301913830e+01,3.267753698e+01,3.160031189e+01,3.296559649e+01,8.960328046e+01,6.624017432e+01,7.964683242e+01,4.834762425e+01,7.531360366e+01,9.547842518e+01,2.599644701e+01,4.483381292e+01,1.856782637e+01,1.178604128e+01,9.749899484e+01,7.080317440e+01,8.234617576e+01,1.283518066e+01,4.360823083e+01,4.845594719e+01,9.862357409e+01,9.347942968e+01,7.813036445e+00,8.706878034e+01,3.719580749e+01,8.073813001e+01,4.786714350e+01,7.220495783e+01,1.142801033e+01,5.123668998e+01,5.536886846e+01,3.505719746e+01,3.276962535e+01,6.381909949e+01,4.953088226e+01,1.576536965e+01,9.216236613e+01,7.064315261e+01,7.476952177e+01,7.594321423e+00,6.150749073e+01,7.117029822e+01,7.956943474e+01,7.778517190e+01,1.826088174e+01
