v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93
4.058460964e+01,1.897697415e+01,1.961124673e+00,5.899529835e+01,2.986574824e+01,7.621462598e+00,2.290710798e+01,6.289080370e+00,8.397507089e+01,9.454399690e+01,7.064432996e+00,7.717659318e+00,7.356717165e+01,7.961153628e+01,8.129101087e+00,6.171558350e+01,9.637252936e+01,2.522834471e+01,4.600318007e+01,5.928723249e+01,6.465079113e+01,4.126823195e+01,3.680041617e+01,5.622973733e+00,2.043405403e+01,7.619609108e+01,1.690619086e+01,7.942493532e+01,7.556633431e+01,8.580943118e+01,9.790733853e+01,2.440097690e+00,7.146257483e+01,3.744998104e+01,3.099223659e+01,3.620685704e+01,6.565949748e+01,1.402406002e+01,4.860789598e+00,9.813942101e+01,6.858784555e+01,4.275083691e+01,4.486767127e+00,4.808385335e+01,7.970954355e+01,9.315088482e+01,3.772124275e+01,2.562224037e+01,7.628022264e+00,2.145012908e+01,6.913396246e+01,3.894915838e+01,4.321062511e+01,1.633160129e+01,3.009962138e+00,8.621822937e+01,2.721021417e+01,7.786792768e+01,7.255774223e+01,9.976935052e+01,2.848446666e-01,9.535952236e+01,6.446513137e+01,1.115547068e+01,7.663792870e+01,1.198480288e+01,6.241013387e+01,7.717011731e+01,7.293904005e+00,2.437003247e+01,8.874661619e+01,7.975548595e+01,5.648360238e+01,7.326465627e+01,9.838045777e+01,9.339617531e+01,7.012933179e+01,8.885976088e+01,5.025599085e+01,5.544429343e+01,9.136552219e+01,1.607160525e+01,5.861744578e+01,7.238793494e+01,2.563616667e+01,7.315160005e+01,1.641845388e+01,7.200621888e+01,5.593784107e+01,3.793388398e+01,4.878456609e+01,1.446334733e+01,9.621993066e+01
5.748983997e+01,3.984457978e+00,5.092009859e+01,1.559178844e+00,5.848654849e+01,5.118497967e-01,3.214402095e+01,1.596474096e+01,3.238297924e+01,2.711904531e+01,3.004730304e+01,7.027518660e+01,7.587097065e+01,4.552051441e+01,8.879785776e+01,7.932971831e+01,9.577766613e+01,3.213369432e+01,1.989912478e+01,8.380159466e+01,6.311830080e+01,1.481734009e+01,4.968821283e+01,6.170936342e+01,7.522826962e+01,8.037403613e+01,5.588801806e+00,2.797719757e+01,4.842593559e+01,7.527043498e+00,5.528315932e+01,9.297268202e+01,5.035516205e+00,9.898117582e+01,1.315468756e+01,6.620280509e+01,2.538071907e+01,2.252350201e+01,2.244886526e+01,5.666966753e+01,1.830534779e+01,7.565489970e+01,6.561839567e+01,1.236202441e+01,8.111629290e+01,3.619707871e+00,8.616019528e+01,6.050965533e+01,2.108707181e+01,8.606980893e+01,5.521842204e+01,7.601635064e+01,3.610777957e+01,7.250813117e+01,6.059477907e+01,4.490806870e+01,7.540189787e+01,4.087453354e+01,1.409781746e+01,9.886805215e+01,4.212944738e+01,2.581479367e+01,8.678294305e+01,1.709318726e+01,1.984216200e+01,6.577438863e+01,8.227998652e+01,1.117194621e+01,4.063284154e+01,2.966688960e+01,7.229182354e+01,8.764294347e+01,8.397350685e+01,3.666359104e+01,4.790433403e+01,8.404695356e+01,2.818256561e+01,8.640921786e+01,8.042594748e+01,1.297081305e+01,7.311338645e+01,1.591870336e+01,3.130262390e+01,8.205225708e+01,9.034989670e+01,3.329509109e+00,4.701720365e+01,9.397811159e+01,1.437541172e+01,6.094054467e+01,5.792481970e+01,7.560586729e+01,9.240932410e+01
6.814000016e+01,6.899477477e+01,7.936255976e+01,4.522116669e+01,8.236798113e+00,4.222949016e+00,9.411074742e+01,8.861352515e+00,3.680170775e+01,6.310445089e+01,5.932982764e+01,6.945973696e+01,7.311777945e+01,5.232298098e+01,1.197287955e+01,1.330664867e+01,4.620474579e+01,1.770180202e+01,7.184236945e+01,2.032504543e+01,6.251860101e+00,3.210299996e+01,4.838851550e+01,3.003269410e+01,4.491161652e+01,5.853020929e+01,3.940384081e+01,2.177100328e+01,4.547910461e+01,8.893335166e+01,3.115510571e+01,6.159550991e+01,3.183766848e+00,8.614316323e+01,2.262962276e+01,6.348906797e+00,1.753935988e+01,2.774089907e+01,7.514798493e+01,6.757419452e+01,3.329607948e+01,8.294868523e+00,6.792456720e+01,1.472785113e+01,9.759860131e+01,4.702986633e+01,7.400498531e+01,7.053582220e+01,9.580361063e+01,5.827387950e+01,2.458580864e+01,8.597736011e+01,7.791468719e+00,4.708025638e+01,9.849899635e+01,9.011502691e+01,4.737931366e+01,2.664790829e+01,1.331447729e+01,6.014963528e+01,9.688776970e+01,1.888703042e+01,9.933200825e+01,6.908736154e+01,5.952134589e+01,8.357455849e+01,7.907033452e+01,3.913351578e+00,5.620891306e+01,8.632932842e+01,7.930244117e+01,3.827347748e+01,2.064129585e+01,5.654906547e+01,2.659393543e+01,2.798908337e+01,2.962570291e+01,6.832541730e+01,4.334018247e+01,2.722587233e+01,6.782231357e+00,9.397781045e+00,3.786205235e+01,2.800731653e+01,3.364048226e+01,3.002383806e+01,6.237226940e+01,5.074720252e+01,2.381539342e+00,3.681955762e+01,1.111085766e+01,2.985393725e+01,2.077720006e+01
4.592185400e+01,8.965613551e+01,1.395784107e+01,8.246180667e+01,2.015799433e+01,7.807358202e+01,6.232148651e+01,9.608647004e+01,9.206944862e+01,8.956864047e+01,5.102714993e+01,9.262627080e+01,9.376738643e+00,4.187879163e+01,9.800911929e+01,3.698133817e+01,5.033894558e+01,9.530050781e+01,8.949137326e+01,4.029546692e+01,7.609306134e+01,5.058711423e+01,1.303992475e+01,3.569883585e+01,3.315521693e+01,8.434702026e+01,7.367225166e+00,7.997100243e+01,9.178392394e+01,5.597438015e+01,1.365075599e+01,1.264305420e+01,8.057763808e+00,3.657758280e+01,5.290692286e+01,6.697972648e+00,5.530251171e+01,5.774988626e+01,4.760700549e+01,4.230800410e+01,3.570277207e+01,1.090310654e+01,1.254763435e+01,2.687698615e+01,6.733213393e+01,5.226927934e+00,2.205239325e+01,4.032978081e+01,4.199292230e+01,2.736155734e+01,9.363714361e+01,8.868456503e+01,6.747816677e+01,9.811079645e+01,4.173369939e+01,8.425544541e+01,9.773059977e+01,5.322783552e+01,2.853085657e+01,1.147255533e+01,3.318510406e+01,9.588433115e+01,7.920999360e+01,3.437976257e+01,5.317776613e+01,5.171474973e+01,1.171473311e+01,8.274274786e+01,7.933470550e+01,5.111759870e+01,5.070252433e+01,8.441217433e+01,6.283988032e+01,1.897497173e+01,2.459171857e+01,6.550915655e+00,4.683181341e+01,6.019539062e+01,1.793434249e+01,1.717262854e+01,7.196339771e+01,7.523148944e+01,8.119530545e+01,3.148812525e+01,6.328585422e+01,4.479985062e+01,6.448056157e+00,7.892870891e+01,4.653853043e+01,3.333199189e+01,3.448193155e+01,4.512539543e+01,9.807910019e+01
8.712583364e+01,5.182938218e+00,8.629147786e+00,5.455221320e+01,1.534640730e+01,8.919004276e+01,1.167909627e+01,9.940631409e+01,9.772770007e+01,9.981469847e+00,5.048209587e+01,2.273435193e+01,3.603245673e+00,7.907080794e+01,2.601950937e+01,7.152140244e+01,1.859095119e+01,1.528744607e+01,1.467794420e+01,4.440202193e+01,9.941013361e+01,8.662577241e+01,3.489282278e+01,4.036590836e+01,5.310578497e+01,2.068593468e+01,9.327280514e+01,1.093306147e+00,1.570981531e+01,4.977612431e+01,6.464517175e+01,8.790356988e+01,4.348266657e+01,3.436681719e+01,3.532338920e+01,8.347243233e+01,5.968057814e+01,3.445779726e+01,1.567110877e+01,9.244617097e+01,7.109704124e+01,5.346002398e+00,4.113305768e+01,3.497051537e+01,7.438725136e+01,2.540537259e+01,6.657638275e+01,4.073637781e+01,2.776966270e+00,1.207195106e+01,5.272853303e+00,8.179032901e+01,2.662430120e+01,9.249566423e+01,4.846102628e+01,8.813523400e+01,7.281063104e+01,2.129982886e+00,1.926981274e-01,4.822067300e+01,5.215077606e+01,1.849795772e+01,9.190213312e+01,1.215958177e+01,4.499702292e+01,6.786581483e+01,1.980257118e+00,3.322935161e+01,9.342476311e+01,6.955852552e+00,5.469232146e+01,2.614066175e+01,8.524026899e+01,4.650029664e+01,7.172985337e+01,3.481681283e+01,7.626359007e+00,8.023812605e+01,3.911461946e+01,1.997769559e+01,6.135909773e+01,6.366839761e+00,9.013635628e+01,4.175585585e+01,3.770333146e+01,3.971846112e+01,9.020973474e+01,5.439136141e+01,6.011866603e+01,2.847327049e+01,4.434851946e+00,3.037195742e+01,4.106790656e+01
4.016581080e+01,3.300545448e+00,7.788576378e+01,6.431054239e+01,8.140128078e+01,7.347451770e+01,5.959715680e+01,1.220305376e+01,4.330328968e+01,6.324593305e+01,1.772180455e+01,5.165690415e+01,4.143913752e+01,7.571758151e+01,3.512928952e+00,2.245285133e+01,8.773300149e+01,5.528686997e+01,3.424529145e+01,5.789344343e+01,3.095029398e+01,1.169413289e+01,7.971854792e+01,7.712774511e+01,3.921002320e+01,7.471154864e+01,6.726613222e+01,3.086640398e+00,9.076460770e+01,4.441163842e+01,9.508512569e+01,6.819415306e+00,3.131209737e+01,7.014664017e+01,6.410046017e+01,8.648105076e+01,1.888952568e+01,9.306016119e+01,9.392871552e+01,1.800724309e+01,3.891172748e+00,4.739788306e+01,4.940576971e+01,4.615815236e+01,8.152233939e+00,1.821627310e+01,2.991180634e+01,6.208903769e+00,1.193190504e+01,2.215064899e+01,5.581351172e+01,7.485405729e+00,7.576314612e+01,6.707721001e+01,2.041287249e+01,7.505530548e+01,2.678391023e+01,2.293016280e+01,5.317413167e+01,5.891175896e+01,9.533387947e+01,4.642583832e+01,4.492024999e+01,3.454248951e+01,9.318563481e+01,2.060235544e+01,1.418738664e+01,6.963866596e+01,6.420951105e+01,8.550482657e+01,9.356391515e+01,5.756895564e+01,1.058712693e+01,5.117966115e+01,3.750658387e+01,4.983155488e+01,7.925117851e+01,5.832500444e+01,4.210744489e+01,5.089452743e+01,7.935542044e+01,3.097796286e+01,7.418563635e+01,6.676679466e+01,5.518513666e+01,6.951471550e+01,5.285751669e+01,2.986674290e+01,5.336327205e+01,6.201828569e+01,1.172337586e+01,4.317403167e+01,8.724773111e+01
2.302503324e+01,1.395058535e+01,9.170203932e+01,4.874778993e+01,1.577602431e+01,6.044924810e+01,6.469757134e+01,3.132942322e+01,6.679122664e+01,1.376909370e+01,5.652001660e+01,4.407850530e+01,3.125857818e+01,4.740274496e+01,6.600673043e+01,3.238210441e+00,2.923904640e+01,6.601674152e+01,8.178563002e+01,6.442389571e+01,7.356455463e+01,1.350441216e+01,1.750741298e+01,2.447979553e+01,2.281195721e+01,3.593470755e+01,1.441244524e+01,8.830019458e+01,7.132403449e+01,5.497541390e+01,4.414538726e+01,3.630778603e+01,6.737804484e+01,7.383805914e+01,9.609081122e+01,7.700942849e+01,7.081813020e+01,7.913986568e+01,8.546198468e+01,9.589518233e+01,9.110808381e+01,2.227838964e+01,5.750712986e+01,6.567243523e+01,4.614205580e+01,8.273106041e+01,7.474356023e+01,7.997667747e+01,8.928801125e+01,6.127595439e+01,1.664947092e+01,6.987823290e+01,8.083361159e+01,2.133187554e+01,3.468962410e+01,4.418186103e+01,9.688336309e+01,3.072825844e+01,7.016914087e+01,7.518304206e+01,8.393590780e+01,7.831272523e+01,4.290327851e+01,3.613530301e+00,6.905771857e+01,7.046740808e+01,8.527790710e+01,7.691991376e+01,9.586677365e+01,1.315675252e+01,4.180166192e+01,3.505341681e+01,1.045518012e+01,6.897642628e+01,6.066364090e+01,9.145114176e+00,3.527045110e+01,6.230734604e+01,5.881075332e+01,3.820062328e+01,1.336295379e+01,2.881642724e+01,9.791408017e+00,1.470639559e+01,9.831273771e+01,3.476662468e+01,2.365588810e+01,3.194632094e+01,4.393595349e+01,6.007567647e+01,6.589035126e+01,9.883332995e+01,9.873458365e+01
8.840428051e+01,4.772570877e+01,9.134421009e+01,3.730117498e+01,4.829698501e+01,2.258831188e+00,8.309006226e+01,6.141328529e+01,8.352173131e+00,3.541636257e+01,1.418562337e+01,4.241823654e+01,8.128283167e+01,1.877893382e+01,4.453763800e+01,3.657614945e+01,5.772861552e+01,1.281267747e+01,4.238831435e+01,1.177289382e+01,1.333021675e+01,9.246600125e+01,7.350698688e+00,6.517025370e+01,6.272969121e+01,5.764181795e+01,7.693936149e+01,6.177395713e+01,4.836339399e+01,7.994816762e+01,4.397863697e+01,1.907965049e+01,6.448741612e+00,3.639732958e+01,8.364559346e+01,2.080146504e+00,8.009892600e+01,6.908212880e+01,6.914278518e+00,8.716858926e+01,4.526186908e+00,2.848229599e+01,6.422480537e+01,1.078600106e+00,2.745647946e+01,8.303634854e+01,4.301827238e+01,6.128935718e+01,3.843466191e+01,3.751037442e+01,7.032532324e+01,1.300430485e+01,4.432421958e-01,8.686653271e+01,3.278743685e+01,6.321741400e+01,3.448133314e+01,5.934496620e+00,8.999983097e+01,5.077690462e+01,8.578096107e-01,5.671355208e+01,9.983340480e+01,5.122088760e+01,2.127509399e+01,6.522349024e+01,1.387593510e+01,6.066315301e+01,5.890332309e+01,8.379075287e+01,1.166786876e+01,2.010253068e+01,3.902273001e+01,8.510905990e+00,4.845503436e+01,8.488345435e+01,8.323134772e+01,8.811984718e+01,4.863465262e+01,2.450875886e+01,2.176249349e+01,8.476225113e+01,6.006596359e+01,8.410162557e+01,2.544457684e+01,4.042348744e+01,5.044496584e+01,1.738204918e+01,5.205418920e+01,3.863614145e+01,6.880427342e+01,2.202486913e+01,9.259364441e+01
8.914020564e+01,7.931286692e+01,2.711852758e+01,4.209697891e+01,4.682022933e+01,9.620741666e+01,9.166188794e+01,4.141092208e+01,2.190259906e+01,7.532144632e+01,4.937622409e+01,7.691723822e+01,4.676042634e+01,1.836606243e+01,4.440540059e+01,4.773212988e+01,5.914353826e+01,1.682992191e+01,5.928808304e+01,6.363102877e+01,4.662060324e+01,6.564416443e+01,9.240633343e+01,8.962795572e+01,7.111318336e+01,1.552635892e+01,9.396960417e+01,9.798359476e+01,8.300837545e+00,4.461565262e+01,7.040168607e+01,7.821763639e+01,5.105189550e+01,2.533646358e+00,1.606380744e+01,6.835336665e+01,3.305399871e+00,4.754102348e+01,9.362778945e+01,6.162354863e+01,7.419307010e+01,7.377723776e+01,7.171035969e+00,4.602965855e+00,4.973076346e+01,5.552760313e+01,9.850884272e+01,7.780397976e+01,5.001214483e+01,8.900438282e+01,3.777195240e+01,4.482295188e+01,4.774758637e+01,2.207144108e+01,2.411153049e+01,8.296420782e+01,3.376034580e+01,2.878663805e+01,1.421472254e+01,3.044058823e+01,7.535595458e+01,1.596836298e+01,4.024072562e+01,2.938545717e+01,3.414911215e+01,4.351613653e+01,6.290147671e+01,3.084745782e+00,3.340524461e+01,5.604943102e+01,7.069976668e+01,2.321357577e+01,7.931599396e+01,8.023611978e+01,4.549420160e+01,8.988111168e+00,6.242475790e+01,1.195027531e+01,4.469016633e+01,8.987513687e+01,4.558043929e+01,1.880890803e+00,1.526576984e+01,3.795521563e+01,8.820215198e+01,4.878135526e+01,2.794981606e+01,7.445185392e+01,8.212419267e+01,8.879247830e-01,6.852477802e+01,8.320264558e+01,8.500243495e+00
5.765388563e+01,7.842454511e+01,3.947691015e+01,9.194590670e+01,8.567139079e+01,3.767567648e+01,5.588146745e+01,6.105450164e+01,3.286116593e+00,2.600811658e+01,6.283660055e+01,3.321955503e+01,5.062711441e+01,3.369239318e+01,2.030582262e+00,1.216222516e+01,2.053830907e+01,9.362990061e+01,2.548259817e+01,8.942404026e+01,1.011849276e+01,1.905961707e+01,6.524938773e+01,2.681590489e+01,1.416367631e+01,4.203575851e+01,5.780812708e+00,6.225477730e+00,9.788976810e+01,4.744178569e+01,4.968941731e+01,6.110787187e+01,7.456596537e+01,8.348597419e+01,8.006259262e+01,6.524399523e+01,4.922314153e+01,7.536210698e+01,3.368649438e+01,5.407935681e+01,6.262914189e+01,3.056445270e+01,1.428745518e+01,1.922064500e+01,4.079846446e+01,3.590004133e+01,4.802332542e+01,5.868331335e+01,3.268586687e+01,5.564908170e+01,4.198234576e+01,2.480543041e+01,1.772821282e+01,4.921526980e+01,8.247833490e+01,6.080186272e+01,3.547539818e+01,6.965130412e+00,9.383107338e+01,6.883084355e+01,3.536236785e+01,7.103167258e+01,6.396604789e+01,1.902921301e+01,1.582150833e+01,6.619896102e+01,5.477041880e+01,4.940867478e-01,9.995321110e+00,5.106369468e+01,9.102676891e+00,2.202210802e+00,7.714732842e+01,7.776581217e+01,4.655295372e+01,8.494570008e+01,9.209102609e+01,2.189528863e+01,9.778815692e+01,9.024214999e+01,3.493666707e+01,5.875728672e+01,1.346894756e+01,3.135396723e+01,1.471973742e+01,3.036887716e+01,6.569023099e+01,8.689688192e+01,4.183685533e+01,9.896214183e+01,1.624598376e+00,5.387270635e+01,1.341001469e+01
