v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94
1.749503347e+01,9.921141824e+01,5.475984871e+01,5.486479106e+01,5.506833398e+01,8.497850915e+01,7.129379661e+00,6.297336734e+01,2.134776585e+01,2.681764305e+01,2.505792865e+01,3.599361076e+01,2.863210789e+01,8.681377019e+01,5.116006392e+01,8.845322287e+01,2.071702228e+01,2.281308337e+00,1.031852895e+01,5.037965396e+00,2.917445354e+01,1.684880324e+01,6.544028179e+01,4.785883925e+01,8.326266785e+01,6.628456861e+01,4.599939653e+01,7.844380273e+01,5.297611106e+01,2.405875366e+01,9.840899183e+01,9.717280623e+00,5.834851127e+01,5.082428117e+01,2.487104949e+01,9.100181278e+01,4.857311674e+01,4.081829652e+01,6.003219766e+00,4.719672642e+00,4.689006939e+01,6.118769717e+01,7.425687309e+01,5.473269854e+01,2.961321878e+01,1.147955923e+01,6.015113235e+01,2.705574810e+01,5.606593978e+01,2.760257742e+01,4.956940250e+01,5.770324992e+01,1.781318123e+00,2.224050024e+01,7.707919414e+01,9.041791270e+00,2.987617354e+01,7.421923558e+01,5.979165550e+01,2.050689537e+01,7.265872550e+01,1.437933728e+00,1.670237146e+01,8.305917152e+01,3.118845786e+01,3.583718006e+01,4.551949768e+01,8.873643127e+00,3.000892115e+01,2.786836964e+01,1.950287952e+01,2.453887827e+01,6.023704601e+01,3.538175521e+01,1.420737387e+01,9.211177168e+01,5.399210826e+01,8.364490930e+01,5.366542760e+01,7.196267718e+01,9.681115303e+01,7.398738310e+01,4.819357036e+01,1.738703357e+01,5.378645173e+01,5.741478041e+01,7.384334842e+01,5.409790480e+01,2.508039735e+01,5.468567698e+01,4.016725400e+01,6.174999996e+01,3.429571392e+01,7.008376188e+01
8.612095288e+01,4.057250853e+01,8.766184502e+01,3.784185665e+01,4.853111494e+01,7.565919338e+01,9.269908597e+01,4.238465445e+01,6.508053979e+01,5.350505897e+01,6.787029037e+01,1.835710778e+01,3.910978599e+01,5.919610699e+01,8.959722711e+01,7.669856549e+01,5.444925316e+01,5.498805751e+01,2.517743495e+01,1.529708151e+01,8.037433568e+01,6.876730435e+01,3.279307695e+01,5.541021880e+01,5.153980081e+01,6.559639233e+01,9.436600562e+01,3.189099779e+01,2.541776709e+01,3.684401403e+01,7.015669929e+01,2.545948634e+01,6.928630273e+01,4.296862135e+00,4.964126516e+01,1.245595503e+01,5.511085171e+01,5.750315053e+01,4.298058462e+01,1.762972846e+01,8.706631910e+01,1.078662391e+00,8.364737088e+01,5.327086478e+01,1.719465552e+01,9.945356255e+01,5.766347637e+01,1.493412833e+01,2.902957288e+01,5.631684779e+01,1.097423697e+01,2.180799310e+01,5.705192255e+01,9.393723125e+01,3.579634315e+01,2.602184153e+01,7.261026633e+01,8.806917661e+00,5.055282473e+01,2.736888142e+01,3.916973507e+01,5.790226651e+01,9.026863949e+01,3.754570989e+01,9.160247870e+00,9.132669595e+00,4.634209409e+01,7.895885703e+01,9.639699786e+01,4.229037153e+01,5.151390853e+01,8.684225480e+01,4.355836967e+01,3.029972318e+01,5.844238422e+01,1.178068734e+01,3.784304853e+00,3.688705986e+01,8.662905045e+01,8.979891283e+01,8.269491316e+01,3.897895759e+01,3.382970597e+01,5.212445059e+00,4.433542104e+01,9.978684461e+01,5.499631735e+01,3.104554237e+00,4.369319917e+01,6.486066788e+00,1.878676780e+01,9.680372272e+01,6.265512676e+01,5.617047981e+01
1.367317303e+01,4.740912191e+01,9.318281987e+01,2.656235852e+01,6.493282320e+00,2.244234465e+00,1.945786635e+01,9.423143161e+01,6.539935690e+01,6.380028983e-02,3.574860786e+00,6.191156997e+01,3.324993906e+01,6.448607543e+01,1.909665965e+01,8.091848663e+01,4.845161424e+01,7.285710559e+01,4.304046147e+01,6.698445863e+01,7.551848272e+01,4.146637545e+01,2.113233055e+01,9.672740416e+01,5.748159100e+01,7.894920099e+01,7.417274031e+01,6.355709651e+01,7.805421800e+01,4.329232878e+01,5.376622684e+01,9.606194939e+01,9.038613751e+01,7.022645232e+01,3.352609402e+01,6.667396595e+01,1.654080277e+01,9.603311735e+01,5.664966750e+01,8.883476040e+01,7.793237960e+01,3.612596100e+01,6.038798634e+01,4.856307377e+00,8.740577588e+01,2.697509314e+01,6.731397424e+01,3.549485872e+01,3.671094072e+01,1.492468048e+01,9.383694811e+01,1.159216577e+01,3.676630634e+00,8.880907581e+01,6.282633543e+01,3.569364835e+01,4.411894475e+00,9.868711295e+01,2.732967464e+01,4.302744234e+01,8.240220107e+01,3.025480940e+01,6.953061491e+01,1.576911493e+01,2.946449679e+01,4.708828465e+01,8.074948874e-01,3.939007066e+01,3.905905961e+01,8.654891965e+01,9.390529261e+01,1.357233284e+01,2.098447410e+01,9.898833799e+01,2.326109704e+01,7.975783486e+01,2.135435887e+01,6.060079693e+01,6.135173776e+01,1.788687985e+01,6.003946263e+01,2.478095598e+01,7.433112644e+00,1.387184478e+01,2.562159470e+01,5.255779071e+01,8.567857344e+01,7.094656380e+01,7.055625591e+01,5.314763066e+01,8.618266309e+01,6.747265119e+01,6.157168634e+01,5.935875601e+01
3.483751847e+00,6.524338809e+01,1.831098886e+01,4.236389376e+01,5.987417910e+01,2.377104646e+01,8.654619430e+01,4.323048012e+01,5.857517610e+00,6.122646328e+01,5.797743879e+01,8.451279568e+00,3.580216167e+01,1.304215044e+00,4.263806115e+01,2.649924314e+01,1.466233970e+01,5.686834660e+01,9.602721170e+01,7.748990593e+01,6.138013135e+01,9.600475105e+01,4.789394265e+01,1.208549862e+01,8.831039005e+01,7.621224930e+01,3.582865148e+01,8.803920550e+00,2.551137022e+01,8.480691754e+01,4.324356202e+01,1.233308463e+01,5.662885236e+01,7.851966390e+00,7.535050762e+01,4.273510558e+01,2.202261354e+01,1.272063914e+00,2.466451100e+01,1.770591148e+01,9.690940813e+01,5.826771744e+00,5.573285916e+01,3.169413173e+01,9.835729840e+01,3.840100675e+01,5.934538545e+01,7.784221222e+00,6.339027194e+01,5.850914840e+01,5.664692047e+00,2.658636017e+01,2.713090041e+01,5.621298941e+01,9.916157949e+01,2.346031448e+00,9.331803880e+01,1.101480745e+01,1.566684744e+01,3.949684731e+01,5.200540764e+01,5.586655836e+00,2.486626222e+01,9.418877130e+01,9.738809411e+01,4.763402014e+01,6.515139810e+01,6.695349096e+01,5.434037772e+00,2.675339942e+01,4.385574124e+01,4.368912772e+01,3.972886613e+01,8.655029491e+01,6.195755771e+01,3.903213789e+01,1.270142189e+01,6.576047786e+01,8.201025917e+01,4.484142654e+01,4.349207417e+01,9.019495312e+01,7.744532280e+01,7.055853838e+00,1.382072378e+01,7.416111640e+01,7.604841506e+01,3.950765533e+01,1.610288448e+01,4.632530015e+01,3.332037106e+01,3.682111714e+01,7.327301500e+01,9.737518369e+01
1.963166770e+01,5.745958659e+00,3.007586005e+01,6.876666761e+01,3.456340342e+01,4.469885540e+01,6.145816727e+01,9.364892874e+01,1.140071911e+01,4.676410453e+01,2.749837638e+01,6.018325025e+01,5.990969166e+01,5.632036195e+01,8.424319754e+01,3.137051427e+01,6.027007830e+00,8.838666498e+01,9.473841951e+01,3.339534251e+01,7.058924613e+01,9.957351632e+01,9.663381511e+01,3.294058113e+01,8.348741867e+01,6.863520786e+01,3.408263266e+01,9.774341191e+01,5.182861883e+01,9.457334849e+01,7.948650200e+01,1.832739215e+01,8.466496812e+01,9.175546073e+00,6.749281432e+00,3.498202506e+01,9.402601409e+01,9.368770355e+01,9.081025034e+01,3.036493369e+00,5.668782162e+01,1.112924652e+01,1.980260903e+01,2.070443170e+01,3.970531586e+01,7.894794866e+01,8.843629875e+01,4.146088224e+01,4.836983354e+01,7.504335785e+01,9.367621053e+01,4.090560441e+01,8.541951365e+01,3.114008193e+01,1.999316342e+01,3.584697363e+01,8.486161624e+00,9.808576752e+00,9.409368242e+00,2.801183912e+01,6.266521621e+01,1.706914210e+01,8.784445080e+01,8.005816691e+01,7.196021269e+01,8.061252555e+01,6.027817998e+01,6.943159836e+01,4.350322511e+01,1.149729134e+00,7.156232977e+01,5.664723743e+01,7.473052673e+01,3.960574981e+01,9.872999938e+01,4.311964055e+01,3.031259259e+01,5.544747011e+01,1.985644563e+01,7.550399370e+00,3.534680366e+01,4.879232177e+01,8.801829224e+01,8.400525865e+01,5.440095552e+01,5.306166309e+01,2.528401464e+01,1.223956839e+01,2.858544092e+01,7.081915285e+01,1.259795545e+01,6.537720343e+01,4.317594089e+01,4.513857610e+01
7.776862480e+01,3.800448693e-01,1.779605155e+01,7.998266782e+01,4.848279644e+01,8.529735654e+01,6.296507985e+01,3.904053404e+01,2.156072375e+01,2.488589449e+01,4.915045202e+01,9.159752402e+01,2.073383622e+01,7.617308712e+01,7.231453374e+01,8.728214645e+01,6.194336516e+01,2.909781116e+01,5.915270745e+01,5.878854248e+01,6.634693018e+01,7.592458072e+01,2.870908918e+01,2.769086654e+01,8.672994553e+00,4.266397260e+01,2.886783964e+01,2.071611067e-01,4.336953009e+01,8.837241734e+01,6.392564627e+01,5.695122539e+01,2.212411585e+01,8.941463789e+01,6.551535620e+01,9.456594557e+01,8.952982119e+01,6.541284871e+00,8.682111210e+01,1.341681452e+01,2.272683783e+00,9.849692911e+01,4.756182891e+01,6.144113972e+01,4.227984831e+01,6.506988271e+01,5.963070263e+01,2.295522855e+01,8.388706312e+01,9.377245374e+01,8.068810186e+01,6.842857898e+01,5.414966611e+01,4.186837906e+01,8.708859824e+01,1.767515544e+01,4.506101771e+01,6.812936838e+01,4.909280771e+01,8.713765666e+01,8.819447861e+01,8.593139875e+01,9.978001320e+01,4.910454233e+01,9.667308587e+01,9.766113016e+01,6.281730525e+01,4.830750377e+01,4.501415198e+01,9.031616326e+01,9.803665522e+00,9.929713102e+01,8.564751219e+01,7.866482763e+01,6.848902819e+01,7.688308811e+01,8.416402368e+01,3.845397408e+01,6.507109631e+01,1.507732233e+01,6.769782806e+01,1.017490711e+01,5.287809072e+01,4.586336589e+01,5.119683531e+01,9.555323714e+01,7.877903252e+01,4.637938042e+01,9.105095762e+01,1.712215241e+01,2.583657644e+01,4.543131434e+01,4.538901190e+01,7.142528395e+01
6.568890596e+01,7.243879162e+01,5.648173497e+01,4.322953158e+01,5.808291251e+01,3.129404409e+01,5.989370719e+01,2.901556020e+01,9.930481551e+01,8.769620283e+00,9.063022329e+00,9.967819191e+01,4.633213608e+01,3.058317461e+01,1.200051304e+01,6.643592727e+01,5.506076743e+01,2.303558430e+01,3.824288864e+01,5.101659433e+01,7.531698794e+01,3.010870586e+01,9.053189202e+01,9.982167250e+01,8.395986915e+01,8.416885424e-01,7.701260261e+01,5.500499469e+01,9.952065008e+01,9.056691092e+01,8.208213282e+01,3.013584420e+01,5.883696815e+01,1.344823183e+01,5.884618515e+01,6.684536601e+01,7.244706393e+00,8.848157971e+01,7.765222633e+01,5.743289173e+01,2.944459888e+01,4.776177177e+01,4.991139980e+01,4.141261727e+01,2.771171074e+00,7.221287083e+01,3.878728401e+01,1.395227430e+01,7.585306337e+01,2.575202105e+01,9.996571711e+01,5.500712007e+01,9.940310292e+01,9.130817360e+01,6.841083635e+01,7.974503082e+01,9.119018209e+01,1.572130913e+01,9.542282428e+01,5.642606474e+01,7.605321949e+01,3.037586164e+01,6.719451345e+01,6.465346744e+01,1.703123053e+01,7.780311585e+01,5.611327005e+01,7.877046196e+00,2.446050712e+01,7.044153214e+00,7.187637016e+01,9.156402255e+01,6.216348471e+01,4.313322977e+00,3.543458791e+01,5.169223398e+01,2.735151927e+01,4.528067168e+01,2.467673076e+01,2.774718855e+01,2.424868656e+01,7.207120983e+01,1.364121315e+01,4.137263839e+01,1.569027814e+01,1.069713377e+01,1.775834027e+01,3.392662909e+01,6.881895805e+01,1.130768848e+01,2.234244930e+01,1.116668195e+01,5.873116995e+01,5.643292367e+01
5.543134649e+01,5.784183853e+01,8.546345885e+01,1.805370930e+01,4.513644308e+01,2.031908184e+00,4.481635216e+00,4.863406780e+01,5.972267707e+01,9.028193411e+01,4.355268884e+01,6.863505196e+01,4.764972212e+01,1.853868967e+01,7.896717853e+01,9.104121029e+01,2.628819739e+01,1.374826964e+01,4.359555755e+00,5.410269648e+01,7.342749175e+01,6.255302329e+01,1.584394661e+01,6.751469802e+01,3.059454177e+01,9.021468153e+01,2.077642183e+01,3.193058352e+01,9.831096242e+01,9.145456376e+01,7.953466478e+01,9.205115241e+01,8.056041935e+01,6.322425818e+01,4.999540116e+00,5.326972372e+01,6.746626167e+01,6.510604138e+01,5.447919505e+00,7.887692751e+01,7.902307532e+01,1.718514280e+01,7.052061932e+01,7.003991733e+01,1.991322096e+01,3.925243753e+00,1.883733701e+01,6.336344998e+01,8.173776987e+01,8.672578060e+00,7.018302881e+01,3.295739355e+01,3.953848814e+01,7.562530326e+01,3.891942594e+01,2.097469995e+00,4.834333613e+01,7.181596010e+01,4.515976915e+01,3.095466982e+01,5.058861867e+01,5.385645090e+00,7.086684949e+01,5.698166996e+01,7.804035175e+01,2.916723929e+01,8.810982745e+01,6.536980230e+01,6.483427439e+01,7.181825206e+01,8.631855424e+01,3.934874321e+01,6.537876101e+01,4.843325786e+01,9.861269991e+01,7.876135577e+01,1.566613964e+01,4.406731221e+01,6.599781034e+00,8.712037977e+01,3.267843925e+01,7.676477936e+01,1.117537214e+01,9.156512486e+00,9.571549373e+01,2.162622458e+01,5.696138887e+01,1.092932502e+01,7.135515198e+01,2.099816606e+01,9.171166779e+00,3.389817459e+01,1.560746775e+00,8.946997672e+01
7.290316924e+01,2.416955289e+01,5.415826755e+01,2.131832847e+01,5.647854361e+01,6.026879316e+01,5.372742035e+01,5.970384542e+01,2.662280866e+01,7.807325548e+01,6.280827180e+01,6.750849706e+01,3.856912119e+01,1.254620075e+01,5.393526568e+01,2.412058765e+01,4.208625058e+00,9.886926835e+01,5.979922622e+01,1.348983999e+01,3.427486874e+01,9.742089796e+01,2.091516389e+00,1.004972516e+01,8.382320808e+01,5.895832616e+01,2.027317304e+01,7.897892739e+01,4.768137470e+01,2.659610386e+01,1.454472375e+01,8.150921978e+01,9.708492760e+01,1.507837514e+01,2.373750250e+01,7.536509566e+01,7.490783423e+01,5.331263261e+01,2.122719555e+00,6.709465966e+00,1.233676982e+01,7.100779997e+01,9.529676840e+01,1.825673040e+01,7.632874033e+01,8.408801773e+01,2.545665047e+01,4.060864134e+01,2.358511393e+01,4.041315433e+01,6.192401379e+01,8.594717181e+01,8.764270397e+01,4.196084439e+01,4.675543518e+01,5.091089602e+01,8.359643573e+01,1.937882958e+01,6.156604117e+01,6.995936716e+00,1.099307261e+01,4.900772623e+01,8.568164567e+01,4.006271860e+01,1.822311063e+01,5.084152926e+00,1.885927915e+01,5.605747722e+01,6.444879800e+01,8.302099434e+01,1.851294204e+01,1.418046202e+01,9.736900380e+01,1.675060047e+00,5.877623942e+01,1.653370374e+01,5.246662983e+01,1.882558922e+01,2.089834671e+01,7.109172701e+01,1.142955434e+01,6.010861096e+01,8.747853290e+00,7.686450948e+01,7.430116343e+01,2.817862810e+01,2.226592682e+01,2.319887876e+01,6.612119848e+01,7.527347727e+01,3.630019437e+01,2.159869582e+00,8.577160883e+01,2.017050865e+01
2.656924673e+01,5.640382736e+01,1.927997829e+01,6.807659174e+00,4.960059315e+01,6.273608443e+01,6.603385548e+01,4.576886143e+01,5.406781208e+01,6.518421126e+01,7.417292570e+01,2.672508481e+01,5.769419612e+00,8.317791172e+01,3.532744772e+01,4.374339949e+01,3.076582356e+01,1.328766432e+01,8.937763375e+01,3.254040039e+01,1.616852208e-01,6.180143805e+01,7.001031449e+01,9.537679704e+01,5.728338134e+01,5.445721417e+01,6.426652663e+01,4.202880504e+00,9.386844553e+01,5.662732205e+01,8.490890783e+01,7.390945421e+01,3.714655970e+01,9.692148422e+01,7.121631231e+01,1.153863770e+01,7.170682333e+01,7.944679181e+01,6.952761480e+01,7.465171307e+01,5.261820490e+01,9.488597604e+01,6.459612337e+01,4.754812808e+01,4.979259364e+01,6.964463040e+01,8.826723000e+01,5.163469192e+01,2.739251576e+01,9.965505937e+01,8.807614607e+01,6.134714135e+01,8.261819311e+01,6.715384208e+01,3.224749978e+01,5.767892807e+01,1.745083293e+01,6.781490252e+01,9.385304708e+01,8.395566009e+01,4.612366601e+01,2.374827460e-01,7.849230760e+01,7.052697901e+01,6.412284512e+01,3.402587265e-01,8.271227104e+01,3.958489999e+01,8.310611498e+01,5.226922316e+01,8.436997970e+01,2.562926251e+01,5.600962042e+01,5.657207667e+01,6.836433052e+01,4.788235808e+01,7.645436125e+01,4.060088138e+01,1.142207640e+01,7.775953062e+01,2.958915664e+01,5.414401266e+01,3.557293341e+01,9.431168266e+01,7.204306296e+01,4.302646212e+01,9.338671794e+01,4.815021598e+01,8.502808345e+01,4.579257727e+01,2.394932681e+01,8.334099514e+01,7.855092090e+00,7.243324538e+01
