v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95
2.980069239e+01,5.549527570e+01,8.837165926e+01,6.619927339e+00,8.024797777e+01,5.417861683e+01,9.363825235e+01,2.646038511e+01,7.869674873e+01,6.448969289e+01,2.686167064e+01,8.929729860e+01,9.804677404e+00,9.888216181e+01,7.949579023e+01,7.124865619e+01,1.754435397e+01,1.578253453e+01,4.235393900e+00,4.942787359e+00,1.650185352e+01,1.222636611e+01,8.287386002e+01,8.585247321e+01,7.965954666e+01,8.077970262e+01,7.867662930e+01,3.670256145e+01,2.699474563e+01,6.119334528e+01,5.230528867e+01,3.267286147e+01,8.509745556e+01,1.717095335e+01,8.332270439e+01,7.387330091e-01,8.208650405e+01,2.998023572e+01,5.051508010e+01,5.772346725e+01,4.800454193e+01,2.434432099e+00,9.948760485e+01,6.122385503e+01,9.020498179e+01,9.623129127e+01,3.902092194e+01,1.707343382e+01,7.981285068e+01,3.502579223e+01,7.214669523e+01,8.751798484e+01,1.145964108e+01,9.257025330e+01,1.387107694e+01,5.437313749e+01,3.708290126e+01,9.110408508e+00,1.189979549e+01,9.996051144e+01,4.419712923e+01,2.788497566e+01,9.293379469e+01,1.978535349e+01,8.872007826e+01,2.202923915e+01,5.075723590e+01,5.842438934e+01,1.493011316e+01,9.609728739e+01,4.502161845e+01,8.910428007e+01,5.658355846e+01,9.167294002e+01,9.042023420e+01,4.508029360e+01,5.640946502e+01,2.245228365e+01,7.097954440e+01,9.883127580e+01,9.974251246e+01,6.937376266e+01,6.482168057e+01,2.348316826e+01,4.522783977e+01,1.334153239e+01,7.658566127e+01,5.978201159e+01,9.929427485e+01,9.689191506e+01,7.536361640e+01,3.531107144e+01,9.763333611e+01,2.524590143e+01,1.832523286e+00
8.765339669e+01,1.673432622e+01,7.697706583e+01,5.419410087e+01,6.720414446e+01,3.851573006e+01,1.187358652e+01,6.975522957e+01,6.639109097e+01,9.100871186e+01,8.499568253e+00,5.313183583e+01,1.692010767e+01,4.092668189e+01,6.948159541e+01,9.562873651e+01,2.679883178e+01,3.901163872e+01,5.222406205e+01,7.860149643e+01,1.477963117e+01,5.866130221e+01,4.336334821e+01,8.955528724e+01,9.868608864e+01,3.834193740e+01,5.305508068e+01,5.187768722e+01,3.834088712e+01,1.327319950e+01,6.889336499e+00,1.709885547e+01,7.796326856e+01,7.218413003e+01,3.949821720e+01,3.182742733e+01,1.059727126e+01,8.160650563e+00,1.013965926e+01,5.641137117e+01,2.134002628e+01,2.957831296e+01,5.771564068e+01,8.813300796e+01,9.250810778e+01,5.382293198e+01,9.183451301e+01,9.116803549e+01,8.922011407e+01,3.762604463e+01,6.231484759e+01,1.228546586e+01,7.140348731e+01,9.917502107e+01,3.982523912e+01,1.291292001e+01,1.103526929e+01,2.729917602e+01,5.500250080e+01,3.118852203e+01,3.708732491e+01,6.666224168e+01,1.568500615e+01,6.956918962e+00,8.034850825e+01,4.637073769e+01,6.893268090e+01,4.317702985e+00,5.517859724e+01,9.975820754e+01,4.518822669e+00,2.853977094e+01,9.250231340e+01,8.270805281e+01,1.187251592e+01,1.063312822e+01,1.095639701e+01,5.405167682e+01,9.223182763e+01,7.613329428e+01,6.585309726e+01,5.858930063e+01,3.281386848e+01,8.070602897e+01,8.361872793e+01,9.578377009e+01,8.733484768e+01,2.034601253e+01,7.078086149e+01,6.599441644e+01,4.307321769e+01,3.134359973e+00,6.677083862e+01,8.375201070e+00,3.834157492e+01
7.591233021e+01,3.769453298e+01,3.802153771e+01,5.978563055e+01,6.139938578e+01,5.777666684e+01,6.613854431e+01,5.755964297e+01,3.073014788e+01,2.111594822e+01,6.041658194e+01,3.485471677e+01,5.684541632e+01,1.216107704e+01,4.048097945e+01,8.282954003e+01,9.300412750e+01,6.230988107e+01,4.044217218e+01,5.586561235e+00,9.516862079e+01,4.277782045e+01,7.558903534e+01,5.408842965e+01,4.757672833e+01,6.669724523e+01,9.944373780e+01,9.073616030e+01,6.899644827e+01,4.604594256e+01,3.382841201e+01,4.324762697e+01,4.671243327e+01,4.401693601e+01,4.777414326e+01,9.816596262e+00,2.937771529e+01,3.764133133e+01,1.336493427e+01,8.788753588e+01,1.990268008e+01,5.647414961e+01,7.681497431e+01,4.442714642e+01,6.864835830e+01,6.665602149e+00,9.402663382e+01,4.012827100e+01,7.708561418e+01,7.585748162e+01,6.923432062e+00,5.853784656e+01,6.394398409e+01,4.128970747e+01,8.717635316e+01,5.413148819e+01,8.704865811e+01,2.004669464e+00,8.362302419e+01,7.729839237e+01,6.165621824e+00,8.240902648e+01,1.777996908e+01,4.860865825e+01,3.137885588e+01,8.118648834e+01,9.196465164e+01,8.666590420e+01,4.328201066e+01,7.787703529e+01,5.028129657e+01,6.143791854e+01,1.072896999e+01,5.621557231e+01,5.073506508e+01,1.113722913e+01,4.353415948e+01,4.082219094e+01,1.158607891e+01,5.120651113e+01,5.520841139e+01,5.969634093e+01,3.243725508e+00,4.595085831e-01,2.857203756e+00,3.099223509e+01,1.470143718e+00,8.233967967e+01,6.290750240e+01,3.586472697e+01,9.744778082e+01,2.617023904e+01,9.847533079e+01,5.078588077e+01,3.569062969e+01
3.958314019e+01,1.836468462e-01,2.380877042e+01,7.296748005e+01,1.460459235e+01,9.151241788e+01,7.387930638e+01,1.763276527e+01,6.085773527e+01,4.488745472e+01,7.700672973e+01,2.791565871e+01,1.312439773e+01,8.748246597e+01,1.215242895e+01,4.133492301e+01,1.843069556e+01,6.452748578e+01,4.207093083e+01,9.307244681e+01,1.802123126e+01,6.620127384e+01,1.747522327e+01,6.416420269e+01,8.061320542e+01,4.279609369e+01,9.951793495e+01,8.440065333e+01,5.787148156e+01,9.258097490e+01,9.074220065e+01,7.118700153e+00,4.736631605e+01,8.011212585e+01,9.141930913e+01,2.052300191e+01,3.467611255e+01,9.892724772e+01,4.885641261e+01,5.673242969e+00,3.260222317e+01,6.168125177e+01,5.946095535e+00,3.861727597e+01,2.940518796e+01,6.743724221e+01,1.638995993e+01,2.514467111e+01,5.941954539e+01,1.666668807e+01,7.099519406e+01,4.082615480e+01,5.137481326e-01,3.755430577e+01,3.494922388e+01,6.808409456e+01,1.362351575e+01,2.815624391e+01,4.458919967e+01,5.628610310e+01,7.561627753e+01,8.993385280e+01,7.606755606e+00,9.458815476e+01,4.516649214e+01,6.793077130e+01,8.841358034e+01,1.882724401e+01,5.910980722e+00,3.089660010e+01,8.647492268e+01,6.442252439e+01,1.356634412e+01,2.790999382e+01,7.785465688e+01,6.630272520e+01,5.979067486e+01,8.768389947e+01,3.086661560e+01,6.936549199e+01,1.917728413e+01,5.426170595e+01,8.480168065e+01,6.336347995e+01,4.155519861e+01,7.162437551e+01,3.363470610e+01,9.657913560e+00,9.759028052e+01,3.289334303e+01,1.555421578e+01,6.633294774e+01,7.543591658e+01,3.185029416e+01,8.032882764e+01
5.038304286e+01,4.791572652e+01,6.637845441e+01,1.767492620e+01,4.737818065e+01,3.794990512e+01,5.490384187e+01,5.699827447e+01,3.093685580e+01,6.024263530e+01,2.530440162e+01,6.942740937e+01,9.223853557e+01,6.794341359e+01,9.071444622e+01,2.527708269e+01,6.921545765e+01,5.583349097e+01,1.051705836e+01,3.352823073e+01,3.749086736e+01,9.113297113e+01,1.221883507e+01,9.268369339e+00,1.231619272e+01,3.365363886e+01,9.745606452e+01,6.382727377e+01,5.880679423e+01,1.499656208e+01,6.880806961e+01,2.575549994e+01,7.242892820e+01,5.747944144e+01,7.348084605e+00,4.276173809e+01,4.515830191e+01,4.158042065e+00,7.328392058e+01,7.829352999e+01,8.950290846e+01,5.395152040e+01,1.854328209e+00,9.827342022e+01,8.975834288e+01,1.756965463e+01,9.072383563e+00,5.359814266e+00,8.844760124e+01,6.733946424e+01,7.083432790e+01,2.314577832e+01,2.128748992e+01,6.950157850e+01,1.779187868e+01,6.622441604e+01,3.648201298e+01,5.766733825e+01,6.868105847e+01,5.918152626e+01,8.366232128e+01,7.730184255e+01,4.259443373e+01,9.274058380e+01,2.972632231e+01,1.849356951e+01,7.450337734e+01,2.411500319e+01,3.280947816e+01,8.222189910e+01,9.634937266e+01,6.724458074e+01,5.535562844e+01,1.775207865e+01,5.515962888e+01,1.617875993e+01,9.968290601e+01,7.903094247e+01,7.566665677e+01,8.806240850e+01,8.821079010e+01,7.252095780e+01,9.622260738e+01,1.154134783e+01,7.128213970e+01,7.562497029e+01,3.330197401e+01,4.862094651e+00,9.276322584e+01,6.604697422e+01,1.759565117e+01,4.197037227e+01,2.198562604e+01,6.219906370e+01,2.331832864e+01
2.095849381e+01,4.096467624e+01,4.262411511e+01,6.339744287e+01,9.222666488e+01,1.868505894e+01,9.051926189e+01,5.553783582e+01,4.544015088e+01,4.553851950e+01,5.537811570e+01,7.891797609e+01,7.194154114e+00,5.244744955e+01,4.005859748e+01,8.968986807e+01,1.498046615e+01,7.764059219e+01,4.018052280e+01,3.775975258e+01,6.440000143e+01,3.175665463e+01,4.525380905e+01,5.880777105e-01,3.388636482e+01,7.062083533e+00,8.676829734e+01,9.179740924e+01,9.434941839e+01,2.204646732e+01,1.216450809e+01,4.126023641e+01,7.693230797e+01,3.314804628e+01,1.465437418e+01,7.422971123e+01,7.654425907e+00,1.561995729e+01,5.623270999e+01,1.120385731e+01,7.547346209e+01,5.232371817e+01,9.305965670e+01,6.051355035e+01,4.025505431e+01,1.562290925e+01,2.213913698e+01,8.773564591e+01,5.993742400e+01,5.540608718e+01,8.443662347e+01,4.640353047e+01,9.868123212e+01,9.626995798e+01,4.766366399e+01,6.879558688e+01,5.909862457e+00,1.240470624e+01,9.980435384e+01,7.073584047e+01,6.340028544e+01,9.638524950e+00,3.238018897e+01,9.510115280e+01,5.619020958e+01,6.465578224e+01,2.264062664e+01,5.411564070e+01,4.765321082e+01,8.828353951e+01,9.348480629e+01,3.804985219e+01,5.859787768e+01,9.125042664e+01,9.912759933e+01,9.394297217e+01,3.104118298e+01,3.020197650e+01,6.613413481e+01,3.743753467e+01,8.076716989e+01,7.297197133e+01,4.939992289e+01,2.532500037e+01,9.748944034e+01,4.252039821e+01,4.131047621e+01,3.411279687e+01,8.009419465e+01,9.364714574e+01,6.366234856e+01,4.456037855e-01,1.722716203e+01,6.390507260e+01,3.171886616e+00
7.209296381e+01,2.377212154e+01,9.588624366e+01,1.197244782e+01,2.854320848e+01,9.568410076e+01,5.869356717e+00,3.928032859e+01,2.436076720e+01,3.495070575e+01,2.723566172e+01,7.673016035e+01,8.173344876e+01,9.593015674e+01,4.195167462e+01,6.109558462e+01,5.747588686e+01,4.646883251e+01,7.599091398e+00,5.421986982e+01,4.104830974e+00,5.068629309e+01,3.959870366e+01,8.662433596e+01,1.227640678e+01,9.252509371e+01,4.947938735e+01,5.942305100e+01,3.309075818e+01,5.711240389e+01,9.352783257e+01,2.449876320e+01,7.205259108e+01,3.962936421e+01,6.528033268e+01,2.873653210e+01,3.248422236e+01,2.214907470e+01,6.428280525e+01,2.835842882e+01,5.605728489e+01,8.702336847e+01,5.901599502e+01,8.702680840e+01,6.188497172e+01,1.524494057e+01,5.104516706e+01,9.877099030e+00,6.201569787e+01,4.312354572e+01,7.435469387e+01,9.232203279e+00,3.718019058e+01,4.759197912e+01,6.704358181e+01,7.698160010e+01,1.845707167e+01,6.558451613e+01,7.096347840e+00,2.904326954e+00,3.331627503e+01,5.474448108e+01,2.712186698e+01,5.893138603e+01,4.992947263e+01,6.611815148e+01,2.751514652e+01,5.044713296e+01,9.626946459e+00,8.329549968e+01,1.533686846e+01,7.134483173e+00,2.241231088e+01,5.095726556e+01,1.078353795e+01,8.846578042e+01,4.212930041e+01,2.880933768e+01,4.048211072e+01,3.839628052e+01,6.372701672e+01,5.505053990e+00,8.046534414e+01,6.342560989e+01,9.215798891e+01,7.950476982e+01,4.209143331e+01,8.115653881e+01,4.681667233e+01,4.547831214e+01,5.370306365e+01,8.598146430e+01,4.761609619e+01,9.048750125e+00,9.222684004e+01
7.566814924e+01,3.130894316e+01,5.075909256e+01,9.132647769e+01,5.044345466e+01,6.654367702e+01,2.312509898e+01,4.402701151e+01,8.156183310e+01,6.658790204e+01,5.695435173e+01,1.396474406e+01,3.969594979e+01,5.443487687e+01,8.208942837e+01,5.954718348e+01,7.589813142e+01,4.305357130e+00,1.658828765e+01,5.575780316e+01,8.642397884e+01,9.035046805e+00,6.954651781e+01,1.924754982e+01,9.384150222e+01,9.118153911e+01,8.572756994e+01,6.079809178e+01,8.966306325e+01,2.272327854e+01,9.944069306e+01,1.687694650e+01,1.442408661e+00,9.666889578e+01,4.438541561e+01,6.541876121e+01,7.113108463e+01,3.270675433e+01,7.422951922e+01,1.652478005e+01,6.855159333e+01,2.891981116e+01,6.516330504e+01,4.004489348e+01,3.474440895e+01,8.050411057e+01,2.172171094e+01,8.037934271e+01,9.343404605e+00,7.424875780e+01,7.033584619e+01,3.638450181e+00,6.927947751e+01,8.962848334e+01,9.574745784e+01,1.370686810e+01,5.166980845e+01,2.176314236e+01,4.823793252e+01,9.292173368e-01,7.080958761e+01,7.621353877e+01,6.287583928e+01,2.420947908e+01,5.044400360e+01,6.139165207e+01,5.507654780e+01,9.720240448e+01,7.765161712e+01,3.448816215e+00,7.665783435e+01,2.116084380e+01,6.454150547e+01,5.465604572e+01,8.792704164e+01,6.805181197e-01,3.035384450e+01,8.252362396e+01,1.873173538e+01,7.252122783e+00,5.957668746e+01,8.252368683e+01,2.383556877e+01,1.964416259e+01,9.270244780e+01,5.796931588e+01,5.329363425e+01,3.712347091e+01,5.068788885e+01,6.314868285e+01,9.850135151e+01,2.510795781e+01,6.439718098e+01,9.448434206e+00,3.705701028e+01
7.164981978e+01,3.717934724e+01,2.958424430e+01,5.644192550e+01,7.342991313e+01,8.302603405e+01,1.400025426e+00,7.450377333e+01,5.527263130e+01,1.618787621e+01,2.016762495e+00,4.423857716e+00,7.353351078e+01,5.281755945e+01,6.430140532e+01,3.863688450e+01,3.164852226e+01,9.492784396e+01,9.679015699e+01,9.967002279e+01,6.741624600e+01,3.573933751e+01,1.599507531e+01,1.052203739e+01,8.904095402e+01,8.584228218e+01,5.968910951e+01,4.648793386e+01,6.646109472e+01,2.812189123e+00,6.595032058e+01,5.919861081e+01,3.518665630e+01,5.591317351e+00,6.730391910e+01,7.275665044e+01,1.777545207e+01,6.683624451e+01,6.384012287e+01,7.224193855e+01,2.569182913e+01,6.187784381e+01,5.277809188e+01,7.040668674e+01,6.503960870e+01,6.528986442e+01,1.720390341e+01,6.431743996e+01,1.367093187e+01,6.425444902e+01,9.333608391e+01,9.412450117e+01,8.744381830e+01,9.505857687e+01,6.166238437e+01,3.856286288e+00,1.980480836e+01,8.431170143e+01,8.521546922e+01,9.818471153e+00,3.178605024e+01,5.727950274e+01,5.045236201e+01,6.485856600e+01,1.474498817e+01,3.269067184e+00,8.828812334e+01,8.387534164e+00,5.060624443e+01,6.002016850e+01,4.240094773e+00,6.700214508e+01,5.818041092e+01,7.003437622e+01,1.214909275e+01,9.556028560e+01,9.888541426e+01,5.526792811e+01,3.007633562e+01,7.797717311e+01,7.342452863e+01,6.781332772e+01,1.005627783e+01,1.809577859e+01,1.494358423e+01,6.462817144e+01,7.661252635e+01,1.267386101e+00,1.820092654e+01,7.582350527e+01,1.366212358e+01,8.517485337e+01,8.105661419e+01,3.630443720e+01,4.048880059e-01
2.933254623e+01,3.437662054e+01,8.718961355e+01,7.941767660e+01,7.930759349e+01,2.903381735e+00,1.648565892e+01,6.177073352e+01,3.994703094e+01,6.908461812e+01,8.182895273e+01,5.700077960e+01,1.532740405e+01,6.538806481e+01,1.019955581e+01,2.261404906e+01,6.419170769e+01,3.603915556e+00,9.777434702e+01,6.197591757e+01,4.259694832e+01,7.451447247e+01,6.391526955e+01,8.158181297e+01,9.785222107e+01,8.909769096e+01,4.025856367e+01,9.140751268e+01,4.211735995e+01,4.211230324e+01,6.255013169e+01,6.163267911e+01,9.212328730e+01,3.065847622e+01,4.962155752e+01,5.236806381e+01,5.162038581e+01,9.969790772e+01,4.936068585e+01,3.412803859e+01,5.773382122e+01,2.845379145e+01,7.036037344e+01,5.102845031e+01,1.298774816e+01,8.991389330e+00,5.861766577e+01,1.136091135e+01,9.847567989e+01,1.952156817e+01,6.783193150e+00,9.376961643e+00,5.167105322e+01,9.095827064e+01,3.565723568e+01,1.427112335e+01,5.968717619e+01,9.897178233e+01,2.594709877e+01,2.388316087e+01,4.436558476e+01,7.784326696e+01,3.441604093e+01,2.816657247e+01,2.860720179e+01,5.279522263e+01,1.068995211e+01,9.905375790e+01,4.124649207e+00,3.833623632e+01,4.485396891e+00,1.339527357e+01,5.029164734e+01,8.095272943e+01,9.728700841e+01,7.548326945e+01,5.360858039e+01,2.441903850e+01,3.880096072e+01,5.795985949e+01,4.443528691e+01,2.724357207e+01,6.828895522e+00,4.866562686e+01,9.384253710e+01,7.227892780e+00,2.193225162e+00,6.560954144e+01,6.918730715e+01,7.340245107e+01,7.013527952e+01,9.221420841e+01,9.733100461e+01,1.254814845e+01,7.625429816e+01
