v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96
2.222027702e+01,7.973982195e+01,6.431430356e+01,1.937167080e+01,9.519973361e+01,5.965754166e+01,6.710085633e+01,9.443695739e+01,4.172472255e+00,4.263695557e+01,8.795308986e+01,3.436143800e+01,9.913330716e+01,4.116221332e+01,5.125735660e+01,3.688828891e+01,2.889809509e+01,7.278720231e+01,7.806790192e+01,3.741615525e+01,2.967668645e+01,6.411485114e+00,9.545386119e+01,2.375490103e+01,5.923301917e+01,6.210955069e+01,2.280703058e+01,1.218523276e+01,1.194326081e+01,8.509853499e+01,7.249161618e+01,3.784142327e+01,3.735858130e+01,9.730012936e+01,3.790508208e+01,4.948391805e+01,4.602157879e+01,1.354994111e+01,8.527274285e+01,3.275624989e+01,3.836317567e+01,8.521988199e+01,1.779081146e+01,2.419888502e+01,9.253271357e+01,1.541749569e+01,7.770095103e+01,9.885444395e+01,5.296166380e+01,9.680729243e+00,1.670984464e+01,2.987152255e+00,9.113248764e+01,6.324859255e+01,7.862824280e+01,4.194365847e+01,2.469341382e+01,8.012571215e+01,5.264571990e+00,7.598524203e+01,5.883592660e+01,7.144202189e+01,5.403261040e+01,8.463416186e+01,9.301197066e+01,6.264608738e+01,5.612309186e+01,9.158492663e+01,6.692674022e+01,5.970292485e+01,8.194311718e+01,4.874849796e+01,1.385904836e+01,8.743373331e+01,9.547553355e+01,5.054848526e+01,9.872128106e+01,9.822215250e+01,5.438759555e+01,8.934776936e+01,3.956263275e+01,6.262299057e+01,2.507736326e+00,6.587337034e+01,1.240125103e+01,4.915732690e+01,7.867241730e+01,2.181963187e+00,6.202932431e+01,4.569680024e+00,9.538497251e+00,6.084926283e+01,5.636834319e+01,3.945916938e+01,6.659452179e+01,6.500487196e+01
8.276517988e+01,3.061725786e+01,4.030809133e+01,4.773869486e+01,8.586151879e+00,5.483036358e+01,1.697659777e+00,8.232986938e+01,8.744594806e+01,8.191251590e+01,4.192398103e+01,5.039867652e+01,2.523410622e+01,8.045069472e+01,1.301381690e-01,8.371419677e+01,9.500682871e+01,4.986177596e+01,1.772546521e+01,5.985769971e+01,7.898391789e+01,3.918239507e+01,3.445004103e+01,4.290847190e+01,7.436733493e+01,9.624994040e+01,4.780107983e+01,3.265922982e+01,2.026048175e+01,3.818829818e+01,5.148111919e+01,4.583242843e+01,2.983370880e+01,2.274229413e+01,5.454171289e+01,1.539152321e+00,9.759247142e+00,1.976149890e+01,8.837285346e+01,4.213767851e+01,1.969300109e+01,4.435647525e-01,9.360799395e+00,8.626283238e+00,1.968027293e+01,1.305654480e+01,3.615873602e+00,5.969174813e+01,5.359119218e+01,1.130374522e+01,1.121294450e+01,7.336280012e+01,7.301291023e+01,5.948753216e+01,5.469378375e+01,2.975610112e+01,9.260468993e+01,7.331019158e+00,7.365153748e+01,4.015154920e+00,9.506541630e+01,6.915741109e+01,3.811761951e+01,4.101004647e+01,7.451403758e+01,1.136687233e+01,9.813410481e+01,9.968242092e+01,6.319885378e+01,7.558468645e+01,4.585294243e+01,1.139067010e+01,1.041560881e+01,6.124315296e+01,8.954879739e+00,7.799898652e+01,1.046527325e+00,8.239066588e+01,5.747288748e+00,6.807391112e+01,6.987333638e+01,3.944498324e+01,1.501141003e+01,5.958897867e+01,3.382527059e+01,9.196801010e+01,6.414259078e+01,1.120207382e+01,8.447319734e+00,1.879899816e+01,7.982340315e+01,2.528163002e+01,5.997839457e+01,6.570031729e+01,4.713526527e+01,3.825045711e+01
5.735820134e+01,9.192988686e+01,3.014961203e-01,5.401714106e+01,6.148463166e+01,5.264113304e+01,9.287169867e+00,1.282037138e+01,5.395671801e+01,6.654597268e+01,7.303264081e+01,5.834085217e+01,8.478074237e+01,1.687972343e+01,1.230537238e+01,5.811076033e+01,9.616974345e+01,8.866630376e+01,9.145710535e+01,7.741066149e+01,5.017924670e+01,6.193729094e+01,1.004528826e+01,6.662245071e+01,8.320879514e+01,1.882866240e+01,7.025015560e+01,5.238856792e+01,5.809373628e+01,1.249849938e+01,7.273828682e+01,9.433579012e+01,5.191717791e+00,4.278797288e+01,5.295245203e+01,3.017760135e+01,2.345043310e+01,5.016750785e+01,6.679945488e+01,6.732185354e+01,2.756902323e+00,2.485268284e+01,9.114917618e+01,1.848046425e+01,6.966853795e+01,9.591632461e+01,1.972727587e+01,3.930162496e+01,5.095551315e+00,3.785136225e+01,3.114520912e+01,1.560491859e+01,8.101850551e+01,4.633631720e+00,4.916147297e+01,4.578852571e+01,9.533340541e+01,6.325944853e+01,2.426210833e+01,3.957530125e+01,1.436928629e+01,3.692979777e+01,5.663854514e+01,5.710412285e+01,2.120081148e+01,6.910379132e+01,3.997053784e+01,3.675899313e+01,6.110313434e+01,1.088754523e+01,5.708738066e+01,3.992714036e+01,8.285104416e+01,8.423877487e+01,3.382778134e+01,6.977948177e+01,5.925789282e+01,8.407002885e-01,3.101850565e+01,5.920509611e+01,9.648724305e+01,6.142234670e+01,1.522117631e+01,8.612954968e+01,7.940732439e+01,2.182941527e+01,2.445853827e+01,6.460473785e+01,3.525779031e-01,6.176685037e+01,6.091685351e+01,1.994812117e+01,7.532461975e+01,2.912210398e+00,1.625176045e+01,3.590327619e+01
8.581862844e+01,9.892980410e+01,7.663462449e+01,3.215918200e+01,2.297651442e+01,2.582431721e+01,1.158192027e+01,1.176136799e+01,2.756560188e+01,7.674797696e+00,7.435956513e+01,7.497644294e+01,5.439442791e+01,3.003927697e+01,1.613243183e+01,9.377276924e+01,2.684824178e+01,7.361984826e+01,9.057163695e+00,2.468646705e+01,2.442567279e+01,7.254424588e+01,3.764564198e+01,4.737818476e+01,8.118616945e+01,6.630667551e+01,6.830439589e-02,5.916428133e+01,6.301673372e+01,8.341067037e+01,4.900765442e+01,2.507180695e+01,3.591300452e+01,8.322700363e+00,2.369789370e+01,2.413853127e+01,7.433131517e+01,8.239320436e+01,5.345315894e+01,6.706576636e+01,7.420031623e+01,7.540827370e+01,7.950752426e+01,6.318326844e+01,6.158916570e+01,9.931644552e+01,1.937063688e+01,4.226547967e+01,9.312221995e+01,1.897626679e+01,3.401506290e+01,6.534612906e+01,1.169393361e+01,4.587308749e+01,5.026942081e+01,4.745716754e+01,3.190165402e+01,3.546782685e+01,6.882076485e+01,4.681189289e+00,4.621716216e+01,9.044094628e+01,9.149344314e+00,1.913404149e+01,4.456726564e+01,7.564372309e-01,5.869707928e+01,9.840696273e+01,3.554723852e+01,2.449315012e+01,5.162552822e+01,7.071582557e+01,3.886922295e+01,5.283079007e+01,1.207439613e+01,5.512377922e+01,3.998626941e+01,9.978504216e+01,7.043807656e+01,9.476868115e+01,4.316928284e+01,9.799723005e+01,9.763714995e+00,1.916993885e+01,1.889064667e+01,5.876187431e+01,6.354484293e+01,5.733700196e+01,5.063627150e+01,9.991530214e+01,1.141331117e+00,7.092670375e+00,7.810647431e+01,2.361706653e+00,4.499315659e+00,6.956909162e+01
3.967390237e+01,8.806065928e+01,7.154837805e+01,3.669603778e+01,8.459627427e+01,5.928812633e+01,1.304310230e+01,2.878341070e+01,4.690178067e+01,2.217397799e+01,9.655597985e+01,3.469222151e+01,6.745915472e+01,4.194040202e+01,9.356172319e+01,7.525812548e+01,5.172177815e+01,6.773730247e+01,9.737607708e+00,5.763581613e+01,3.933723382e+01,1.745469676e+01,4.245839793e+01,5.819483568e+01,6.747408687e+01,1.409800875e+01,5.998535872e+01,1.771711421e+01,9.905722138e+01,3.746895670e+01,5.835780582e+00,7.027140399e+01,1.911667093e+01,5.648253376e+01,4.782348987e+01,9.189507872e+01,1.621853036e+01,9.736946548e+01,3.957064543e+01,8.636222550e+01,5.137432499e+01,9.414221927e+01,6.634130864e+01,8.367078540e+00,4.365432273e+01,2.145151934e+01,3.746272666e+01,4.861291321e+00,4.830425727e+01,4.196006402e+01,4.448949235e+01,2.599816645e+01,1.012604966e+01,4.046398624e+00,1.520262985e+01,9.815403854e+00,6.759193489e+01,2.992451610e+01,9.183103414e+00,1.779821756e+01,5.834740233e+01,1.127041903e+01,1.409593090e+01,6.809594260e+01,2.436393107e+01,9.693439094e+01,1.439707573e+00,5.524063979e+01,6.456009318e+01,4.126970233e+00,6.677888518e+00,8.466549464e+01,5.397454908e+01,1.547528859e+01,8.533694789e+01,1.761381144e+01,2.288556336e+01,9.847523760e+01,6.882880736e+01,9.286022957e+01,6.131331248e+00,6.211554116e+01,5.859634923e+00,1.472675875e+00,4.660502298e+01,2.726604753e+01,6.470047354e+00,2.599300461e+01,2.419951642e+01,5.712723144e+01,8.222926991e+01,3.621981890e+01,5.514421560e+01,3.373395721e+01,4.277166681e+01,7.846761714e+01
9.769815513e+01,2.642400689e+01,1.869450868e+01,3.671309576e+01,7.913377104e+01,9.872648581e+01,2.475325788e+01,6.671918080e+01,4.756543352e+01,2.803303998e+01,8.693161492e+00,1.213535089e+01,7.751770452e+01,1.843714273e+01,7.292726442e+01,5.893407785e+01,3.025769732e+01,3.875162507e+01,2.835066374e+01,5.505272766e+01,6.770024757e+01,8.209825989e+01,7.594128342e+01,9.854572792e+01,6.073295841e+01,8.372240774e+01,5.322725247e+01,8.082601157e+01,9.088186223e+01,2.005608808e+01,9.238036674e+01,2.299742455e+01,9.969851041e+01,7.921186628e+01,2.162579218e+01,9.448853786e+01,7.959046199e+01,9.254785887e+01,4.694702503e+01,6.280136090e+01,6.612705749e+01,1.237921729e+01,5.700510744e+01,5.604588172e+01,2.553439082e+01,4.424234155e+01,6.400869150e+00,2.977511051e+01,9.645635458e+01,8.811891318e+01,7.585085936e+01,2.091524462e+01,8.609922023e+01,6.422003040e+01,3.908991715e+01,4.815756409e+00,2.385968647e+01,1.166202649e+01,5.977483952e+01,2.812911904e+01,9.896145523e+01,9.310405325e+01,4.042313608e+01,2.812753048e+01,5.691094387e+01,5.546694315e+01,1.844242894e+01,3.493763981e+01,1.647470369e+01,9.300779346e+01,7.126956198e+01,5.163909710e+01,6.217930194e+01,8.185765514e+01,1.466485134e+01,7.745539035e+01,3.915446713e+01,2.288638731e+01,8.832713311e+01,7.244628406e+01,4.415428813e+01,2.290902275e+01,2.153859608e+01,3.483776802e+01,5.877757303e+01,6.607954564e+01,2.452325141e+01,9.473994530e+00,3.714949139e+01,7.714224549e+01,1.683120408e+01,4.300591533e+01,7.494902894e+01,7.636603065e+01,7.112701276e+01,4.301695015e+01
8.435876212e+01,2.632392056e+01,8.897539874e+01,4.611998689e+01,3.305195014e+01,6.411112098e+01,1.940802220e+01,1.144737274e+01,2.030008989e+01,1.861250086e+01,5.523677821e+01,4.158077386e+01,5.133278984e+01,4.661676928e+01,8.917809336e+01,7.714655420e+01,1.204977623e+01,7.743746228e+01,5.800641515e+01,3.312819827e+01,7.275194274e+00,1.375679759e+01,1.165722949e+01,1.244496311e+01,7.264115575e+01,1.487172246e+01,6.950234841e+01,8.474177913e+01,2.211765562e+01,4.422825214e+01,9.879248598e+00,4.158344899e+01,9.362485553e+01,8.355646694e+01,6.835651789e+01,6.014508255e+01,9.285253092e+01,7.799250215e+01,2.917820097e+00,9.991985887e+01,3.827899024e+01,4.146638083e+01,5.849686201e+01,1.718853949e+01,7.948672499e+01,9.673548219e+01,5.058655583e+01,2.314757583e+01,6.352659349e+01,8.542259411e+01,3.431718569e+00,1.703533747e+01,6.281843631e+00,3.193366194e+00,1.622227983e+01,6.350845944e+01,3.375052348e+01,9.562972782e+00,7.146959204e+01,7.027442429e+01,9.112152949e+01,8.860942540e+01,8.499130251e+01,1.015242947e+01,3.254105267e+01,8.326226513e+01,7.689454342e+01,3.176578863e+01,4.496732578e+01,7.226921586e+01,1.878110192e+01,4.942277606e+01,3.056126686e+01,1.964223135e+01,6.023158742e+01,5.564968687e+01,3.768967880e+01,4.992409678e+01,1.837915765e+01,1.319962696e+01,4.267212923e+01,6.023250023e+01,3.749915740e+01,6.012501557e+01,1.003318830e+01,1.072335553e+01,7.606097651e+01,9.112665514e+01,6.611013066e+01,7.863993097e+01,5.932744931e+01,5.448186258e+01,2.417068352e+01,1.470189877e+01,2.137844470e+01,6.003660394e+01
4.780166459e+01,9.599211263e+01,9.103614487e+01,4.745346475e+01,9.037391899e+01,1.555081014e+01,4.317062252e+01,2.032582233e+01,8.022273228e+01,4.767520771e+01,7.623441299e+01,4.863412448e+01,2.941201208e+01,6.204885473e+01,7.573278028e+01,2.416654229e+01,9.358014695e+01,4.099349684e+01,6.567429784e-01,3.594816357e+01,2.904450003e+01,6.755548367e+01,2.231659943e+01,4.660346559e+01,1.818913691e+01,1.700627340e+01,1.188484941e+01,6.317686902e+01,7.297529915e+01,3.056507007e+01,7.409609037e+01,2.271397014e+01,8.727019664e+01,6.721427125e+01,9.467718037e+01,3.991005859e+01,6.992147417e+01,4.526233805e+01,4.301576901e+01,9.761113311e+00,4.189164477e+01,1.870966787e+01,6.858368439e+01,5.704472289e+01,1.925155298e+00,9.585099695e+01,7.868637139e+01,2.819728470e+01,1.702080060e+01,6.912158648e+01,4.958934867e+01,6.688573550e+01,8.522607995e+01,7.137195579e+01,8.873215245e+01,7.321394827e+01,4.161448814e+01,5.803405728e+01,9.452937436e+01,2.272441245e+01,8.432636037e-04,5.129117206e+00,4.850863624e+00,2.348204566e+01,3.392704938e+01,9.970547629e+01,8.757002917e+01,2.509020244e+01,5.046816805e+01,7.195677833e+01,7.276526397e+01,9.130281160e+01,6.966793535e+01,7.943016451e+01,6.289553784e+01,1.488966692e+01,2.995960571e+01,3.862932913e+01,4.831526564e+01,7.298892784e+01,6.863239149e-01,6.120939185e+01,1.625199522e+01,9.658183003e+01,1.956239200e+01,4.458535848e+01,6.809333217e+01,8.552399559e+00,2.261900385e+01,2.567009958e+00,6.671749128e+01,1.960769649e+01,4.335110347e+01,6.678773246e+01,9.980833535e+00,3.617648392e+01
7.820252616e+01,7.058929068e+01,1.885670887e+00,9.063537900e+01,9.041237977e+01,7.741118520e+01,9.128284354e+01,4.055119353e+01,5.833610163e+01,9.341789639e+01,8.304220398e+01,3.745846269e+01,2.077055637e+01,3.208801383e+01,2.665323095e+01,2.038562467e+00,8.618562230e+01,3.829245164e+01,6.241014530e+01,5.393166113e+01,6.909092248e+01,7.199794174e+00,1.933037011e+01,5.233148164e+01,5.077671858e+01,9.883380118e+01,4.280641637e+01,3.172456988e+01,1.895805310e+00,9.185404487e+01,7.978670280e+01,1.954735922e+01,5.892169020e+01,5.807303609e+01,7.883054589e+01,6.917015423e+01,5.536848209e+01,2.765361891e+00,4.896214964e+01,4.033655412e+01,5.306411069e+01,4.144125540e+00,5.809508533e+01,3.226899095e+01,2.281847000e+01,7.023254401e+01,5.749289942e+01,9.383546328e+00,8.604035206e+01,3.863028267e+01,3.526525979e+00,1.531460513e+00,5.433687632e+01,3.324072516e+01,2.172376778e+01,4.719461298e+01,3.637519748e+01,2.239427572e+01,4.713246140e+01,4.328708111e+01,7.970817004e+00,9.967382799e+01,5.333957737e+01,7.453420307e+01,8.805551600e+01,7.505122338e+01,5.189064310e+01,5.697109953e+01,8.325144397e+00,8.985178903e+01,1.318954961e+01,4.499605458e+01,2.766964664e+01,9.117158616e+01,4.109794109e+01,1.884476488e+01,9.667056381e+01,2.390675104e+01,8.406934844e+01,3.979057352e+01,3.977122798e+01,6.628483233e+00,9.375483903e+01,5.484375008e+01,6.672376851e+01,1.171346718e+01,9.470339800e+01,9.332465765e+01,4.596336231e+01,9.092136526e+01,8.701513972e+01,2.168148346e+01,5.200347349e+01,8.327110943e+01,5.514518826e+01,7.787385918e+01
9.429122741e+01,8.096766823e+01,4.581816618e+00,2.914933737e+01,2.754855561e+01,7.112508032e+01,4.846525904e+01,2.828689509e+01,6.587320266e+01,9.943164098e+01,1.856838390e+01,8.628029973e+01,2.995695728e+00,4.012805710e+01,9.154037027e+01,8.708183960e+01,7.423571510e+00,1.054114611e+01,4.251761327e+01,1.140928375e+01,7.436068615e+01,2.894575995e+01,8.929216807e+01,9.912429203e+01,9.381157286e+01,9.182051653e+01,1.494929893e+01,6.707591574e+01,5.312175501e+00,2.381296658e+01,2.926920604e+01,4.067912191e+01,8.358731596e+01,6.589150128e+01,1.841474033e+01,4.633652712e+01,1.700668861e+01,7.657780027e+01,5.007313132e+01,7.289469243e+01,3.126485720e+01,7.332910904e+01,8.619894221e+01,2.309160276e+01,3.091077935e+01,3.208125005e+01,1.518327976e+01,6.592302293e+01,6.039326314e+00,3.568263421e+01,9.998338461e+01,8.137491666e+01,6.204811595e+01,8.676460400e+01,5.263533394e+00,9.022527394e+01,1.251611968e+01,4.115178370e+01,4.457245731e+01,5.971100463e+00,1.453101798e+01,4.418793617e+01,7.499100151e+01,3.968456759e+01,6.187927043e+01,7.996212333e+01,8.465035601e+01,8.996272212e+01,6.180588618e+01,1.961262940e+01,3.334403490e+01,7.175509069e+01,5.188550213e+01,7.015347778e+01,9.121474468e+01,6.521810904e+01,2.323593752e+01,4.541927465e+01,2.421676938e+01,2.692569719e+00,5.461446718e+01,8.862964870e+00,3.158346163e+01,3.358541688e+01,6.999946700e+01,4.043015596e+01,6.040547702e+01,3.308261277e+01,6.522213336e+01,2.343031131e+01,7.866994900e+01,7.427795145e+01,2.840204596e+01,7.774159661e+01,3.129982939e+00,8.688937196e+01
