v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97
3.141996931e+01,3.270323436e+01,3.819248343e+01,9.282561970e+01,6.274564470e+01,9.175814732e+01,9.962147434e+01,4.456283054e+01,5.760213063e+01,6.043516546e+01,3.945268903e+01,5.298946015e+01,5.662722628e+00,4.753180264e+01,4.712975218e+01,1.470116131e+00,5.344626307e+01,6.462111254e+01,1.673902314e+01,5.130579242e+01,4.994511274e+01,5.684632490e+01,5.680776206e+01,8.322572220e+01,1.946973256e+01,7.449519043e+01,3.449244293e+01,8.301826223e+01,8.267340421e+00,1.191967017e+01,6.459416089e+01,8.471230775e+01,7.911988924e+01,5.172114680e+01,6.145118008e+01,9.450935871e+01,9.450874973e+01,2.769212005e+01,4.885609975e+00,3.488379444e+01,9.681285882e+00,6.086227450e+01,3.396320194e+01,9.753704796e+00,7.760284393e+01,5.452966720e+01,6.907103192e+01,9.785182037e+00,4.631252889e+01,9.639151506e+01,4.799350974e+01,8.514792210e+01,4.216156584e+01,8.644285500e+01,3.053153747e+01,7.244761213e+01,1.748953420e+01,6.797051728e+01,7.493606198e+01,4.284021243e+01,9.771763184e+01,7.040578732e+01,3.130537734e+01,6.503163380e+01,2.905191327e+01,1.767722420e+01,1.381044431e+01,3.640485565e+01,4.311037528e+01,3.886233856e+01,5.853650141e+01,3.613478696e+01,7.190434259e+01,9.573658629e+01,9.137056129e+01,8.187054223e+01,4.571959766e+01,9.915069060e+01,2.888194401e+01,8.535138682e+01,9.269726976e+01,8.693515192e+01,7.656438942e+01,5.334860281e+01,4.028118025e+01,2.549172555e+01,3.256586981e+01,6.867179553e+01,9.420655151e+01,8.446342487e+01,7.499280200e+00,5.478879154e+01,5.162342976e+01,2.160326668e+01,2.256656263e+01,7.693497169e+01,6.907517119e+01
1.432268410e+01,9.144292918e+01,7.353020127e+01,1.986190055e+01,7.347768389e+01,7.156974589e+01,5.629174208e+01,7.246088216e+01,6.913144918e+01,3.518361672e+00,6.512022774e+01,1.278159290e+01,3.057026881e+01,7.023575177e+01,6.006685164e+01,6.154447410e+01,9.920925412e+01,8.930055884e+00,2.403308802e+01,4.580440701e+01,6.853379232e+00,6.213418282e+00,2.250546233e+01,7.756968947e+01,6.396469719e+01,7.940565832e+01,2.930160600e+01,9.200556504e+01,2.830154600e+00,1.356258987e+01,6.717577850e+00,7.027051093e+01,5.109352093e+01,4.046117871e+01,1.543806484e+01,6.932283243e+01,4.549221273e+01,9.470575361e+01,9.429830765e-01,9.088269700e+01,3.881052997e+01,8.256037001e+01,1.409524363e+01,7.398146600e+01,7.062804344e+01,5.895356105e+01,8.615989711e+01,8.365623819e+01,5.367540443e+01,7.957491864e+01,7.320203512e+01,2.979852581e+01,6.249879945e-01,9.300225260e+00,1.092845040e+01,5.673908463e+01,8.496281973e+01,4.192146879e+01,6.659625867e+01,7.723495449e+00,1.238548826e+01,5.116138019e+01,4.509924111e+01,7.121161447e+01,4.945140616e+01,7.176041647e+01,2.581212648e+01,1.871570199e+01,4.844617200e+01,7.020430872e+00,9.808040995e+01,2.680178512e+01,5.582334395e+01,1.207635458e+01,5.943648841e+01,5.618660128e+01,3.939213231e+01,1.070138577e+01,5.257348315e+01,6.244816766e+01,5.936101144e+01,8.325618347e+01,7.108458901e+01,3.784185017e+01,4.541807105e+01,6.742908167e+01,1.919905606e+01,6.019486474e+01,5.285214495e+00,6.910343455e+01,1.601002978e+01,2.541003261e+01,7.327979384e+01,3.270345875e+01,5.762434807e+01,4.477800622e+01,5.222771728e+01
2.523481930e+01,4.047283406e+01,4.149497483e+01,5.336407042e+01,7.068410275e+01,6.253456084e+01,8.104905731e+01,5.348751168e+01,9.914363261e+00,5.317057783e+01,6.604895902e+00,6.810716444e+01,5.941215845e+01,2.163077833e+00,4.181907467e+01,5.902906329e+01,3.979329384e+01,6.649153050e+01,5.699404082e+00,1.807334594e+01,5.396840306e+01,8.433742832e+01,2.339958878e+01,4.572638340e+01,5.759952652e+01,3.181883208e+01,6.450501049e+01,2.441970083e+01,1.969597750e+01,3.012610127e+01,2.761296104e+01,3.344556270e+01,2.131111125e+01,1.457971217e+01,9.559435586e+01,9.117694974e+01,6.069744268e+00,4.295692195e+01,3.790870179e+01,4.922970932e+01,7.640104035e+01,9.967400045e+01,2.687807196e+01,3.878732844e+01,3.261411171e+01,6.389833651e+01,7.760621551e+01,2.683399371e+01,1.110486538e+01,2.453081926e+00,2.603074378e+01,8.553195767e+01,5.589373527e+01,9.986479214e+00,9.380639741e+01,3.341112563e+01,2.040859973e+01,9.384793563e+01,3.197927924e+01,7.409628102e+01,2.472276162e+01,2.868395172e+01,7.101030547e+00,3.557831124e+01,3.863276523e+00,9.525122565e+01,7.534603951e+01,4.057347280e+01,1.165349182e+01,1.483777521e+01,7.806936798e+01,5.383982929e+01,3.189507267e+01,7.164454286e+00,6.876382265e+00,8.059089522e+01,1.618150708e+01,4.738211385e+01,8.938713448e+01,3.058323451e+01,9.271609231e+01,3.052214988e+01,3.765955163e+01,8.544439975e+01,5.149775992e+01,3.069943357e+01,2.763873307e+01,2.289056721e+01,9.121104322e+01,2.512628075e+01,8.329508627e+01,3.497863282e+01,8.645150780e+01,4.315978397e+01,5.319461315e+01,8.744062038e+01,7.899272057e+01
2.592853140e+01,4.844583970e+01,9.462887818e+01,3.764031493e+01,8.606763787e+01,7.622930292e+01,2.331421084e+01,8.372317394e+01,4.661889509e+01,6.913190315e+01,8.320464557e+01,4.640268035e+01,3.248658946e+01,6.370544195e+01,7.197395974e+01,6.886368797e+01,4.095884465e+01,9.656786396e+01,4.993875627e+01,5.485459838e+01,9.541252287e+00,1.764099197e+01,7.614064441e+01,3.978984170e+01,7.538933683e+01,8.468038725e+01,6.118139555e+01,4.220319044e+01,4.643036402e+01,3.336445059e+01,6.276979177e+01,2.563281951e+01,3.680711182e+01,2.985346971e+01,3.329819459e+01,2.853037296e+00,6.198567135e+01,7.589393520e+01,6.257383081e+01,2.712085797e+01,9.909028204e+01,2.138480846e+01,2.729310598e+00,2.944908662e+01,1.395772688e+00,1.425932989e+01,4.673260630e+01,3.027509632e+01,7.228481517e+01,3.310699246e+01,9.097189981e+01,4.093334505e+01,8.527772144e+01,5.842880485e+01,2.137550863e+01,3.622708371e+01,6.493058314e+01,9.351621250e+01,3.487962451e-01,4.755873472e+00,4.020168577e+01,6.310700876e+01,4.924772654e+01,2.420129786e+01,1.880339834e+01,6.371793088e+01,4.769419439e+01,1.040899759e+01,4.173215974e+01,1.222955699e+01,3.596318091e+01,9.052681418e+01,7.438631839e-01,2.200646977e+01,6.331277642e+01,2.060644663e+00,9.656910658e+01,9.290244541e+00,6.380929034e+01,1.244865551e+01,5.715598290e+01,9.429414294e+01,9.123920485e+01,3.539338557e+01,8.468798948e+01,9.618292056e+01,8.183940179e+01,3.197828382e+01,3.696952419e-01,3.374465683e+01,4.496703866e+01,1.875624148e+01,9.060099065e+01,8.141839789e+01,7.169567438e+01,3.652346021e+01,9.815290500e+01
5.772469817e+01,8.984822973e+01,5.146303254e+01,8.705995053e+01,2.755816164e+01,3.709772238e+01,7.795683116e+01,6.188425099e+01,7.622779540e+01,2.445738106e+01,5.350400933e+01,6.921916939e+01,9.477395384e+01,6.258225526e+00,4.756658045e+01,5.396138786e+01,3.897607441e+00,3.911629914e+01,4.890337494e+01,4.500306487e+01,3.622327115e+00,8.392295839e+01,7.064293546e+01,4.212764324e+01,3.940266762e+01,2.009392253e+01,7.805835862e+01,8.988883601e+01,3.969290643e+01,7.781729082e+01,1.220817450e+01,4.346981159e+01,1.044639764e+01,1.350207586e+01,6.082416064e+01,3.300057369e+01,4.308891020e+01,9.285376744e+00,4.179450173e+01,1.570596805e+01,6.748341149e+01,3.335784418e+01,6.274840812e+01,6.827341685e+01,2.058127361e+01,4.049874601e+01,9.611562936e+01,6.992810032e+01,4.694922456e+01,7.614232695e+01,9.261393159e+01,9.747182847e+01,6.376306911e+01,1.620084315e+01,8.699349767e+01,2.656213776e+01,2.763120750e+00,7.391857983e+01,2.630039959e+00,7.863275886e+01,1.891799728e+01,5.893154337e+01,4.761198955e+01,4.652525558e+00,9.253785885e+01,7.467042572e+01,4.471124234e+01,7.858329723e+01,5.297904867e+01,4.258622899e+01,9.739416118e+01,1.164339699e+01,9.211451488e+01,1.821005692e+01,8.087788789e+01,2.143257441e+01,9.882814040e+01,6.628529950e+01,9.405988732e+01,5.286958154e+01,6.753445404e+01,2.931610624e+01,8.241361980e+01,8.823610513e+01,7.012185062e+01,2.324609679e+01,5.933835066e+01,1.911836374e+01,5.675972602e+01,5.316720873e+01,2.294426791e+00,4.302468325e+01,6.574384237e+01,4.867575776e+01,3.790857736e+01,6.459880213e+01,7.526909682e+01
2.763398345e+01,8.333494515e+00,2.002077100e+01,3.535330244e+01,2.343546086e+01,2.058219399e+01,6.934619430e+01,9.205684286e+01,8.092057689e+00,7.356780951e+01,6.770174948e+00,8.696589501e+01,7.529757537e+00,2.495626518e+01,3.055012712e+01,6.105691264e+01,8.525632330e+01,9.038012048e+01,5.075805620e+00,7.372319540e+01,1.560750988e+01,9.894295822e+01,1.862689845e+01,9.180579284e+01,2.031376392e+01,8.523062633e+01,6.219625768e-01,6.394249242e+01,5.006565369e+01,7.364638697e+01,8.330358639e+01,8.564197198e+01,3.167194176e+01,8.079164529e+01,4.480050710e+01,7.173119536e+01,3.058507981e+01,5.696257550e+01,8.749449424e+01,3.393344046e+01,2.720679577e+01,2.651815795e+01,5.016508762e+01,3.669999501e-01,7.717474831e+01,6.319145157e+00,6.613634920e+01,9.725368960e+01,7.515641646e+01,2.945133291e+01,9.710718990e+01,7.381415203e+01,1.593064369e+01,9.659703968e+01,2.454044977e+01,1.521833129e+01,6.279000851e+01,6.183161480e+01,3.901944147e+01,1.377144951e+01,2.229851235e+01,8.919681915e+01,7.218188003e+01,8.960541918e+01,8.229640334e+01,3.965712233e+01,8.070999872e+01,5.341039215e+01,8.413389201e+01,8.100037029e+01,2.805942059e+01,5.722224063e+01,6.520106411e+00,4.878918357e+00,5.214639443e+01,4.954673226e+01,3.075141360e+01,1.687084635e+01,4.864408431e+01,5.445763267e+01,2.156072047e+01,8.349915367e+01,6.149571888e+01,6.960625449e+01,9.373006543e+01,4.919601536e+00,2.957317125e+01,4.714820996e+01,4.212931890e+01,8.709722429e+01,5.403663377e+01,3.247192944e+01,7.064489548e+01,9.367564262e+01,2.867268493e+01,5.143463288e+01,6.136460606e+00
8.473066700e+01,1.885047446e+01,5.632837941e+01,1.034372123e+01,9.796171919e+01,1.876847554e+00,4.059393143e+01,6.525749878e+01,3.273325004e+01,4.184853886e+01,2.460988554e+01,5.541725326e+01,9.617770126e+01,9.280411793e+01,2.332147141e+01,3.683749433e+01,2.138225692e+01,5.293743648e+01,1.912182412e+01,5.157449914e+01,7.572270155e+00,5.651330431e+00,9.892899194e+01,7.748138531e+01,9.758323777e+01,1.860493393e+01,3.249987376e+01,7.319668846e+01,9.255100540e+01,7.849454530e+01,8.302495260e+01,1.918476210e-01,3.119405311e+01,8.499932870e+01,1.917986770e+01,1.776008591e+00,3.187401350e+01,4.558069987e+01,6.784685115e+01,4.855776152e+01,8.704857528e+01,4.286512548e+01,2.576779255e+01,7.358761396e+01,2.689366443e+01,2.020413413e+01,3.564515058e+01,7.739631590e+01,3.815898839e+01,8.384619116e+01,2.372428977e+01,5.093480863e+01,5.867729383e+01,9.316029930e+01,2.445793003e+00,3.305935587e+01,6.839376442e+01,7.640599071e+01,6.362459300e+00,5.330128091e+00,2.103342086e+01,6.587559635e+00,5.017476007e+01,5.115560817e+01,3.630048020e+01,1.447352181e+01,7.953054762e+01,4.308906576e+01,1.004033528e+01,8.326216551e+01,3.381384946e+01,2.548675237e+01,6.604277365e+01,6.518377717e+01,2.615739975e+01,5.591384367e+01,5.902879973e+01,6.670821868e+01,9.483579010e+01,4.650721933e+01,1.004372523e+01,2.321536901e+01,9.433526937e-01,7.494773070e+01,6.563158073e+01,3.168674363e+01,3.945879764e+01,9.416037710e+01,3.145347292e+01,3.402612551e+01,5.653727694e+01,3.500083243e+01,8.274338656e+01,7.847802919e+01,3.173761385e+01,7.440888010e+01,2.899102910e+01
4.951173577e+00,9.858461291e+01,6.187526602e+01,4.827956541e+01,7.361713682e+01,4.735768820e+01,5.904947669e+01,4.136813710e+01,4.774769881e+01,9.871771381e+01,8.964000152e+01,5.785281847e+01,9.896399720e+01,7.515339687e+01,1.777448514e+01,4.125761913e+01,3.646528413e+01,6.910011976e+01,3.040256739e+01,7.990460704e+01,4.521850681e+01,5.950721481e+01,6.630749286e+01,4.733397062e+01,3.680482106e+01,6.476342576e+01,4.438797448e+01,5.282671094e+01,8.913023064e+01,6.706013440e+01,7.387947409e+00,4.808089293e+01,8.611371938e+01,3.027391300e+01,3.972384089e+01,4.148561587e+01,9.659796152e+01,1.049228559e+01,6.526338832e+01,2.664110837e+01,6.635507548e+01,7.639342315e+01,8.255856406e+01,8.079942258e+01,9.839664685e+01,9.837284500e+01,9.085106936e+00,1.621690790e+01,9.312031030e+01,2.730221598e+01,9.532121963e+01,9.032764296e+01,9.986341148e+01,6.404735174e-01,3.835616701e+01,3.954143118e+01,3.613012574e+01,6.666014936e+01,7.875689608e+01,6.039558615e+01,7.396397946e+01,9.228432377e+01,9.569837743e+01,2.691893604e+01,9.227411466e+00,6.939951456e+01,9.017049411e+01,9.665659714e+01,4.409670183e+00,1.951044461e+01,6.320691591e+01,4.272514956e+01,4.289097440e+01,5.096091796e+01,2.124017129e+01,2.909826476e+01,1.192911193e+01,1.186139634e+01,6.958886394e+01,9.227282438e+01,7.334752102e+01,5.059778728e+01,8.262210291e+00,2.910067407e+01,1.197697718e+01,5.548515594e+01,2.613476799e+01,6.251812855e+01,3.227003645e+01,8.907028756e+01,2.782438453e+01,7.645727981e+01,3.982130799e+01,4.694217074e+01,7.616526489e+01,8.327189346e+01,9.589078135e+01
8.192105470e+01,7.178671433e+01,5.067321936e+01,4.357572054e+01,9.483023178e+01,3.209923278e+01,8.378674684e+01,8.286227165e+01,8.893932481e+01,4.830907296e+01,1.928978844e+01,8.333115980e+01,2.642619835e+01,2.617528151e+01,3.420725535e+01,8.675266110e+01,4.013841193e+01,6.555609877e+01,1.553903600e+01,7.341309096e+01,9.640138751e+01,1.023275338e+01,5.294534020e+01,9.343804052e+01,7.582107559e+01,1.519723849e+01,5.887162872e+01,7.759361756e-01,3.830454536e+01,6.375952761e+01,5.642774224e+01,4.971333836e+01,8.707227197e+01,7.618639656e+00,7.572962652e-01,2.152054367e+01,2.832755266e+01,5.840622504e+01,4.720547844e+01,8.356431348e+01,4.597066749e+01,7.108262460e+01,6.662264937e+01,8.851560611e+01,1.296427397e+01,4.508549325e+01,2.642445352e+01,4.173045829e+00,4.231459782e+01,6.702226008e+01,3.422915819e+01,5.503357227e+01,1.269039824e+01,1.396840788e+01,6.337641051e+01,3.613494674e+01,8.143830796e+01,3.252629406e+01,3.058986495e+01,5.193333735e+01,9.590946996e+01,3.236441948e+01,6.588573592e+01,1.053934499e+01,4.848094678e+00,1.979785113e+01,8.623068574e+01,9.781435846e+01,8.279247667e+01,2.626813415e+01,9.252767345e+01,5.372921735e+01,5.687197171e+00,1.413245521e+01,8.512784003e+00,2.955102294e+01,8.134898384e+01,9.052844536e+01,5.447056662e+01,7.236524151e+01,6.794974952e+00,4.693176513e+01,9.440738339e+01,9.720730055e-01,4.946193041e+01,5.675600780e+01,5.439660718e+01,5.627685444e+01,5.744509781e+01,1.706669261e+01,4.750032690e+01,9.634886463e+01,4.507407843e+01,5.086255026e+01,4.283556452e+01,4.575801855e+01,8.655493012e+00
4.137722890e+00,7.614152647e+01,1.168284127e+01,1.272670076e+01,2.656680356e+01,4.647966661e+01,6.391842886e+01,2.897718455e+01,1.063621966e+01,8.673818108e+00,6.137895878e+01,9.233140001e+00,5.210560410e+01,9.119328292e+01,3.784721984e+01,2.974638132e+01,2.926819889e+01,2.555342405e+01,7.574525355e+01,7.633594435e+01,5.195032215e+01,8.137877718e+01,1.063588988e-01,9.900267664e+01,4.430447224e+01,7.729029258e+00,6.672907727e+01,4.714965747e+01,1.638025259e+01,7.372931645e+01,7.925081532e+01,7.282481057e+01,6.066183504e+01,6.008539787e+01,5.560287323e+01,1.680211769e+01,8.868455114e+01,8.601671596e+01,2.413593683e+01,1.316238389e+01,9.867773393e+01,9.376557961e+01,5.552304571e+01,2.059440735e+01,4.883175087e-02,8.368030260e+01,1.265851359e+01,3.806269811e+01,5.116237467e+01,2.512217929e+01,3.012916680e+01,1.053251131e+01,1.556198816e+01,2.406808112e+01,4.284626374e+01,4.286299975e+01,1.803871914e+01,4.488828734e+01,7.867719983e+01,9.227026395e+01,3.586811063e+00,7.393941079e+01,4.695176128e+01,9.547698114e+01,7.854526055e+01,2.184059775e+00,9.451025729e+01,1.944422190e+01,3.441748009e+01,5.950449244e+01,7.051910677e+01,6.559389837e+01,8.186459197e+00,2.736952588e+01,4.998264796e+01,9.721417842e+01,5.790612163e+01,7.622926090e+01,1.993278118e+01,5.987982669e+01,7.769601466e+01,4.053932081e+00,7.255369216e-01,6.573389016e+00,8.318016232e+01,7.787085540e+00,8.650523514e+01,8.696984505e+01,2.545984174e+01,9.294624233e+01,6.039360983e+01,2.231300374e+01,3.774168181e+00,5.747512796e+01,5.003685245e+01,4.870541611e+01,8.994580594e+01
