v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98
8.734625129e+01,9.372667813e+01,8.362019286e+00,8.440784351e+01,9.298395412e+01,8.182407974e+00,8.124671610e+01,3.001887946e+01,9.369513222e+01,1.684083762e+01,8.522281120e+01,9.344141708e+01,5.811145255e+01,7.001752644e+01,9.540743165e+01,7.329922854e+01,6.615786626e+01,6.851138107e+01,3.926833083e+01,6.541024009e-01,4.484819558e+01,5.065855102e+01,8.191798953e+01,4.420983376e+01,6.834820869e+01,6.914927944e+01,6.644254661e+01,3.804214035e+01,4.710995677e+01,8.835525085e+01,8.978590021e+01,5.587158703e+01,5.975456994e+01,1.439559698e-01,1.687821768e+01,9.753608394e+01,4.388987560e+01,8.059647281e+01,8.291058341e+01,8.248900275e+01,2.790008291e+00,7.968896249e+01,7.496118914e+01,2.435331127e+01,1.319938456e+01,2.266312113e+01,8.953006861e+01,4.480397276e+01,6.539493628e+00,3.105220375e+01,8.507889469e+01,4.508344356e+01,1.646244913e+01,1.590181286e+01,4.456688293e+01,8.018325546e+01,4.297880857e+01,8.496161341e+01,7.438571297e+01,9.137630604e+00,3.530665977e+01,5.860022668e+01,2.312623872e+01,6.827525598e+01,8.775181802e+01,2.610845325e+01,7.387576522e+00,3.060514252e+01,7.463569981e+01,3.832106345e+01,2.205148184e+00,5.792462323e+01,8.150945589e+01,3.505445848e+01,6.489328555e+01,9.294517828e+01,9.063023255e+01,7.497502442e+01,3.777468064e+01,6.388771506e+01,4.417260744e+01,7.689388689e+01,9.454919372e+00,1.167604442e+01,8.396551790e-01,5.304158217e+01,9.530525491e+00,6.468707402e+00,1.684318493e+01,7.024761027e+01,8.204177673e+01,9.670540940e+00,6.671691194e+01,1.325500751e+01,6.496228901e+01,9.546115621e+01,7.951169073e+01,2.873179661e+01
6.089765874e+01,8.317120745e+01,8.250011647e+00,5.835576575e+01,4.412844511e+01,4.712245512e+01,4.040269482e+00,9.281264629e+01,9.988416788e+01,5.109875123e+01,3.786214440e+00,1.929943353e+01,6.969130840e+01,1.880117338e+01,8.407448889e+01,8.414528627e+01,9.276607520e+01,2.856121790e+01,5.391363561e+01,7.554300790e+01,3.973409989e+01,5.726593059e+00,2.459881492e+01,7.101914973e+00,6.662339040e+01,9.243641454e+01,4.888837029e+01,2.459006515e+01,5.233069457e+01,3.249831139e+01,6.717346710e+01,8.515213674e+01,6.806638487e+01,4.399054431e+01,1.461605099e+01,1.245987520e+01,5.630819901e+01,9.129908051e+01,7.097230465e+00,3.923725396e+01,3.296747890e+01,8.232159099e+01,1.869028289e+01,4.647277452e+01,2.142481665e+01,3.594666826e+01,1.583748132e+01,1.956798738e+01,7.755462994e+01,5.145498608e+00,9.776258101e+01,8.984943550e+01,2.527832157e+01,7.503421293e+01,7.306865042e+01,3.119987658e+01,7.316471821e+01,6.254438494e+01,6.927171961e+01,1.903530749e+01,7.463510821e+01,1.480260845e+01,2.106796756e+01,3.568206144e+01,9.735823591e+01,6.038667562e+01,5.881397563e+01,7.996247404e+01,5.928809706e+01,6.638815690e+01,4.266320535e+01,5.847494850e+01,1.722597516e+01,4.583893894e+01,5.456826607e+01,9.932309047e+01,8.252628737e+00,9.799477872e+01,9.826615499e+01,6.708719883e+01,3.286167537e+01,8.488112827e+01,3.137124817e+01,7.227797713e+01,9.814475852e+00,5.962875134e+01,6.103064645e+01,8.887016534e+01,7.341949623e+00,9.835383657e+01,6.372764846e+01,6.208795908e+00,4.607492113e+00,3.295170290e+01,5.163324537e+01,4.602094401e+01,9.017109690e+01,4.209868485e+01
2.673557336e+01,8.136980607e+01,3.561403121e+01,4.932523272e+01,8.061829373e+01,7.883376837e+01,5.475843797e+01,2.699821352e+01,7.734517493e+01,5.532658831e+01,1.226343779e+01,6.188586753e+01,8.062704019e+01,2.577061379e+01,5.822700575e+01,3.052957254e+01,9.535272531e+01,1.247420506e+01,4.297913536e+01,6.248604389e+01,2.761642915e+01,1.851468654e+00,9.743105733e-01,6.724264934e+01,7.075321275e+01,4.449119167e+01,6.658022341e+01,2.015949021e+00,4.953552775e+01,8.572612918e+00,2.845378850e+01,4.434906329e+01,3.456006007e+01,8.979555435e+01,1.349056007e+00,7.831630694e+01,5.946975777e+01,7.031705146e+01,2.799263897e+01,7.589236918e+00,5.544228091e+01,2.811567032e+01,4.340269956e+00,7.704770515e+01,5.622083328e+01,6.640140969e+01,1.395854725e+01,8.161517790e+01,2.949574636e+01,7.181183122e+01,3.025182088e+01,1.158246342e+01,9.877758420e+00,9.459128250e+01,2.662940670e+01,1.283480096e+01,8.347548604e+01,5.004597312e+01,8.353829957e+01,7.546000732e+01,1.479139879e+01,2.990263906e+01,1.706840576e+01,2.953047998e+01,5.513503874e+01,6.231745193e+01,5.639724493e+01,9.650956960e+01,2.504007066e+01,1.587522116e+01,6.749296662e+01,1.239232048e+01,5.609950643e+01,6.886655736e+01,2.150798776e+01,3.836126060e+01,5.410598663e+01,6.232531428e+01,2.310025614e+01,5.799845600e+01,6.746525834e+01,1.757577113e+01,8.535574149e+01,6.759813652e+01,9.985057471e+01,7.396294757e+01,1.712645120e+01,6.872183029e+00,9.492239945e+01,6.811263757e+01,4.708423853e+01,2.881914709e+00,3.569532016e+01,1.514888073e+00,7.439536231e+01,7.765458141e+01,3.301254585e+01,2.979674088e+01
1.988440827e+01,4.498121743e+01,4.028824751e+01,2.792689554e+01,4.394786386e+01,6.976145352e+01,1.979801996e+01,9.007571475e+01,9.477172732e+01,4.027573112e+01,3.542877169e+01,8.453866478e+01,9.517835192e+01,3.003277267e+01,9.538312361e+01,6.547717441e+01,3.673944805e+01,2.385500422e+01,7.767011728e+01,3.156170789e+01,3.918476695e+01,6.726755306e+01,6.368377556e+01,1.308302237e+01,7.812331636e+01,4.143086932e+01,1.563422331e+01,3.486414894e+01,8.614364580e+01,3.069795744e+01,1.663208507e+00,1.636761506e+01,3.957988166e+01,9.008589373e+01,1.991742521e+01,1.144860621e+01,8.550869479e+01,4.185459783e+01,4.255741547e+01,8.732850606e-01,4.162549960e+01,8.275241271e+01,2.150998962e+01,8.521599449e+01,6.197245913e+01,5.460186142e+01,2.575230973e+01,7.573122179e+01,7.234328608e+01,1.888880950e+01,4.715815799e+00,6.721800405e+01,2.587481267e+01,6.324892971e+01,5.374283055e+01,3.816107657e+01,2.533422530e+01,3.176930307e+01,4.603289627e+00,1.457978606e+00,4.856187334e+01,3.745238721e+01,6.883106834e+01,4.466813272e+01,3.202882500e+01,6.145345507e+01,4.115101825e+00,8.703357823e+01,3.670238775e+01,4.056533921e+01,6.059359785e+00,4.283834425e+01,3.768247513e+01,3.697246934e+01,5.860537092e+01,8.134752165e+01,9.599008311e+01,2.383265916e+01,4.013351402e+01,8.615309054e+01,2.156053420e+01,6.421470310e+01,9.290675428e+01,3.711012690e+01,2.122480220e+01,4.602898551e+01,6.293694688e+01,4.983943627e+01,2.127421132e+01,9.850853297e+01,1.166036647e+01,1.595997918e+01,5.321083791e+01,6.858008776e+01,1.208164740e+00,9.588327952e+01,1.673355517e+01,9.433942037e+01
8.689507970e+01,4.624024116e+01,1.874743426e+01,5.202661541e+01,4.584629863e+01,5.620677121e+01,6.843414739e+01,1.495976396e+01,6.799832385e+01,5.450341130e+01,4.676425493e+01,4.589509917e+01,2.974734994e+01,3.504910434e+01,8.609103505e+01,1.705253409e+01,3.260148706e+01,2.140530194e+01,5.158914995e+01,9.611795823e+01,9.064843414e+00,6.262087052e+00,8.949826646e+01,6.515586379e+01,3.308627961e+01,1.166498959e+01,9.010137187e+00,2.551801177e+01,1.061525742e+01,6.540643440e+01,8.072006135e+01,1.136728401e+00,9.112384229e+01,9.965629255e+01,2.253898644e+01,9.205330674e+01,4.926158247e+00,2.315055285e+01,1.245029304e+01,5.220168899e+01,4.198843158e+01,4.494541503e+01,4.428755545e+01,2.805833989e+00,2.538866167e+01,2.175109212e+01,9.415709479e+01,9.023890378e-01,4.099187167e+01,9.363434814e+00,6.618722901e+01,8.465274576e+01,6.904285678e+01,3.050911594e+01,2.520205799e+01,6.135128536e+01,5.724236410e+01,2.427053410e+01,2.573207351e+01,7.517257052e+01,4.669118180e+01,2.110353740e+01,5.115022146e+01,3.592641266e+01,8.462306330e+01,1.304859931e+00,9.434648661e+00,8.943394274e+01,3.159852316e+01,2.914741859e+00,1.292243218e+01,9.705591254e+01,8.243851235e+01,8.776126249e+01,2.110862039e+00,3.406881875e+01,1.398407782e+01,4.061954089e+01,7.480578514e+01,4.804845291e+01,1.671686980e+01,7.122269536e+01,7.715400099e+01,7.291775245e+01,9.619895878e+01,1.897137662e+00,1.498852239e+01,1.203173284e+01,9.583115979e+01,1.969603832e+01,1.518168783e+01,4.839982009e+01,2.154886065e+01,9.218890340e+01,7.274179789e+01,5.562991398e+00,5.775173937e+00,6.964817219e+01
9.600425778e+01,7.186978502e+01,6.446623334e+01,9.873559936e+01,8.901520939e+01,9.174481004e+01,2.659220367e+01,2.985330762e+01,3.507603726e+01,6.994367020e+01,5.488005372e+00,3.561411606e+01,3.583803262e+00,6.603647233e+01,8.903070192e+01,9.582590617e+01,2.461857145e+01,8.899997411e+01,6.976092573e+01,9.260336171e+00,1.913539232e+00,1.870180461e+01,1.783747936e+01,7.703198815e+01,5.430354673e+01,5.945904409e+01,5.887464378e+01,7.505876414e+01,8.592481838e+01,4.204969594e+00,5.041769905e+00,1.502336855e+00,5.699529388e+01,7.368652694e+01,8.532656351e+01,6.337643227e+01,9.691117214e+00,2.628078052e+01,6.311542219e+01,3.836281305e+01,2.810752963e+01,4.473832907e+01,3.183245187e+01,9.376835099e+01,4.315640022e+01,9.059138750e+01,8.936260934e+01,5.163427394e+01,2.532673966e+00,8.682287506e+01,2.787061800e+01,1.652764334e+01,9.938968821e+01,3.448780338e+01,8.107130028e+01,6.943599537e+01,3.573811442e+01,8.265719709e+01,8.414302848e+01,5.863580068e+01,2.629353589e+01,6.530529720e+01,7.963060570e+01,8.024040008e+01,8.137833793e+01,5.129186765e+01,5.842436956e+01,4.340237327e+01,3.666867251e+01,1.654459398e+01,6.624772779e+01,5.655902932e+01,2.454858663e+01,2.531878846e+00,6.147636154e+01,2.657672353e-01,5.034329283e+00,1.062395101e+01,7.361532615e+01,1.311259896e+01,8.877197635e+01,7.219040570e+01,7.885824860e+01,2.549242073e+01,3.803222820e+01,8.984820357e+01,2.021620440e+01,5.680098759e+01,3.539792782e+01,6.893610318e+01,3.800938502e+01,1.914050500e+01,6.916520337e+01,3.243305501e+01,3.987293543e+00,9.754873069e+01,5.588615983e+01,1.274968556e+01
5.049903530e+01,8.893147035e+01,1.074307459e+01,3.241707293e+01,9.600283695e+01,5.463347307e+01,6.619135781e+01,6.802760849e+01,1.029607614e+01,1.012411615e+01,3.446188910e+01,5.733206751e+01,8.407441337e+01,5.420364487e+01,2.198227395e+01,9.107284606e+01,9.290653423e+00,7.854099010e+01,1.509182357e+01,1.935872972e+00,5.694275657e+01,2.786430620e+01,3.331748125e+01,9.282505140e+01,7.184184140e+01,7.188035019e+01,9.852086123e+01,5.132245978e+01,3.742241299e+01,1.515457939e+01,7.105071682e+01,5.527625610e+01,7.317310762e+01,6.898441787e+01,9.957986762e+01,7.969769652e+01,8.172437976e+01,3.509322214e+01,7.389197173e+00,5.518182927e+01,1.849914631e+01,9.981429397e+01,5.657180296e+01,2.509329165e+01,6.748367631e+01,2.644444289e+01,5.103559528e+00,9.250471576e+01,2.469656832e+01,8.109628653e+01,1.393239874e+01,9.182811571e+01,9.165605281e+01,9.408425292e+00,9.649789022e+00,9.314301318e+01,8.194326187e+01,4.203065144e+01,6.147432756e+01,3.860306159e+01,8.088213635e+01,7.973089923e+01,5.802867005e+01,8.831847411e+01,6.782141009e+01,4.796734434e+01,7.784042770e+01,2.498329156e+01,6.449218189e+01,7.598720960e+01,3.308466640e+01,9.928113023e+01,3.051461454e+01,7.081007768e+01,7.076234322e+01,2.151001230e+01,5.983886547e+01,5.833169068e+01,4.577634363e+01,3.418941157e+01,3.982463271e+01,3.528330160e+01,5.958201607e+01,4.082489871e+01,5.841858047e+01,5.727728205e+01,8.095365630e+01,4.075700002e+01,3.611065465e+01,2.154654684e+01,9.855459490e+01,9.989694629e+01,3.498484516e+01,3.502410093e+01,2.628170563e+01,4.290920507e+01,3.223320271e+01,3.966743062e+01
2.325302079e+01,4.611966619e+01,5.970764894e+01,6.259077656e+01,4.809696750e+01,9.815378217e+01,8.265199292e+01,8.518427182e+00,7.583096874e+00,8.839401950e+01,5.655142491e+01,4.949423132e+01,1.662446148e+01,7.449173748e+01,5.541166415e+01,4.447369922e+01,7.900174968e+01,8.874803661e+01,8.591942161e+01,1.145849702e+01,6.523937466e+01,9.478545593e-01,4.658359633e+00,7.252846205e+01,2.265107236e+01,8.755897606e-01,7.970833274e+01,3.282407903e+01,6.004478491e+01,1.286406674e+00,2.484243049e+01,6.424132918e+01,5.593551028e+01,6.815218049e+01,9.303955907e+01,7.808400241e+01,3.575502237e+01,6.940834859e+01,7.156339154e+01,7.180943519e+01,4.895911812e+01,9.799813838e+01,6.901719336e+01,5.890741796e+01,5.882860636e+01,8.091642260e+01,8.264679640e+01,2.144461881e+01,4.611043236e+01,4.680148271e+01,1.021398171e+01,5.744051449e+01,5.681390924e+01,8.140383809e+01,3.131496733e+01,7.679832962e+01,2.776119742e+01,8.126201270e+01,2.528556159e+00,6.899838634e+01,7.016938317e+01,4.549412747e+00,2.450481358e+01,7.672775148e+01,4.416813078e+01,4.545415555e+01,7.519034448e+01,8.655319417e+01,5.160331017e+01,3.298168659e+01,4.105338553e+01,3.055855249e+01,1.570047905e+01,3.559051157e+01,7.206547503e+01,1.556001180e+00,1.225637681e+01,9.392038584e+01,2.143445989e+01,1.168471281e+01,2.178436691e+01,2.357306205e+01,2.973107876e+01,4.591764939e+01,1.070747869e+01,9.340146617e+01,8.873780738e+01,7.068087467e+01,1.025741157e+01,4.701034597e+01,1.570181355e+01,9.825115274e+01,1.380827394e+01,3.195791038e+01,8.144502538e+01,5.966678700e+00,3.266678092e+01,4.419228107e+01
9.665864083e+01,8.359880259e+01,7.315522985e+01,8.820772450e+01,1.339955456e-01,6.731399396e+01,6.935212201e+01,4.719119160e+01,3.816682777e+01,8.082065853e+01,6.275269115e+01,8.193082253e+01,9.090307492e+01,7.577465211e+01,7.112888551e+01,8.064403320e+01,7.277892620e+01,2.071058320e+01,6.277167287e+01,8.035415398e+01,8.968754348e+01,1.195692945e+01,2.337716187e+01,3.588359016e+01,4.879823197e+01,1.142522345e+01,8.908610937e+01,6.640553195e+01,2.509550432e+00,4.035015019e+01,3.572557800e+01,7.247422122e+01,1.506347471e+01,8.582852979e+01,3.141998150e+01,3.780413080e+01,5.407389844e+01,8.853092871e+01,4.263128006e+01,6.140829238e+01,9.635198663e+00,9.271678339e+00,2.304016343e+01,4.307301454e+01,5.066344187e+01,5.330755160e+01,5.534265460e+01,8.031873548e+01,9.633070070e+00,6.293781322e+01,9.123786957e+01,6.643735355e+01,6.398844338e+01,8.577099480e+01,3.644548044e+01,6.525937044e+01,5.335905003e+01,8.643008522e+01,5.926002556e+00,2.829397971e+01,2.149490905e+01,8.783322785e+01,6.954272046e+01,5.422217069e+01,4.391228995e+01,4.316934069e+01,2.829723533e+01,9.808124657e+01,8.045646651e+01,3.555689725e+01,3.133690258e+01,2.539030622e+01,2.490486810e+01,6.013955434e+01,3.634948568e+01,8.130072340e+00,6.160931544e+01,6.597618819e+00,2.527272903e+01,7.782405101e+01,1.190458381e+01,9.509952248e+01,2.230621476e+01,3.140668955e+01,4.925820282e+01,8.204256853e+01,2.145528214e+01,3.888540713e+01,8.287971043e+01,1.033547322e+01,2.685197283e+01,5.581033715e+01,4.104013256e+01,7.167473258e+01,1.050822964e+01,3.350718667e+01,7.315054460e+01,3.423076821e+01
2.423990032e+00,3.785440828e+01,3.965491369e+01,7.861830272e+01,9.952557510e+01,9.461280932e+01,4.227707369e+01,4.903196058e+01,3.591588592e+00,7.498159785e+01,2.190839988e+01,9.417609231e+00,8.815970017e+01,2.509099119e+01,4.097925685e+01,4.569837470e+01,1.950493372e+01,8.535725101e+01,7.648942240e+01,8.437328893e+01,6.031907559e+01,3.519571674e+01,6.796921990e+01,6.962488500e+01,6.040837748e+01,6.867443589e+00,4.744544351e+01,1.651218862e+01,5.658283367e+01,9.003694690e+01,6.381352016e+01,9.003860207e+00,6.566674594e+01,8.388144362e+01,1.546159461e+01,3.974422892e+01,8.155545576e+01,4.031643797e+01,9.628219936e-01,1.805537878e+01,3.182895912e+01,8.342405409e+01,5.153346522e+01,3.370302581e+01,3.827054026e+01,9.145898355e+01,2.286328654e+01,4.797011799e+01,3.896925821e+01,9.233745800e+00,5.641377663e+01,4.617678628e+01,1.811042014e+01,4.352444170e+01,1.620906061e+01,9.248991918e+01,7.375653531e+01,7.642451258e+01,4.453118583e+01,6.743845002e+01,2.381040158e+01,3.966876190e+01,2.685665186e+01,9.602119775e+01,9.025230556e+01,5.920095192e+01,2.245155776e+01,7.351985355e+01,1.974336769e+01,3.106304486e+01,4.365030739e+01,8.426292426e+00,1.156512288e+01,8.237956520e+01,2.234305431e+01,3.291321492e+01,2.264379800e+01,6.252353696e+01,2.540903901e+00,1.579016841e+01,3.311355005e+01,5.996406848e+01,8.819571638e+01,1.814708520e+01,8.405290828e+01,8.524912378e+01,9.189704376e+01,6.499706804e+01,5.285131019e+01,6.723415453e+01,7.194816228e+01,6.568194084e+01,9.154006075e+00,3.043012517e+01,6.432777604e+01,6.164372712e+01,5.985725906e+01,3.712066335e+01
