v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99
7.158783313e+01,6.737039209e+01,9.078966170e+01,4.761060491e+01,4.972953259e+01,5.596532944e+01,1.948310578e+01,3.666290959e+01,6.412864050e+01,1.324394951e+01,8.625081621e+01,7.773004806e+01,5.018177405e+01,9.171109380e+00,3.559648011e+01,1.177120930e+01,2.150745315e+00,1.548474346e+01,4.429256786e+01,4.977857723e-01,6.143946296e+00,2.828022014e+01,6.060351187e+01,8.928936921e+01,4.362843203e+01,5.576628996e+01,5.830344824e+01,8.254310983e+01,6.085665381e+01,2.271342364e+01,6.446663234e+01,2.157802254e+01,5.771401708e+01,1.779271079e+01,7.923610539e+01,8.797493192e+01,7.873911161e+01,3.916216662e+01,1.403201100e+01,7.150054983e+01,5.603160964e+01,8.684733391e+01,6.839092786e+01,3.924031090e+01,2.790219167e+01,3.367143816e+01,7.482719328e+01,9.028689447e+01,3.272963840e+01,9.034883088e+01,9.198185200e+01,7.156331576e+01,6.275798871e+01,4.942278281e+01,7.431200065e+01,4.971027118e+01,9.849616174e+01,3.955464291e+01,6.207322515e+01,9.594729208e+01,5.886349800e+01,4.685074916e+01,8.168187347e+01,8.285670044e+01,3.334251183e+01,4.279713754e+01,9.241026838e+01,1.128679769e+00,9.877875617e+01,9.371356767e+01,7.611689167e-01,4.011455749e+01,8.522809852e+00,7.222443878e+01,5.866082631e+01,5.424336692e+01,9.998986062e+01,2.384144736e+01,6.113609212e-01,5.943868810e+01,6.939724428e+01,2.759497847e+01,7.110058300e+01,8.502710568e+01,9.439137487e+01,4.832346673e+01,6.997817947e+00,5.341060976e+01,2.265116795e+01,9.549696155e+00,3.995349480e+01,8.823961433e+01,1.524978641e+01,9.606940649e+00,8.096244298e-02,9.323403732e+01,7.527722099e+01,8.224049999e+01,7.543799424e+01
5.533520765e+01,7.529351979e+01,7.742727315e+01,1.777560525e+01,8.632883654e+01,9.967111185e+01,1.206158076e+01,9.484187605e+01,6.874569646e+01,4.060416485e+01,5.295856624e+01,8.168447093e+01,4.542930110e+01,9.794468953e+00,2.917080250e+01,1.473142843e+01,5.950216179e+01,2.113352147e+01,8.215397321e+00,7.370184519e+01,3.595873771e+01,7.512634836e+01,8.780545455e+01,8.691334787e+00,8.274459166e+01,2.632243329e+01,2.374346114e+01,8.323593923e+01,6.994598486e+01,4.676753781e+01,5.881542138e+01,9.532609059e+01,9.529944356e+01,3.569338017e+01,7.343161975e+01,2.275206717e+00,6.587172802e+01,9.992639077e+01,1.792474408e+01,3.011637271e+01,7.056798994e+01,9.880447526e+01,9.274531755e+01,4.880733803e+01,1.788429221e+01,1.885153333e+01,1.990597595e+01,3.937271295e+01,1.131725750e+01,9.832753003e+01,1.086135527e+01,6.776263074e+01,7.502690481e+01,1.638301259e+01,5.018982713e+01,1.102621026e+01,2.487580570e+01,6.031058168e+01,5.987425680e+01,1.273421899e+01,8.057696907e+01,4.354663998e+01,6.758364077e+01,3.025701203e+01,7.222791586e+01,3.999612100e+00,8.074646951e+01,1.760932192e+01,8.991969370e+01,3.632019153e+01,2.010006533e+00,6.950101755e+01,7.100691291e+01,1.292206623e+01,6.061542706e+01,4.596092866e+01,5.791293184e+01,9.217954932e+01,8.069858623e+01,2.513716452e+01,7.670757936e+01,2.083697652e+01,1.476487125e+01,8.078949569e+00,6.401645766e+01,1.222556898e-01,3.901802454e+01,9.853830512e+01,1.553196396e+00,4.345328262e+01,9.348928023e+01,1.390186455e+00,9.928165958e+01,7.232314728e+01,1.880503065e+01,5.517430591e+01,6.297374364e+01,5.821853168e+01,1.832467912e+01
1.642640219e+01,6.720187756e+01,1.215534192e+01,8.822880453e+01,5.334025729e+01,6.521145363e+01,2.818388624e+01,2.094653234e+01,4.232729640e+01,1.743988392e+01,8.177792907e+01,3.820173437e+01,8.497275870e+01,1.565258091e+01,9.398866705e+00,3.656064127e+01,2.577386078e+01,6.259394608e+01,3.327472865e+01,2.322215682e+01,8.651339934e+01,5.599842923e+01,9.150168556e+01,4.945815261e+01,5.384491679e+01,5.086839645e+01,5.672697089e+01,3.626304848e+01,7.579596135e+01,8.462405981e+01,7.250143182e+01,1.000725592e+01,4.146216090e+01,6.117001345e+01,8.463967663e+01,1.233910457e+01,7.222392058e+01,8.392766526e+01,5.209301086e+01,3.172491303e+01,9.662918836e+01,5.381882194e+00,6.455305104e+01,5.642802967e+01,7.721851142e+01,7.710495214e+01,6.567626183e+01,4.784851533e+00,4.607004989e+01,9.098346968e+01,2.625030846e+01,5.651185368e+01,8.524505382e+01,6.170498795e+01,6.537831343e+01,2.353281265e+01,2.188905574e+01,2.798087854e+01,8.112429633e+01,5.124103414e+01,8.752689126e+01,9.013159713e+01,3.025846722e+01,4.698965463e+01,1.466557213e+01,1.647532341e+01,6.154152887e+01,2.129289834e+01,8.345731549e+01,3.212712239e+01,9.260573224e+01,5.309231991e+01,3.031585439e+01,6.339861441e+01,2.422037324e+01,3.679990304e+01,6.781134760e+01,1.602767166e+01,4.193580172e+01,9.443786389e+01,2.864596473e+01,1.462386329e+01,9.644345243e+01,1.933530611e+01,1.602900718e+01,7.827121058e+00,8.467319060e+01,8.279000556e+00,6.961684687e+01,8.847330807e+00,4.984402186e+01,7.750992820e+01,8.205749526e+01,2.854487519e+01,6.401176349e+01,1.629903009e+01,3.515390484e+01,4.802832406e+01,3.224672694e+01
9.093296301e+01,2.147682934e+01,7.197789754e+00,1.157705771e+01,4.272810436e+01,5.268199241e+01,1.598618310e+01,5.457763370e+01,4.100863017e+01,9.112852366e+01,9.953687534e+01,4.569303215e+01,8.752318049e+00,4.153314074e+01,1.450768959e+01,5.965361212e+01,5.099658923e+01,1.089459465e+01,4.430461937e+01,5.751807031e+01,9.306024502e+01,9.341786731e+01,4.626504283e+01,4.512132959e+01,8.104470889e+01,4.718936341e+00,6.565968773e+01,9.679026717e+01,8.904983214e+01,3.639236276e+01,4.655058323e+01,3.258490195e+01,3.095616481e+00,7.841922836e+01,6.886025064e+01,9.595715519e+01,5.824581791e+01,9.149573151e+01,7.888461524e+01,3.147295177e+01,9.566306150e+01,3.427690370e+01,2.571806222e+01,9.201497029e+01,8.137447896e+01,1.012958436e+01,2.960808545e+01,7.878972747e+01,3.146990138e+01,9.506678173e+01,7.309323922e+01,7.399820478e+01,5.312435749e+01,2.797127576e+01,7.847349616e+00,7.130927231e+01,9.151848244e+01,1.634382031e+01,5.464700334e+01,2.636161638e+01,4.143667065e+01,7.631813466e+01,1.815679801e+01,2.586437039e+01,8.929086032e+01,5.605481075e+01,1.235399719e+00,9.116555592e+00,6.607188696e+01,9.300423042e+01,8.940008190e+01,4.675692741e+01,6.588435948e+01,2.641490971e+01,6.429936951e+01,6.568225081e+00,9.068094571e+01,1.099943724e+00,2.296382617e+01,4.298785859e+01,6.578342109e+01,9.398748648e+01,1.189689067e+01,5.612977404e+01,1.933808683e+00,9.112279344e+01,9.156267289e+01,4.650368796e+01,9.767740812e+01,1.812646820e+00,4.492176221e+01,2.076434812e+01,5.984011465e+01,6.577709647e+01,6.246386659e+01,4.324586067e+01,8.849130888e+01,6.814171940e+01,9.013488904e+01
9.925704515e+01,2.115175249e+01,4.433404123e+00,1.740776175e+01,8.095984753e+01,3.331551799e+00,4.748339769e+01,5.638662737e-01,1.298140778e+01,3.532231810e+01,7.372526647e+01,3.021277491e+01,4.831999749e+01,7.243047689e+01,4.332387641e+01,6.151258225e+01,2.843206723e+01,1.160109576e+01,7.430263370e+01,4.031513272e+01,3.699887060e+01,1.855890461e+01,3.851505014e+00,4.105889738e+01,6.156454438e+00,6.015152157e+01,8.464101419e+01,5.859318961e+01,3.554839659e+00,3.776257557e+01,1.917561792e+01,2.598845985e+01,1.670468264e+01,8.537067515e+01,4.862765447e+01,3.730734415e+01,1.659384105e+01,8.415977950e+01,5.852205589e+01,6.846245269e+01,1.925096759e+01,7.724479523e+00,6.474252646e+01,8.429871542e+01,1.467759166e+01,3.563122225e+01,5.671472537e+00,5.870537316e+01,8.614423810e+01,5.202534979e+01,8.269475714e+01,1.591850364e+01,2.817411803e+01,4.293307363e+01,3.217718701e+01,8.806930470e+00,6.376686505e+01,2.745246430e+01,1.423196372e+01,7.933677688e+01,4.695316986e+00,7.417016057e+01,7.256108592e+01,6.915564101e+01,7.342902140e+01,5.422208213e+01,4.305560212e+01,8.060628834e+01,2.478023062e+01,3.722426766e+01,1.745606773e+01,8.857040276e+01,7.412082641e+01,7.935140219e+01,6.244285472e+01,9.997423699e+00,5.129628973e+01,9.197655463e+01,8.407866984e+00,6.476462935e+01,5.282673642e+01,2.354048622e+00,6.973198628e+01,4.352757550e+01,2.467961696e+01,2.974044261e+01,9.231116397e+01,3.501994194e+01,1.130750551e+01,1.587333860e+01,1.095773117e+01,7.317409822e+01,8.087912389e+01,9.201869780e+01,8.746251646e-01,7.526287924e+00,4.994315763e+01,5.659692297e+01,5.318559386e+01
6.760674490e+01,6.431203335e+01,8.948866737e+01,9.200742278e+01,8.070101934e+01,5.618817828e+01,6.480243059e+01,3.341766508e+01,3.158333014e+01,7.157820003e+01,5.579748988e+01,9.004471457e+01,9.202233946e+01,8.471175974e+01,8.545687041e+01,5.557792772e+01,9.295104812e+01,5.732555367e+01,4.795987407e-01,7.956694143e+00,6.648284082e+01,7.622580630e+01,9.525199694e+01,5.453592634e+00,9.038758718e+01,7.878928638e+01,2.246590819e+01,6.707087748e+01,3.334670656e+01,1.946432916e+00,3.009368394e+01,4.794761686e+01,5.577358069e+01,3.584620339e+01,8.317967843e+00,3.217520660e+01,4.726006373e+01,9.316277691e+01,7.516665113e+01,4.370572665e+01,2.449082001e+00,4.027860262e+01,5.729155549e+01,3.870469836e+01,1.699502559e+01,6.063896587e+01,1.427783823e+01,7.888033719e+01,1.332156421e+01,3.829415700e+01,2.428652825e+01,3.167293684e+01,2.113803425e+01,8.604885587e+01,2.840493462e+01,8.011823447e+01,8.477327420e+01,8.255205309e+00,2.593025775e+01,5.669735553e+01,5.323705222e+01,5.915006898e+01,5.385888983e+01,9.040361856e+01,5.827591907e+00,9.487024528e+01,2.949031121e+01,8.042922313e+01,7.890672936e+01,6.515418219e+01,3.892494923e+01,8.156902519e+01,2.450696494e+00,3.942943489e+01,7.142458941e+01,7.899158133e+01,3.487868933e+01,1.735246337e+01,9.245307417e+01,1.738461837e+01,6.298396610e+01,8.400084714e+01,1.792297053e+01,9.267111836e+00,4.485659498e+01,9.456501603e+01,8.531044763e+01,5.136018289e+01,5.847570664e+01,5.365460542e+01,4.629884957e+01,7.741932455e+01,8.187206112e+01,8.010462179e+01,6.726027328e+01,7.650768194e+01,6.198704343e+01,4.635094206e+01,5.665201139e+01
9.319041048e+01,9.784728386e+01,6.723465076e+01,9.450325714e+01,2.667518184e+01,1.442163064e+01,5.669096716e+01,9.658992900e+01,8.186322934e+01,7.997715624e+01,6.264545315e+01,5.257212735e+01,7.573213341e+01,4.357447614e+01,9.237418435e+01,3.667158105e+01,4.868719228e+01,7.733825012e+01,7.185862417e+01,8.451410654e+01,4.562587374e+01,8.853061424e+01,2.456770197e+01,1.680470012e+01,1.948002482e+01,3.238325909e+00,6.080820250e+01,5.976367198e+00,5.905868484e+01,8.711177291e+01,8.650910881e+01,6.471424120e+01,3.851188966e+01,3.964067171e+00,4.871027919e+01,2.651062949e+01,5.394548483e+01,4.132369275e+01,8.479852126e+01,9.537236312e+01,6.545881383e+01,5.768923051e+01,4.389831594e+01,1.721524958e+01,1.800559475e+01,5.883554636e+01,8.849565674e+01,3.983139903e+01,3.444394962e+01,3.671165749e+01,5.617987976e+01,2.150665991e+01,2.669736593e+00,6.822940382e+01,5.325466332e+01,5.401570214e+00,5.370113287e+01,2.361889388e+01,1.591174747e+01,8.892993583e+01,3.989932479e+01,6.649194884e+01,1.796629459e+01,9.893796406e-01,6.130942083e+01,1.444238252e+00,2.069070391e+01,5.456177979e+01,9.777850547e+01,2.584516892e+01,7.771009902e+01,4.297857765e+01,4.850728301e+00,3.970401205e+01,4.601500980e+01,8.406171258e+01,9.720061195e+01,4.083726425e+01,8.070528743e+01,2.152922102e+01,2.870525212e+01,6.904032304e+01,5.898500325e+01,8.269287782e+01,3.893886860e+01,3.343470906e+01,2.598143421e+01,7.139109395e+01,6.029313499e+01,4.307205262e+00,8.892384000e+01,9.276230846e+01,4.411220116e+00,2.878629713e+01,8.063832304e+01,5.618905317e+01,9.585846669e+01,5.975395228e+00,9.874334783e+01
7.941090442e+01,1.888406583e+01,4.063060382e+01,7.178748415e+01,9.530587494e+01,6.875216827e+01,6.051290996e+01,3.757889600e+00,9.880540402e+01,5.024891098e+01,7.078002803e+01,3.258571326e+01,5.935989315e-01,2.819777886e+01,3.574222276e+01,6.302285561e+01,3.510371234e+01,1.808197194e+00,1.751633610e+01,4.519010580e+01,1.809776907e+01,1.302810620e+01,4.926551317e+01,2.736822802e+01,8.242313648e+01,3.961993409e+01,8.395614096e+01,4.150289387e+01,6.942785193e+00,6.288647891e+01,7.323243008e+01,6.323002080e+01,3.871302279e+01,8.830017374e+01,9.006537598e+01,5.680563423e+00,6.733186710e+01,9.442320644e+01,1.945824845e+01,3.979132163e+01,1.421447899e+01,7.021199714e+01,4.651331780e+01,8.475460497e+01,2.459039669e+00,3.530960656e+01,2.646852358e+01,6.930427600e+01,9.329935571e+01,9.945830537e+01,9.520496958e+01,3.701421467e+01,1.411089087e+01,8.304340942e+01,6.887811673e+01,1.083351031e+01,4.771762192e+00,1.885890055e+01,5.372021960e+01,3.233721618e+01,6.041081820e+01,5.250333873e+01,9.658873670e+01,9.804231677e+01,4.774539528e+01,2.703989933e+01,6.608893820e+01,4.543091751e+01,3.316383243e+01,4.351146967e+01,3.712419517e+01,1.332796041e+01,7.878364125e+01,6.820226311e+01,3.450479963e+01,6.215597632e+01,3.664623632e+01,8.701062880e+01,6.223894192e+01,6.605727492e+01,9.227691905e+01,4.555012363e+01,9.480246030e+01,5.023574631e+01,1.661218132e+01,9.030623688e+01,4.035332281e+01,4.564202944e+01,3.978729103e+01,7.128199045e+01,1.081327659e+01,2.825088272e+01,6.691726500e+01,7.388075954e+01,4.806731232e+01,2.511583525e+01,8.305721169e+00,6.480235552e+01,1.016046497e+01
7.775258456e+00,6.405226955e+01,8.602327016e+01,3.649703898e+01,3.637125865e+00,1.982930408e+01,2.510818539e+01,7.749710300e+01,2.161603072e+01,5.407915820e+00,6.027790781e+01,1.258068966e+01,9.330953777e+01,3.146741447e+01,1.149570011e+00,8.560591140e+01,2.914982295e+01,6.128176497e+01,3.402193366e+01,2.605265681e+01,6.656676620e+01,9.922690254e+01,2.946413129e+01,5.384674296e+01,5.329756766e+00,5.112991468e+01,5.515521625e+00,1.835292031e+01,3.577132308e+01,3.704379310e+01,8.073069308e+00,7.281296867e+01,4.539086322e+01,9.461981964e+01,2.529199706e+01,6.853203079e+01,8.911923511e+01,6.314909937e+01,8.033792241e+01,8.658234783e+00,9.477428240e+00,5.920508797e+01,7.962057812e+00,9.843427282e+01,8.590878976e+01,6.282746630e+01,9.645078791e+01,3.685872350e+01,3.739664418e+01,4.488867185e+01,4.035305025e+01,9.277641133e+01,5.406955766e+01,2.385581669e+01,8.249791806e+01,9.272653733e+01,7.348955294e+00,7.587760197e+01,2.726699424e+01,2.672726618e+01,8.431099121e+01,7.567131829e+00,7.977244923e+00,4.515835988e+01,9.380775138e+01,3.816542716e+01,1.500223308e+01,6.856694374e+01,8.321124324e+01,7.383690155e+01,3.083133244e+00,2.254034320e+01,1.594406508e+01,6.069831020e+01,5.769679924e+01,7.017883518e+01,6.775440640e+01,2.942770036e+01,9.723815123e+01,4.906465391e+01,9.087367119e+01,7.977941597e+00,3.337591056e+01,5.078727319e+01,4.763673796e+01,3.406822311e+01,6.056989670e+01,3.728125320e+01,5.605525014e+01,8.199718790e+01,9.151930197e+01,3.493887058e+01,6.943285207e+01,9.695133917e+01,6.248695716e+00,4.211499671e+01,8.999702739e+01,6.343454539e+01,4.190148212e+01
3.250512433e+01,4.133103755e+01,6.377596166e+01,6.054973451e+01,2.156306688e+01,7.384048279e+01,1.241845935e+01,4.367975452e+01,8.095944805e+01,6.992210708e+01,4.901791596e+01,2.630198330e+01,9.216784132e+01,5.792032945e+01,5.128077252e+01,8.498833789e+01,6.606710569e+01,7.826256077e+01,9.330062724e+01,4.212662783e+01,8.598175864e+01,6.675218928e+01,1.752020046e+01,2.612677622e+01,8.464033016e+01,6.350786778e+01,1.717753649e+00,7.392621983e+01,1.530006944e+01,4.726349842e+01,1.999254655e+01,7.790915023e+01,2.112334356e+01,8.517361967e+01,1.723561309e+01,2.621167937e+01,6.358171705e+00,8.439590663e+01,1.099614811e+01,7.953645219e+01,6.650396884e+01,4.116097440e+01,9.561598545e+00,9.186134382e+00,2.163421520e+01,3.285887409e+01,5.514598579e+01,1.480123373e+01,7.652538691e+01,6.977268863e+00,2.540284251e+01,5.303916529e+01,3.885966908e+01,1.395541242e+01,3.087088935e+00,8.241085122e+01,6.022032536e+01,3.668301188e+01,9.213674499e+01,7.104631318e+01,5.698243461e+01,9.001910027e+01,2.351057360e+01,1.784065900e+01,5.256912448e+01,1.219920354e+01,8.141278627e+01,8.162233918e+01,6.746867475e+01,8.456699354e+01,8.571990758e+01,1.829169449e+01,4.211929860e+01,9.037274355e+01,4.770022218e+01,6.295561445e+01,9.554327831e+01,2.668254926e+01,2.181502105e+01,3.198141281e+01,1.726903695e+01,5.046453526e+01,6.585276148e+01,5.255438390e+01,8.176876027e+01,3.096153256e+01,6.104058804e+00,9.493884012e+01,2.682795954e+01,7.091092062e+01,8.217966928e+01,7.835615326e+01,1.818681619e+01,7.267500318e+01,5.652119800e+01,9.685874495e+01,7.999230809e+01,9.879626065e+01,3.564643751e+01
